,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,380.4,276.0,421.3,411.0,212.4,295.3,337.3,382.1,361.2,460.5,318.4,588.0
1,372.7,0.0,170.6,265.2,80.7,216.5,98.6,107.7,110.8,194.5,175.0,93.2,357.3
2,284.7,172.1,0.0,241.4,198.2,117.2,169.4,224.9,169.3,194.5,247.7,105.6,430.0
3,398.2,255.7,238.6,0.0,252.5,178.7,253.0,308.5,252.9,342.8,192.1,189.2,257.8
4,410.0,78.3,196.6,243.3,0.0,242.5,149.9,159.0,132.4,245.8,141.2,129.1,323.5
5,219.5,215.7,106.8,208.9,241.8,0.0,205.9,268.5,212.9,212.5,291.3,149.2,430.0
6,291.2,102.3,163.4,258.0,147.4,209.3,0.0,129.1,167.3,95.9,219.3,109.2,379.8
7,338.2,113.0,232.1,320.3,165.2,278.0,134.2,0.0,178.4,229.1,178.6,160.8,286.8
8,392.7,113.4,179.3,267.5,134.1,225.2,174.6,176.7,0.0,269.9,165.4,68.5,347.7
9,357.3,190.1,195.5,345.8,235.2,215.2,87.8,216.0,255.1,0.0,307.1,197.0,466.7
10,459.7,167.3,246.3,179.2,133.1,292.2,215.7,191.2,168.2,311.6,0.0,178.8,244.0
11,324.2,97.0,110.8,205.4,132.8,156.7,111.6,160.3,63.7,201.4,182.3,0.0,364.6
12,587.7,354.6,433.6,243.3,320.4,393.3,383.7,294.0,355.5,478.6,246.8,366.1,0.0
