,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,1038.9,1169.5,1443.3,1100.4,807.9,932.6,923.4,798.2,419.7,1433.1,721.3,1513.9
1,1038.9,0.0,611.5,813.4,496.9,453.6,426.2,604.6,443.9,988.8,826.2,492.7,610.1
2,1169.5,611.5,0.0,307.2,243.6,638.2,429.7,461.7,628.5,773.3,297.0,644.8,377.8
3,1443.3,813.4,307.2,0.0,506.4,893.6,655.5,724.5,883.9,1036.1,61.2,904.2,203.3
4,1100.4,496.9,243.6,506.4,0.0,481.9,243.8,314.1,472.2,680.7,496.2,492.2,577.0
5,807.9,453.6,638.2,893.6,481.9,0.0,238.1,296.3,26.7,626.5,883.4,86.6,877.9
6,932.6,426.2,429.7,655.5,243.8,238.1,0.0,187.9,228.4,672.8,645.3,248.7,726.1
7,923.4,604.6,461.7,724.5,314.1,296.3,187.9,0.0,286.6,503.7,714.3,263.3,795.1
8,798.2,443.9,628.5,883.9,472.2,26.7,228.4,286.6,0.0,616.8,873.7,76.9,868.2
9,419.7,988.8,773.3,1036.1,680.7,626.5,672.8,503.7,616.8,0.0,1025.9,539.9,1106.7
10,1433.1,826.2,297.0,61.2,496.2,883.4,645.3,714.3,873.7,1025.9,0.0,894.0,216.1
11,721.3,492.7,644.8,904.2,492.2,86.6,248.7,263.3,76.9,539.9,894.0,0.0,928.1
12,1513.9,610.1,377.8,203.3,577.0,877.9,726.1,795.1,868.2,1106.7,216.1,928.1,0.0
