,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,119.5,122.3,252.8,114.1,153.8,171.5,218.6,246.9,89.7,233.6,155.5,207.7
1,119.2,0.0,84.2,214.7,68.4,115.7,95.5,170.8,227.3,33.0,214.0,79.8,169.6
2,120.8,89.4,0.0,130.5,101.1,49.5,124.9,143.9,202.9,100.7,189.6,112.5,103.4
3,251.7,220.3,139.4,0.0,232.0,98.2,255.8,172.4,184.9,231.6,171.6,243.4,72.1
4,113.8,77.9,99.4,229.9,0.0,130.9,106.4,120.3,170.2,89.4,156.9,41.4,184.8
5,153.5,122.1,41.2,104.7,133.8,0.0,157.6,126.0,166.7,133.4,153.4,145.2,53.9
6,174.2,101.0,118.6,249.1,108.4,150.1,0.0,177.0,236.0,112.5,222.7,99.4,204.0
7,211.7,175.2,136.1,181.4,115.2,114.5,171.9,0.0,59.0,186.7,45.7,126.7,109.0
8,246.3,223.0,188.9,194.3,163.0,167.3,224.7,52.8,0.0,234.5,13.3,179.5,121.9
9,86.2,29.8,92.2,222.7,83.0,123.7,110.1,185.4,241.9,0.0,228.6,94.4,177.6
10,233.0,209.7,175.6,181.0,149.7,154.0,211.4,39.5,13.3,221.2,0.0,166.2,108.6
11,158.4,86.0,107.5,231.6,44.6,139.0,94.2,120.2,179.2,97.5,165.9,0.0,180.8
12,207.4,176.0,95.1,72.4,187.7,53.9,211.5,100.3,112.8,187.3,99.5,199.1,0.0
