,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,114.3,132.6,218.6,218.5,208.0,164.8,220.2,225.7,135.2,118.3,119.5,224.2,140.1,190.9,168.9,155.5,207.7
1,110.8,0.0,43.3,160.8,132.8,122.3,79.1,190.6,153.7,34.6,101.0,13.1,164.4,54.1,142.8,120.8,69.8,159.6
2,139.5,43.5,0.0,144.0,116.0,105.5,62.3,173.8,136.9,16.9,84.2,48.7,147.6,63.8,152.5,130.5,53.0,169.3
3,211.7,162.1,145.4,0.0,123.2,149.0,85.0,32.3,7.1,162.3,157.8,175.2,94.9,171.1,116.8,120.5,126.7,109.0
4,223.0,137.5,120.8,113.3,0.0,66.2,58.5,145.6,106.2,137.7,151.8,150.6,116.9,137.4,152.4,156.1,100.2,173.9
5,213.4,127.9,111.2,139.2,60.1,0.0,79.6,171.5,132.1,128.1,142.2,141.0,142.8,127.3,178.3,182.0,90.6,199.8
6,164.5,79.0,62.3,81.7,58.5,80.4,0.0,114.0,74.6,79.2,93.3,92.1,85.3,86.1,120.8,124.5,41.7,142.3
7,219.6,183.2,166.5,26.1,149.3,175.1,111.1,0.0,33.2,183.4,178.9,196.3,121.0,197.2,142.9,146.6,152.8,95.2
8,218.8,156.9,140.2,7.1,116.1,141.9,77.9,39.4,0.0,157.1,164.9,170.0,87.8,164.0,109.7,113.4,119.6,116.1
9,134.8,32.0,14.1,158.1,130.1,119.6,76.4,187.9,151.0,0.0,98.3,37.2,161.7,77.9,166.6,144.6,67.1,183.4
10,124.5,107.5,90.8,163.0,147.1,136.6,93.4,186.2,168.0,107.7,0.0,120.6,178.7,122.0,210.7,188.7,84.1,227.5
11,119.2,10.0,53.3,170.8,142.8,132.3,89.1,200.6,163.7,43.0,111.0,0.0,174.4,64.1,152.8,130.8,79.8,169.6
12,227.7,157.8,141.1,91.7,117.0,142.8,78.8,124.0,84.6,158.0,172.1,170.9,0.0,164.9,130.8,119.6,120.5,152.3
13,140.8,54.5,64.2,174.2,138.6,128.1,92.5,206.5,167.1,81.1,121.9,67.6,177.8,0.0,153.8,131.8,90.7,170.6
14,187.5,143.0,152.7,160.0,185.3,211.1,147.1,192.3,152.9,169.6,210.4,156.1,136.0,160.2,0.0,40.0,179.2,127.2
15,171.4,126.9,136.6,143.9,169.2,195.0,131.0,143.3,136.8,153.5,194.3,140.0,119.9,144.1,40.4,0.0,163.1,57.2
16,158.4,72.9,56.2,120.2,92.2,81.7,38.5,152.5,113.1,73.1,87.2,86.0,123.8,87.4,159.3,154.1,0.0,180.8
17,207.4,162.9,172.6,100.3,205.2,231.0,167.0,86.1,107.4,189.5,230.3,176.0,155.9,180.1,66.1,59.9,199.1,0.0
