,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,539.6,584.6,615.3,300.2,328.1,171.4,550.5,276.0,624.2,384.8,578.8,332.1,336.8,440.3,288.7,318.4,588.0
1,534.3,0.0,275.3,239.1,339.5,332.6,362.8,57.0,409.8,248.0,419.3,111.2,303.1,361.6,209.7,285.4,342.3,211.8
2,559.4,283.8,0.0,190.0,440.4,350.0,487.2,255.1,399.8,165.0,289.7,222.9,438.3,427.9,344.9,420.6,350.4,71.0
3,622.6,247.7,174.8,0.0,427.8,391.3,451.1,226.1,468.5,89.5,454.4,186.8,402.2,449.9,308.8,384.5,401.0,111.3
4,296.2,340.8,442.5,416.5,0.0,162.6,124.7,387.9,207.1,425.4,232.3,380.0,226.5,114.8,294.0,183.1,152.9,389.2
5,333.9,338.7,352.1,382.2,165.1,0.0,223.9,347.0,120.5,391.1,145.7,345.7,264.8,152.6,306.1,221.4,9.7,354.9
6,171.5,368.2,480.1,443.9,128.8,225.6,0.0,406.3,270.1,452.8,295.3,407.4,187.9,165.4,296.1,144.5,215.9,416.6
7,579.5,57.2,245.7,225.4,392.7,351.2,416.0,0.0,428.4,234.3,437.9,89.6,313.0,414.8,238.7,295.3,360.9,182.2
8,284.7,413.8,404.7,457.3,213.2,115.3,272.0,422.1,0.0,466.2,172.0,420.8,312.9,200.7,380.4,269.5,105.6,430.0
9,631.6,256.7,149.9,97.9,436.8,400.3,460.1,235.1,477.5,0.0,429.5,195.8,411.2,458.9,317.8,393.5,410.0,86.4
10,393.3,425.4,294.1,468.9,238.1,140.2,296.9,433.7,179.9,445.9,0.0,432.4,337.8,225.6,405.3,294.4,130.5,351.9
11,574.3,107.0,219.3,183.1,379.5,343.0,402.8,77.0,420.2,192.0,429.7,0.0,353.9,401.6,260.5,336.2,352.7,155.8
12,332.0,265.7,398.1,361.9,218.7,262.9,196.1,275.3,307.4,370.8,332.6,325.4,0.0,240.8,165.1,47.8,253.2,334.6
13,337.5,359.8,427.2,435.5,111.3,147.3,166.0,406.9,191.8,444.4,217.0,399.0,245.5,0.0,313.0,202.1,137.6,408.2
14,470.7,209.9,335.5,299.3,282.7,294.6,306.0,235.3,371.4,308.2,396.6,262.8,204.2,304.8,0.0,186.5,304.3,272.0
15,284.2,252.2,384.6,348.4,170.9,215.1,148.3,261.8,259.6,357.3,284.8,311.9,43.4,193.0,151.6,0.0,205.4,321.1
16,324.2,348.4,361.8,391.9,155.4,9.7,214.2,356.7,110.8,400.8,136.0,355.4,255.1,142.9,315.8,211.7,0.0,364.6
17,587.7,212.8,63.5,119.0,392.9,356.4,416.2,184.1,433.6,94.0,343.1,151.9,367.3,415.0,273.9,349.6,366.1,0.0
