,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,371.5,230.1,467.9,608.6,535.7,482.0,273.0,180.2,326.8,526.5,344.7,397.0,433.9,275.6,207.0,305.0,485.1,412.2,460.8,428.8,318.4,588.0
1,368.6,0.0,291.1,197.0,329.8,359.6,294.3,224.5,216.3,194.7,247.7,190.2,297.8,232.8,103.8,190.8,299.1,229.6,194.9,182.0,227.7,147.2,309.2
2,237.2,285.3,0.0,399.2,444.8,305.6,251.9,121.5,276.2,143.7,429.8,227.4,166.9,460.5,252.5,204.6,74.9,446.8,260.7,331.5,455.4,166.9,412.3
3,466.9,195.8,398.4,0.0,162.5,292.3,230.9,331.8,314.6,302.0,80.4,300.9,259.2,120.8,202.1,289.1,391.5,113.0,220.6,107.0,115.7,267.3,141.9
4,615.0,343.9,406.8,169.2,0.0,181.6,243.5,457.9,462.7,363.4,126.9,427.0,266.0,290.0,350.2,437.2,398.3,261.8,346.7,255.1,284.9,393.4,31.2
5,505.7,343.5,268.5,286.1,193.9,0.0,105.2,343.1,477.2,225.1,261.0,339.6,127.7,347.4,364.7,439.2,260.0,333.7,258.8,218.4,342.3,296.7,161.4
6,454.3,294.5,217.1,237.1,252.5,113.3,0.0,291.7,428.2,173.7,244.8,290.6,76.3,298.4,315.7,390.2,208.6,284.7,153.6,169.4,293.3,245.3,220.0
7,281.7,221.0,131.9,334.9,447.6,352.8,299.1,0.0,300.7,111.0,365.5,163.1,214.1,396.2,188.2,249.1,206.8,382.5,196.4,267.2,391.1,102.6,427.0
8,175.7,202.8,279.5,287.7,439.9,471.9,406.6,282.4,0.0,252.6,357.8,213.1,355.7,253.7,95.4,75.4,354.4,304.9,315.5,292.1,248.6,231.2,419.3
9,334.4,190.0,112.9,303.9,381.0,241.8,188.1,118.0,269.7,0.0,334.5,132.1,103.1,365.2,157.2,231.7,104.4,351.5,165.4,236.2,360.1,71.6,348.5
10,520.7,249.6,408.6,74.9,122.8,252.6,239.5,363.6,368.4,333.8,0.0,332.7,267.8,195.7,255.9,342.9,400.1,153.5,252.4,160.8,190.6,299.1,102.2
11,341.4,189.9,224.7,307.2,419.9,347.6,282.3,158.1,205.9,128.3,337.8,0.0,231.4,354.3,146.3,163.6,232.7,351.1,193.2,239.5,349.2,106.9,399.3
12,378.0,287.4,140.8,265.9,277.9,138.7,85.0,215.4,367.1,97.4,273.6,229.5,0.0,327.2,254.6,329.1,132.3,313.5,238.6,198.2,322.1,169.0,245.4
13,454.2,232.0,460.6,125.5,288.0,362.5,297.2,394.0,278.5,364.2,196.2,349.0,325.5,0.0,238.3,325.3,457.8,51.2,286.9,173.3,52.0,329.9,267.4
14,288.2,107.4,253.6,211.7,344.5,376.5,311.2,187.0,112.5,157.2,262.4,142.0,260.3,223.5,0.0,118.3,261.6,244.3,220.1,196.7,218.4,135.8,323.9
15,207.1,185.6,204.1,289.9,422.7,442.1,376.8,247.0,71.6,222.8,340.6,158.8,325.9,325.3,117.7,0.0,279.0,322.5,287.7,274.9,320.2,201.4,402.1
16,312.2,301.6,75.0,400.7,412.7,273.5,219.8,196.5,351.2,111.6,408.4,243.7,134.8,462.0,268.8,279.6,0.0,448.3,277.0,333.0,456.9,183.2,380.2
17,503.6,232.5,450.8,119.5,253.5,348.6,283.3,384.2,330.2,354.4,145.0,349.5,311.6,51.7,238.8,325.8,443.9,0.0,273.0,159.4,103.7,319.7,232.9
18,424.2,193.9,274.4,221.3,334.0,261.7,153.6,207.8,333.2,178.0,251.9,195.6,224.7,282.6,220.7,295.2,282.4,268.9,0.0,153.6,277.5,100.0,313.4
19,465.6,194.5,328.1,112.6,245.3,225.9,160.6,261.5,313.3,231.7,163.2,230.6,188.9,173.9,200.8,287.8,321.2,160.2,150.3,0.0,168.8,197.0,224.7
20,452.5,230.3,458.9,123.8,286.3,360.8,295.5,392.3,276.8,362.5,204.2,347.3,323.8,47.5,236.6,323.6,456.1,98.7,285.2,171.6,0.0,328.2,265.7
21,324.2,146.0,174.4,272.5,385.2,312.9,247.4,107.8,245.9,78.0,303.1,108.3,181.1,333.8,133.4,207.9,182.4,320.1,93.8,204.8,328.7,0.0,364.6
22,587.7,316.6,375.6,141.9,32.5,150.4,212.3,430.6,435.4,332.2,99.6,399.7,234.8,262.7,322.9,409.9,367.1,234.5,319.4,227.8,257.6,366.1,0.0
