,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,173.9,75.9,154.2,224.4,233.6,213.4,115.2,66.3,118.5,189.2,142.8,182.2,184.7,97.6,88.5,85.2,166.6,200.6,202.4,142.8,155.5,207.7
1,175.8,0.0,157.2,152.1,222.3,224.3,213.8,149.5,113.0,120.1,187.1,123.7,182.6,182.6,74.2,131.0,147.9,164.5,125.1,183.1,140.7,101.0,205.6
2,78.8,158.2,0.0,180.7,220.7,157.7,137.5,64.3,96.3,42.6,215.7,122.0,106.3,211.2,102.8,118.5,9.3,193.1,135.9,186.3,169.3,90.8,198.5
3,153.9,160.4,181.4,0.0,70.2,153.0,164.0,173.7,91.1,144.3,35.0,143.6,159.4,104.0,84.1,132.6,172.1,85.9,132.1,80.6,34.5,145.6,53.5
4,253.9,260.4,281.4,100.0,0.0,197.5,230.9,273.7,191.1,244.3,86.2,243.6,226.3,182.0,184.1,232.6,272.1,163.9,232.1,180.6,134.5,245.6,98.0
5,233.0,213.8,154.2,153.6,130.8,0.0,72.1,189.2,224.0,125.0,148.3,204.4,67.5,225.7,185.2,238.1,144.9,207.6,143.1,135.3,168.5,166.2,108.6
6,206.6,201.0,127.8,158.4,166.4,80.9,0.0,149.6,184.4,85.4,164.1,164.8,27.9,230.5,145.6,198.5,118.5,212.4,147.9,140.1,173.3,133.6,144.2
7,118.4,145.4,70.9,167.9,238.1,193.5,151.7,0.0,128.8,58.0,202.9,109.2,120.5,198.4,90.0,142.9,80.2,180.3,123.1,173.5,156.5,78.0,221.4
8,62.8,107.6,103.3,87.9,158.1,227.0,185.2,120.9,0.0,91.5,122.9,90.8,154.0,118.4,31.3,41.5,112.6,100.3,137.9,136.1,76.5,92.8,141.4
9,115.9,115.6,37.1,138.1,208.3,135.5,93.7,64.2,99.0,0.0,173.1,79.4,62.5,168.6,60.2,113.1,27.8,150.5,93.3,143.7,126.7,48.2,191.6
10,246.3,252.8,273.8,120.9,177.3,260.1,284.9,266.1,183.5,236.7,0.0,236.0,280.3,113.5,176.5,225.0,264.5,95.4,253.0,201.5,155.4,238.0,160.6
11,142.4,119.3,110.5,137.5,207.7,208.9,167.1,102.8,92.4,73.4,172.5,0.0,135.9,168.0,59.6,73.1,101.2,149.9,119.8,170.2,126.1,74.7,191.0
12,178.7,173.1,99.9,150.5,158.5,73.0,31.2,121.7,156.5,57.5,156.2,136.9,0.0,222.6,117.7,170.6,90.6,204.5,140.0,132.2,165.4,105.7,136.3
13,188.8,195.3,216.3,99.8,188.1,257.6,249.5,208.6,126.0,179.2,152.9,178.5,241.7,0.0,119.0,167.5,207.0,18.1,217.6,166.1,106.5,180.5,171.4
14,101.6,76.3,97.3,77.9,148.1,195.7,153.9,89.6,38.8,60.2,112.9,59.5,122.7,108.4,0.0,66.8,88.0,90.3,106.6,126.1,66.5,61.5,131.4
15,88.3,126.2,128.8,126.2,196.4,242.3,200.5,136.2,38.3,106.8,161.2,66.8,169.3,156.7,66.5,0.0,134.6,138.6,153.2,174.4,114.8,108.1,179.7
16,88.1,148.9,9.3,171.4,211.4,148.4,128.2,73.6,105.6,33.3,206.4,112.7,97.0,201.9,93.5,127.8,0.0,183.8,126.6,177.0,160.0,81.5,189.2
17,170.7,177.2,198.2,81.7,170.0,239.5,231.4,190.5,107.9,161.1,134.8,160.4,223.6,18.1,100.9,149.4,188.9,0.0,199.5,148.0,88.4,162.4,153.3
18,202.7,119.8,136.1,131.3,174.3,142.7,134.6,128.4,144.6,99.0,139.1,125.0,130.0,204.2,105.8,158.7,126.8,186.1,0.0,101.5,134.7,79.9,157.6
19,205.9,168.9,177.5,83.1,153.3,138.2,130.1,169.8,143.1,140.4,118.1,166.4,125.5,156.0,136.1,184.6,168.2,137.9,98.2,0.0,86.5,121.3,136.6
20,139.2,145.7,166.7,37.8,108.0,177.5,169.4,159.0,76.4,129.6,72.8,128.9,164.8,89.3,69.4,117.9,157.4,71.2,137.5,86.0,0.0,130.9,91.3
21,158.4,96.6,91.8,139.4,197.5,165.9,148.4,84.1,100.3,54.7,162.3,80.7,117.2,169.9,61.5,114.4,82.5,151.8,74.3,124.7,128.0,0.0,180.8
22,207.4,213.9,189.3,53.5,22.2,99.5,132.9,227.2,144.6,185.8,39.7,197.1,128.3,135.5,137.6,186.1,180.0,117.4,185.6,134.1,88.0,199.1,0.0
