,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,238.4,432.9,416.1,319.1,523.4,250.4,464.2,462.7,518.1,250.1,373.0,311.0,258.0,358.3,383.7,573.6,386.8,311.3,219.6,453.5,389.3,525.6,276.1,515.7,215.0,318.4,588.0
1,234.2,0.0,309.3,259.6,83.0,321.9,99.8,225.8,316.6,279.7,14.0,197.9,74.9,21.9,183.2,208.6,371.4,211.7,75.2,246.1,215.1,214.2,287.2,203.2,314.2,23.4,148.9,349.6
2,409.9,304.6,0.0,95.7,287.0,213.1,396.3,251.6,63.1,240.0,304.8,255.5,310.4,296.9,240.8,266.2,347.7,269.3,310.7,183.2,197.5,271.8,270.1,250.4,205.4,328.0,200.9,242.8
3,408.1,259.0,103.0,0.0,241.4,282.8,358.8,321.3,132.8,309.7,259.2,209.9,264.8,251.3,195.2,220.6,417.4,223.7,265.1,181.4,267.2,226.2,339.8,204.8,275.1,282.4,155.3,312.5
4,315.8,75.6,292.9,243.2,0.0,305.5,181.4,301.4,300.2,332.4,64.7,181.5,46.2,56.8,166.8,192.2,440.1,195.3,46.5,207.3,267.0,197.8,362.5,180.5,297.8,105.0,132.5,424.9
5,530.8,326.7,211.8,282.4,309.1,0.0,426.5,151.0,182.6,103.6,326.9,250.1,332.5,319.0,233.5,232.9,211.3,236.0,332.8,369.9,164.2,238.5,133.7,317.5,7.7,350.1,249.9,196.1
6,246.5,91.9,401.2,351.5,172.6,413.8,0.0,317.7,408.5,371.6,103.6,289.8,164.5,111.5,275.1,300.5,463.3,303.6,164.8,216.7,307.0,306.1,379.1,273.2,406.1,68.5,240.8,441.5
7,465.1,230.9,250.6,321.2,313.9,138.5,330.7,0.0,221.4,84.6,244.9,265.7,305.8,252.8,249.1,248.5,176.3,251.6,306.1,386.1,97.9,254.1,92.1,333.1,130.8,254.3,265.5,154.5
8,441.1,318.2,56.3,126.9,300.6,171.3,418.0,209.8,0.0,198.2,318.4,241.6,324.0,310.5,225.0,224.4,305.9,227.5,324.3,214.4,155.7,230.0,228.3,281.6,163.6,341.6,232.1,179.7
9,529.3,295.1,228.3,298.9,325.6,101.4,394.9,103.3,199.1,0.0,309.1,266.6,349.0,317.0,250.0,249.4,163.6,252.5,349.3,386.4,162.1,255.0,86.0,334.0,93.7,318.5,266.4,148.4
10,251.1,10.9,314.8,265.1,69.0,327.4,116.7,236.7,322.1,290.6,0.0,203.4,60.9,7.9,188.7,214.1,382.3,217.2,61.2,232.1,226.0,219.7,298.1,205.3,319.7,40.3,154.4,360.5
11,375.4,197.2,268.2,218.5,179.6,244.3,297.0,259.9,239.0,271.2,197.4,0.0,203.0,189.5,20.7,46.1,378.9,49.2,203.3,215.1,205.8,51.7,301.3,162.1,236.6,220.6,51.2,363.7
12,316.2,76.0,316.3,266.6,46.3,328.9,181.8,301.8,323.6,355.7,65.1,204.9,0.0,57.2,190.2,215.6,447.4,218.7,0.3,209.4,290.4,221.2,363.2,182.6,321.2,105.4,155.9,425.6
13,259.0,18.8,306.9,257.2,61.1,319.5,124.6,244.6,314.2,298.5,7.9,195.5,53.0,0.0,180.8,206.2,390.2,209.3,53.3,224.2,233.9,211.8,306.0,197.4,311.8,48.2,146.5,368.4
14,364.9,186.7,250.5,208.0,169.1,226.6,286.5,242.2,221.3,253.5,186.9,16.6,192.5,179.0,0.0,25.4,361.2,28.5,192.8,204.6,188.1,31.0,283.6,151.6,218.9,210.1,40.7,346.0
15,386.1,207.9,254.1,229.2,190.3,230.2,307.7,245.8,224.9,257.1,208.1,37.8,213.7,200.2,21.2,0.0,364.8,3.1,214.0,225.8,191.7,5.6,287.2,172.8,222.5,231.3,61.9,349.6
16,606.8,380.6,350.1,420.7,447.4,223.2,480.4,188.8,320.9,169.3,394.6,388.4,455.5,402.5,371.8,371.2,0.0,374.3,455.8,508.2,247.6,376.8,149.2,455.8,215.5,404.0,388.2,159.1
17,389.2,211.0,257.2,232.3,193.4,233.3,310.8,248.9,228.0,260.2,211.2,40.9,216.8,203.3,24.3,3.1,367.9,0.0,217.1,228.9,194.8,2.5,290.3,175.9,225.6,234.4,65.0,352.7
18,316.5,76.3,316.6,266.9,46.6,329.2,182.1,302.1,323.9,356.0,65.4,205.2,0.3,57.5,190.5,215.9,447.7,219.0,0.0,209.7,290.7,221.5,363.5,182.9,321.5,105.7,156.2,425.9
19,226.7,242.4,213.3,212.5,202.5,361.4,213.1,377.0,243.1,388.3,231.5,211.0,213.0,223.6,196.3,221.7,496.0,224.8,213.3,0.0,322.9,227.3,418.4,114.1,353.7,223.2,156.4,422.8
20,450.1,215.9,192.2,262.8,266.3,168.3,315.7,85.4,163.0,139.3,229.9,207.3,289.7,237.8,190.7,190.1,231.0,193.2,290.0,327.7,0.0,195.7,146.8,274.7,160.6,239.3,207.1,209.2
21,391.7,213.5,259.7,234.8,195.9,235.8,313.3,251.4,230.5,262.7,213.7,43.4,219.3,205.8,26.8,5.6,370.4,2.5,219.6,231.4,197.3,0.0,292.8,178.4,228.1,236.9,67.5,355.2
22,525.3,291.1,265.6,336.2,362.9,138.7,390.9,99.3,234.1,84.8,305.1,303.9,366.0,313.0,287.3,286.7,151.9,289.8,366.3,423.7,158.1,292.3,0.0,371.3,131.0,314.5,303.7,62.4
23,287.8,212.4,256.1,206.4,180.4,313.7,274.2,329.3,285.9,340.6,209.4,163.3,190.9,201.5,148.6,174.0,448.3,177.1,191.2,127.5,275.2,179.6,370.7,0.0,306.0,235.8,108.7,433.1
24,523.1,319.0,204.1,274.7,301.4,7.7,418.8,143.3,174.9,95.9,319.2,242.4,324.8,311.3,225.8,225.2,203.6,228.3,325.1,362.2,156.5,230.8,126.0,309.8,0.0,342.4,242.2,188.4
25,210.8,23.4,332.7,283.0,104.1,345.3,76.4,249.2,340.0,303.1,35.1,221.3,96.0,43.0,206.6,232.0,394.8,235.1,96.3,226.6,238.5,237.6,310.6,226.6,337.6,0.0,172.3,373.0
