,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,823.5,1458.0,1368.5,880.3,1700.4,702.7,1595.6,1576.5,1696.0,849.8,1132.7,903.7,882.9,1106.4,1177.5,1813.6,1190.3,904.1,793.1,1549.1,1200.6,1826.1,943.0,1687.5,725.9,999.1,2085.4
1,823.5,0.0,1154.1,925.5,249.6,1068.8,286.1,772.1,1119.8,904.0,32.7,643.6,231.0,65.8,617.3,688.4,1144.8,682.7,231.5,690.3,725.6,672.4,1034.1,576.1,1055.9,97.6,510.0,1293.4
2,1458.0,1156.6,0.0,275.2,904.4,683.9,1305.0,935.1,189.0,799.7,1123.9,664.0,975.1,1090.9,613.1,592.2,1305.5,605.0,975.5,664.9,727.3,615.3,1022.0,903.7,671.0,1247.8,704.7,868.2
3,1368.5,928.1,275.2,0.0,675.9,888.6,1194.9,1139.8,393.6,1004.4,895.3,609.8,746.5,862.3,583.4,654.5,1510.1,667.3,746.9,575.4,932.0,677.7,1226.7,675.1,875.7,1019.3,476.1,1072.9
4,880.3,249.6,904.4,675.9,0.0,855.8,529.3,901.2,870.2,971.6,216.9,394.0,68.0,183.8,367.7,438.8,1328.6,433.1,68.5,485.4,776.8,422.7,1163.2,371.1,842.9,340.8,260.4,1422.5
5,1700.4,1068.8,683.9,888.6,855.8,0.0,1354.9,388.3,573.3,229.6,1072.6,754.6,923.8,1039.6,703.7,632.6,735.3,619.9,924.3,1248.8,525.4,609.5,451.8,1031.5,12.9,1166.5,756.3,711.1
6,702.7,286.1,1305.0,1194.9,529.3,1354.9,0.0,1058.1,1392.8,1190.0,312.4,916.7,510.6,345.4,890.3,961.4,1430.9,962.4,511.1,640.1,1011.6,952.0,1320.2,790.0,1342.0,188.5,783.0,1579.4
7,1595.6,772.1,935.1,1139.8,901.2,388.3,1058.1,0.0,824.5,223.4,804.8,841.0,969.3,837.9,790.1,719.0,611.3,706.2,969.7,1329.7,303.5,695.8,353.5,1112.4,375.4,869.7,837.2,612.8
8,1576.5,1119.8,189.0,393.6,870.2,573.3,1392.8,824.5,0.0,689.1,1087.1,553.4,938.2,1054.0,502.5,481.6,1194.8,494.4,938.7,783.4,616.7,504.7,911.4,903.2,560.4,1211.0,609.8,679.3
9,1696.0,904.0,799.7,1004.4,971.6,229.6,1190.0,223.4,689.1,0.0,936.7,870.4,1039.6,969.7,819.5,748.4,570.4,735.7,1040.1,1364.6,435.3,725.3,286.9,1147.3,216.7,1001.6,872.1,546.2
10,849.8,32.7,1121.3,892.7,216.9,1072.6,312.4,804.8,1087.1,936.7,0.0,610.9,198.3,33.0,584.6,655.7,1177.5,650.0,198.7,657.6,758.3,639.6,1066.8,543.3,1059.7,123.9,477.3,1326.1
11,1132.7,643.6,664.0,609.8,394.0,754.6,916.7,841.0,553.4,870.4,610.9,0.0,462.1,577.9,50.9,122.0,1268.4,134.8,462.5,644.3,699.0,145.1,1092.7,427.0,741.7,734.8,133.6,1232.7
12,903.7,231.0,972.5,743.9,68.0,923.8,510.6,969.3,938.2,1039.6,198.3,462.1,0.0,165.2,435.7,506.8,1363.1,501.1,0.4,508.8,844.8,490.8,1231.3,394.5,910.9,322.2,328.4,1490.6
13,882.9,65.8,1088.3,859.7,183.8,1039.6,345.4,837.9,1054.0,969.7,33.0,577.9,165.2,0.0,551.5,622.6,1210.6,616.9,165.7,624.6,791.4,606.6,1099.9,510.3,1026.7,157.0,444.2,1359.2
14,1106.4,617.3,613.1,583.4,367.7,703.7,890.3,790.1,502.5,819.5,584.6,50.9,435.7,551.5,0.0,71.1,1217.5,83.9,436.2,617.9,648.1,94.3,1041.8,400.7,690.8,708.5,107.3,1181.8
15,1177.5,688.4,592.2,654.5,438.8,632.6,961.4,719.0,481.6,748.4,655.7,122.0,506.8,622.6,71.1,0.0,1146.4,12.8,507.3,689.0,577.0,23.2,970.7,471.8,619.7,779.6,178.4,1160.9
16,1813.6,1144.8,1305.5,1510.1,1328.6,735.3,1430.9,611.3,1194.8,570.4,1177.5,1268.4,1363.1,1210.6,1217.5,1146.4,0.0,1133.6,1363.5,1757.1,730.9,1123.2,578.1,1539.8,722.4,1242.4,1264.6,613.5
17,1190.3,682.7,605.0,667.3,433.1,619.9,962.4,706.2,494.4,735.7,650.0,134.8,501.1,616.9,83.9,12.8,1133.6,0.0,501.6,701.8,564.2,10.4,957.9,484.5,606.9,773.9,191.2,1173.7
18,904.1,231.5,972.9,744.3,68.5,924.3,511.1,969.7,938.7,1040.1,198.7,462.5,0.4,165.7,436.2,507.3,1363.5,501.6,0.0,509.2,845.3,491.2,1231.7,394.9,911.3,322.6,328.9,1491.0
19,793.1,690.3,664.9,575.4,485.4,1248.8,640.1,1329.7,783.4,1364.6,657.6,644.3,508.8,624.6,617.9,689.0,1757.1,701.8,509.2,0.0,1192.6,712.2,1586.8,409.3,1235.8,745.1,510.6,1462.7
