,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,595.1,1053.7,989.2,635.7,1228.3,507.9,1150.8,1139.0,1233.2,614.0,817.5,652.6,637.8,798.6,849.7,1317.7,859.0,652.9,574.8,1117.4,866.4,1326.9,681.0,1219.0,524.8,721.3,1513.9
1,595.1,0.0,832.8,668.2,179.7,769.3,205.9,555.7,808.2,650.6,23.5,465.3,166.4,47.3,446.4,497.5,823.8,493.4,166.7,499.1,522.3,486.0,744.3,414.9,760.0,70.3,369.1,931.3
2,1053.7,832.8,0.0,198.1,653.1,492.3,941.8,673.1,135.9,575.8,809.3,478.0,702.2,785.5,441.3,426.2,939.7,435.5,702.5,478.9,523.5,442.9,735.7,650.8,483.0,898.5,507.5,624.9
3,989.2,668.2,198.1,0.0,488.5,639.8,860.4,820.6,283.4,723.3,644.7,439.1,537.6,620.9,420.2,471.3,1087.2,480.6,537.9,414.4,671.0,488.0,883.2,486.2,630.5,733.9,342.9,772.4
4,635.7,179.7,653.1,488.5,0.0,618.0,381.0,648.7,628.5,701.5,156.2,285.6,49.1,132.4,266.7,317.8,956.2,313.7,49.4,351.6,559.1,306.3,837.3,267.4,608.7,245.4,189.4,1024.3
5,1228.3,769.3,492.3,639.8,618.0,0.0,975.2,279.4,412.8,165.3,774.2,543.4,667.1,750.4,506.7,455.6,529.2,446.3,667.4,901.1,378.2,438.9,325.2,742.7,9.3,839.6,544.4,512.2
6,507.9,205.9,941.8,860.4,381.0,975.2,0.0,761.6,1003.0,856.5,224.8,660.1,367.7,248.6,641.2,692.3,1029.7,694.7,368.0,462.9,728.2,687.3,950.2,569.1,965.9,135.6,563.9,1137.2
7,1150.8,555.7,673.1,820.6,648.7,279.4,761.6,0.0,593.6,160.7,579.2,605.6,697.8,603.0,568.9,517.8,440.0,508.5,698.1,959.3,218.4,501.1,254.4,800.9,270.1,626.0,602.6,441.4
8,1139.0,808.2,135.9,283.4,628.5,412.8,1003.0,593.6,0.0,496.3,784.7,398.5,677.6,760.9,361.8,346.7,860.2,356.0,677.9,564.2,444.0,363.4,656.2,650.4,403.5,873.9,439.1,489.0
9,1233.2,650.6,575.8,723.3,701.5,165.3,856.5,160.7,496.3,0.0,674.1,626.9,750.6,697.9,590.2,539.1,410.5,529.8,750.9,984.6,313.3,522.4,206.5,826.2,156.0,720.9,627.9,393.5
10,614.0,23.5,809.3,644.7,156.2,774.2,224.8,579.2,784.7,674.1,0.0,441.8,142.9,23.8,422.9,474.0,847.3,469.9,143.2,475.6,545.8,462.5,767.8,391.4,764.9,89.2,345.6,954.8
11,817.5,465.3,478.0,439.1,285.6,543.4,660.1,605.6,398.5,626.9,441.8,0.0,334.7,418.0,36.7,87.8,913.1,97.1,335.0,465.9,503.3,104.5,786.8,307.5,534.1,531.0,96.2,887.5
12,652.6,166.4,702.2,537.6,49.1,667.1,367.7,697.8,677.6,750.6,142.9,334.7,0.0,119.1,315.8,366.9,981.3,362.8,0.3,368.5,608.2,355.4,886.4,284.3,657.8,232.1,238.5,1073.4
13,637.8,47.3,785.5,620.9,132.4,750.4,248.6,603.0,760.9,697.9,23.8,418.0,119.1,0.0,399.1,450.2,871.1,446.1,119.4,451.8,569.6,438.7,791.6,367.6,741.1,113.0,321.8,978.6
14,798.6,446.4,441.3,420.2,266.7,506.7,641.2,568.9,361.8,590.2,422.9,36.7,315.8,399.1,0.0,51.1,876.4,60.4,316.1,447.0,466.6,67.8,750.1,288.6,497.4,512.1,77.3,850.8
15,849.7,497.5,426.2,471.3,317.8,455.6,692.3,517.8,346.7,539.1,474.0,87.8,366.9,450.2,51.1,0.0,825.3,9.3,367.2,498.1,415.5,16.7,699.0,339.7,446.3,563.2,128.4,835.7
16,1317.7,823.8,939.7,1087.2,956.2,529.2,1029.7,440.0,860.2,410.5,847.3,913.1,981.3,871.1,876.4,825.3,0.0,816.0,981.6,1266.8,525.9,808.6,415.9,1108.4,519.9,894.1,910.1,442.0
17,859.0,493.4,435.5,480.6,313.7,446.3,694.7,508.5,356.0,529.8,469.9,97.1,362.8,446.1,60.4,9.3,816.0,0.0,363.1,507.4,406.2,7.4,689.7,349.0,437.0,559.1,137.7,845.0
18,652.9,166.7,702.5,537.9,49.4,667.4,368.0,698.1,677.9,750.9,143.2,335.0,0.3,119.4,316.1,367.2,981.6,363.1,0.0,368.8,608.5,355.7,886.7,284.6,658.1,232.4,238.8,1073.7
19,574.8,499.1,478.9,414.4,351.6,901.1,462.9,959.3,564.2,984.6,475.6,465.9,368.5,451.8,447.0,498.1,1266.8,507.4,368.8,0.0,860.7,514.8,1144.5,296.8,891.8,538.5,369.7,1053.2
20,1117.4,522.3,523.5,671.0,559.1,378.2,728.2,218.4,444.0,313.3,545.8,503.3,608.2,569.6,466.6,415.5,525.9,406.2,608.5,860.7,0.0,398.8,407.0,702.3,368.9,592.6,504.0,594.0
21,866.4,486.0,442.9,488.0,306.3,438.9,687.3,501.1,363.4,522.4,462.5,104.5,355.4,438.7,67.8,16.7,808.6,7.4,355.7,514.8,398.8,0.0,682.3,356.4,429.6,551.7,145.1,852.4
22,1326.9,744.3,735.7,883.2,837.3,325.2,950.2,254.4,656.2,206.5,767.8,786.8,886.4,791.6,750.1,699.0,415.9,689.7,886.7,1144.5,407.0,682.3,0.0,986.1,315.9,814.6,787.8,187.0
23,681.0,414.9,650.8,486.2,267.4,742.7,569.1,800.9,650.4,826.2,391.4,307.5,284.3,367.6,288.6,339.7,1108.4,349.0,284.6,296.8,702.3,356.4,986.1,0.0,733.4,480.6,211.3,1139.4
24,1219.0,760.0,483.0,630.5,608.7,9.3,965.9,270.1,403.5,156.0,764.9,534.1,657.8,741.1,497.4,446.3,519.9,437.0,658.1,891.8,368.9,429.6,315.9,733.4,0.0,830.3,535.1,502.9
25,524.8,70.3,898.5,733.9,245.4,839.6,135.6,626.0,873.9,720.9,89.2,531.0,232.1,113.0,512.1,563.2,894.1,559.1,232.4,538.5,592.6,551.7,814.6,480.6,830.3,0.0,434.8,1001.6
26,721.3,369.1,507.5,342.9,189.4,544.4,563.9,602.6,439.1,627.9,345.6,96.2,238.5,321.8,77.3,128.4,910.1,137.7,238.8,369.7,504.0,145.1,787.8,211.3,535.1,434.8,0.0,928.1
27,1513.9,931.3,624.9,772.4,1024.3,512.2,1137.2,441.4,489.0,393.5,954.8,887.5,1073.4,978.6,850.8,835.7,442.0,845.0,1073.7,1053.2,594.0,852.4,187.0,1139.4,502.9,1001.6,928.1,0.0
