,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,228.2,122.9,232.9,158.3,138.0,99.2,218.4,71.4,58.0,172.7,151.1,187.9,159.0,115.5,186.0,70.3,125.6,182.8,117.9,205.1,161.4,99.1,150.9,169.8,193.5,155.5,207.7
1,224.7,0.0,102.1,70.3,215.6,100.5,214.1,44.7,238.9,247.3,111.8,198.0,136.9,66.0,172.8,135.0,240.0,184.7,239.5,247.2,222.3,218.7,195.4,99.9,108.9,233.8,216.4,45.1
2,122.6,105.3,0.0,110.0,113.5,15.1,112.0,106.4,154.6,145.2,49.8,109.9,65.0,36.1,70.7,63.1,155.7,82.6,141.6,145.1,150.4,116.6,93.3,28.0,46.9,152.3,114.3,84.8
3,233.9,98.5,111.3,0.0,224.8,109.7,223.3,137.0,265.9,256.5,121.0,207.2,146.1,75.2,182.0,144.2,267.0,193.9,248.7,256.4,231.5,227.9,204.6,109.1,118.1,243.0,225.6,78.0
4,159.0,209.3,104.0,214.0,0.0,119.1,124.9,199.5,149.2,150.4,153.8,97.0,169.0,140.1,65.3,167.1,150.3,77.2,121.1,139.7,143.4,3.1,87.9,132.0,150.9,131.8,108.9,188.8
5,134.4,107.0,11.8,111.7,125.3,0.0,123.8,118.2,166.4,157.0,51.5,121.7,66.7,37.8,82.5,64.8,167.5,94.4,153.4,156.9,152.1,128.4,105.1,29.7,48.6,163.6,126.1,86.5
6,99.0,210.9,105.6,215.6,121.3,120.7,0.0,201.1,135.0,121.6,155.4,114.4,170.6,141.7,56.4,168.7,133.9,60.3,146.1,149.6,168.4,124.4,33.8,133.6,152.5,156.8,118.8,190.4
7,223.2,44.7,121.0,115.0,214.1,127.5,212.6,0.0,255.2,245.8,138.8,210.5,163.9,93.0,171.3,162.0,256.3,183.2,242.2,245.7,249.3,217.2,193.9,126.9,135.9,252.9,214.9,89.8
8,74.3,245.1,148.4,233.7,151.4,163.5,124.7,243.9,0.0,13.4,198.2,90.9,176.2,184.5,111.3,196.8,1.1,123.2,122.6,62.5,144.9,154.5,124.6,176.4,195.3,133.3,95.3,203.0
9,60.9,240.3,135.0,245.0,153.6,150.1,111.3,230.5,13.4,0.0,184.8,93.1,178.4,171.1,113.5,198.1,12.3,125.4,124.8,59.9,147.1,156.7,111.2,163.0,181.9,135.5,97.5,216.4
10,172.4,121.6,49.8,126.3,163.3,48.2,161.8,141.9,204.4,195.0,0.0,137.2,76.1,52.4,120.5,74.2,205.5,132.4,178.7,194.9,161.5,166.4,143.1,39.1,14.7,173.0,164.1,101.1
11,150.8,176.5,100.5,181.2,90.6,115.6,117.5,192.1,88.7,89.9,136.8,0.0,85.3,127.0,57.9,105.9,89.8,69.8,41.5,79.2,63.8,93.7,80.5,101.4,133.9,52.2,28.0,156.0
12,184.8,136.0,62.2,140.7,175.7,60.6,174.2,156.3,173.9,175.1,69.1,85.2,0.0,66.8,132.9,38.2,175.0,144.8,126.7,164.4,109.5,178.8,155.5,33.7,66.2,121.0,113.2,115.5
13,158.7,69.2,36.1,73.9,149.6,34.5,148.1,89.5,190.7,181.3,45.8,132.0,70.9,0.0,106.8,69.0,191.8,118.7,173.5,181.2,156.3,152.7,129.4,33.9,42.9,167.8,150.4,48.7
14,118.2,172.7,67.4,177.4,64.9,82.5,59.6,162.9,102.7,103.9,117.2,58.0,132.4,103.5,0.0,130.5,103.8,11.9,89.7,93.2,112.0,68.0,22.6,95.4,114.3,100.4,62.4,152.2
15,189.5,140.7,66.9,145.4,180.4,65.3,178.9,161.0,188.0,189.2,73.8,99.3,38.2,71.5,137.6,0.0,189.1,149.5,140.8,178.5,123.6,183.5,160.2,38.4,70.9,135.1,127.3,120.2
16,73.2,246.2,147.3,234.8,152.5,162.4,123.6,242.8,1.1,12.3,197.1,92.0,177.3,183.4,112.4,197.9,0.0,124.3,123.7,61.4,146.0,155.6,123.5,175.3,194.2,134.4,96.4,204.1
17,118.8,187.8,82.5,192.5,80.0,97.6,60.2,178.0,117.8,119.0,132.3,73.1,147.5,118.6,15.1,145.6,118.9,0.0,104.8,108.3,127.1,83.1,23.2,110.5,129.4,115.5,77.5,167.3
18,188.1,212.6,137.8,217.3,120.2,152.9,154.8,228.2,126.0,127.2,172.9,40.6,121.4,163.1,95.2,142.0,127.1,107.1,0.0,116.5,39.0,123.3,117.8,137.5,170.0,27.4,65.3,192.1
19,124.1,247.6,142.3,252.3,139.8,157.4,159.3,237.8,72.1,63.2,192.1,79.3,164.6,178.4,99.7,185.2,71.0,111.6,111.0,0.0,133.3,142.9,122.3,170.3,189.2,121.7,83.7,227.1
20,203.9,200.5,153.6,205.2,136.0,152.3,170.6,216.1,141.8,143.0,160.8,56.4,109.3,151.0,111.0,129.9,142.9,122.9,39.0,132.3,0.0,139.1,133.6,125.4,157.9,32.1,81.1,180.0
21,162.1,212.4,107.1,217.1,3.1,122.2,128.0,202.6,152.3,153.5,156.9,100.1,172.1,143.2,68.4,170.2,153.4,80.3,124.2,142.8,146.5,0.0,91.0,135.1,154.0,134.9,112.0,191.9
22,95.6,195.3,90.0,200.0,87.5,105.1,37.0,185.5,125.3,118.2,139.8,80.6,155.0,126.1,22.6,153.1,126.4,26.5,112.3,115.8,134.6,90.6,0.0,118.0,136.9,123.0,85.0,174.8
23,151.1,102.3,28.5,107.0,142.0,26.9,140.5,122.6,183.1,173.7,35.4,98.1,37.0,33.1,99.2,35.1,184.2,111.1,139.6,173.6,122.4,145.1,121.8,0.0,32.5,133.9,126.1,81.8
24,165.3,114.5,42.7,119.2,156.2,41.1,154.7,134.8,197.3,187.9,14.8,130.1,69.0,45.3,113.4,67.1,198.4,125.3,171.6,187.8,154.4,159.3,136.0,32.0,0.0,165.9,157.0,94.0
25,198.9,205.8,148.6,210.5,131.0,157.6,165.6,221.4,136.8,138.0,166.1,51.4,114.6,156.3,106.0,135.2,137.9,117.9,34.0,127.3,32.2,134.1,128.6,130.7,163.2,0.0,76.1,185.3
26,158.4,201.3,108.1,206.0,105.6,123.2,125.1,203.6,96.3,97.5,157.9,24.8,110.1,144.2,65.5,130.7,97.4,77.4,56.5,86.8,78.8,108.7,88.1,126.2,155.0,67.2,0.0,180.8
27,207.4,42.1,84.8,30.7,198.3,83.2,196.8,86.8,193.8,207.2,94.5,180.7,119.6,48.7,155.5,117.7,194.9,167.4,222.2,229.9,205.0,201.4,178.1,82.6,91.6,216.5,199.1,0.0
