,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,398.8,601.6,296.1,339.4,176.7,394.7,469.8,462.9,603.3,438.1,509.7,441.0,468.8,178.5,373.0,377.1,595.4,451.0,372.4,305.2,253.6,473.4,563.8,412.0,416.2,171.4,377.9,184.4,380.3,462.8,318.4,588.0
1,401.4,0.0,351.6,124.5,107.7,317.2,4.1,227.0,170.7,382.9,208.1,253.1,209.3,226.0,278.8,91.4,37.3,346.0,146.2,172.0,223.2,165.6,178.1,313.8,197.1,343.4,285.9,58.0,272.9,228.4,170.8,77.2,338.0
2,608.9,359.4,0.0,391.3,348.6,460.1,355.3,310.1,251.1,250.1,174.2,165.3,292.4,309.1,430.3,292.1,371.7,150.3,261.7,338.7,443.8,432.4,284.8,158.1,207.1,320.1,437.4,392.4,424.4,238.8,251.0,387.3,97.6
3,303.7,121.3,378.9,0.0,61.9,239.8,117.2,206.6,198.0,410.2,235.4,280.4,177.8,205.6,200.2,95.5,99.6,332.2,173.5,160.2,144.6,67.9,205.4,341.1,224.4,332.3,207.3,100.4,194.3,203.2,198.1,40.9,365.3
4,338.2,112.9,344.1,61.3,0.0,229.3,108.8,219.5,163.2,375.4,200.6,245.6,201.8,218.5,189.7,60.7,91.2,338.5,138.7,125.4,134.1,102.4,170.6,306.3,189.6,321.8,196.8,92.0,183.8,181.8,163.3,54.9,330.5
5,172.2,305.6,436.4,225.4,223.7,0.0,301.5,416.1,297.7,426.6,272.9,344.5,398.4,415.1,43.4,257.3,283.9,475.5,308.3,207.2,170.1,266.5,367.2,398.6,246.8,239.5,36.3,284.7,49.3,215.1,297.6,234.7,422.8
6,397.3,4.1,347.5,120.4,103.6,313.1,0.0,222.9,166.6,378.8,204.0,249.0,205.2,221.9,274.7,87.3,33.2,341.9,142.1,167.9,219.1,161.5,174.0,309.7,193.0,339.3,281.8,53.9,268.8,224.3,166.7,73.1,333.9
7,442.6,235.9,326.7,192.7,225.1,432.5,231.8,0.0,168.7,358.0,206.1,228.2,24.6,1.0,392.9,168.6,248.2,176.4,144.2,302.2,337.3,260.6,54.4,288.9,195.1,341.4,400.0,268.9,387.0,226.8,168.8,233.6,223.4
8,459.5,169.8,232.2,201.7,159.0,310.7,165.7,167.3,0.0,270.1,68.7,140.3,149.6,166.3,280.9,102.5,182.1,271.3,24.5,189.3,274.5,242.8,118.4,194.4,57.7,204.0,288.0,202.8,275.0,89.4,0.1,197.7,218.6
9,640.2,393.7,244.1,425.6,382.9,468.0,389.6,366.8,290.4,0.0,213.5,142.3,349.1,365.8,469.6,326.4,406.0,207.0,301.0,378.0,483.1,466.7,319.1,156.4,246.4,214.2,476.7,426.7,463.7,278.1,290.3,421.6,154.3
