,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,862.3,807.9,1303.9,895.3,475.1,915.7,1103.2,880.1,1333.5,876.0,514.6,808.6,1174.5,973.8,1484.2,1505.0,1156.0,1461.6,964.1,418.7,1109.6,1453.6,1233.2,840.0,1138.1,648.9,561.7,932.2,869.2,1117.4,721.3,1513.9
1,862.3,0.0,90.8,663.4,636.7,605.5,114.6,457.6,635.0,693.0,175.5,566.0,91.5,650.6,446.6,704.5,864.5,609.5,821.1,565.3,714.1,308.5,673.9,526.5,292.1,353.1,355.8,518.9,73.3,513.1,402.9,141.0,848.3
2,807.9,90.8,0.0,754.2,727.5,571.1,144.2,548.4,725.8,783.8,234.5,531.6,0.7,741.4,537.4,734.1,955.3,700.3,911.9,656.1,679.7,338.1,703.5,617.3,284.3,443.9,321.4,484.5,164.1,458.7,493.7,86.6,877.9
3,1303.9,663.4,754.2,0.0,529.4,841.3,727.9,266.2,527.7,168.3,574.0,801.8,754.9,249.6,450.7,449.7,234.2,208.6,188.2,458.0,885.2,622.0,495.8,183.5,720.8,430.7,859.7,754.7,616.1,846.6,384.0,764.8,305.9
4,895.3,636.7,727.5,529.4,0.0,585.2,748.8,377.7,15.2,537.7,539.9,597.2,728.2,332.2,199.3,883.2,730.5,378.4,687.1,71.4,476.6,771.1,929.3,458.7,630.7,453.8,679.4,550.1,637.0,995.7,407.1,693.4,739.4
5,475.1,605.5,571.1,841.3,585.2,0.0,678.9,628.1,570.0,870.9,465.6,39.5,571.8,800.6,544.6,1195.1,1042.4,780.0,999.0,654.0,108.6,872.8,1238.2,770.6,429.6,687.3,278.1,86.6,632.2,810.0,642.3,484.5,1051.3
6,915.7,114.6,144.2,727.9,748.8,678.9,0.0,569.4,747.1,757.5,290.1,639.4,144.9,723.3,558.7,611.9,929.0,682.3,885.6,677.4,787.5,215.9,581.3,591.0,392.1,417.6,429.2,592.3,137.4,480.1,467.4,194.4,755.7
7,1103.2,457.6,548.4,266.2,377.7,628.1,569.4,0.0,376.0,295.8,360.8,588.6,549.1,246.0,265.8,620.0,467.3,204.9,423.9,306.3,699.9,534.8,666.1,195.5,507.6,217.5,646.5,541.5,457.6,759.4,170.8,555.0,476.2
8,880.1,635.0,725.8,527.7,15.2,570.0,747.1,376.0,0.0,552.9,538.2,582.0,726.5,347.4,197.6,881.5,728.8,379.8,685.4,86.6,461.4,769.4,927.6,457.0,615.5,452.1,664.2,534.9,635.3,994.0,405.4,678.2,737.7
9,1333.5,693.0,783.8,168.3,537.7,870.9,757.5,295.8,552.9,0.0,603.6,831.4,784.5,279.2,480.3,508.8,356.1,238.2,319.1,487.6,914.8,651.6,554.9,213.1,750.4,460.3,889.3,784.3,645.7,876.2,413.6,794.4,365.0
10,876.0,175.5,234.5,574.0,539.9,465.6,290.1,360.8,538.2,603.6,0.0,426.1,235.2,553.8,349.8,853.5,775.1,512.7,731.7,468.5,574.2,457.5,822.9,503.3,146.8,348.2,285.7,379.0,201.1,560.6,318.8,201.5,784.0
11,514.6,566.0,531.6,801.8,597.2,39.5,639.4,588.6,582.0,831.4,426.1,0.0,532.3,761.1,505.1,1155.6,1002.9,740.5,959.5,623.8,148.1,833.3,1198.7,731.1,390.1,647.8,238.6,47.1,592.7,773.3,602.8,445.0,1011.8
12,808.6,91.5,0.7,754.9,728.2,571.8,144.9,549.1,726.5,784.5,235.2,532.3,0.0,742.1,538.1,734.8,956.0,701.0,912.6,656.8,680.4,338.8,704.2,618.0,285.0,444.6,322.1,485.2,164.8,459.4,494.4,87.3,878.6
13,1174.5,650.6,741.4,249.6,332.2,800.6,723.3,246.0,347.4,279.2,553.8,761.1,742.1,0.0,321.3,603.4,450.7,73.8,407.3,289.1,755.8,617.4,649.5,178.9,700.6,410.5,834.4,714.0,611.5,842.0,363.8,748.0,459.6
