,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,203.8,189.0,186.7,131.4,77.6,214.3,191.8,129.7,252.8,187.0,91.4,189.4,195.4,144.8,226.8,244.6,185.4,248.7,143.4,60.9,218.6,266.2,256.8,150.6,195.9,140.1,101.2,196.3,179.6,186.0,155.5,207.7
1,202.6,0.0,37.2,174.7,160.8,150.5,51.8,159.0,159.1,246.5,87.5,140.0,37.6,178.7,174.2,214.8,232.6,168.7,236.7,172.8,149.9,135.1,254.2,145.4,68.1,117.0,122.2,130.2,45.5,158.8,126.9,79.8,195.7
2,187.8,43.8,0.0,175.3,146.0,135.7,54.3,159.6,144.3,247.1,72.7,125.2,0.4,179.3,159.4,215.4,233.2,169.3,237.3,158.0,135.1,135.7,254.8,146.0,53.3,117.6,107.4,115.4,48.0,144.0,127.5,65.0,196.3
3,189.6,202.6,205.1,0.0,86.4,157.4,201.9,105.7,84.7,92.6,206.3,168.0,205.5,52.8,77.9,60.9,78.7,42.8,82.8,70.8,132.2,142.1,100.3,172.4,176.4,109.8,176.6,158.2,160.4,190.8,99.9,181.3,41.8
4,129.9,169.9,155.1,91.5,0.0,97.7,180.4,96.6,1.7,121.4,149.5,108.3,155.5,64.2,49.6,131.6,149.4,74.2,153.5,48.2,72.5,153.0,171.0,163.3,116.7,100.7,116.9,98.5,151.3,180.2,90.8,121.6,112.5
5,77.4,154.8,140.0,147.8,92.5,0.0,165.3,152.9,90.8,213.9,137.7,13.8,140.4,156.5,105.9,187.9,205.7,146.5,209.8,104.5,22.0,197.5,227.3,207.8,101.6,157.0,62.5,23.6,147.3,165.1,147.1,106.5,168.8
6,219.5,51.6,54.1,167.5,177.7,167.4,0.0,151.8,176.0,239.3,104.4,156.9,54.5,171.5,173.3,207.6,225.4,161.5,229.5,166.2,166.8,127.9,247.0,138.2,85.0,109.8,139.1,147.1,38.3,175.7,119.7,96.7,188.5
7,192.0,162.3,164.8,101.7,88.8,159.8,161.6,0.0,87.1,173.5,166.0,170.4,165.2,110.4,80.3,141.8,159.6,100.4,163.7,73.2,134.6,121.8,181.2,132.1,138.9,69.5,179.0,160.6,120.1,175.5,59.6,150.6,122.7
8,128.2,168.2,153.4,89.8,1.7,96.0,178.7,94.9,0.0,123.1,147.8,106.6,153.8,65.9,47.9,129.9,147.7,75.9,151.8,46.5,70.8,151.3,169.3,161.6,115.0,99.0,115.2,96.8,149.6,178.5,89.1,119.9,110.8
9,251.7,264.7,267.2,89.3,131.0,219.5,264.0,167.8,132.7,0.0,268.4,230.1,267.6,97.4,140.0,91.2,109.0,104.9,113.1,132.9,194.3,172.4,130.6,234.5,238.5,171.9,238.7,220.3,222.5,221.1,162.0,243.4,72.1
10,187.7,95.0,80.2,184.9,141.2,134.8,105.5,169.2,139.5,256.7,0.0,124.3,80.6,188.9,154.6,225.0,242.8,178.9,246.9,153.2,130.3,145.3,264.4,155.6,56.0,127.2,110.1,114.5,95.1,146.7,137.1,67.7,205.9
11,87.9,141.0,126.2,158.3,103.0,10.5,151.5,163.4,101.3,224.4,123.9,0.0,126.6,167.0,116.4,198.4,216.2,157.0,220.3,115.0,32.5,183.7,237.8,194.0,87.8,165.6,48.7,9.8,133.5,151.3,157.6,92.7,179.3
12,188.2,44.2,0.4,175.7,146.4,136.1,54.7,160.0,144.7,247.5,73.1,125.6,0.0,179.7,159.8,215.8,233.6,169.7,237.7,158.4,135.5,136.1,255.2,146.4,53.7,118.0,107.8,115.8,48.4,144.4,127.9,65.4,196.7
13,192.0,205.0,207.5,110.7,67.8,159.8,204.3,108.1,69.5,87.5,208.7,170.4,207.9,0.0,80.3,150.8,168.6,10.0,172.7,73.2,134.6,164.5,190.2,174.8,178.8,112.2,179.0,160.6,162.8,218.2,102.3,183.7,131.7
14,147.5,173.5,172.7,71.5,44.3,115.3,172.8,76.6,42.6,143.3,167.1,125.9,173.1,80.2,0.0,111.6,129.4,70.2,133.5,28.7,90.1,133.0,151.0,143.3,134.3,80.7,134.5,116.1,131.3,186.7,70.8,139.2,92.5
15,229.2,219.6,222.1,66.8,126.0,197.0,218.9,145.3,124.3,94.2,223.3,207.6,222.5,92.4,117.5,0.0,64.2,82.4,68.3,110.4,171.8,81.2,49.7,169.2,196.2,149.4,216.2,197.8,177.4,129.9,139.5,207.9,21.8
16,222.2,235.2,237.7,59.8,119.0,190.0,234.5,138.3,117.3,117.1,238.9,200.6,238.1,85.4,110.5,85.4,0.0,75.4,4.1,103.4,164.8,166.6,124.8,205.0,209.0,142.4,209.2,190.8,193.0,215.3,132.5,213.9,66.3
17,182.0,195.0,197.5,100.7,77.8,149.8,194.3,98.1,77.1,97.5,198.7,160.4,197.9,10.0,70.3,140.8,158.6,0.0,162.7,63.2,124.6,154.5,180.2,164.8,168.8,102.2,169.0,150.6,152.8,208.2,92.3,173.7,121.7
18,218.1,231.1,233.6,55.7,114.9,185.9,230.4,134.2,113.2,113.0,234.8,196.5,234.0,81.3,106.4,81.3,99.1,71.3,0.0,99.3,160.7,162.5,120.7,200.9,204.9,138.3,205.1,186.7,188.9,211.2,128.4,209.8,62.2
19,139.8,172.9,165.0,70.9,36.6,107.6,172.2,76.0,34.9,142.7,159.4,118.2,165.4,79.6,29.0,111.0,128.8,69.6,132.9,0.0,82.4,132.4,150.4,142.7,126.6,80.1,126.8,108.4,130.7,186.1,70.2,131.5,91.9
20,57.4,146.5,131.7,125.8,70.5,25.2,157.0,130.9,68.8,191.9,126.1,39.0,132.1,134.5,83.9,165.9,183.7,124.5,187.8,82.5,0.0,187.3,205.3,197.6,93.3,135.0,87.7,48.8,139.0,156.8,125.1,98.2,146.8
21,211.7,138.4,140.9,117.3,145.2,195.5,137.7,115.2,143.5,181.4,142.1,185.0,141.3,121.3,136.7,87.2,151.4,111.3,155.5,129.6,191.0,0.0,130.0,88.0,115.0,73.2,167.2,175.2,96.2,53.7,83.1,126.7,109.0
22,271.9,262.2,264.7,109.5,168.7,239.7,261.5,188.0,167.0,136.9,265.9,250.3,265.1,135.1,160.2,47.2,106.9,125.1,111.0,153.1,214.5,123.8,0.0,211.8,238.8,192.1,258.9,240.5,220.0,172.5,182.2,250.5,64.5
23,180.0,193.0,195.5,29.3,76.8,147.8,192.3,96.1,75.1,101.1,196.7,158.4,195.9,33.3,68.3,69.4,87.2,23.3,91.3,61.2,122.6,150.6,108.8,0.0,166.8,100.2,167.0,148.6,150.8,199.3,90.3,171.7,50.3
24,146.9,72.3,57.5,154.6,105.1,94.8,82.8,138.9,103.4,226.4,59.2,84.3,57.9,158.6,118.5,194.7,212.5,148.6,216.6,117.1,94.2,115.0,234.1,125.3,0.0,96.9,66.5,74.5,64.8,103.1,106.8,16.7,175.6
25,192.8,116.9,119.4,102.5,89.6,160.6,116.2,59.6,87.9,174.3,120.6,165.4,119.8,111.2,81.1,142.6,160.4,101.2,164.5,74.0,135.4,76.4,182.0,86.7,93.5,0.0,147.6,155.6,74.7,130.1,9.9,105.2,123.5
26,139.7,120.3,105.5,167.3,112.0,62.3,130.8,172.4,110.3,233.4,107.2,51.8,105.9,176.0,125.4,207.4,225.2,166.0,229.3,124.0,84.3,163.0,246.8,173.3,67.1,144.9,0.0,42.0,112.8,130.6,154.8,72.0,188.3
27,97.7,131.2,116.4,151.7,96.4,20.3,141.7,156.8,94.7,217.8,114.1,9.8,116.8,160.4,109.8,191.8,209.6,150.4,213.7,108.4,42.3,173.9,231.2,184.2,78.0,155.8,38.9,0.0,123.7,141.5,151.0,82.9,172.7
28,199.3,42.2,44.7,129.2,143.5,147.2,41.5,113.5,141.8,201.0,91.9,136.7,45.1,133.2,135.0,169.3,187.1,123.2,191.2,127.9,146.6,89.6,208.7,99.9,64.8,71.5,118.9,126.9,0.0,143.3,81.4,76.5,150.2
29,177.5,135.5,120.7,209.6,154.3,144.0,146.0,202.1,152.6,275.7,122.4,133.5,121.1,218.3,167.7,217.2,267.5,208.3,271.6,166.3,143.4,139.1,260.0,188.5,82.3,160.1,115.7,123.7,128.0,0.0,170.0,87.2,230.6
30,182.9,126.8,129.3,92.6,79.7,150.7,126.1,49.7,78.0,164.4,130.5,161.3,129.7,101.3,71.2,132.7,150.5,91.3,154.6,64.1,125.5,86.3,172.1,96.6,103.4,9.9,157.5,151.5,84.6,140.0,0.0,115.1,113.6
31,158.4,77.5,62.7,159.8,116.6,106.3,88.0,144.1,114.9,231.6,64.4,95.8,63.1,163.8,130.0,199.9,217.7,153.8,221.8,128.6,105.7,120.2,239.3,130.5,16.7,102.1,78.0,86.0,70.0,114.6,112.0,0.0,180.8
32,207.4,220.4,222.9,45.0,104.2,175.2,219.7,123.5,102.5,72.4,224.1,185.8,223.3,70.6,95.7,19.1,42.4,60.6,46.5,88.6,150.0,100.3,58.5,188.3,194.2,127.6,194.4,176.0,178.2,149.0,117.7,199.1,0.0
