,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,466.2,454.6,578.8,363.3,490.7,447.0,369.2,564.6,272.9,354.5,230.2,443.6,585.2,359.9,219.3,404.2,485.1,366.5,473.4,467.2,600.7,342.4,303.7,412.2,401.8,468.2,401.3,431.5,401.1,589.0,303.0,430.7,628.8,552.9,444.5,318.4,588.0
1,465.2,0.0,86.1,254.8,238.7,197.0,81.3,126.9,276.8,248.7,310.4,265.2,142.6,261.2,203.1,276.1,105.1,199.5,159.7,133.8,180.1,312.9,240.8,267.5,137.6,185.9,70.5,209.6,161.4,164.4,265.0,195.2,121.8,304.8,265.1,85.5,184.3,264.0
2,451.2,82.0,0.0,201.1,231.6,189.9,7.6,85.5,223.1,270.4,332.1,225.2,88.9,207.5,163.1,236.1,126.8,145.8,181.4,126.7,173.0,259.2,187.1,284.6,159.3,132.2,15.6,155.9,183.1,186.1,211.3,216.9,68.1,251.1,211.4,78.4,206.0,210.3
3,574.3,257.8,208.2,0.0,355.1,313.4,200.6,208.6,74.9,417.1,458.5,348.3,152.8,31.9,286.2,359.2,273.5,138.9,328.1,250.2,296.5,127.2,276.9,407.7,306.0,222.0,223.8,245.7,329.8,332.8,156.8,363.6,182.5,196.6,79.4,226.6,352.7,155.8
4,344.3,243.6,232.7,359.6,0.0,127.4,229.0,286.9,375.0,210.8,311.4,276.4,290.3,366.0,306.4,287.3,240.3,347.2,212.6,110.1,103.9,411.1,382.1,274.6,258.3,333.6,217.1,357.3,277.6,247.2,344.1,116.7,269.5,331.8,363.3,193.4,164.5,279.1
5,464.9,189.3,178.4,305.3,120.6,0.0,174.7,232.6,320.7,302.2,391.3,350.2,236.0,311.7,310.2,361.1,186.0,292.9,240.6,55.8,62.0,345.8,334.2,348.4,218.0,279.3,162.8,303.0,242.3,245.3,257.0,208.1,215.2,244.7,309.0,139.1,255.9,192.0
6,443.6,85.5,7.6,193.5,228.0,186.3,0.0,77.9,215.5,266.8,327.8,217.6,81.3,199.9,155.5,228.5,123.2,138.2,177.8,123.1,169.4,251.6,179.5,277.0,155.7,124.6,23.2,148.3,179.5,182.5,203.7,213.3,60.5,243.5,203.8,74.8,202.4,202.7
7,365.7,130.5,85.4,209.6,277.5,235.8,77.8,0.0,231.6,256.5,249.9,139.7,82.3,216.0,77.6,150.6,172.7,139.2,194.5,172.6,218.9,267.7,180.5,199.1,205.2,95.8,101.0,149.3,229.0,229.1,219.8,203.0,61.5,259.6,219.9,124.3,192.5,218.8
8,600.8,288.7,239.1,78.2,384.6,342.9,231.5,239.5,0.0,446.6,489.4,379.2,183.7,70.0,317.1,390.1,303.0,110.4,357.6,279.7,326.0,98.7,257.3,438.6,335.5,221.5,254.7,241.6,359.3,362.3,163.4,393.1,190.2,227.5,50.9,256.1,382.2,186.7
9,278.9,247.6,265.2,415.0,204.7,305.0,261.5,251.0,430.4,0.0,182.0,211.7,322.8,421.4,241.7,222.6,185.6,379.7,147.9,264.3,281.5,466.5,317.4,206.7,193.6,335.3,249.6,376.3,212.9,182.5,425.2,84.4,302.0,465.0,418.7,225.9,99.8,424.2
10,350.6,306.1,323.7,450.8,308.2,386.0,319.0,241.2,472.8,185.7,0.0,124.6,323.5,457.2,231.9,135.5,244.1,380.4,232.8,322.8,369.1,508.9,307.6,105.7,276.6,325.5,308.1,366.5,297.8,267.4,461.0,187.9,302.7,500.8,461.1,284.4,190.3,460.0
11,226.0,259.7,224.4,348.6,275.0,352.8,216.8,139.0,370.6,208.2,124.3,0.0,221.3,355.0,129.7,10.9,210.9,278.2,199.6,289.6,335.9,406.7,205.4,73.5,243.4,223.3,240.0,264.3,264.6,234.2,358.8,154.7,200.5,398.6,358.9,251.2,157.1,357.8
12,452.3,151.5,101.9,157.0,294.0,252.3,94.3,86.6,179.0,332.8,336.5,226.3,0.0,163.4,164.2,237.2,189.2,88.7,243.8,189.1,235.4,215.1,124.1,285.7,221.7,69.2,117.5,92.9,245.5,248.5,167.2,279.3,29.7,207.0,167.3,140.8,268.4,166.2
13,576.8,260.3,210.7,33.6,357.6,315.9,203.1,211.1,81.1,419.6,461.0,350.8,155.3,0.0,288.7,361.7,276.0,145.1,330.6,252.7,299.0,133.4,279.4,410.2,308.5,224.5,226.3,248.2,332.3,335.3,159.3,366.1,185.0,199.1,85.6,229.1,355.2,158.3
14,358.1,191.9,156.6,280.8,315.7,307.0,149.0,71.2,302.8,248.9,242.3,132.1,153.5,287.2,0.0,143.0,204.7,210.4,181.2,243.8,290.1,338.9,225.3,191.5,226.9,155.5,172.2,210.0,246.2,215.8,291.0,195.4,132.7,330.8,291.1,195.5,179.2,290.0
15,215.1,270.6,235.3,359.5,285.9,363.7,227.7,149.9,381.5,219.1,135.2,10.9,232.2,365.9,140.6,0.0,221.8,289.1,210.5,300.5,346.8,417.6,216.3,84.4,254.3,234.2,250.9,275.2,275.5,245.1,369.7,165.6,211.4,409.5,369.8,262.1,168.0,368.7
16,411.3,105.2,122.8,272.6,226.8,185.1,119.1,177.0,288.0,194.8,256.5,215.4,180.4,279.0,199.7,226.3,0.0,237.3,54.6,121.9,168.2,324.1,278.6,213.6,32.5,223.7,107.2,247.4,56.3,59.3,282.8,141.3,159.6,322.6,276.3,83.5,103.5,281.8
17,503.6,202.8,153.2,138.7,345.3,303.6,145.6,137.9,98.6,384.1,387.8,277.6,95.2,130.5,215.5,288.5,240.5,0.0,295.1,240.4,286.7,134.7,162.4,337.0,273.0,111.1,168.8,131.2,296.8,299.8,199.4,330.6,81.0,273.7,86.9,192.1,319.7,232.9
18,373.1,161.2,178.8,328.6,223.4,241.1,175.1,189.0,344.0,156.6,243.6,203.1,236.4,335.0,174.6,214.0,56.0,293.3,0.0,177.9,224.2,380.1,304.9,201.3,45.7,273.3,163.2,303.4,65.0,34.6,338.8,103.1,215.6,378.6,332.3,139.5,48.9,337.8
19,449.2,133.5,122.6,249.5,104.9,63.2,118.9,176.8,264.9,273.8,335.5,294.4,180.2,255.9,254.4,305.3,130.2,237.1,184.8,0.0,46.3,301.0,278.4,292.6,162.7,223.5,107.0,247.2,186.5,189.5,259.7,192.4,159.4,267.6,253.2,83.3,209.4,214.9
20,440.0,185.3,174.4,301.3,95.7,69.1,170.7,228.6,316.7,277.3,377.9,342.9,232.0,307.7,306.2,353.8,182.0,288.9,236.6,51.8,0.0,352.8,330.2,341.1,214.0,275.3,158.8,299.0,238.3,241.3,285.8,183.2,211.2,273.5,305.0,135.1,231.0,220.8
21,637.6,329.1,279.5,147.7,420.2,331.7,271.9,279.9,107.6,483.4,529.8,419.6,224.1,139.5,357.5,430.5,339.8,147.2,394.4,316.5,361.6,0.0,294.1,479.0,372.3,258.3,295.1,278.4,396.1,399.1,84.4,429.9,227.0,192.5,55.7,292.9,419.0,151.7
22,343.5,216.7,167.1,258.2,359.2,317.5,159.5,151.8,222.2,315.8,309.2,199.0,101.2,254.1,215.0,209.9,254.4,142.7,303.3,254.3,300.6,258.3,0.0,258.4,286.9,59.4,182.7,58.9,310.7,313.7,268.4,262.3,94.9,308.2,210.5,206.0,264.7,267.4
