,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,1017.1,1683.3,1054.3,1122.5,1188.7,2045.5,1370.3,806.9,1168.5,946.4,1915.8,1173.3,1878.0,2199.2,1221.9,1007.8,986.1,2149.7,2115.3,690.1,1049.1,2025.4,1735.6,1223.3,1426.1,1409.7,1207.7,797.0,1186.4,612.0,1154.2,1896.3,1284.3,1174.5,1584.4,1067.6,2121.1
1,1012.8,0.0,891.8,447.5,483.8,866.2,1695.3,766.6,731.0,845.9,179.1,1283.7,850.7,1403.1,1567.2,618.3,82.0,79.1,1517.6,1483.2,347.7,123.4,1550.4,1260.7,900.7,794.1,777.6,604.1,302.5,267.3,405.1,550.5,1264.3,680.7,570.9,1095.1,430.7,1489.1
2,1728.3,924.8,0.0,729.7,603.7,844.0,1012.8,642.4,1169.3,823.8,893.0,601.2,828.5,694.3,884.7,729.7,842.8,912.6,835.1,800.7,1174.5,855.7,841.7,551.9,776.5,516.5,500.0,715.5,919.2,714.1,1231.9,670.4,581.7,675.6,690.8,600.7,658.6,806.6
3,1066.4,447.5,696.7,0.0,136.0,933.0,1630.9,383.7,692.0,912.8,415.8,1219.4,917.5,1031.4,1502.8,235.4,365.5,435.3,1453.3,1418.8,697.2,378.4,1178.7,889.0,967.6,861.9,845.5,221.2,257.4,236.9,754.6,167.6,1199.9,297.8,188.0,1218.8,81.1,1424.7
4,1134.6,483.8,570.7,136.0,0.0,1063.4,1504.9,282.8,723.8,1043.2,452.0,1093.3,1048.0,1081.9,1376.8,134.5,401.8,471.6,1327.2,1292.8,733.4,414.7,1229.3,939.5,995.9,735.9,719.5,120.3,325.5,273.1,790.9,66.7,1073.8,196.9,87.1,1092.8,54.9,1298.7
5,1184.5,866.2,811.0,933.0,952.0,0.0,969.9,1102.2,431.9,20.2,694.0,767.6,15.5,1322.3,1051.1,1189.5,787.1,835.2,1001.5,967.1,785.8,800.1,1237.0,1179.9,106.7,327.5,344.0,1175.3,1122.5,752.8,707.7,1018.7,748.1,1135.3,1039.1,467.7,1006.9,973.0
6,2323.1,1695.3,1012.8,1630.9,1504.9,969.9,0.0,1543.6,1285.8,949.7,1523.2,698.2,954.5,1056.6,640.6,1631.0,1616.2,1664.3,527.0,518.4,1657.9,1629.2,762.5,1052.2,902.4,937.1,920.7,1616.8,1820.5,1615.3,1715.3,1571.6,431.0,1576.8,1592.0,532.7,1559.8,498.5
7,1382.3,766.6,609.4,383.7,282.8,1102.2,1543.6,0.0,1006.6,1081.9,734.9,1132.1,1086.7,1120.7,1415.5,266.9,684.6,754.4,1366.0,1331.6,1016.3,697.5,1268.0,978.3,1034.7,774.6,758.2,252.7,573.3,555.9,1073.7,314.5,1112.6,212.7,219.5,1131.5,302.6,1337.5
8,802.7,625.1,1136.3,692.0,723.8,431.9,1288.7,1006.6,0.0,411.6,453.0,1177.3,416.4,1647.5,1460.8,858.3,546.1,594.2,1411.2,1376.8,404.0,559.1,1646.7,1505.1,466.5,687.7,671.2,844.1,881.5,511.8,325.9,790.5,1157.8,920.7,810.9,827.5,675.2,1382.7
9,1164.2,845.9,790.8,912.8,931.7,20.2,949.7,1081.9,411.6,0.0,673.8,747.4,4.8,1302.0,1030.9,1169.3,766.9,814.9,981.3,946.9,765.6,779.8,1216.7,1159.6,86.4,307.3,323.7,1155.1,1102.3,732.6,687.5,998.5,727.9,1115.1,1018.8,447.5,986.6,952.8
10,942.1,179.1,860.1,415.8,452.0,694.0,1523.2,734.9,453.0,673.8,0.0,1111.6,678.6,1371.3,1395.1,586.5,169.7,148.1,1345.5,1311.1,277.0,211.1,1518.7,1228.9,728.6,622.0,605.5,572.3,605.3,235.6,334.4,518.8,1092.1,648.9,539.1,922.9,399.0,1317.0
11,1911.5,1283.7,601.2,1219.4,1093.3,767.6,635.9,1132.1,1177.3,747.4,1111.6,0.0,752.2,1050.1,570.1,1219.4,1204.7,1252.7,520.5,486.1,1246.3,1217.6,756.0,1045.7,700.1,525.6,509.1,1205.2,1408.9,1203.8,1303.8,1160.1,267.1,1165.2,1180.4,453.4,1148.2,492.0
12,1169.0,850.7,795.6,917.5,936.5,15.5,954.5,1086.7,416.4,4.8,678.6,752.2,0.0,1306.8,1035.6,1174.0,771.7,819.7,986.1,951.6,770.3,784.6,1221.5,1164.4,91.2,312.1,328.5,1159.8,1107.1,737.3,692.2,1003.3,732.7,1119.9,1023.6,452.3,991.4,957.5
13,1890.1,1403.1,694.3,1031.4,1081.9,1322.3,1056.6,1120.7,1647.5,1302.0,1371.3,1050.1,1306.8,0.0,739.3,1208.0,1321.0,1390.8,625.7,840.4,1652.7,1334.0,294.1,142.4,1254.8,994.7,978.3,1193.8,1288.7,1192.4,1710.1,1148.7,783.0,1153.8,1169.0,1254.0,1112.4,558.1
14,2195.0,1567.2,884.7,1502.8,1376.8,1051.1,640.6,1415.5,1460.8,1030.9,1395.1,570.1,1035.6,739.3,0.0,1502.9,1488.2,1536.2,113.6,151.4,1529.8,1501.1,445.2,734.9,983.6,809.0,792.6,1488.7,1692.4,1487.3,1587.2,1443.5,367.0,1448.7,1463.9,807.8,1431.7,181.2
15,1234.0,618.3,705.2,235.4,134.5,1197.9,1639.4,266.9,858.3,1177.7,586.5,1227.8,1182.5,1216.4,1511.3,0.0,536.3,606.0,1461.7,1427.3,867.9,549.2,1363.8,1074.0,1130.4,870.4,854.0,14.2,424.9,407.6,925.4,166.1,1208.3,180.9,71.1,1227.3,154.3,1433.2
16,1003.5,82.0,809.8,365.5,401.8,787.1,1616.2,684.6,546.1,766.9,169.7,1204.7,771.7,1321.0,1488.2,536.3,0.0,69.8,1438.6,1404.2,338.3,41.4,1468.4,1178.6,821.7,715.0,698.6,522.0,555.0,185.3,395.8,468.5,1185.2,598.7,488.9,1016.0,348.7,1410.1
17,981.8,79.1,879.6,435.3,471.6,835.2,1664.3,754.4,700.0,814.9,148.1,1252.7,819.7,1390.8,1536.2,606.0,69.8,0.0,1486.6,1452.2,316.7,111.2,1538.2,1248.4,869.8,763.1,746.7,591.8,333.7,255.1,374.1,538.3,1233.3,668.5,558.7,1064.1,418.5,1458.1
