,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,135.2,234.5,122.8,162.1,128.0,252.8,225.9,87.3,120.7,119.5,201.3,120.7,236.2,230.0,201.3,137.8,130.5,215.6,243.2,82.0,138.4,266.2,227.6,125.0,154.1,156.4,196.2,85.6,123.3,70.2,182.5,187.3,208.0,180.7,199.7,155.5,207.7
1,134.8,0.0,146.1,53.1,73.7,103.7,228.5,137.5,88.0,96.4,37.2,177.0,96.4,203.9,205.7,112.9,8.9,4.7,191.3,218.9,59.0,8.3,241.9,195.3,100.7,129.8,132.1,107.8,84.2,31.3,64.8,94.1,163.0,119.6,92.3,175.4,67.1,183.4
2,233.1,148.9,0.0,117.8,104.2,149.2,173.8,134.0,167.5,128.7,161.8,116.6,128.7,106.8,145.3,137.9,137.2,148.2,130.9,158.5,183.7,137.8,181.5,98.2,108.4,78.8,76.5,132.8,148.9,111.6,189.5,124.6,102.6,133.7,122.8,128.5,111.4,123.0
3,125.8,59.1,114.5,0.0,42.1,99.2,224.0,105.9,83.5,91.9,72.0,172.5,91.9,150.8,201.2,81.3,47.4,58.4,186.8,214.4,93.9,48.0,232.5,142.2,96.2,125.3,127.0,76.2,40.5,21.8,99.7,62.5,158.5,88.0,60.7,170.9,35.5,178.9
4,165.1,79.8,101.0,48.7,0.0,119.9,224.4,63.8,104.2,112.6,92.7,167.2,112.6,161.3,195.9,39.2,68.1,79.1,181.5,209.1,114.6,68.7,232.1,152.7,116.9,115.8,113.5,34.1,79.8,42.5,120.4,20.4,153.2,45.9,18.6,179.1,42.3,173.6
5,126.4,108.5,144.3,104.1,124.7,0.0,160.9,188.5,60.8,28.8,95.0,109.4,28.8,204.6,138.1,163.9,96.8,107.8,123.7,151.3,98.6,97.4,174.3,196.0,33.1,62.2,64.5,158.8,135.2,82.3,86.8,145.1,95.4,170.6,143.3,107.8,118.1,115.8
6,251.7,233.8,212.2,229.4,245.8,167.8,0.0,275.6,186.1,147.3,220.3,96.1,147.3,174.2,94.4,279.5,222.1,233.1,80.0,107.6,223.9,222.7,130.6,165.6,127.0,130.1,132.4,274.4,260.5,207.6,212.1,266.2,64.7,275.3,264.4,101.5,243.4,72.1
7,231.1,145.8,127.5,114.7,66.0,185.9,250.9,0.0,170.2,178.6,158.7,193.7,178.6,187.8,222.4,78.0,134.1,145.1,208.0,235.6,180.6,134.7,258.6,179.2,171.9,142.3,140.0,72.9,145.8,108.5,186.4,87.3,179.7,73.8,64.1,205.6,108.3,200.1
8,87.1,77.7,164.4,73.3,93.9,56.2,181.0,157.7,0.0,48.9,64.2,129.5,48.9,224.1,158.2,133.1,66.0,77.0,143.8,171.4,59.3,66.6,194.4,215.5,53.2,82.3,84.6,128.0,104.4,51.5,47.5,114.3,115.5,139.8,112.5,127.9,87.3,135.9
9,149.6,131.7,115.5,127.3,147.9,65.7,137.8,178.9,84.0,0.0,118.2,80.6,0.0,175.8,109.3,182.8,120.0,131.0,94.9,122.5,121.8,120.6,145.5,167.2,4.3,33.4,35.7,177.7,158.4,105.5,110.0,168.3,66.6,178.6,166.5,97.2,141.3,87.0
10,119.2,43.0,158.8,65.8,86.4,89.9,214.7,150.2,74.2,82.6,0.0,163.2,82.6,216.6,191.9,125.6,52.4,38.3,177.5,205.1,43.4,51.8,228.1,208.0,86.9,116.0,118.3,120.5,96.9,44.0,49.2,106.8,149.2,132.3,105.0,161.6,79.8,169.6
11,234.2,216.3,223.2,211.9,232.5,150.3,93.1,286.6,168.6,129.8,202.8,0.0,129.8,250.6,170.8,271.7,204.6,215.6,156.4,184.0,206.4,205.2,207.0,242.0,134.1,141.1,143.4,266.6,243.0,190.1,194.6,252.9,141.1,278.4,251.1,74.8,225.9,148.5
12,149.6,131.7,115.5,127.3,147.9,65.7,137.8,178.9,84.0,0.0,118.2,80.6,0.0,175.8,109.3,182.8,120.0,131.0,94.9,122.5,121.8,120.6,145.5,167.2,4.3,33.4,35.7,177.7,158.4,105.5,110.0,168.3,66.6,178.6,166.5,97.2,141.3,87.0
13,235.6,199.4,97.3,140.3,161.6,206.6,183.6,191.4,223.8,186.1,212.3,163.0,186.1,0.0,139.0,195.3,187.7,198.7,124.6,152.2,234.2,188.3,81.7,8.6,165.8,136.2,133.9,190.2,180.8,162.1,240.0,182.0,131.6,191.1,180.2,185.9,168.8,111.2
14,236.8,218.9,197.3,214.5,230.9,152.9,131.7,260.7,171.2,132.4,205.4,81.2,132.4,183.0,0.0,264.6,207.2,218.2,88.8,13.2,209.0,207.8,139.4,174.4,112.1,115.2,117.5,259.5,245.6,192.7,197.2,251.3,60.5,260.4,249.5,122.5,228.5,80.9
15,200.1,114.8,136.0,83.7,35.0,154.9,259.4,78.2,139.2,147.6,127.7,202.2,147.6,196.3,230.9,0.0,103.1,114.1,216.5,244.1,149.6,103.7,267.1,187.7,151.9,150.8,148.5,5.1,114.8,77.5,155.4,56.3,188.2,60.3,25.6,214.1,77.3,208.6
16,141.1,11.7,137.2,44.2,64.8,94.8,219.6,128.6,79.1,87.5,43.5,168.1,87.5,195.0,196.8,104.0,0.0,11.0,182.4,210.0,65.3,0.6,233.0,186.4,91.8,120.9,123.2,98.9,75.3,22.4,71.1,85.2,154.1,110.7,83.4,166.5,58.2,174.5
17,130.1,4.7,151.3,58.3,78.9,107.2,232.0,142.7,91.5,99.9,32.5,180.5,99.9,209.1,209.2,118.1,14.1,0.0,194.8,222.4,54.3,13.5,245.4,200.5,104.2,133.3,135.6,113.0,89.4,36.5,60.1,99.3,166.5,124.8,97.5,178.9,72.3,186.9
18,251.2,233.3,211.7,228.9,245.3,167.3,146.1,275.1,185.6,146.8,219.8,95.6,146.8,197.4,14.4,279.0,221.6,232.6,0.0,27.6,223.4,222.2,153.8,188.8,126.5,129.6,131.9,273.9,260.0,207.1,211.6,265.7,74.9,274.8,263.9,136.9,242.9,95.3
19,223.6,205.7,184.1,201.3,217.7,139.7,118.5,247.5,158.0,119.2,192.2,68.0,119.2,169.8,90.0,251.4,194.0,205.0,75.6,0.0,195.8,194.6,126.2,161.2,98.9,102.0,104.3,246.3,232.4,179.5,184.0,238.1,47.3,247.2,236.3,109.3,215.3,67.7
20,81.8,52.7,180.6,87.6,108.2,93.5,218.3,172.0,52.8,86.2,37.0,166.8,86.2,238.4,195.5,147.4,62.1,48.0,181.1,208.7,0.0,61.5,231.7,229.8,90.5,119.6,121.9,142.3,118.7,65.8,11.8,128.6,152.8,154.1,126.8,165.2,101.6,173.2
21,140.5,11.1,137.8,44.8,65.4,95.4,220.2,129.2,79.7,88.1,42.9,168.7,88.1,195.6,197.4,104.6,0.6,10.4,183.0,210.6,64.7,0.0,233.6,187.0,92.4,121.5,123.8,99.5,75.9,23.0,70.5,85.8,154.7,111.3,84.0,167.1,58.8,175.1
22,271.9,254.0,179.0,222.0,243.3,188.0,136.9,273.1,206.3,167.5,240.5,116.3,167.5,81.7,92.3,277.0,242.3,253.3,77.9,105.5,244.1,242.9,0.0,90.3,147.2,150.3,152.6,271.9,252.1,227.8,232.3,263.7,84.9,272.8,261.9,157.6,250.5,64.5
23,227.0,190.8,88.7,131.7,153.0,198.0,175.0,182.8,215.2,177.5,203.7,154.4,177.5,8.6,130.4,186.7,179.1,190.1,116.0,143.6,225.6,179.7,90.3,0.0,157.2,127.6,125.3,181.6,172.2,153.5,231.4,173.4,123.0,182.5,171.6,177.3,160.2,102.6
24,124.7,106.8,111.2,102.4,123.0,40.8,133.5,174.6,59.1,20.3,93.3,76.3,20.3,171.5,105.0,162.2,95.1,106.1,90.6,118.2,96.9,95.7,141.2,162.9,0.0,29.1,31.4,157.1,133.5,80.6,85.1,143.4,62.3,168.9,141.6,89.8,116.4,82.7
25,154.3,136.4,82.1,129.3,115.7,70.4,135.8,145.5,88.7,49.9,122.9,78.6,49.9,142.4,107.3,149.4,124.7,135.7,92.9,120.5,126.5,125.3,143.5,133.8,29.6,0.0,2.3,144.3,160.4,110.2,114.7,136.1,64.6,145.2,134.3,95.2,122.9,85.0
26,156.6,138.7,79.8,127.0,113.4,72.7,138.1,143.2,91.0,52.2,125.2,80.9,52.2,140.1,109.6,147.1,127.0,138.0,95.2,122.8,128.8,127.6,145.8,131.5,31.9,2.3,0.0,142.0,158.1,112.5,117.0,133.8,66.9,142.9,132.0,97.5,120.6,87.3
27,195.0,109.7,130.9,78.6,29.9,149.8,254.3,73.1,134.1,142.5,122.6,197.1,142.5,191.2,225.8,5.1,98.0,109.0,211.4,239.0,144.5,98.6,262.0,182.6,146.8,145.7,143.4,0.0,109.7,72.4,150.3,51.2,183.1,55.2,20.5,209.0,72.2,203.5
28,85.3,93.5,148.9,37.2,76.5,133.6,258.4,140.3,117.9,126.3,106.4,206.9,126.3,188.0,235.6,115.7,81.8,92.8,221.2,248.8,118.5,82.4,264.2,179.4,130.6,159.7,161.4,110.6,0.0,56.2,106.7,96.9,192.9,122.4,95.1,205.3,69.9,213.3
29,127.3,37.3,114.8,21.8,42.4,77.4,202.2,106.2,61.7,70.1,50.2,150.7,70.1,172.6,179.4,81.6,25.6,36.6,165.0,192.6,72.1,26.2,215.6,164.0,74.4,103.5,105.8,76.5,52.9,0.0,77.9,62.8,136.7,88.3,61.0,149.1,35.8,157.1
30,70.0,65.0,189.9,98.8,119.4,81.7,206.5,183.2,41.0,74.4,49.3,155.0,74.4,249.6,183.7,158.6,74.4,60.3,169.3,196.9,11.8,73.8,219.9,241.0,78.7,107.8,110.1,153.5,120.2,77.0,0.0,139.8,141.0,165.3,138.0,153.4,112.8,161.4
31,185.5,100.2,121.4,69.1,20.4,140.3,244.8,81.3,124.6,133.0,113.1,187.6,133.0,181.7,216.3,56.7,88.5,99.5,201.9,229.5,135.0,89.1,252.5,173.1,137.3,136.2,133.9,51.6,100.2,62.9,140.8,0.0,173.6,63.4,36.1,199.5,62.7,194.0
32,187.0,169.1,147.5,164.7,181.1,103.1,71.2,210.9,121.4,82.6,155.6,31.4,82.6,122.5,42.7,214.8,157.4,168.4,28.3,55.9,159.2,158.0,78.9,113.9,62.3,65.4,67.7,209.7,195.8,142.9,147.4,201.5,0.0,210.6,199.7,72.7,178.7,20.4
33,213.4,128.1,127.2,97.0,48.3,168.2,250.6,67.5,152.5,160.9,141.0,193.4,160.9,187.5,222.1,60.3,116.4,127.4,207.7,235.3,162.9,117.0,258.3,178.9,165.2,142.0,139.7,55.2,128.1,90.8,168.7,69.6,179.4,0.0,46.4,205.3,90.6,199.8
34,186.0,100.7,117.4,69.6,20.9,140.8,240.8,57.7,125.1,133.5,113.6,183.6,133.5,177.7,212.3,25.6,89.0,100.0,197.9,225.5,135.5,89.6,248.5,169.1,137.8,132.2,129.9,20.5,100.7,63.4,141.3,42.2,169.6,39.8,0.0,195.5,63.2,190.0
35,203.7,185.8,172.5,181.4,202.0,119.8,93.5,235.9,138.1,99.3,172.3,145.3,99.3,232.8,171.2,239.8,174.1,185.1,156.8,184.4,175.9,174.7,207.4,224.2,87.3,90.4,92.7,234.7,212.5,159.6,164.1,222.4,131.3,235.6,220.6,0.0,195.4,148.9
36,158.4,73.1,108.2,42.0,35.8,113.2,231.6,99.6,97.5,105.9,86.0,174.4,105.9,168.5,203.1,75.0,61.4,72.4,188.7,216.3,107.9,62.0,239.3,159.9,110.2,123.0,120.7,69.9,73.1,35.8,113.7,56.2,160.4,81.7,54.4,184.9,0.0,180.8
37,207.4,189.5,155.5,185.1,201.5,123.5,72.4,231.3,141.8,103.0,176.0,51.8,103.0,102.1,27.8,235.2,177.8,188.8,13.4,41.0,179.6,178.4,58.5,93.5,82.7,85.8,88.1,230.1,216.2,163.3,167.8,221.9,20.4,231.0,220.1,93.1,199.1,0.0
