,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,843.4,819.7,570.5,891.6,1518.7,808.1,931.8,1128.4,1063.5,1119.5,770.4,1020.7,832.4,1205.3,832.3,877.1,925.5,1462.1,1459.8,1234.5,982.4,1074.3,743.7,857.6,837.2,929.6,807.8,837.9,535.0,1514.0,880.1,1064.4,1337.8,658.9,1111.6,721.3,1513.9
1,843.4,0.0,479.1,489.4,621.4,835.9,445.3,479.1,445.6,522.1,436.7,693.2,466.7,752.6,522.5,752.5,797.3,750.2,779.3,777.0,626.5,409.4,522.8,597.3,777.8,576.0,246.8,659.4,496.1,308.4,831.2,197.3,523.0,1072.8,786.9,493.0,641.5,831.1
2,819.7,479.1,0.0,249.2,203.8,869.4,94.0,221.3,531.5,354.9,522.6,319.7,321.6,294.7,519.7,294.6,339.4,351.8,776.5,774.2,590.5,284.3,365.7,225.0,319.9,179.1,394.3,180.3,72.1,334.4,828.4,515.5,355.8,810.7,413.4,412.5,237.2,828.3
3,570.5,489.4,249.2,0.0,447.0,997.0,237.6,361.3,659.1,493.0,650.2,440.8,450.2,500.2,647.3,500.1,544.9,583.9,904.1,901.8,751.3,411.9,503.8,344.9,525.4,331.4,516.4,412.4,267.4,320.3,956.0,526.1,493.9,1027.0,412.8,541.1,389.1,955.9
4,891.6,621.4,203.8,447.0,0.0,814.9,235.4,242.6,516.4,226.7,507.5,290.2,211.9,222.3,465.2,222.2,183.0,179.7,722.0,719.7,389.4,272.4,237.5,202.3,163.5,220.8,406.8,137.6,184.8,532.9,773.9,528.0,227.6,638.6,383.9,302.8,207.7,773.8
5,1518.7,835.9,869.4,997.0,814.9,0.0,780.8,715.2,390.3,669.9,447.2,1098.4,603.0,1029.8,349.7,1029.7,990.5,888.7,360.4,95.2,510.7,585.1,659.1,1010.5,971.0,969.1,589.1,945.2,797.3,983.7,241.1,645.6,669.0,546.7,1192.1,629.3,1015.9,241.0
6,808.1,445.3,94.0,237.6,235.4,780.8,0.0,144.1,442.9,275.8,434.0,413.5,233.0,388.5,431.1,388.4,418.4,415.1,687.9,685.6,535.1,195.7,286.6,319.0,398.9,273.1,300.3,274.1,50.9,300.6,739.8,421.5,276.7,874.0,507.2,323.9,331.0,739.7
7,931.8,479.1,221.3,361.3,242.6,715.2,144.1,0.0,377.3,210.2,368.4,529.5,167.4,464.9,365.5,464.8,425.6,422.3,622.3,620.0,469.5,130.1,221.0,440.6,406.1,394.7,264.5,380.2,149.2,424.3,674.2,385.7,211.1,836.4,623.2,258.3,447.0,674.1
8,1128.4,445.6,531.5,659.1,516.4,390.3,442.9,377.3,0.0,371.4,56.9,803.3,304.5,738.7,243.1,738.6,699.4,644.9,499.9,485.5,347.1,247.2,360.6,715.4,679.9,670.6,198.8,654.0,459.4,593.4,551.8,305.1,370.5,857.4,897.0,330.8,720.8,551.7
9,1063.5,522.1,354.9,493.0,226.7,669.9,275.8,210.2,371.4,0.0,362.5,483.7,107.7,415.4,320.2,415.3,376.1,274.3,577.0,574.7,367.8,158.1,10.8,395.8,356.6,396.9,286.8,330.8,292.3,556.0,628.9,428.7,0.9,626.2,577.4,103.0,401.2,628.8
10,1119.5,436.7,522.6,650.2,507.5,447.2,434.0,368.4,56.9,362.5,0.0,794.4,295.6,729.8,199.1,729.7,690.5,636.0,455.9,453.6,303.1,238.3,351.7,706.5,671.0,661.7,189.9,645.1,450.5,584.5,507.8,304.5,361.6,813.4,888.1,321.9,711.9,507.7
11,770.4,693.2,319.7,440.8,290.2,1098.4,413.5,529.5,803.3,483.7,794.4,0.0,498.8,206.6,748.7,206.5,251.3,299.7,1005.5,1003.2,633.1,559.3,494.5,150.3,231.8,255.8,693.7,182.0,391.6,548.5,1003.0,729.9,484.6,712.9,216.7,585.9,95.5,1003.1
12,1020.7,466.7,321.6,450.2,211.9,603.0,233.0,167.4,304.5,107.7,295.6,498.8,0.0,434.2,253.3,434.1,394.9,340.7,510.1,507.8,357.3,90.8,96.9,410.9,375.4,366.1,219.9,349.5,249.5,513.2,562.0,373.3,106.8,670.7,592.5,90.9,416.3,561.9
13,832.4,752.6,294.7,500.2,222.3,1029.8,388.5,464.9,738.7,415.4,729.8,206.6,434.2,0.0,680.1,0.1,130.1,178.5,936.9,934.6,564.5,494.7,426.2,212.3,110.6,306.0,629.1,144.0,366.6,607.9,902.3,750.3,416.3,612.2,300.3,517.6,111.1,902.4
14,1205.3,522.5,519.7,647.3,465.2,349.7,431.1,365.5,243.1,320.2,199.1,748.7,253.3,680.1,0.0,680.0,640.8,539.0,256.8,254.5,161.0,235.4,309.4,660.8,621.3,619.4,275.7,595.5,447.6,670.3,308.7,429.1,319.3,614.3,842.4,279.6,666.2,308.6
15,832.3,752.5,294.6,500.1,222.2,1029.7,388.4,464.8,738.6,415.3,729.7,206.5,434.1,0.1,680.0,0.0,130.0,178.4,936.8,934.5,564.4,494.6,426.1,212.2,110.5,305.9,629.0,143.9,366.5,607.8,902.2,750.2,416.2,612.1,300.2,517.5,111.0,902.3
16,877.1,797.3,339.4,544.9,183.0,990.5,418.4,425.6,699.4,376.1,690.5,251.3,394.9,130.1,640.8,130.0,0.0,139.2,897.6,895.3,525.2,455.4,386.9,257.0,19.5,350.7,589.8,173.7,367.8,652.6,863.0,711.0,377.0,572.9,345.0,478.3,155.8,863.1
17,925.5,750.2,351.8,583.9,179.7,888.7,415.1,422.3,644.9,274.3,636.0,299.7,340.7,178.5,539.0,178.4,139.2,0.0,795.8,793.5,423.4,401.2,285.1,305.2,119.7,363.1,535.6,171.5,364.5,686.2,749.0,656.8,275.2,458.9,393.4,376.5,204.2,749.1
18,1462.1,779.3,776.5,904.1,722.0,360.4,687.9,622.3,499.9,577.0,455.9,1005.5,510.1,936.9,256.8,936.8,897.6,795.8,0.0,265.2,417.8,492.2,566.2,917.6,878.1,876.2,532.5,852.3,704.4,927.1,249.2,685.9,576.1,554.8,1099.2,536.4,923.0,249.1
19,1459.8,777.0,774.2,901.8,719.7,95.2,685.6,620.0,485.5,574.7,453.6,1003.2,507.8,934.6,254.5,934.5,895.3,793.5,265.2,0.0,415.5,489.9,563.9,915.3,875.8,873.9,530.2,850.0,702.1,924.8,145.9,683.6,573.8,451.5,1096.9,534.1,920.7,145.8
20,1234.5,626.5,590.5,751.3,389.4,510.7,535.1,469.5,347.1,367.8,303.1,633.1,357.3,564.5,161.0,564.4,525.2,423.4,417.8,415.5,0.0,339.4,357.0,545.2,505.7,601.9,379.7,479.9,551.6,774.3,469.7,533.1,366.9,617.8,726.8,383.6,550.6,469.6
21,982.4,409.4,284.3,411.9,272.4,585.1,195.7,130.1,247.2,158.1,238.3,559.3,90.8,494.7,235.4,494.6,455.4,401.2,492.2,489.9,339.4,0.0,147.3,471.4,435.9,426.6,162.6,410.0,212.2,462.8,544.1,316.0,157.2,721.1,653.0,141.3,476.8,544.0
22,1074.3,522.8,365.7,503.8,237.5,659.1,286.6,221.0,360.6,10.8,351.7,494.5,96.9,426.2,309.4,426.1,386.9,285.1,566.2,563.9,357.0,147.3,0.0,406.6,367.4,407.7,276.0,341.6,303.1,566.8,618.1,429.4,9.9,615.4,588.2,92.2,412.0,618.0
23,743.7,597.3,225.0,344.9,202.3,1010.5,319.0,440.6,715.4,395.8,706.5,150.3,410.9,212.3,660.8,212.2,257.0,305.2,917.6,915.3,545.2,471.4,406.6,0.0,237.5,159.9,605.8,133.7,297.1,452.6,969.5,634.0,396.7,739.1,244.0,498.0,101.2,969.4
24,857.6,777.8,319.9,525.4,163.5,971.0,398.9,406.1,679.9,356.6,671.0,231.8,375.4,110.6,621.3,110.5,19.5,119.7,878.1,875.8,505.7,435.9,367.4,237.5,0.0,331.2,570.3,154.2,348.3,633.1,843.5,691.5,357.5,553.4,325.5,458.8,136.3,843.6
25,837.2,576.0,179.1,331.4,220.8,969.1,273.1,394.7,670.6,396.9,661.7,255.8,366.1,306.0,619.4,305.9,350.7,363.1,876.2,873.9,601.9,426.6,407.7,159.9,331.2,0.0,561.0,191.6,251.2,431.3,928.1,612.7,397.8,822.0,349.5,457.0,204.1,928.0
26,929.6,246.8,394.3,516.4,406.8,589.1,300.3,264.5,198.8,286.8,189.9,693.7,219.9,629.1,275.7,629.0,589.8,535.6,532.5,530.2,379.7,162.6,276.0,605.8,570.3,561.0,0.0,544.4,327.4,394.6,584.4,153.4,285.9,826.0,787.4,246.2,611.2,584.3
27,807.8,659.4,180.3,412.4,137.6,945.2,274.1,380.2,654.0,330.8,645.1,182.0,349.5,144.0,595.5,143.9,173.7,171.5,852.3,850.0,479.9,410.0,341.6,133.7,154.2,191.6,544.4,0.0,252.2,514.7,904.2,665.6,331.7,630.4,275.7,433.0,86.5,904.1
28,837.9,496.1,72.1,267.4,184.8,797.3,50.9,149.2,459.4,292.3,450.5,391.6,249.5,366.6,447.6,366.5,367.8,364.5,704.4,702.1,551.6,212.2,303.1,297.1,348.3,251.2,327.4,252.2,0.0,351.4,756.3,448.6,293.2,823.4,485.3,340.4,309.1,756.2
29,535.0,308.4,334.4,320.3,532.9,983.7,300.6,424.3,593.4,556.0,584.5,548.5,513.2,607.9,670.3,607.8,652.6,686.2,927.1,924.8,774.3,462.8,566.8,452.6,633.1,431.3,394.6,514.7,351.4,0.0,979.0,345.1,556.9,1134.7,642.2,604.1,496.8,978.9
30,1514.0,831.2,828.4,956.0,773.9,241.1,739.8,674.2,551.8,628.9,507.8,1003.0,562.0,902.3,308.7,902.2,863.0,749.0,249.2,145.9,469.7,544.1,618.1,969.5,843.5,928.1,584.4,904.2,756.3,979.0,0.0,737.8,628.0,305.6,1117.2,588.3,928.0,0.1
31,880.1,197.3,515.5,526.1,528.0,645.6,421.5,385.7,305.1,428.7,304.5,729.9,373.3,750.3,429.1,750.2,711.0,656.8,685.9,683.6,533.1,316.0,429.4,634.0,691.5,612.7,153.4,665.6,448.6,345.1,737.8,0.0,429.6,979.4,823.6,399.6,678.2,737.7
32,1064.4,523.0,355.8,493.9,227.6,669.0,276.7,211.1,370.5,0.9,361.6,484.6,106.8,416.3,319.3,416.2,377.0,275.2,576.1,573.8,366.9,157.2,9.9,396.7,357.5,397.8,285.9,331.7,293.2,556.9,628.0,429.6,0.0,625.3,578.3,102.1,402.1,627.9
33,1337.8,1072.8,810.7,1027.0,638.6,546.7,874.0,836.4,857.4,626.2,813.4,712.9,670.7,612.2,614.3,612.1,572.9,458.9,554.8,451.5,617.8,721.1,615.4,739.1,553.4,822.0,826.0,630.4,823.4,1134.7,305.6,979.4,625.3,0.0,827.1,642.2,637.9,305.7
34,658.9,786.9,413.4,412.8,383.9,1192.1,507.2,623.2,897.0,577.4,888.1,216.7,592.5,300.3,842.4,300.2,345.0,393.4,1099.2,1096.9,726.8,653.0,588.2,244.0,325.5,349.5,787.4,275.7,485.3,642.2,1117.2,823.6,578.3,827.1,0.0,679.6,189.2,1117.3
35,1111.6,493.0,412.5,541.1,302.8,629.3,323.9,258.3,330.8,103.0,321.9,585.9,90.9,517.6,279.6,517.5,478.3,376.5,536.4,534.1,383.6,141.3,92.2,498.0,458.8,457.0,246.2,433.0,340.4,604.1,588.3,399.6,102.1,642.2,679.6,0.0,503.4,588.2
36,721.3,641.5,237.2,389.1,207.7,1015.9,331.0,447.0,720.8,401.2,711.9,95.5,416.3,111.1,666.2,111.0,155.8,204.2,923.0,920.7,550.6,476.8,412.0,101.2,136.3,204.1,611.2,86.5,309.1,496.8,928.0,678.2,402.1,637.9,189.2,503.4,0.0,928.1
37,1513.9,831.1,828.3,955.9,773.8,241.0,739.7,674.1,551.7,628.8,507.7,1003.1,561.9,902.4,308.6,902.3,863.1,749.1,249.1,145.8,469.6,544.0,618.0,969.4,843.6,928.0,584.3,904.1,756.2,978.9,0.1,737.7,627.9,305.7,1117.3,588.2,928.1,0.0
