,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,596.8,563.2,604.4,378.9,583.9,359.9,594.2,574.1,432.9,462.8,212.4,605.4,372.3,486.0,442.0,450.2,388.6,406.2,435.2,369.0,234.1,294.7,582.6,596.1,377.8,287.6,543.7,493.8,309.2,484.6,151.0,459.9,397.4,548.1,413.5,462.8,403.5,295.3,421.6,279.5,318.4,588.0
1,602.1,0.0,192.7,96.2,233.4,172.0,343.1,93.2,187.1,335.8,366.5,493.9,67.2,360.9,214.6,285.2,231.6,368.4,406.1,216.6,361.4,479.4,426.5,237.7,159.8,365.6,477.1,55.0,248.4,397.6,234.7,476.4,247.1,337.6,135.6,420.3,244.2,275.7,398.1,307.9,362.5,380.5,107.8
2,538.0,209.0,0.0,120.7,302.7,20.7,364.2,110.5,265.1,153.2,183.9,318.5,136.4,318.7,230.8,363.2,251.0,326.2,363.9,262.2,336.4,296.8,412.5,240.2,32.9,323.4,407.5,196.6,97.1,275.0,229.4,523.6,187.3,295.4,213.6,378.1,243.3,353.7,375.2,385.9,409.7,329.0,92.4
3,610.8,97.5,111.9,0.0,242.1,91.2,351.8,12.4,195.8,255.0,285.7,420.3,24.9,369.6,223.3,293.9,240.3,377.1,414.8,225.3,370.1,398.6,435.2,170.9,79.0,374.3,485.8,86.5,167.6,376.8,243.4,485.1,255.8,346.3,144.3,429.0,252.9,284.4,406.8,316.6,371.2,389.2,27.0
4,375.3,227.4,303.5,235.0,0.0,282.8,116.3,224.8,230.2,236.8,267.5,315.1,236.0,153.3,175.5,160.8,80.8,226.2,243.8,65.8,134.6,336.8,199.7,249.4,270.6,215.4,260.7,174.3,238.7,218.8,174.1,249.6,149.4,203.3,178.7,241.9,93.4,151.3,171.3,194.3,135.7,202.1,218.6
5,558.7,188.3,20.7,100.0,290.7,0.0,384.9,89.8,244.4,173.9,204.6,339.2,115.7,339.4,251.5,342.5,271.7,346.9,384.6,273.9,357.1,317.5,433.2,219.5,12.2,344.1,428.2,175.9,117.8,295.7,250.1,533.7,208.0,316.1,192.9,398.8,264.0,333.0,395.9,365.2,419.8,349.7,71.7
6,356.5,328.4,375.0,336.0,110.5,383.8,0.0,325.8,331.2,303.7,334.4,261.3,337.0,86.3,242.4,251.3,181.8,159.2,176.8,166.8,60.4,283.0,174.4,350.4,371.6,148.4,227.5,275.3,305.6,165.0,241.0,230.8,216.3,136.3,279.7,174.9,194.4,241.8,137.1,284.8,116.9,135.1,319.6
7,598.4,98.5,99.5,10.2,229.7,78.8,339.4,0.0,183.4,242.6,273.3,407.9,25.9,357.2,210.9,281.5,227.9,364.7,402.4,212.9,357.7,386.2,422.8,158.5,66.6,361.9,473.4,87.5,155.2,364.4,231.0,472.7,243.4,333.9,131.9,416.6,240.5,272.0,394.4,304.2,358.8,376.8,14.6
8,588.8,179.1,255.2,186.7,220.1,234.5,329.8,176.5,0.0,329.1,359.8,480.6,187.7,347.6,201.3,163.5,218.3,355.1,392.8,203.3,348.1,472.7,413.2,90.1,222.3,352.3,463.8,126.0,310.9,384.3,221.4,463.1,233.8,324.3,97.5,407.0,230.9,253.3,384.8,178.9,349.2,367.2,170.3
9,409.9,341.3,163.6,271.1,247.6,184.3,307.7,260.9,344.1,0.0,55.8,190.4,286.8,259.3,175.7,332.7,195.9,271.1,288.7,207.1,279.4,168.7,302.0,356.7,196.5,260.3,279.4,288.2,94.2,146.9,174.3,413.1,132.2,240.3,292.6,296.0,188.2,323.2,264.7,366.2,299.2,200.9,242.8
10,439.7,372.1,194.4,301.9,278.4,215.1,337.5,291.7,374.9,64.1,0.0,220.2,317.6,289.1,206.5,363.5,226.7,300.9,318.5,237.9,309.2,198.5,331.8,387.5,227.3,290.1,309.2,319.0,125.0,176.7,205.1,442.9,163.0,271.1,323.4,325.8,219.0,354.0,294.5,397.0,329.0,230.7,273.6
11,219.5,482.4,350.8,458.3,310.1,371.5,256.0,448.1,485.2,220.5,250.4,0.0,474.0,207.6,316.8,450.9,314.1,219.4,237.0,325.3,227.7,21.7,221.5,497.8,383.7,208.6,118.4,429.3,281.4,140.0,315.4,250.8,290.7,228.2,433.7,244.3,306.4,427.9,205.9,446.0,247.5,149.2,430.0
12,608.7,72.6,125.5,29.0,240.0,104.8,349.7,26.0,193.7,268.6,299.3,433.9,0.0,367.5,221.2,291.8,238.2,375.0,412.7,223.2,368.0,412.2,433.1,184.5,92.6,372.2,483.7,61.6,181.2,390.4,241.3,483.0,253.7,344.2,142.2,426.9,250.8,282.3,404.7,314.5,369.1,387.1,40.6
13,369.0,362.4,329.4,370.0,145.6,350.1,78.1,359.8,365.2,258.1,288.8,212.8,371.0,0.0,196.8,286.4,194.1,113.6,131.2,201.9,50.3,234.5,132.2,377.8,362.3,102.8,185.3,309.3,260.0,116.5,195.4,243.3,170.7,58.5,313.7,129.3,186.4,276.9,94.9,319.9,129.4,89.5,353.6
14,493.5,204.0,245.8,211.6,177.0,259.4,238.5,201.4,206.8,174.5,205.2,326.0,212.6,193.0,0.0,244.3,125.3,200.5,238.2,136.5,210.7,318.1,286.8,219.4,247.2,197.7,309.2,150.9,176.4,229.7,66.8,397.9,79.2,169.7,155.3,252.4,117.6,249.7,249.5,259.7,284.0,212.6,195.2
15,462.3,284.3,360.4,291.9,155.2,339.7,252.2,281.7,151.2,325.1,355.8,451.0,292.9,289.2,240.6,0.0,169.1,327.9,365.6,154.1,270.5,468.7,335.6,159.7,327.5,325.1,396.6,231.2,327.0,354.7,260.7,336.6,237.7,297.1,217.5,377.8,181.7,89.8,307.2,109.9,271.6,338.0,275.5
16,446.8,214.7,262.0,222.3,78.1,270.1,187.8,212.1,217.5,190.7,221.4,319.0,223.3,186.0,129.4,163.2,0.0,193.5,231.2,37.6,203.7,334.3,271.2,236.7,257.9,190.7,302.2,161.6,192.6,222.7,128.0,321.1,103.3,162.7,166.0,245.4,12.6,153.7,242.5,196.7,207.2,205.6,205.9
17,391.0,363.3,330.3,370.9,216.6,351.0,149.1,360.7,366.1,259.0,289.7,223.5,371.9,103.6,197.7,331.8,195.0,0.0,55.7,206.2,121.3,245.2,210.2,378.7,363.2,15.2,206.7,310.2,260.9,127.2,196.3,321.3,171.6,117.4,314.6,119.6,187.3,322.3,172.9,365.3,207.4,66.8,354.5
18,416.9,396.7,363.7,404.3,242.5,384.4,175.0,394.1,399.5,292.4,323.1,249.4,405.3,129.5,231.1,365.2,228.4,59.7,0.0,239.6,147.2,271.1,236.1,412.1,396.6,44.5,232.6,343.6,294.3,153.1,229.7,347.2,205.0,148.1,348.0,145.5,220.7,355.7,198.8,398.7,233.3,92.7,387.9
19,438.2,208.0,264.9,215.6,71.4,263.4,179.2,205.4,210.8,193.6,224.3,321.9,216.6,188.9,132.3,156.5,37.6,196.4,234.1,0.0,197.5,337.2,262.6,230.0,251.2,193.6,305.1,154.9,195.5,225.6,130.9,312.5,106.2,165.6,159.3,248.3,50.2,147.0,234.2,190.0,198.6,208.5,199.2
20,365.8,344.7,346.9,352.3,126.8,367.6,59.3,342.1,347.5,275.6,306.3,231.5,353.3,58.2,214.3,267.6,198.1,131.1,148.7,183.1,0.0,253.2,133.3,366.7,379.8,120.3,186.4,291.6,277.5,135.2,212.9,240.1,188.2,108.2,296.0,146.8,203.9,258.1,96.0,301.1,126.2,107.0,335.9
21,241.2,504.1,329.1,436.6,331.8,349.8,277.7,426.4,506.9,198.8,228.7,21.7,452.3,229.3,338.5,472.6,335.8,241.1,258.7,347.0,249.4,0.0,243.2,519.5,362.0,230.3,140.1,451.0,259.7,157.3,337.1,272.5,297.7,249.9,455.4,266.0,328.1,449.6,227.6,467.7,269.2,170.9,408.3
22,299.8,418.0,415.5,425.6,200.1,436.2,176.1,415.4,420.8,307.7,337.6,217.8,426.6,132.3,282.9,340.9,271.4,211.9,229.5,256.4,135.0,239.5,0.0,440.0,448.4,201.1,98.5,364.9,346.1,151.1,281.5,174.1,256.8,190.8,369.3,227.6,272.5,317.9,38.1,336.0,100.7,147.3,409.2
23,615.8,235.1,235.0,166.5,255.1,214.3,364.8,156.3,95.3,359.1,389.8,510.6,182.2,377.6,231.3,169.0,253.3,385.1,422.8,238.3,383.1,502.7,448.2,0.0,202.1,382.3,493.8,182.0,290.7,414.3,251.4,490.1,263.8,354.3,161.6,437.0,265.9,258.8,419.8,184.4,384.2,397.2,150.1
24,570.9,176.1,32.9,87.8,278.5,12.2,388.2,77.6,232.2,186.1,216.8,351.4,103.5,351.6,259.7,330.3,276.7,359.1,396.8,261.7,369.3,329.7,445.4,207.3,0.0,356.3,440.4,163.7,112.9,307.9,262.3,521.5,220.2,328.3,180.7,411.0,276.2,320.8,408.1,353.0,407.6,361.9,59.5
25,388.4,352.2,319.2,359.8,214.0,339.9,146.5,349.6,355.0,247.9,278.6,220.9,360.8,101.0,186.6,320.7,183.9,15.2,40.5,195.1,118.7,242.6,207.6,367.6,352.1,0.0,204.1,299.1,249.8,124.6,185.2,318.7,160.5,119.6,303.5,117.0,176.2,311.2,170.3,354.2,204.8,64.2,343.4
26,286.8,475.2,419.7,482.8,257.3,440.4,225.5,472.6,478.0,289.4,319.3,119.3,483.8,181.7,309.6,398.1,306.9,212.2,229.8,313.6,184.4,141.0,103.1,490.6,452.6,201.4,0.0,422.1,350.3,132.8,308.2,231.3,283.5,221.0,426.5,237.1,299.2,375.1,87.5,393.2,157.9,142.0,466.4
27,547.1,53.1,184.5,90.7,178.4,163.8,288.1,87.7,132.1,287.4,318.1,438.9,61.7,305.9,159.6,230.2,176.6,313.4,351.1,161.6,306.4,431.0,371.5,182.7,151.6,310.6,422.1,0.0,240.2,342.6,179.7,421.4,192.1,282.6,80.6,365.3,189.2,220.7,343.1,252.9,307.5,325.5,99.6
28,472.2,265.2,92.4,176.9,236.9,113.1,298.4,166.7,321.3,87.4,118.1,252.7,192.6,252.9,165.0,322.0,185.2,260.4,298.1,196.4,270.6,231.0,346.7,296.4,120.9,257.6,341.7,252.8,0.0,209.2,163.6,457.8,121.5,229.6,269.8,312.3,177.5,312.5,309.4,355.5,343.9,263.2,148.6
29,316.8,387.2,286.9,394.4,214.9,307.6,160.8,384.2,390.0,156.6,186.5,148.2,395.8,112.4,221.6,355.7,218.9,124.2,141.8,230.1,132.5,126.5,155.1,402.6,319.8,113.4,132.5,334.1,217.5,0.0,220.2,266.2,195.5,133.0,338.5,149.1,211.2,332.7,117.8,350.8,152.3,54.0,366.1
30,489.6,223.6,241.9,231.2,173.1,262.6,234.6,221.0,226.4,170.6,201.3,322.1,232.2,189.1,58.0,258.2,121.4,196.6,234.3,132.6,206.8,314.2,282.9,239.0,266.8,193.8,305.3,170.5,172.5,225.8,0.0,394.0,59.5,165.8,174.9,248.5,113.7,248.7,245.6,279.3,280.1,208.7,214.8
31,150.3,462.2,520.9,469.8,244.3,517.6,225.3,459.6,439.5,413.1,443.0,258.8,470.8,237.7,388.3,307.4,315.6,317.3,334.9,300.6,234.4,280.5,160.1,448.0,505.4,306.5,221.1,409.1,451.5,256.5,386.9,0.0,362.2,296.2,413.5,333.0,328.2,268.9,160.7,287.0,144.9,252.7,453.4
32,463.2,232.9,198.3,240.5,146.7,219.0,208.2,230.3,235.7,127.0,157.7,292.3,241.5,162.7,67.3,231.8,95.0,170.2,207.9,106.2,180.4,270.6,256.5,248.3,231.2,167.4,278.9,179.8,128.9,199.4,54.5,367.6,0.0,139.4,184.2,222.1,87.3,222.3,219.2,265.3,253.7,182.3,224.1
33,400.3,330.9,297.9,338.5,195.7,318.6,128.2,328.3,333.7,226.6,257.3,232.8,339.5,64.9,165.3,299.4,162.6,111.5,150.1,173.8,100.4,254.5,193.6,346.3,330.8,121.7,216.0,277.8,228.5,136.5,163.9,304.7,139.2,0.0,282.2,148.2,154.9,289.9,156.3,332.9,190.8,108.4,322.1
34,544.1,134.4,210.5,142.0,175.4,189.8,285.1,131.8,95.0,284.4,315.1,435.9,143.0,302.9,156.6,219.0,173.6,310.4,348.1,158.6,303.4,428.0,368.5,145.6,177.6,307.6,419.1,81.3,266.2,339.6,176.7,418.4,189.1,279.6,0.0,362.3,186.2,217.7,340.1,234.4,304.5,322.5,125.6
35,430.1,413.6,380.6,421.2,242.1,401.3,174.6,411.0,416.4,309.3,340.0,262.6,422.2,129.1,248.0,382.1,245.3,122.3,139.9,256.5,146.8,284.3,235.7,429.0,413.5,111.5,245.8,360.5,311.2,166.3,246.6,346.8,221.9,147.7,364.9,0.0,237.6,372.6,198.4,415.6,232.9,105.9,404.8
36,459.4,227.3,254.2,234.9,90.7,274.9,200.4,224.7,230.1,182.9,213.6,311.2,235.9,178.2,121.6,175.8,12.6,185.7,223.4,50.2,195.9,326.5,272.0,249.3,270.5,182.9,294.4,174.2,184.8,214.9,120.2,333.7,95.5,154.9,178.6,237.6,0.0,166.3,234.7,209.3,219.8,197.8,218.5
37,431.6,266.0,342.1,273.6,138.6,321.4,233.9,263.4,240.6,308.5,339.2,432.7,274.6,270.9,240.3,89.4,152.5,311.3,349.0,137.5,252.2,452.1,317.3,249.1,309.2,308.5,378.3,212.9,310.4,336.4,245.8,305.9,221.1,280.5,217.3,359.5,165.1,0.0,288.9,102.1,253.3,319.7,257.2
38,291.2,388.6,377.4,396.2,170.7,398.1,138.0,386.0,391.4,269.6,299.5,209.3,397.2,94.2,244.8,311.5,242.0,173.8,191.4,227.0,96.9,231.0,37.3,410.6,410.3,163.0,90.4,335.5,308.0,113.0,243.4,165.5,218.7,152.7,339.9,189.5,234.4,288.5,0.0,306.6,92.1,109.2,379.8
39,431.4,302.2,378.3,309.8,189.7,357.6,285.0,299.6,168.6,359.6,390.3,452.7,310.8,322.0,258.0,105.4,203.6,362.4,400.1,188.6,303.3,474.4,337.3,177.1,345.4,359.6,398.3,249.1,361.5,356.4,278.1,305.7,272.2,331.6,234.9,410.6,216.2,102.0,308.9,0.0,273.3,352.6,293.4
40,281.7,350.7,409.4,358.3,132.8,406.1,113.8,348.1,353.5,301.6,331.5,241.3,359.3,126.2,276.8,273.6,204.1,205.8,223.4,189.1,122.9,263.0,106.1,372.7,393.9,195.0,167.1,297.6,340.0,145.0,275.4,156.0,250.7,184.7,302.0,221.5,216.7,250.6,97.5,268.7,0.0,141.2,341.9
41,324.2,373.4,340.4,381.0,201.9,361.1,134.4,370.8,376.2,217.0,246.9,156.7,382.0,88.9,207.8,341.9,205.1,70.2,87.8,216.3,106.6,178.4,148.9,388.8,373.3,59.4,139.9,320.3,271.0,60.4,206.4,260.0,181.7,107.5,324.7,95.1,197.4,326.5,111.6,344.6,146.1,0.0,364.6
42,587.7,116.6,84.9,28.3,219.0,64.2,328.7,18.1,172.7,228.0,258.7,393.3,44.0,346.5,200.2,270.8,217.2,354.0,391.7,202.2,347.0,371.6,412.1,147.8,52.0,351.2,462.7,104.2,140.6,349.8,220.3,462.0,232.7,323.2,121.2,405.9,229.8,261.3,383.7,293.5,348.1,366.1,0.0
