,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,1359.0,1521.3,736.3,870.6,1345.3,636.3,690.4,770.4,850.7,1134.9,987.3,1119.1,1525.9,832.4,1042.8,1139.0,1255.9,985.5,1142.9,823.9,1507.6,1134.9,633.6,1362.9,1171.5,967.2,954.5,1183.6,854.9,671.8,763.1,1420.1,712.8,559.0,1234.9,837.2,658.9,601.7,959.4,1044.5,721.3,1513.9
1,1359.0,0.0,180.0,791.9,710.2,179.1,924.5,1027.6,902.4,730.1,270.6,402.3,440.8,265.1,877.4,328.7,688.3,306.1,499.9,440.5,955.9,267.2,270.6,961.1,284.8,565.7,550.9,417.0,577.8,540.1,1009.0,808.1,76.2,761.3,1001.8,682.1,773.1,996.1,948.8,635.4,502.5,819.9,273.5
2,1521.3,180.0,0.0,954.2,872.5,341.4,1086.8,1189.9,1064.7,892.4,432.9,564.6,603.1,137.1,1039.7,491.0,666.3,468.4,662.2,602.8,1110.1,296.8,432.9,1123.4,447.1,728.0,713.2,579.3,740.1,702.4,1171.3,970.4,143.2,923.6,1164.1,585.9,935.4,1158.4,1111.1,797.7,664.8,982.2,177.3
3,736.3,791.9,954.2,0.0,183.7,778.2,132.6,235.7,110.5,163.8,558.7,581.1,474.3,958.8,145.5,466.6,473.5,544.0,481.8,431.0,164.0,940.5,558.7,237.1,809.5,459.6,255.3,420.9,471.7,641.8,217.1,76.2,853.0,243.4,209.9,569.4,192.9,204.2,205.2,259.8,332.6,34.4,946.8
4,870.6,710.2,872.5,183.7,0.0,696.5,266.9,370.0,244.8,19.9,481.0,503.4,392.9,877.1,206.8,388.9,367.6,462.3,404.1,349.3,298.3,858.8,481.0,371.4,727.8,377.9,173.9,343.2,390.0,584.0,351.4,137.5,771.3,364.9,344.2,463.5,281.0,338.5,339.5,100.8,250.9,149.3,856.6
5,1345.3,179.1,341.4,778.2,696.5,0.0,910.8,1013.9,888.7,716.4,256.9,388.6,427.1,346.0,863.7,315.0,674.6,292.4,486.2,426.8,942.2,327.7,256.9,947.4,186.7,552.0,537.2,403.3,564.1,526.4,995.3,794.4,246.6,747.6,988.1,742.6,759.4,982.4,935.1,621.7,488.8,806.2,334.0
6,636.3,924.5,1086.8,132.6,266.9,910.8,0.0,103.1,145.1,247.0,691.3,713.7,606.9,1085.9,228.7,599.2,556.7,676.6,614.4,563.6,198.6,1073.1,691.3,220.6,942.1,592.2,387.9,553.5,604.3,726.8,84.5,159.4,985.6,328.4,77.3,652.6,277.9,71.6,188.7,355.7,465.2,117.6,1045.7
7,690.4,1027.6,1189.9,235.7,370.0,1013.9,103.1,0.0,248.2,350.1,794.4,816.8,710.0,1189.0,331.8,702.3,659.8,779.7,717.5,666.7,301.7,1176.2,794.4,274.7,1045.2,695.3,491.0,656.6,707.4,829.9,41.2,262.5,1088.7,431.5,131.4,755.7,381.0,43.7,242.8,458.8,568.3,220.7,1148.8
8,770.4,902.4,1064.7,110.5,244.8,888.7,145.1,248.2,0.0,224.9,669.2,691.6,584.8,1043.3,206.6,577.1,514.1,654.5,592.3,541.5,70.3,1051.0,669.2,271.2,920.0,570.1,365.8,531.4,568.2,704.7,229.6,137.3,963.5,306.3,222.4,610.0,255.8,216.7,239.3,333.6,443.1,95.5,1003.1
9,850.7,730.1,892.4,163.8,19.9,716.4,247.0,350.1,224.9,0.0,500.9,523.3,412.8,876.9,186.9,408.8,347.7,482.2,424.0,369.2,278.4,878.7,500.9,351.5,747.7,397.8,193.8,363.1,396.2,603.9,331.5,117.6,791.2,384.0,324.3,443.6,300.9,318.6,319.6,120.7,270.8,129.4,836.7
10,1134.9,270.6,432.9,558.7,481.0,256.9,691.3,794.4,669.2,500.9,0.0,195.9,204.2,437.5,644.2,92.1,577.7,212.3,263.3,346.7,722.7,419.2,0.0,724.5,288.2,455.1,354.4,180.4,467.2,333.7,775.8,574.9,331.7,524.7,768.6,673.6,536.5,762.9,712.2,453.5,328.1,586.7,425.5
11,987.3,402.3,564.6,581.1,503.4,388.6,713.7,816.8,691.6,523.3,195.9,0.0,226.6,569.2,666.6,135.1,600.1,344.0,159.1,448.9,745.1,550.9,195.9,746.9,387.2,477.5,376.8,163.4,489.6,168.4,798.2,597.3,463.4,507.7,791.0,696.0,558.9,785.3,734.6,475.9,350.5,609.1,557.2
12,1119.1,440.8,603.1,474.3,392.9,427.1,606.9,710.0,584.8,412.8,204.2,226.6,0.0,607.7,559.8,112.1,442.3,382.5,259.6,291.1,638.3,589.4,204.2,652.5,458.4,319.7,219.0,176.7,331.8,364.4,691.4,490.5,501.9,508.9,684.2,538.2,464.5,678.5,640.2,318.1,192.7,502.3,595.7
13,1525.9,265.1,137.1,958.8,877.1,346.0,1085.9,1189.0,1043.3,876.9,437.5,569.2,607.7,0.0,1025.8,495.6,529.2,473.0,666.8,607.4,973.0,205.6,437.5,1128.0,451.7,651.8,717.8,583.9,639.7,707.0,1170.4,956.5,228.3,928.2,1163.2,448.8,940.0,1157.5,1115.7,802.3,669.4,968.3,40.2
14,832.4,877.4,1039.7,145.5,206.8,863.7,228.7,331.8,206.6,186.9,644.2,666.6,559.8,1025.8,0.0,552.1,496.6,629.5,567.3,516.5,260.1,1026.0,644.2,333.2,895.0,545.1,340.8,506.4,545.1,747.2,313.2,69.3,938.5,365.7,306.0,592.5,306.0,300.3,301.3,295.6,418.1,111.1,985.6
15,1042.8,328.7,491.0,466.6,388.9,315.0,599.2,702.3,577.1,408.8,92.1,135.1,112.1,495.6,552.1,0.0,485.6,270.4,171.2,334.4,630.6,477.3,92.1,632.4,346.3,363.0,262.3,88.3,375.1,272.9,683.7,482.8,389.8,432.6,676.5,581.5,444.4,670.8,620.1,361.4,236.0,494.6,483.6
16,1139.0,688.3,666.3,473.5,367.6,674.6,556.7,659.8,514.1,347.7,577.7,600.1,442.3,529.2,496.6,485.6,0.0,440.4,633.1,277.2,443.8,682.6,577.7,661.2,705.9,122.6,341.2,550.2,110.5,737.9,641.2,427.3,749.4,693.7,634.0,95.9,623.2,628.3,629.3,317.4,292.8,439.1,489.0
17,1255.9,306.1,468.4,544.0,462.3,292.4,676.6,779.7,654.5,482.2,212.3,344.0,382.5,473.0,629.5,270.4,440.4,0.0,441.6,192.6,708.0,454.7,212.3,737.3,323.7,317.8,303.0,358.7,329.9,481.8,761.1,560.2,367.2,703.0,753.9,536.3,623.3,748.2,724.8,387.5,254.6,572.0,461.0
18,985.5,499.9,662.2,481.8,404.1,486.2,614.4,717.5,592.3,424.0,263.3,159.1,259.6,666.8,567.3,171.2,633.1,441.6,0.0,481.9,645.8,648.5,263.3,629.6,517.5,510.5,295.0,82.9,522.6,179.9,698.9,498.0,561.0,375.3,691.7,729.0,459.6,686.0,617.3,376.9,383.5,509.8,654.8
19,1142.9,440.5,602.8,431.0,349.3,426.8,563.6,666.7,541.5,369.2,346.7,448.9,291.1,607.4,516.5,334.4,277.2,192.6,481.9,0.0,595.0,589.1,346.7,624.3,458.1,154.6,190.0,399.0,166.7,586.7,648.1,447.2,501.6,594.2,640.9,373.1,510.3,635.2,611.8,274.5,141.6,459.0,595.4
20,823.9,955.9,1110.1,164.0,298.3,942.2,198.6,301.7,70.3,278.4,722.7,745.1,638.3,973.0,260.1,630.6,443.8,708.0,645.8,595.0,0.0,1104.5,722.7,324.7,973.5,510.0,419.3,584.9,497.9,758.2,283.1,190.8,1017.0,359.8,275.9,539.7,309.3,270.2,292.8,387.1,496.6,149.0,932.8
