,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,269.1,238.1,155.5,208.0,195.9,101.0,118.2,132.6,198.1,178.2,153.2,186.3,213.8,177.1,169.6,221.5,195.8,168.6,234.5,119.8,221.2,178.2,145.1,244.2,229.7,184.8,158.8,232.1,120.7,113.5,172.3,256.3,113.5,85.6,225.6,151.5,110.5,148.1,189.5,218.1,155.5,207.7
1,197.7,0.0,72.2,189.4,214.9,36.7,191.1,220.5,187.0,205.0,59.5,65.3,108.3,47.9,206.8,91.6,133.0,44.4,198.9,158.2,186.8,55.3,59.5,175.7,115.0,153.4,137.3,189.1,155.8,93.3,215.8,202.0,90.4,143.8,206.5,133.3,185.4,212.8,192.7,161.7,141.8,189.4,41.8
2,228.7,31.0,0.0,220.4,245.9,67.7,222.1,251.5,218.0,236.0,90.5,96.3,139.3,78.9,237.8,122.6,164.0,75.4,229.9,189.2,217.8,86.3,90.5,206.7,146.0,184.4,168.3,220.1,186.8,124.3,246.8,233.0,18.2,174.8,237.5,164.3,216.4,243.8,223.7,192.7,172.8,220.4,72.8
3,158.4,242.2,211.2,0.0,81.7,169.0,57.7,87.1,53.6,71.8,163.4,138.4,111.7,186.9,50.8,121.9,132.2,168.9,115.9,108.2,53.4,194.3,163.4,42.3,229.4,103.4,58.5,106.1,105.8,105.9,82.4,46.0,229.4,45.6,73.1,157.9,17.6,79.4,86.0,63.2,91.8,0.0,180.8
4,206.8,261.3,230.3,84.0,0.0,188.1,106.1,135.5,102.0,9.9,191.4,161.2,130.8,206.0,57.6,141.0,151.3,188.0,149.2,127.3,101.8,213.4,191.4,90.7,261.8,122.5,77.6,139.4,124.9,154.3,130.8,52.8,248.5,94.0,121.5,177.0,73.2,127.8,134.4,56.5,110.9,84.0,199.9
5,239.6,215.3,184.3,231.3,283.8,0.0,233.0,262.4,228.9,273.9,129.9,135.7,178.7,160.0,252.9,162.0,245.1,180.2,240.8,228.6,228.7,115.8,129.9,217.6,89.9,223.8,207.7,231.0,226.2,135.2,257.7,248.1,202.5,185.7,248.4,245.4,227.3,254.7,234.6,232.1,212.2,231.3,153.9
6,100.7,259.3,228.3,54.5,107.0,186.1,0.0,29.4,33.4,97.1,168.4,143.4,137.0,204.0,76.1,147.2,136.3,186.0,120.9,133.5,33.2,211.4,168.4,44.1,234.4,128.7,83.8,111.1,131.1,110.9,24.7,71.3,246.5,50.6,15.4,162.0,50.5,21.7,91.0,88.5,117.1,54.5,197.9
7,121.4,285.8,254.8,81.0,133.5,212.6,26.5,0.0,59.9,123.6,194.9,169.9,163.5,230.5,102.6,173.7,162.8,212.5,147.4,160.0,59.7,237.9,194.9,70.6,260.9,155.2,110.3,137.6,157.6,137.4,14.7,97.8,273.0,77.1,36.1,188.5,77.0,19.4,117.5,115.0,143.6,81.0,224.4
8,133.3,248.6,217.6,43.8,96.3,175.4,33.4,62.8,0.0,86.4,157.7,132.7,126.3,193.3,65.4,136.5,119.2,175.3,110.2,122.8,16.1,200.7,157.7,33.4,223.7,118.0,73.1,100.4,120.4,100.2,58.1,60.6,235.8,39.9,48.8,144.9,39.8,55.1,80.3,77.8,106.4,43.8,187.2
9,196.9,251.4,220.4,74.1,9.9,178.2,96.2,125.6,92.1,0.0,181.5,151.3,120.9,196.1,47.7,131.1,141.4,178.1,139.3,117.4,91.9,203.5,181.5,80.8,251.9,112.6,67.7,129.5,115.0,144.4,120.9,42.9,238.6,84.1,111.6,167.1,63.3,117.9,124.5,46.6,101.0,74.1,190.0
