,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,157.4,200.2,126.9,241.6,228.2,143.4,157.9,212.2,226.8,179.0,155.5,207.7
1,160.4,0.0,85.9,61.1,103.4,189.4,130.6,38.9,122.6,188.0,140.2,37.6,168.9
2,197.1,89.0,0.0,132.1,67.2,148.3,78.3,109.9,58.0,146.9,99.1,100.9,127.8
3,127.6,64.3,138.6,0.0,156.1,177.9,93.1,45.8,161.9,176.5,128.7,77.5,157.4
4,195.2,184.6,119.7,154.7,0.0,86.0,76.4,185.7,131.7,84.6,36.8,186.9,65.5
5,224.7,214.1,149.2,184.2,192.3,0.0,105.9,215.2,161.2,64.2,46.0,216.4,45.1
6,139.8,133.4,84.4,99.3,127.5,112.4,0.0,130.3,96.4,111.0,63.2,131.5,91.9
7,158.6,42.2,116.5,39.3,134.0,208.9,124.1,0.0,153.2,207.5,159.7,61.3,188.4
8,215.7,119.2,58.0,162.3,97.4,166.9,96.9,140.1,0.0,165.5,117.7,131.1,146.4
9,229.2,196.0,150.1,188.7,154.0,63.9,110.4,216.9,165.7,0.0,50.5,207.9,21.8
10,178.7,168.1,103.2,138.2,146.3,49.2,59.9,169.2,115.2,47.8,0.0,170.4,28.7
11,158.4,31.1,97.8,74.2,115.3,201.3,128.6,58.0,134.5,199.9,152.1,0.0,180.8
12,207.4,196.8,131.9,166.9,173.1,42.1,88.6,197.9,143.9,19.1,28.7,199.1,0.0
