,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,336.8,463.6,397.8,337.3,487.9,385.4,461.1,273.6,468.2,396.7,318.4,588.0
1,337.5,0.0,291.7,311.2,70.4,330.5,199.0,270.5,125.8,255.4,201.1,137.6,408.2
2,471.2,298.5,0.0,221.6,281.7,252.7,256.3,111.6,208.4,120.7,294.6,271.6,146.2
3,398.8,307.6,190.5,0.0,290.8,384.0,377.5,242.9,182.2,252.0,379.6,320.0,336.7
4,339.0,79.1,274.5,294.0,0.0,313.3,181.8,253.3,108.6,238.2,183.9,120.4,391.0
5,466.3,334.8,251.0,413.1,318.0,0.0,251.3,179.3,327.3,164.2,289.6,257.3,154.5
6,387.8,201.0,263.5,375.0,184.2,251.8,0.0,191.8,189.6,176.7,99.6,63.6,351.3
7,465.9,265.5,117.2,279.3,248.7,178.4,182.0,0.0,203.1,65.5,220.3,197.3,225.0
8,286.2,125.4,209.4,185.4,108.6,330.7,195.3,199.0,0.0,208.1,197.4,137.8,325.9
9,466.8,258.6,118.1,280.2,241.8,171.5,175.1,65.6,204.0,0.0,213.4,190.4,225.9
10,413.3,212.9,300.2,386.9,196.1,288.5,102.3,228.5,201.5,213.4,0.0,89.1,388.0
11,324.2,142.9,276.8,320.8,126.1,265.1,67.0,205.1,135.4,190.0,78.3,0.0,364.6
12,587.7,415.0,146.2,367.8,398.2,146.5,350.8,228.1,324.9,237.2,389.1,366.1,0.0
