,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,166.1,157.5,198.0,155.6,138.8,245.1,188.1,119.5,232.7,121.2,141.2,101.6,220.2,270.2,228.2,155.5,207.7
1,166.8,0.0,8.6,171.9,144.5,127.7,234.0,177.0,93.6,221.6,112.7,130.1,61.2,232.5,259.1,181.9,116.7,196.6
2,158.2,8.6,0.0,163.3,135.9,119.1,225.4,168.4,85.0,213.0,104.1,121.5,52.6,223.9,250.5,173.3,108.1,188.0
3,194.9,165.4,156.8,0.0,73.5,77.2,163.0,18.0,145.4,150.6,111.4,79.6,116.9,98.5,188.1,47.9,95.0,125.6
4,155.3,154.0,145.4,77.6,0.0,37.6,89.5,67.7,123.9,77.1,143.0,40.0,89.5,138.2,114.6,109.5,147.0,52.1
5,141.5,140.2,131.6,76.8,34.4,0.0,123.9,66.9,110.1,111.5,129.2,2.4,75.7,159.3,149.0,108.7,133.2,86.5
6,221.7,220.4,211.8,144.0,66.4,104.0,0.0,134.1,190.3,90.8,209.4,106.4,155.9,151.9,25.1,175.9,213.4,65.8
7,185.0,183.4,174.8,18.0,63.6,67.3,153.1,0.0,153.6,140.7,129.4,69.7,119.2,116.5,178.2,65.9,113.0,115.7
8,119.2,90.1,81.5,142.5,117.5,100.7,207.0,150.0,0.0,194.6,75.8,103.1,34.2,200.6,232.1,152.5,79.8,169.6
9,252.7,251.4,242.8,175.0,97.4,135.0,31.0,165.1,221.3,0.0,240.4,137.4,186.9,182.9,56.1,206.9,244.4,96.8
10,118.6,109.4,100.8,108.2,136.8,120.0,226.3,126.2,82.0,213.9,0.0,122.4,53.5,124.8,251.4,118.2,45.5,188.9
11,143.9,142.6,134.0,79.2,36.8,2.4,126.3,69.3,112.5,113.9,131.6,0.0,78.1,161.7,151.4,111.1,135.6,88.9
12,105.6,64.5,55.9,120.2,83.3,66.5,172.8,115.8,34.4,160.4,53.5,68.9,0.0,178.3,197.9,130.2,57.5,135.4
13,219.6,223.2,214.6,89.1,138.8,156.8,138.1,107.1,196.3,125.7,114.3,159.2,167.8,0.0,163.2,85.5,152.8,95.2
14,196.6,195.3,186.7,118.9,41.3,78.9,78.1,109.0,165.2,65.7,184.3,81.3,130.8,126.8,0.0,150.8,188.3,40.7
15,208.6,207.3,198.7,130.9,53.3,90.9,116.3,121.0,177.2,103.9,196.3,93.3,142.8,165.0,141.4,0.0,200.3,78.9
16,158.4,113.4,104.8,91.9,140.8,124.0,218.2,109.9,86.0,205.8,52.0,126.4,57.5,152.5,243.3,101.9,0.0,180.8
17,207.4,206.1,197.5,129.7,52.1,89.7,42.9,119.8,176.0,30.5,188.5,92.1,141.6,86.1,68.0,159.7,199.1,0.0
