,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,573.5,403.5,615.3,371.3,252.8,448.7,600.7,223.2,302.1,382.5,453.7,503.3,279.1,518.1,458.4,318.4,588.0
1,576.7,0.0,250.3,41.8,353.6,444.7,218.4,219.0,455.0,380.0,402.0,328.1,218.0,385.5,136.2,214.4,355.1,72.5
2,431.6,242.7,0.0,284.5,321.9,360.9,209.9,267.2,443.5,296.2,409.7,296.4,319.9,301.7,187.3,160.7,319.7,257.2
3,622.6,45.9,296.2,0.0,399.5,490.6,264.3,261.2,493.8,425.9,440.8,374.0,256.8,431.4,182.1,260.3,401.0,111.3
4,373.7,347.5,329.8,389.3,0.0,297.7,167.9,404.3,217.0,197.5,183.2,172.9,277.9,199.5,269.5,199.8,49.5,362.0
5,238.1,431.2,338.5,473.0,292.3,0.0,343.3,494.6,204.2,159.8,322.1,348.3,453.3,136.8,375.8,316.1,245.0,445.7
6,456.1,210.0,215.2,251.8,173.7,354.2,0.0,266.8,253.1,254.0,200.1,148.2,110.0,256.0,132.0,85.2,175.2,224.5
7,637.6,213.4,280.6,255.2,417.5,513.6,282.3,0.0,534.2,448.9,481.2,392.0,297.2,454.4,200.1,283.3,419.0,151.7
8,230.3,469.9,438.7,511.7,212.9,201.3,284.4,526.7,0.0,261.9,205.0,295.3,280.1,238.9,391.9,322.2,160.0,419.2
9,298.1,372.8,296.0,414.6,198.3,166.1,249.3,436.2,261.9,0.0,228.1,254.3,359.3,23.0,317.4,257.7,151.0,387.3
10,383.8,422.8,399.7,464.6,173.9,326.9,212.8,479.6,176.4,226.7,0.0,256.3,208.5,228.7,344.8,283.2,121.0,347.6
11,452.7,327.5,309.8,369.3,178.6,350.8,147.9,384.3,296.0,250.6,262.2,0.0,257.9,252.6,249.5,179.8,171.8,342.0
12,477.4,228.3,317.7,271.3,276.2,448.4,102.5,306.1,247.1,356.5,194.1,250.7,0.0,358.5,234.5,187.7,268.4,152.3
13,275.1,370.0,293.2,411.8,208.7,143.1,259.7,433.4,242.7,23.0,238.5,264.7,369.7,0.0,314.6,254.9,161.4,384.5
14,529.3,133.9,202.9,175.7,264.9,397.3,129.7,190.7,382.8,332.6,329.8,239.4,239.7,338.1,0.0,167.0,266.4,148.4
15,463.5,211.9,174.2,253.7,197.2,331.5,85.2,275.3,322.9,266.8,285.3,171.7,195.2,272.3,156.5,0.0,198.7,226.4
16,324.2,350.1,326.5,391.9,52.9,253.7,170.5,406.9,167.5,153.5,133.7,175.5,280.5,155.5,272.1,202.4,0.0,364.6
17,587.7,76.0,261.3,119.0,364.6,455.7,229.4,153.8,382.5,391.0,329.5,339.1,145.5,396.5,147.2,225.4,366.1,0.0
