,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,1026.8,852.8,1519.4,1370.7,1072.6,899.7,736.3,1303.9,1055.1,995.0,1416.4,796.0,862.2,1333.5,881.1,747.3,1427.1,817.7,501.5,900.5,721.3,1513.9
1,1026.8,0.0,484.8,794.2,423.1,650.4,409.1,495.6,768.2,438.4,632.6,880.7,305.8,740.6,797.8,559.5,641.5,822.5,793.3,569.3,845.1,480.6,680.4
2,852.8,484.8,0.0,930.6,581.5,478.7,89.1,165.9,715.1,321.5,344.9,827.6,355.4,324.5,744.7,74.7,336.2,838.3,377.2,383.9,616.2,131.5,838.8
3,1519.4,794.2,930.6,0.0,538.8,493.1,876.9,952.3,301.4,673.5,593.1,190.4,1020.8,740.3,370.5,1005.3,963.8,157.0,740.7,1219.7,672.7,980.3,113.8
4,1370.7,423.1,581.5,538.8,0.0,747.1,505.8,705.2,730.9,535.1,729.3,689.8,649.7,837.3,790.0,656.2,875.5,567.1,890.0,913.2,941.8,670.8,425.0
5,1072.6,650.4,478.7,493.1,747.1,0.0,524.5,496.4,277.6,255.7,133.8,390.1,735.3,281.0,307.2,553.4,504.5,400.8,281.4,763.8,274.9,524.4,487.6
6,899.7,409.1,89.1,876.9,505.8,524.5,0.0,212.8,713.6,320.0,391.0,826.1,402.3,371.4,743.2,163.8,383.1,836.8,424.1,430.8,662.3,178.4,763.1
7,736.3,495.6,165.9,952.3,705.2,496.4,212.8,0.0,736.8,343.2,362.6,849.3,238.9,304.7,766.4,194.2,193.5,860.0,308.1,267.4,633.9,34.4,946.8
8,1303.9,768.2,715.1,301.4,730.9,277.6,713.6,736.8,0.0,458.0,377.6,143.0,975.7,524.8,168.3,789.8,748.3,219.1,525.2,1004.2,457.2,764.8,305.9
9,1055.1,438.4,321.5,673.5,535.1,255.7,320.0,343.2,458.0,0.0,237.9,570.5,582.1,371.4,487.6,396.2,452.1,581.2,424.1,610.6,450.4,371.2,668.0
10,995.0,632.6,344.9,593.1,729.3,133.8,391.0,362.6,377.6,237.9,0.0,490.1,601.5,202.4,407.2,419.6,374.4,500.8,202.8,630.0,289.7,390.6,587.6
11,1416.4,880.7,827.6,190.4,689.8,390.1,826.1,849.3,143.0,570.5,490.1,0.0,1088.2,637.3,273.9,902.3,860.8,192.9,637.7,1116.7,569.7,877.3,264.8
12,796.0,305.8,355.4,1020.8,649.7,735.3,402.3,238.9,975.7,582.1,601.5,1088.2,0.0,543.6,1005.3,383.7,384.8,1049.1,547.0,338.5,872.8,223.9,907.0
13,862.2,740.6,324.5,740.3,837.3,281.0,371.4,304.7,524.8,371.4,202.4,637.3,543.6,0.0,554.4,399.2,231.5,648.0,52.7,572.1,356.7,332.7,734.8
14,1333.5,797.8,744.7,370.5,790.0,307.2,743.2,766.4,168.3,487.6,407.2,273.9,1005.3,554.4,0.0,819.4,777.9,278.2,554.8,1033.8,486.8,794.4,365.0
15,881.1,559.5,74.7,1005.3,656.2,553.4,163.8,194.2,789.8,396.2,419.6,902.3,383.7,399.2,819.4,0.0,364.5,913.0,442.3,412.2,690.9,159.8,913.5
16,747.3,641.5,336.2,963.8,875.5,504.5,383.1,193.5,748.3,452.1,374.4,860.8,384.8,231.5,777.9,364.5,0.0,871.5,234.8,345.9,560.1,204.7,958.3
17,1427.1,822.5,838.3,157.0,567.1,400.8,836.8,860.0,219.1,581.2,500.8,192.9,1049.1,648.0,278.2,913.0,871.5,0.0,648.4,1127.4,580.4,888.0,142.1
18,817.7,793.3,377.2,740.7,890.0,281.4,424.1,308.1,525.2,424.1,202.8,637.7,547.0,52.7,554.8,442.3,234.8,648.4,0.0,575.5,346.5,336.1,735.2
19,501.5,569.3,383.9,1219.7,913.2,763.8,430.8,267.4,1004.2,610.6,630.0,1116.7,338.5,572.1,1033.8,412.2,345.9,1127.4,575.5,0.0,901.3,252.4,1170.5
20,900.5,845.1,616.2,672.7,941.8,274.9,662.3,633.9,457.2,450.4,289.7,569.7,872.8,356.7,486.8,690.9,560.1,580.4,346.5,901.3,0.0,661.9,667.2
21,721.3,480.6,131.5,980.3,670.8,524.4,178.4,34.4,764.8,371.2,390.6,877.3,223.9,332.7,794.4,159.8,204.7,888.0,336.1,252.4,661.9,0.0,928.1
22,1513.9,680.4,838.8,113.8,425.0,487.6,763.1,946.8,305.9,668.0,587.6,264.8,907.0,734.8,365.0,913.5,958.3,142.1,735.2,1170.5,667.2,928.1,0.0
