,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,225.2,379.0,624.7,190.9,447.6,595.4,576.0,345.1,378.5,404.7,434.3,608.6,541.0,416.1,590.6,408.8,262.0,458.4,333.4,318.7,318.4,588.0
1,225.2,0.0,258.7,432.4,38.8,304.8,448.4,488.6,152.8,340.7,200.9,291.5,416.3,453.6,318.3,398.3,288.5,301.2,266.1,235.6,216.3,207.6,395.7
2,389.6,281.5,0.0,381.3,291.2,149.4,352.6,333.2,181.4,255.1,313.6,85.3,365.2,298.2,232.7,347.2,49.1,215.6,182.4,150.0,224.9,65.4,344.6
3,632.6,459.9,397.3,0.0,469.6,285.7,112.7,230.9,329.7,374.3,307.4,361.9,58.3,167.1,358.6,113.6,398.8,517.9,270.3,406.0,481.0,411.0,60.0
4,186.4,34.3,271.6,445.3,0.0,317.7,461.3,501.5,165.7,353.6,213.8,304.4,429.2,466.5,331.2,411.2,301.4,314.1,279.0,248.5,197.8,220.5,408.6
5,450.8,320.7,156.2,284.8,330.4,0.0,256.1,236.7,200.1,238.9,211.1,120.8,268.7,201.7,223.2,250.7,157.7,276.8,79.9,211.2,260.2,169.9,248.1
6,570.2,475.2,356.8,127.3,484.9,245.2,0.0,118.2,345.0,271.7,322.7,321.4,138.6,54.4,256.0,117.7,358.3,443.5,280.5,303.4,460.8,361.2,60.2
7,546.2,497.3,332.8,249.2,507.0,221.2,121.9,0.0,376.7,247.7,387.7,297.4,260.5,67.5,232.0,239.6,334.3,419.5,256.5,279.4,436.8,337.2,182.1
8,345.7,173.0,184.8,314.3,182.7,196.1,330.3,379.9,0.0,318.5,201.0,225.9,298.2,344.9,296.1,280.2,214.6,279.0,148.0,213.4,194.1,170.3,277.6
9,355.7,353.6,236.5,396.3,363.3,244.3,282.2,262.8,303.0,0.0,410.8,291.8,407.6,227.8,118.9,386.7,266.3,229.0,279.6,97.7,293.1,175.9,329.2
10,432.8,236.7,310.9,295.1,246.4,210.0,311.1,393.8,191.2,396.0,0.0,275.5,279.0,358.8,380.3,261.0,312.4,427.4,161.9,361.8,342.5,320.9,258.4
11,441.4,311.3,96.1,348.6,321.0,116.7,319.9,300.5,220.1,302.7,280.9,0.0,332.5,265.5,284.5,314.5,97.6,267.4,149.7,201.8,250.8,134.1,311.9
12,616.0,443.3,380.7,49.5,453.0,269.1,123.5,241.7,313.1,385.1,290.8,345.3,0.0,177.9,369.4,124.4,382.2,501.3,253.7,416.8,464.4,394.4,70.8
13,515.8,466.9,302.4,181.7,476.6,190.8,54.4,63.8,346.3,217.3,357.3,267.0,193.0,0.0,201.6,172.1,303.9,389.1,226.1,249.0,406.4,306.8,114.6
14,408.1,333.0,215.9,379.6,342.7,227.6,265.5,246.1,282.4,109.6,394.1,271.2,390.9,211.1,0.0,370.0,245.7,244.1,262.9,97.5,272.5,155.3,312.5
15,594.2,421.5,358.9,108.1,431.2,247.3,105.6,223.8,291.3,367.2,269.0,323.5,119.4,160.0,351.5,0.0,360.4,479.5,231.9,398.9,442.6,372.6,52.9
16,419.0,310.9,56.8,383.0,320.6,151.1,354.3,334.9,210.8,284.5,315.3,87.0,366.9,299.9,262.1,348.9,0.0,245.0,184.1,179.4,254.3,94.8,346.3
17,261.7,329.2,212.1,512.6,311.4,280.7,461.4,442.0,278.6,260.3,431.4,267.4,496.5,407.0,249.2,478.5,241.9,0.0,313.7,166.5,215.8,151.5,475.9
18,463.5,290.8,185.0,263.1,300.5,84.1,279.1,267.9,160.6,270.1,175.4,149.6,247.0,232.9,254.4,229.0,186.5,305.6,0.0,240.0,289.0,198.7,226.4
19,341.0,255.9,138.8,420.9,265.6,207.4,306.8,287.4,205.3,105.1,358.1,194.1,423.2,252.4,94.6,405.2,168.6,167.0,240.4,0.0,195.4,78.2,353.8
20,323.9,233.4,218.6,470.0,199.1,260.8,464.0,444.6,190.4,296.7,343.2,247.5,453.9,409.6,274.3,435.9,248.4,203.4,293.8,191.6,0.0,163.6,433.3
21,324.2,225.5,60.6,401.3,235.2,169.4,372.6,353.2,168.1,189.7,327.7,126.6,385.2,318.2,167.3,367.2,90.4,150.2,202.4,84.6,165.0,0.0,364.6
22,587.7,415.0,352.4,67.1,424.7,240.8,52.7,170.9,284.8,314.3,262.5,317.0,78.4,107.1,298.6,57.5,353.9,473.0,225.4,346.0,436.1,366.1,0.0
