,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,148.4,203.0,128.2,233.4,251.1,187.3,168.7,207.9,222.7,136.6,143.4,188.1,94.0,224.6,237.7,216.3,138.2,70.3,213.4,76.1,155.5,207.7
1,148.6,0.0,145.9,64.9,136.8,122.7,38.9,148.4,150.8,95.7,12.3,29.8,39.7,132.8,136.5,91.0,141.6,119.4,181.7,137.4,166.9,128.6,79.3
2,208.4,142.7,0.0,163.4,171.2,238.2,153.6,97.7,4.9,130.1,155.0,172.5,123.9,169.9,170.9,125.4,52.9,120.4,147.4,171.8,132.6,85.6,194.8
3,126.6,56.7,165.8,0.0,182.2,159.4,95.6,127.9,170.7,152.4,44.9,51.7,96.4,110.8,193.2,147.7,179.1,97.4,159.7,194.1,144.9,118.3,116.0
4,236.0,133.9,178.1,195.7,0.0,120.9,144.8,180.6,183.0,38.2,143.1,160.6,115.1,238.2,24.3,103.0,173.8,203.3,162.8,66.7,182.3,160.8,72.0
5,215.7,88.4,234.3,132.0,126.0,0.0,127.3,217.0,239.2,164.2,79.4,96.9,128.1,199.9,150.3,179.4,230.0,186.5,248.8,192.7,234.0,207.4,59.8
6,187.5,38.9,163.4,103.8,154.3,161.6,0.0,165.9,168.3,113.2,51.2,68.7,57.2,171.7,154.0,108.5,159.1,158.3,207.9,154.9,193.1,146.1,118.2
7,169.4,139.9,98.6,119.7,186.7,242.6,169.1,0.0,103.5,145.6,128.1,134.9,139.4,130.1,186.4,140.9,111.9,61.4,133.9,184.9,119.1,72.1,199.2
8,213.3,147.6,4.9,168.3,176.1,243.1,158.5,102.6,0.0,135.0,159.9,177.4,128.8,174.8,175.8,130.3,57.8,125.3,152.3,176.7,137.5,90.5,199.7
9,215.8,95.7,139.9,160.6,41.1,162.0,106.6,142.4,144.8,0.0,108.0,125.5,76.9,206.9,40.8,64.8,135.6,165.1,142.6,41.7,157.3,122.6,113.1
10,136.3,11.8,157.7,52.6,137.3,114.5,50.7,137.6,162.6,107.5,0.0,17.5,51.5,120.5,148.3,102.8,153.4,107.1,169.4,149.2,154.6,128.0,71.1
11,139.8,32.6,178.5,56.1,158.1,135.3,71.5,141.1,183.4,128.3,20.8,0.0,72.3,124.0,169.1,123.6,174.2,110.6,172.9,170.0,158.1,131.5,91.9
12,185.0,36.4,130.3,101.3,121.2,159.1,47.3,132.8,135.2,80.1,48.7,66.2,0.0,169.2,120.9,75.4,126.0,155.5,174.8,121.8,160.0,113.0,115.7
13,93.8,125.9,161.1,105.7,239.1,228.6,164.8,126.5,166.0,200.5,114.1,120.9,165.6,0.0,238.8,195.8,174.4,96.0,128.7,206.0,134.5,113.6,185.2
14,224.0,130.3,174.5,195.2,27.6,148.5,141.2,177.0,179.4,34.6,142.6,160.1,111.5,234.6,0.0,99.4,170.2,199.7,150.8,63.1,170.4,157.2,99.6
15,199.1,71.8,217.7,115.4,135.6,112.8,110.7,200.4,222.6,167.5,62.8,80.3,111.5,183.3,159.9,0.0,213.4,169.9,232.2,202.3,217.4,190.8,69.4
16,221.5,138.4,59.2,176.5,166.9,233.9,149.3,110.8,64.1,125.8,150.7,168.2,119.6,183.0,166.6,121.1,0.0,133.5,160.5,167.5,145.7,98.7,190.5
17,138.9,109.4,121.2,89.2,209.3,212.1,148.3,67.9,126.1,168.2,97.6,104.4,149.1,99.6,209.0,163.5,134.5,0.0,130.2,181.2,115.4,88.8,168.7
18,73.2,172.8,143.9,152.6,163.1,253.0,206.8,136.0,148.8,152.4,161.0,167.8,177.1,118.4,154.3,178.6,157.2,132.4,0.0,143.1,19.6,96.4,204.1
19,206.6,144.1,181.1,197.5,72.2,193.1,155.0,173.2,186.0,48.4,156.4,173.9,125.3,204.0,71.9,113.2,184.0,169.6,133.4,0.0,148.1,133.6,144.2
20,75.8,163.5,126.9,143.3,185.8,266.2,189.8,119.0,131.8,162.4,151.7,158.5,160.1,121.0,177.0,161.6,140.2,115.4,22.7,153.1,0.0,79.4,222.8
21,158.4,128.7,76.7,113.4,157.2,224.2,139.6,68.8,81.6,116.1,121.8,128.6,109.9,119.9,156.9,111.4,90.0,85.5,97.4,148.4,82.6,0.0,180.8
22,207.4,80.1,226.0,123.7,66.2,48.9,119.0,208.7,230.9,104.4,71.1,88.6,119.8,191.6,90.5,169.2,221.7,178.2,194.9,132.9,214.5,199.1,0.0
