,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,2002.3,1628.1,1197.2,1252.5,1983.2,1573.5,1475.3,1828.4,2051.9,1112.9,1881.1,1381.9,1328.0,2056.0,1072.1,1368.9,1188.0,1581.8,2039.5,1181.3,1083.3,1175.6,1762.6,1252.4,1333.1,999.1,2085.4
1,2002.3,0.0,839.4,853.4,1140.0,286.2,507.7,788.8,275.5,184.9,1430.5,583.8,1068.3,879.9,387.5,1197.5,669.5,893.4,743.5,158.2,1200.9,1400.9,1195.2,643.5,932.3,1225.5,1270.5,187.8
2,1628.1,839.4,0.0,1048.0,423.9,1046.6,854.0,644.0,965.3,895.1,696.7,255.6,532.4,1074.5,467.1,659.8,774.4,1088.1,436.6,918.5,537.0,726.2,531.3,1148.2,830.8,409.9,661.4,651.6
3,1197.2,853.4,1048.0,0.0,873.6,834.3,435.1,511.7,679.5,903.0,1034.3,1301.1,801.9,214.8,1136.2,859.5,348.6,88.4,786.6,890.6,868.4,1004.8,862.6,613.7,503.6,1276.4,916.9,936.5
4,1252.5,1140.0,423.9,873.6,0.0,1120.9,755.8,428.4,966.1,1189.6,431.5,677.0,165.7,900.1,851.9,251.8,610.8,913.7,507.2,1177.2,129.1,402.0,123.3,1149.0,459.4,652.3,253.4,1051.6
5,1983.2,286.2,1046.6,834.3,1120.9,0.0,488.6,769.7,277.2,458.9,1411.4,791.0,1049.2,860.8,594.7,1178.4,650.5,874.4,724.4,164.8,1181.9,1381.9,1176.1,633.2,913.2,1348.5,1251.5,395.0
6,1573.5,507.7,854.0,435.1,755.8,488.6,0.0,328.5,333.7,557.3,975.1,986.7,684.1,461.5,790.5,742.1,209.3,475.1,481.6,544.9,751.0,945.6,745.2,516.7,472.0,1082.4,815.1,590.7
7,1475.3,788.8,644.0,511.7,428.4,769.7,328.5,0.0,614.9,838.4,718.4,897.1,356.7,538.2,1072.0,485.4,215.8,551.7,382.6,826.0,489.4,688.9,483.6,727.0,372.4,872.4,558.4,871.9
8,1828.4,275.5,965.3,679.5,966.1,277.2,333.7,614.9,0.0,325.1,1256.6,754.5,894.4,706.0,558.3,1023.6,495.6,719.5,569.5,312.7,1027.0,1227.0,1021.3,469.6,758.3,1193.6,1096.6,358.6
9,2051.9,184.9,895.1,903.0,1189.6,458.9,557.3,838.4,325.1,0.0,1480.1,639.6,1117.9,929.5,443.3,1247.1,719.2,943.1,793.1,330.9,1250.6,1450.6,1244.8,604.0,981.9,1281.2,1320.2,243.6
10,1112.9,1430.5,696.7,1034.3,431.5,1411.4,975.1,718.4,1256.6,1480.1,0.0,949.7,560.9,1119.0,1124.7,251.1,829.6,1025.1,797.7,1467.7,360.4,29.5,354.6,1373.6,612.4,323.1,178.1,1324.4
11,1881.1,583.8,255.6,1301.1,677.0,791.0,986.7,897.1,754.5,639.6,949.7,0.0,785.4,1327.6,299.4,912.8,1027.4,1341.2,689.7,663.0,790.1,979.3,784.3,1122.6,1083.9,663.0,914.5,396.0
12,1381.9,1068.3,532.4,801.9,165.7,1049.2,684.1,356.7,894.4,1117.9,560.9,785.4,0.0,828.4,960.4,309.8,539.1,842.0,435.5,1105.5,262.9,531.4,257.2,1077.3,398.8,760.7,382.9,1151.4
13,1328.0,879.9,1074.5,214.8,900.1,860.8,461.5,538.2,706.0,929.5,1119.0,1327.6,828.4,0.0,1162.7,886.0,375.1,254.8,813.1,917.1,894.9,1089.4,889.1,552.8,530.1,1302.9,959.0,963.0
14,2056.0,387.5,467.1,1136.2,851.9,594.7,790.5,1072.0,558.3,443.3,1124.7,299.4,960.4,1162.7,0.0,1087.8,952.3,1176.2,864.6,466.7,965.0,1154.2,959.3,926.3,1215.1,837.9,1089.4,199.7
15,1072.1,1197.5,659.8,859.5,251.8,1178.4,742.1,485.4,1023.6,1247.1,251.1,912.8,309.8,886.0,1087.8,0.0,596.6,899.5,564.7,1234.7,180.6,221.6,174.9,1140.6,379.4,574.2,73.0,1280.6
16,1368.9,669.5,774.4,348.6,610.8,650.5,209.3,215.8,495.6,719.2,829.6,1027.4,539.1,375.1,952.3,596.6,0.0,388.6,513.0,706.8,605.5,800.1,599.8,553.1,267.4,1002.7,669.7,752.6
17,1188.0,893.4,1088.1,88.4,913.7,874.4,475.1,551.7,719.5,943.1,1025.1,1341.2,842.0,254.8,1176.2,899.5,388.6,0.0,826.7,930.7,908.4,995.5,902.7,653.8,543.6,1316.5,907.6,976.5
18,1581.8,743.5,436.6,786.6,507.2,724.4,481.6,382.6,569.5,793.1,797.7,689.7,435.5,813.1,864.6,564.7,513.0,826.7,0.0,780.7,568.1,768.2,562.4,752.5,582.1,665.0,637.7,826.5
19,2039.5,158.2,918.5,890.6,1177.2,164.8,544.9,826.0,312.7,330.9,1467.7,663.0,1105.5,917.1,466.7,1234.7,706.8,930.7,780.7,0.0,1238.2,1438.2,1232.4,680.7,969.5,1304.6,1307.7,267.0
20,1181.3,1200.9,537.0,868.4,129.1,1181.9,751.0,489.4,1027.0,1250.6,360.4,790.1,262.9,894.9,965.0,180.6,605.5,908.4,568.1,1238.2,0.0,330.8,5.8,1149.5,388.3,683.5,182.3,1164.7
21,1083.3,1400.9,726.2,1004.8,402.0,1381.9,945.6,688.9,1227.0,1450.6,29.5,979.3,531.4,1089.4,1154.2,221.6,800.1,995.5,768.2,1438.2,330.8,0.0,325.1,1344.1,582.9,352.6,148.5,1353.9
22,1175.6,1195.2,531.3,862.6,123.3,1176.1,745.2,483.6,1021.3,1244.8,354.6,784.3,257.2,889.1,959.3,174.9,599.8,902.7,562.4,1232.4,5.8,325.1,0.0,1143.7,382.5,677.7,176.5,1159.0
23,1762.6,643.5,1148.2,613.7,1149.0,633.2,516.7,727.0,469.6,604.0,1373.6,1122.6,1077.3,552.8,926.3,1140.6,553.1,653.8,752.5,680.7,1149.5,1344.1,1143.7,0.0,815.8,1376.6,1213.6,726.6
24,1252.4,932.3,830.8,503.6,459.4,913.2,472.0,372.4,758.3,981.9,612.4,1083.9,398.8,530.1,1215.1,379.4,267.4,543.6,582.1,969.5,388.3,582.9,382.5,815.8,0.0,935.5,452.4,1015.3
25,1333.1,1225.5,409.9,1276.4,652.3,1348.5,1082.4,872.4,1193.6,1281.2,323.1,663.0,760.7,1302.9,837.9,574.2,1002.7,1316.5,665.0,1304.6,683.5,352.6,677.7,1376.6,935.5,0.0,501.2,1037.6
26,999.1,1270.5,661.4,916.9,253.4,1251.5,815.1,558.4,1096.6,1320.2,178.1,914.5,382.9,959.0,1089.4,73.0,669.7,907.6,637.7,1307.7,182.3,148.5,176.5,1213.6,452.4,501.2,0.0,1289.1
27,2085.4,187.8,651.6,936.5,1051.6,395.0,590.7,871.9,358.6,243.6,1324.4,396.0,1151.4,963.0,199.7,1280.6,752.6,976.5,826.5,267.0,1164.7,1353.9,1159.0,726.6,1015.3,1037.6,1289.1,0.0
