,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,581.9,458.4,486.5,427.3,540.0,599.5,252.7,403.6,444.1,594.4,587.5,470.7,460.8,527.0,587.9,352.7,447.6,375.3,462.3,386.9,538.5,326.4,436.4,605.4,379.0,318.4,588.0
1,575.6,0.0,234.9,220.9,182.2,88.4,60.1,378.7,330.9,326.3,103.3,46.5,239.3,215.7,230.3,136.3,333.0,228.7,356.5,135.4,348.2,110.8,354.6,163.2,92.3,340.3,354.0,60.2
2,461.5,229.6,0.0,149.3,48.6,187.7,247.2,205.3,157.5,203.8,242.1,235.2,89.1,56.8,200.8,235.6,159.6,66.0,183.1,129.2,174.8,186.2,235.1,84.1,253.1,166.9,180.6,235.7
3,475.7,227.4,150.7,0.0,98.0,185.5,245.0,316.5,268.7,315.0,239.9,233.0,200.3,131.5,312.0,233.4,270.8,177.2,294.3,86.0,286.0,184.0,254.7,107.1,250.9,278.1,291.8,233.5
4,428.0,181.0,52.7,100.7,0.0,139.1,198.6,218.5,170.7,217.0,193.5,186.6,102.3,33.5,214.0,187.0,172.8,79.2,196.3,80.6,188.0,137.6,207.0,35.5,204.5,180.1,193.8,187.1
5,543.4,89.8,202.7,188.7,150.0,0.0,107.4,346.5,298.7,321.8,54.4,95.4,207.1,183.5,266.0,47.9,300.8,196.5,324.3,103.2,316.0,78.6,322.4,131.0,65.4,308.1,321.8,95.9
6,603.1,64.0,262.4,248.4,209.7,115.9,0.0,406.2,358.4,327.9,104.9,51.2,266.8,243.2,231.9,147.7,360.5,256.2,384.0,162.9,375.7,138.3,382.1,190.7,93.9,367.8,381.5,61.8
7,256.2,384.0,205.7,323.7,223.0,342.1,401.6,0.0,150.9,224.3,396.5,389.6,218.0,230.3,307.2,390.0,100.0,194.9,122.6,303.6,134.2,340.6,147.1,258.5,407.5,126.3,65.7,390.1
8,406.2,336.7,158.4,276.4,175.7,294.8,354.3,150.0,0.0,285.4,349.2,342.3,170.7,183.0,282.4,342.7,74.0,147.6,60.2,256.3,51.9,293.3,205.7,211.2,360.2,44.0,82.0,342.8
9,421.0,338.5,208.8,326.8,226.1,322.3,347.0,218.6,297.2,0.0,335.6,348.3,123.8,233.4,165.2,370.2,246.3,195.7,268.9,306.7,280.5,320.8,293.4,261.6,324.6,272.6,212.0,280.6
10,597.7,105.6,257.0,243.0,204.3,54.3,113.1,400.8,353.0,317.7,0.0,115.4,261.4,237.8,221.7,55.1,355.1,250.8,378.6,157.5,370.3,132.9,376.7,185.3,11.0,362.4,376.1,51.6
11,594.2,48.6,253.5,239.5,200.8,107.0,42.9,397.3,349.5,332.0,109.0,0.0,257.9,234.3,236.0,147.8,351.6,247.3,375.1,154.0,366.8,129.4,373.2,181.8,98.0,358.9,372.6,65.9
12,461.4,240.4,85.0,203.0,102.3,198.5,258.0,221.9,174.1,114.7,252.9,246.0,0.0,109.6,111.7,246.4,176.2,71.9,199.7,182.9,191.4,197.0,251.7,137.8,263.9,183.5,197.2,227.1
13,465.6,218.6,56.8,138.3,37.6,176.7,236.2,221.7,173.9,220.2,231.1,224.2,105.5,0.0,217.2,224.6,176.0,82.4,199.5,118.2,191.2,175.2,244.6,73.1,242.1,183.3,197.0,224.7
14,501.2,239.0,189.3,307.3,206.6,281.6,247.5,298.8,278.4,154.5,236.1,248.8,104.3,213.9,0.0,291.2,280.5,176.2,304.0,287.2,295.7,301.3,356.0,242.1,225.1,287.8,292.2,181.1
15,585.9,132.3,245.2,231.2,192.5,42.5,149.9,389.0,341.2,364.3,58.1,137.9,249.6,226.0,279.8,0.0,343.3,239.0,366.8,145.7,358.5,121.1,364.9,173.5,69.1,350.6,364.3,109.7
16,365.4,334.0,155.7,273.7,173.0,292.1,351.6,109.2,72.6,269.4,346.5,339.6,168.0,180.3,279.7,340.0,0.0,144.9,44.3,253.6,55.9,290.6,151.3,208.5,357.5,48.0,41.2,340.1
17,450.8,242.0,57.7,175.7,75.0,200.1,259.6,194.6,146.8,190.7,254.5,247.6,76.0,82.3,187.7,248.0,148.9,0.0,172.4,155.6,164.1,198.6,224.4,110.5,265.5,156.2,169.9,248.1
