,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,211.3,201.8,169.8,169.9,269.1,208.8,101.0,216.7,184.7,235.4,192.3,229.7,202.4,229.3,246.0,172.3,218.1,197.3,152.1,205.4,186.7,113.5,180.0,228.5,193.5,155.5,207.7
1,207.8,0.0,133.9,92.0,102.0,89.6,29.3,201.2,217.0,154.0,55.9,15.8,145.3,134.5,123.4,66.5,212.1,151.9,231.6,56.0,228.8,45.4,153.9,112.1,49.0,216.9,199.5,28.2
2,198.7,133.0,0.0,80.1,28.6,190.8,130.5,121.4,107.2,101.0,157.1,114.0,53.7,46.6,111.9,167.7,102.3,42.1,121.8,73.8,119.0,108.4,109.3,53.7,150.2,107.1,99.3,129.4
3,165.3,97.6,82.9,0.0,51.0,155.4,95.1,158.7,166.0,159.8,121.7,78.6,112.5,83.5,170.7,132.3,161.1,100.9,180.6,38.4,177.8,73.0,111.4,61.1,114.8,165.9,157.0,94.0
4,170.1,104.4,31.9,51.5,0.0,162.2,101.9,129.2,115.0,108.8,128.5,85.4,61.5,32.5,119.7,139.1,110.1,49.9,129.6,45.2,126.8,79.8,116.2,25.1,121.6,114.9,107.1,100.8
5,197.7,45.4,123.8,81.9,91.9,0.0,42.9,191.1,206.9,167.6,69.5,26.4,153.4,124.4,137.0,80.1,202.0,141.8,221.5,45.9,218.7,35.3,143.8,102.0,62.6,206.8,189.4,41.8
6,211.8,29.6,137.9,96.0,106.0,81.9,0.0,205.2,221.0,146.3,48.2,19.8,137.6,138.5,115.7,58.8,216.1,155.9,235.6,60.0,232.8,49.4,157.9,116.1,41.3,220.9,203.5,20.5
7,100.7,201.5,121.5,160.0,132.5,259.3,199.0,0.0,115.7,99.5,225.6,182.5,128.7,150.0,165.7,236.2,71.3,117.1,96.3,142.3,104.4,176.9,50.6,157.6,218.7,92.5,54.5,197.9
8,215.5,195.2,107.0,169.5,118.0,253.0,192.7,114.8,0.0,161.5,219.3,176.2,114.2,135.5,172.4,229.9,61.5,102.6,58.4,163.2,55.6,170.6,102.7,143.1,212.4,43.7,92.7,191.6
9,181.2,159.0,101.2,163.7,112.2,200.7,157.6,97.8,168.5,0.0,167.0,149.2,50.7,129.7,66.2,177.6,125.0,83.2,150.0,150.1,158.1,151.2,104.3,137.3,160.1,146.2,108.2,133.8
10,231.4,79.1,157.5,115.6,125.6,33.7,76.6,224.8,240.6,201.3,0.0,60.1,187.1,158.1,170.7,10.6,235.7,175.5,255.2,79.6,252.4,69.0,177.5,135.7,96.3,240.5,223.1,75.5
11,192.0,19.0,118.1,76.2,86.2,76.8,16.5,185.4,201.2,141.2,43.1,0.0,132.5,118.7,110.6,53.7,196.3,136.1,215.8,40.2,213.0,29.6,138.1,96.3,36.2,201.1,183.7,15.4
12,228.5,125.1,50.5,113.0,61.5,182.9,122.6,132.0,117.8,47.3,149.2,106.1,0.0,79.0,58.2,159.8,112.9,32.5,132.4,99.4,129.6,100.5,119.9,86.6,142.3,117.7,109.9,121.5
13,205.9,140.2,46.6,87.3,35.8,198.0,137.7,143.4,129.2,123.0,164.3,121.2,75.7,0.0,133.9,174.9,124.3,64.1,143.8,81.0,141.0,115.6,131.3,60.9,157.4,129.1,121.3,136.6
14,228.7,129.5,102.5,165.0,113.5,171.2,128.1,158.5,169.8,60.7,137.5,119.7,52.0,131.0,0.0,148.1,164.9,84.5,184.4,151.4,181.6,149.3,165.0,138.6,130.6,169.7,161.9,104.3
15,220.8,68.5,146.9,105.0,115.0,23.1,66.0,214.2,230.0,190.7,92.6,49.5,176.5,147.5,160.1,0.0,225.1,164.9,244.6,69.0,241.8,58.4,166.9,125.1,85.7,229.9,212.5,64.9
16,175.3,187.4,99.2,161.7,110.2,245.2,184.9,74.6,61.9,136.6,211.5,168.4,106.4,127.7,164.6,222.1,0.0,94.8,42.5,154.2,50.6,162.8,62.5,135.3,204.6,38.7,52.5,183.8
17,216.8,92.6,35.7,98.2,46.7,150.4,90.1,117.2,103.0,83.1,116.7,73.6,35.8,64.2,94.0,127.3,98.1,0.0,117.6,66.9,114.8,68.0,105.1,71.8,109.8,102.9,95.1,89.0
18,196.1,208.2,120.0,182.5,131.0,266.0,205.7,95.4,65.0,157.4,232.3,189.2,127.2,148.5,185.4,242.9,42.1,115.6,0.0,175.0,53.7,183.6,83.3,156.1,225.4,41.8,73.3,204.6
19,151.8,59.2,77.9,36.0,46.0,117.0,56.7,145.2,161.0,154.8,83.3,40.2,107.5,78.5,150.8,93.9,156.1,95.9,175.6,0.0,172.8,34.6,97.9,56.1,76.4,160.9,143.5,55.6
20,210.8,200.8,112.6,175.1,123.6,258.6,198.3,110.1,55.7,167.1,224.9,181.8,119.8,141.1,178.0,235.5,56.8,108.2,53.7,168.8,0.0,176.2,98.0,148.7,218.0,11.9,88.0,197.2
21,189.6,45.4,115.7,73.8,83.8,103.2,42.9,183.0,198.8,167.6,69.5,26.4,145.3,116.3,137.0,80.1,193.9,133.7,213.4,37.8,210.6,0.0,135.7,93.9,62.6,198.7,181.3,41.8
22,117.5,150.9,112.6,109.4,109.5,208.7,148.4,47.3,106.8,109.3,175.0,131.9,119.8,141.1,175.5,185.6,62.4,108.2,87.4,91.7,95.5,126.3,0.0,119.6,168.1,83.6,45.6,147.3
