,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,209.5,248.9,124.0,151.5,64.9,203.3,207.3,191.6,239.2,183.8,186.8,208.9,198.2,70.6,170.6,190.6,238.2,198.0,175.3,135.2,101.2,228.1,209.5,154.1,131.4,66.2,201.3,74.3,165.7,191.6,155.5,207.7
1,208.3,0.0,225.6,93.1,74.7,151.6,6.2,155.3,110.0,241.3,139.7,158.8,133.3,140.8,163.2,63.2,33.6,214.9,95.5,126.8,123.0,120.0,114.3,186.2,126.6,166.5,167.6,55.2,159.5,147.8,110.0,85.5,184.4
2,217.9,219.9,0.0,196.8,205.6,156.5,213.7,188.8,133.8,130.2,126.0,72.5,166.8,174.3,178.7,171.7,224.1,92.5,140.2,225.8,200.0,223.7,171.8,70.5,96.3,114.7,174.3,245.7,182.4,216.2,133.8,209.6,62.0
3,127.0,90.7,221.3,0.0,32.7,88.9,84.5,99.1,113.9,211.6,143.6,159.2,100.7,90.0,100.5,51.8,71.8,210.2,99.4,105.5,60.3,38.7,118.2,181.9,126.5,103.8,104.9,82.5,96.8,100.2,113.9,36.7,180.1
4,147.8,78.9,217.7,32.6,0.0,91.1,72.7,131.7,102.1,213.8,131.8,150.9,125.4,122.6,102.7,40.0,60.0,207.0,87.6,93.7,62.5,59.5,106.4,178.3,118.7,106.0,107.1,70.7,99.0,102.4,102.1,17.6,176.5
5,61.4,148.2,184.0,81.4,90.2,0.0,142.0,180.5,126.7,174.3,118.9,121.9,182.1,171.4,22.2,109.3,129.3,173.3,133.1,110.4,84.6,108.3,173.8,144.6,89.2,66.5,17.8,140.0,25.9,100.8,126.7,94.2,142.8
6,202.1,6.2,219.4,86.9,68.5,145.4,0.0,149.1,103.8,235.1,133.5,152.6,127.1,134.6,157.0,57.0,27.4,208.7,89.3,120.6,116.8,113.8,108.1,180.0,120.4,160.3,161.4,49.0,153.3,141.6,103.8,79.3,178.2
7,200.5,165.6,184.8,90.8,123.5,179.7,159.4,0.0,115.7,227.9,145.4,150.9,28.5,17.8,191.3,117.4,162.6,138.0,101.2,196.3,151.1,129.5,47.7,178.3,132.3,183.4,195.7,173.3,187.6,191.0,115.7,127.5,138.1
8,188.5,110.2,160.4,117.1,98.7,127.1,104.0,112.2,0.0,180.8,47.3,98.3,90.2,97.7,149.3,62.0,114.4,149.7,14.5,158.5,147.0,144.0,71.2,121.0,34.2,85.3,144.9,136.0,153.0,179.5,0.0,109.5,119.2
9,247.2,271.1,130.7,226.1,234.9,185.8,264.9,216.3,185.0,0.0,177.2,92.3,194.3,201.8,208.0,222.9,274.0,120.0,191.4,255.1,229.3,253.0,199.3,121.7,147.5,117.3,203.6,284.7,211.7,245.5,185.0,238.9,89.5
10,180.7,140.0,152.6,146.9,128.5,119.3,133.8,142.0,53.9,173.0,0.0,90.5,120.0,127.5,141.5,91.8,144.2,141.9,60.3,188.3,162.8,173.8,101.0,113.2,26.4,77.5,137.1,165.8,145.2,179.0,53.9,139.3,111.4
11,183.4,185.4,164.3,162.3,171.1,122.0,179.2,187.4,99.3,82.5,91.5,0.0,165.4,172.9,144.2,137.2,189.6,153.6,105.7,191.3,165.5,189.2,146.4,124.9,61.8,76.4,139.8,211.2,147.9,181.7,99.3,175.1,123.1
12,202.2,137.1,156.3,92.5,125.2,181.4,130.9,22.0,87.2,199.4,116.9,122.4,0.0,7.5,193.0,88.9,141.3,109.5,72.7,185.4,152.8,131.2,19.2,149.8,103.8,154.9,197.4,162.9,189.3,192.7,87.2,129.2,109.6
13,194.7,147.8,167.0,85.0,117.7,173.9,141.6,14.5,97.9,210.1,127.6,133.1,10.7,0.0,185.5,99.6,152.0,120.2,83.4,190.5,145.3,123.7,29.9,160.5,114.5,165.6,189.9,167.5,181.8,185.2,97.9,121.7,120.3
14,70.4,167.2,203.0,100.4,109.2,19.0,161.0,199.5,145.7,193.3,137.9,140.9,201.1,190.4,0.0,128.3,148.3,192.3,152.1,129.4,64.6,127.3,192.8,163.6,108.2,85.5,4.4,159.0,3.7,119.8,145.7,113.2,161.8
15,170.3,56.9,177.7,55.1,36.7,113.6,50.7,107.4,62.1,193.4,91.8,110.9,85.4,92.9,125.2,0.0,61.1,167.0,47.6,96.5,85.0,82.0,66.4,138.3,78.7,128.5,129.6,79.5,121.5,117.5,62.1,47.5,136.5
16,196.0,33.7,223.6,80.8,62.4,139.3,27.5,153.3,108.0,239.3,137.7,156.8,131.3,138.8,150.9,61.2,0.0,212.9,93.5,114.5,110.7,107.7,112.3,184.2,124.6,154.2,155.3,42.9,147.2,135.5,108.0,73.2,182.4
17,243.9,227.8,83.2,197.4,216.3,182.5,221.6,126.9,159.8,126.3,152.0,98.5,104.9,112.4,204.7,179.6,232.0,0.0,163.4,251.8,226.0,236.1,109.9,96.5,122.3,140.7,200.3,253.6,208.4,242.2,159.8,227.1,36.5
18,194.9,95.7,166.8,102.6,84.2,133.5,89.5,97.7,14.5,183.7,53.7,101.2,75.7,83.2,155.7,47.5,99.9,156.1,0.0,144.0,132.5,129.5,56.7,127.4,40.6,91.7,151.3,121.5,159.4,165.0,14.5,95.0,125.6
19,177.2,135.4,248.2,110.0,91.6,115.8,129.2,209.1,166.2,238.5,183.1,186.1,189.5,197.0,131.3,104.1,116.5,237.5,151.7,0.0,117.5,136.9,170.5,208.8,153.4,130.7,133.6,127.2,127.6,96.7,166.2,102.4,207.0
20,134.8,121.1,224.6,54.3,63.1,83.4,114.9,153.4,144.3,214.9,159.5,162.5,155.0,144.3,64.4,82.2,102.2,213.9,129.8,113.1,0.0,81.2,148.6,185.2,129.8,107.1,68.8,112.9,60.7,103.5,144.3,67.1,183.4
21,104.2,117.8,248.4,32.3,59.8,116.0,111.6,131.4,141.0,238.7,170.7,186.3,133.0,122.3,126.0,78.9,98.9,237.7,126.5,132.6,87.4,0.0,145.3,209.0,153.6,130.9,121.6,109.6,123.9,127.3,141.0,63.8,207.2
22,221.2,117.9,165.2,111.5,106.4,177.5,111.7,41.0,68.0,185.7,97.7,103.2,19.0,26.5,194.9,69.7,122.1,118.4,53.5,166.2,154.7,150.2,0.0,130.6,84.6,135.7,195.3,143.7,191.2,187.2,68.0,117.2,118.5
23,226.0,256.5,181.5,204.9,213.7,164.6,250.3,258.5,170.4,71.3,162.6,71.1,236.5,244.0,186.8,208.3,252.8,170.8,176.8,233.9,208.1,231.8,217.5,0.0,132.9,96.1,182.4,263.5,190.5,224.3,170.4,217.7,140.3
24,154.3,123.6,126.2,130.5,112.1,92.9,117.4,125.6,37.5,146.6,29.7,64.1,103.6,111.1,115.1,75.4,127.8,115.5,43.9,162.2,136.4,157.4,84.6,86.8,0.0,51.1,110.7,149.4,118.8,152.6,37.5,122.9,85.0
25,129.9,175.6,153.7,108.8,117.6,68.5,169.4,184.5,96.4,107.8,88.6,72.8,162.5,170.0,90.7,134.3,156.7,143.0,102.8,137.8,112.0,135.7,143.5,114.3,58.9,0.0,86.3,167.4,94.4,128.2,96.4,121.6,112.5
26,66.0,162.8,198.6,96.0,104.8,14.6,156.6,195.1,141.3,188.9,133.5,136.5,196.7,186.0,4.4,123.9,143.9,187.9,147.7,125.0,69.0,122.9,188.4,159.2,103.8,81.1,0.0,154.6,8.1,115.4,141.3,108.8,157.4
27,200.1,61.8,249.8,84.9,66.5,143.4,55.6,179.5,134.2,265.5,163.9,183.0,157.5,165.0,155.0,72.1,42.9,239.1,119.7,118.6,114.8,111.8,138.5,210.4,150.8,158.3,159.4,0.0,151.3,139.6,134.2,77.3,208.6
28,74.1,163.8,206.7,97.0,105.8,22.7,157.6,196.1,149.4,197.0,141.6,144.6,197.7,187.0,3.7,124.9,144.9,196.0,155.8,129.3,60.9,123.9,191.3,167.3,111.9,89.2,8.1,155.6,0.0,119.7,149.4,109.8,165.5
29,166.4,155.2,237.4,103.5,111.4,105.0,149.0,202.6,180.1,227.7,172.3,175.3,204.2,193.5,120.5,123.9,136.3,226.7,171.5,102.0,106.7,130.4,190.3,198.0,142.6,119.9,122.8,147.0,116.8,0.0,180.1,116.3,196.2
30,188.5,110.2,160.4,117.1,98.7,127.1,104.0,112.2,0.0,180.8,47.3,98.3,90.2,97.7,149.3,62.0,114.4,149.7,14.5,158.5,147.0,144.0,71.2,121.0,34.2,85.3,144.9,136.0,153.0,179.5,0.0,109.5,119.2
31,158.4,83.2,222.0,43.2,17.6,101.7,77.0,142.3,106.4,224.4,136.1,155.2,129.7,133.2,113.3,44.3,64.3,211.3,91.9,98.0,73.1,70.1,110.7,182.6,123.0,116.6,117.7,75.0,109.6,113.0,106.4,0.0,180.8
32,207.4,209.4,46.7,186.3,195.1,146.0,203.2,126.8,123.3,89.8,115.5,62.0,104.8,112.3,168.2,161.2,213.6,30.5,129.7,215.3,189.5,213.2,109.8,60.0,85.8,104.2,163.8,235.2,171.9,205.7,123.3,199.1,0.0
