,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,1491.3,1408.8,1344.2,1071.5,912.7,1310.2,769.7,1234.4,1246.3,1067.8,924.7,769.8,828.4,2017.4,2160.7,1943.1,767.5,1347.2,1470.3,994.4,924.8,1716.3,1674.0,1749.3,1504.5,1287.0,1196.4,1574.3,935.8,748.3,1067.6,2121.1
1,1487.1,0.0,1081.9,147.2,716.5,754.9,844.2,1089.3,644.2,1064.4,783.0,644.0,1272.1,1030.6,573.2,716.4,498.9,723.9,374.4,826.6,793.7,934.2,527.1,801.3,305.1,179.5,714.9,829.9,194.6,1054.2,743.0,801.3,676.9
2,1420.9,1081.9,0.0,1133.4,656.2,855.9,678.1,639.1,602.3,252.3,435.7,873.7,661.6,580.4,1432.9,1202.2,1358.6,953.6,1280.9,325.9,733.3,484.0,554.8,529.6,1016.9,1149.8,654.9,564.2,983.0,604.0,972.7,435.5,1123.6
3,1339.9,147.2,1133.4,0.0,569.4,607.7,879.8,995.9,616.3,970.9,693.7,496.9,1178.6,937.1,673.2,816.5,598.9,576.7,245.7,862.1,646.5,840.7,562.6,836.8,405.1,160.3,750.4,629.0,230.1,960.7,595.9,712.0,777.0
4,1067.2,716.5,656.2,569.4,0.0,199.7,560.8,518.6,297.2,493.7,286.6,309.7,701.4,459.9,1242.6,1385.8,1168.3,304.0,716.9,925.5,77.1,363.5,779.1,1053.3,954.4,729.7,537.6,151.8,822.8,483.5,323.2,285.0,1346.3
5,908.4,754.9,855.9,607.7,199.7,0.0,760.5,427.3,497.0,693.5,486.3,188.3,610.0,387.7,1281.0,1424.2,1206.6,145.2,755.2,1125.2,122.6,563.2,978.9,1253.0,1012.8,768.0,737.3,351.5,837.8,495.1,164.4,484.7,1384.7
6,1322.3,844.2,678.1,879.8,560.8,760.5,0.0,540.5,344.6,515.6,269.5,778.3,723.2,481.8,1292.7,1436.0,1218.4,858.2,1106.9,1001.0,637.9,385.4,701.5,975.7,876.7,912.0,155.3,468.8,745.2,505.3,877.3,242.6,1396.4
7,781.7,1089.3,639.1,995.9,518.6,427.3,540.5,0.0,464.8,476.6,298.1,736.2,182.7,58.7,1537.9,1681.1,1463.6,531.6,1143.4,908.4,350.6,155.1,946.7,1112.0,1121.9,1157.2,517.3,426.7,990.4,166.1,550.7,298.0,1641.6
8,1246.5,644.2,602.3,616.3,297.2,497.0,344.6,464.8,0.0,439.8,158.4,514.8,647.5,406.0,1092.8,1236.0,1018.4,594.6,763.8,801.1,374.4,309.6,501.5,775.7,676.8,712.0,321.4,205.3,545.2,429.6,613.8,176.8,1196.5
9,1159.5,1064.4,252.3,970.9,493.7,693.5,515.6,476.6,439.8,0.0,273.2,711.3,377.6,417.9,1513.0,1397.8,1438.6,791.1,1118.4,521.5,570.9,321.5,750.4,725.2,1097.0,1132.3,492.4,401.8,965.5,441.5,810.3,273.0,1319.2
10,1079.9,783.0,435.7,693.7,285.2,484.9,269.5,298.1,158.4,273.2,0.0,502.7,480.9,239.4,1231.6,1374.8,1157.2,582.5,841.2,704.9,362.3,143.0,640.3,914.5,815.6,850.9,246.3,193.2,684.1,263.0,601.7,26.9,1335.3
11,920.5,644.0,873.7,496.9,309.7,188.3,778.3,736.2,514.8,711.3,504.1,0.0,918.9,677.4,1170.1,1313.4,1095.8,157.3,644.4,1143.0,270.0,581.0,996.7,1270.8,902.0,657.2,755.1,369.3,727.0,701.0,176.4,502.5,1273.8
12,781.9,1272.1,661.6,1178.6,701.4,610.0,723.2,182.7,647.5,377.6,480.9,918.9,0.0,241.5,1720.6,1576.8,1646.3,752.5,1326.1,700.5,533.3,337.9,929.4,904.2,1304.6,1339.9,700.0,609.4,1173.1,348.8,733.3,480.7,1498.2
13,840.5,1030.6,580.4,937.1,459.9,387.7,481.8,58.7,406.0,417.9,239.4,677.4,241.5,0.0,1479.2,1622.4,1404.8,492.0,1084.6,849.6,311.0,96.4,887.9,1053.3,1063.2,1098.4,458.6,367.9,931.6,107.4,511.2,239.2,1582.9
14,2013.2,573.2,1432.9,673.2,1242.6,1281.0,1292.7,1537.9,1092.8,1513.0,1231.6,1170.1,1720.6,1479.2,0.0,633.2,415.6,1250.0,815.0,1177.6,1319.8,1382.8,878.1,1152.2,460.1,636.2,1163.5,1278.4,720.7,1502.7,1269.1,1249.9,593.7
15,2156.4,716.4,1202.2,816.5,1385.8,1424.2,1436.0,1681.1,1236.0,1373.5,1374.8,1313.4,1576.8,1622.4,633.2,0.0,214.1,1393.2,958.2,946.9,1463.0,1526.0,946.8,696.5,603.3,779.4,1306.7,1421.6,863.9,1646.0,1412.4,1393.1,78.6
16,1938.8,498.9,1358.6,598.9,1168.3,1206.6,1218.4,1463.6,1018.4,1438.6,1157.2,1095.8,1646.3,1404.8,415.6,337.5,0.0,1175.6,740.6,1103.3,1245.4,1308.4,803.7,915.9,385.7,561.8,1089.1,1204.1,646.4,1428.4,1194.8,1175.5,298.0
17,763.2,723.9,953.6,576.7,304.0,145.2,858.2,531.6,594.6,791.1,584.0,157.3,752.5,492.0,1250.0,1393.2,1175.6,0.0,724.2,1222.8,226.9,660.9,1076.5,1350.7,981.8,737.0,835.0,449.1,806.8,780.9,19.2,582.3,1353.7
18,1342.9,374.4,1344.6,245.7,716.9,755.2,1027.3,1143.4,763.8,1118.4,841.2,644.4,1326.1,1084.6,815.0,958.2,740.6,724.2,0.0,1089.3,794.0,988.2,789.8,1064.0,546.9,194.8,977.6,776.5,457.3,1108.2,743.4,859.5,918.7
19,1482.4,826.6,325.9,862.1,925.5,1125.2,947.3,908.4,871.6,497.2,704.9,1143.0,700.5,849.6,1177.6,946.9,1103.3,1222.8,1089.3,0.0,1002.6,753.2,299.5,274.3,761.6,894.5,871.8,833.5,727.7,873.2,1242.0,704.8,868.3
20,990.1,793.7,733.3,646.5,77.1,122.6,637.9,350.6,374.4,570.9,363.7,270.0,533.3,537.0,1319.8,1463.0,1245.4,226.9,794.0,1002.6,0.0,440.7,856.3,1130.4,1031.5,806.8,614.7,228.9,900.0,560.6,246.1,362.1,1423.5
21,936.9,934.2,484.0,840.7,363.5,563.2,385.4,155.1,309.6,321.5,143.0,581.0,337.9,96.4,1382.8,1526.0,1308.4,660.9,988.2,753.2,440.7,0.0,791.5,956.9,966.8,1002.0,362.2,271.6,835.2,120.0,680.1,142.8,1486.5
22,1711.3,527.1,554.8,562.6,779.1,978.9,701.5,946.7,501.5,726.1,640.3,996.7,929.4,887.9,878.1,1021.3,803.7,1076.5,789.8,299.5,856.3,791.5,0.0,274.1,462.1,595.0,572.3,687.2,428.2,911.5,1095.7,658.7,868.2
23,1686.1,801.3,529.6,836.8,1053.3,1253.0,975.7,1112.0,775.7,700.9,914.5,1270.8,904.2,1053.3,1152.2,696.5,915.9,1350.7,1064.0,274.3,1130.4,956.9,274.1,0.0,736.2,869.1,846.4,961.3,702.3,1076.9,1369.8,908.4,617.9
24,1745.0,305.1,1016.9,405.1,954.4,1154.1,876.7,1121.9,676.8,1097.0,815.6,902.0,1304.6,1063.2,460.1,603.3,385.7,981.8,546.9,761.6,1031.5,966.8,462.1,736.2,0.0,368.0,747.5,862.4,452.6,1086.7,1001.0,833.9,563.8
25,1500.2,179.5,1149.8,160.3,729.7,768.0,912.0,1157.2,712.0,1132.3,850.9,657.2,1339.9,1098.4,636.2,779.4,561.8,737.0,194.8,894.5,806.8,1002.0,595.0,869.1,368.0,0.0,782.8,789.3,262.5,1122.0,756.2,869.2,739.9
26,1299.1,714.9,654.9,856.7,537.6,737.3,155.3,517.3,321.4,492.4,246.3,755.1,700.0,458.6,1163.5,1306.7,1089.1,835.0,977.6,871.8,614.7,362.2,572.3,846.4,747.5,782.8,0.0,445.6,616.0,482.2,854.1,219.4,1267.2
27,1208.4,829.9,564.2,629.0,151.8,351.5,468.8,426.7,205.3,401.8,194.6,369.3,609.4,367.9,1278.4,1421.6,1204.1,449.1,776.5,833.5,228.9,271.6,687.2,961.3,862.4,789.3,445.6,0.0,730.9,391.5,468.3,193.0,1382.1
28,1570.0,194.6,983.0,230.1,822.8,837.8,745.2,990.4,545.2,965.5,684.1,727.0,1173.1,931.6,720.7,863.9,646.4,806.8,457.3,727.7,900.0,835.2,428.2,702.3,452.6,262.5,616.0,730.9,0.0,955.2,826.0,702.4,824.4
29,947.9,1054.2,604.0,960.7,483.5,495.1,505.3,166.1,429.6,441.5,263.0,701.0,348.8,107.4,1502.7,1646.0,1428.4,780.9,1108.2,873.2,560.6,120.0,911.5,1076.9,1086.7,1122.0,482.2,391.5,955.2,0.0,800.0,262.8,1606.5
30,744.0,743.0,972.7,595.9,323.2,164.4,877.3,550.7,613.8,810.3,603.1,176.4,733.3,511.2,1269.1,1412.4,1194.8,19.2,743.4,1242.0,246.1,680.1,1095.7,1369.8,1001.0,756.2,854.1,468.3,826.0,800.0,0.0,601.5,1372.8
31,1079.7,801.3,435.5,712.0,285.0,484.7,242.6,298.0,176.8,273.0,26.9,502.5,480.7,239.2,1249.9,1393.1,1175.5,582.3,859.5,704.8,362.1,142.8,658.7,932.8,833.9,869.2,219.4,193.0,702.4,262.8,601.5,0.0,1353.6
32,2116.9,676.9,1123.6,777.0,1346.3,1384.7,1396.4,1641.6,1196.5,1294.9,1335.3,1273.8,1498.2,1582.9,593.7,78.6,298.0,1353.7,918.7,868.3,1423.5,1486.5,868.2,617.9,563.8,739.9,1267.2,1382.1,824.4,1606.5,1372.8,1353.6,0.0
