,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,468.8,356.6,305.1,470.6,369.3,472.3,279.5,255.4,374.3,526.4,401.8,428.9,610.8,416.1,532.4,373.0,406.2,570.1,311.3,372.2,602.1,613.5,545.7,545.7,598.5,166.2,361.1,494.8,431.1,625.7,318.4,588.0
1,441.6,0.0,281.5,335.3,65.7,269.7,342.6,330.9,308.3,234.5,250.5,276.9,198.8,334.9,127.4,256.5,271.3,288.4,294.2,342.4,232.5,269.7,337.6,269.8,269.8,322.6,421.0,316.8,74.8,254.5,338.9,232.6,222.4
2,362.6,276.3,0.0,127.4,216.1,112.0,356.7,123.0,177.7,119.3,326.7,260.2,235.6,411.1,206.6,332.7,144.9,178.1,370.4,134.5,144.1,402.4,413.8,346.0,346.0,398.8,213.1,167.8,295.7,155.5,426.0,95.9,388.3
3,301.1,328.4,117.3,0.0,268.2,144.5,346.3,102.0,229.8,171.4,322.7,249.8,225.2,407.1,258.7,328.7,197.0,230.2,366.4,94.2,196.2,398.4,409.8,342.0,342.0,394.8,151.6,157.4,347.8,197.8,422.0,148.0,384.3
4,461.5,60.2,219.1,272.9,0.0,204.0,276.9,268.5,292.2,168.8,184.8,211.2,133.1,269.2,147.3,190.8,205.6,222.7,228.5,280.0,166.8,260.5,271.9,204.1,204.1,256.9,358.6,251.1,79.6,188.8,284.1,197.1,227.2
5,369.8,263.5,105.1,139.3,203.3,0.0,301.9,130.2,217.6,89.5,278.3,205.4,180.8,362.7,246.5,284.3,119.9,153.1,322.0,146.4,119.1,354.0,365.4,297.6,297.6,350.4,220.3,96.1,282.9,89.6,377.6,111.4,339.9
6,492.6,340.6,350.5,341.8,280.4,301.1,0.0,301.9,463.0,343.7,244.2,97.8,198.2,328.6,427.7,250.2,376.8,397.6,287.9,382.5,341.7,319.9,331.3,263.5,263.5,316.3,330.9,262.4,360.0,324.2,343.5,368.3,305.8
7,281.7,321.6,110.5,101.8,261.4,123.2,303.9,0.0,223.0,164.6,280.3,207.4,182.8,364.7,251.9,286.3,190.2,223.4,324.0,122.7,189.4,356.0,367.4,299.6,299.6,352.4,132.2,115.0,341.0,185.0,379.6,141.2,341.9
8,256.9,326.4,192.0,245.8,295.3,230.4,475.1,241.4,0.0,199.0,405.9,378.6,331.3,490.3,240.8,411.9,197.7,230.9,449.6,200.0,196.9,481.6,493.0,425.2,425.2,478.0,281.9,286.2,352.4,273.1,505.2,143.1,467.5
9,377.2,233.1,118.3,172.1,172.9,86.1,343.7,167.7,191.4,0.0,283.5,247.2,208.9,367.9,220.3,289.5,93.8,127.0,327.2,179.2,93.0,359.2,370.6,302.8,302.8,355.6,257.8,141.5,252.5,126.3,382.8,85.3,345.1
