,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,224.1,186.7,217.3,179.6,225.4,182.1,158.8,250.6,113.5,145.1,103.1,145.1,182.6,134.7,96.2,189.5,166.6,181.5,228.1,211.7,236.6,111.6,130.5,200.6,136.3,195.9,125.1,218.5,214.3,215.7,126.5,142.8,228.4,206.0,195.7,155.5,207.7
1,227.6,0.0,53.8,161.8,145.3,107.5,58.4,183.5,195.1,167.2,127.1,168.9,95.7,122.4,159.4,175.8,83.1,159.6,116.4,82.1,98.3,206.5,149.5,157.2,97.3,107.4,44.6,102.8,116.9,131.4,160.2,130.5,84.6,172.9,175.9,39.1,120.4,152.2
2,183.6,53.8,0.0,123.9,139.3,101.5,4.6,175.0,157.2,161.2,121.1,150.3,51.7,89.2,150.9,157.2,77.1,115.6,110.4,76.1,92.3,173.3,105.5,151.2,91.3,63.4,9.2,58.8,110.9,125.4,122.3,124.5,40.6,135.0,142.7,33.1,114.4,114.3
3,218.2,195.1,157.7,0.0,268.5,219.8,153.1,209.6,33.3,236.3,196.2,184.9,101.9,67.5,185.5,191.8,210.7,67.3,235.9,209.7,225.9,60.9,140.1,199.6,224.9,126.5,166.9,118.2,244.5,259.0,99.9,199.6,113.8,153.2,30.3,166.7,209.9,132.5
4,177.5,181.7,169.3,240.2,0.0,145.9,167.5,143.8,273.5,101.5,76.8,121.8,168.0,205.5,119.7,128.7,121.2,189.5,113.2,148.6,132.2,259.5,134.5,110.1,132.3,159.2,160.1,148.0,150.2,146.0,238.6,48.0,165.7,251.3,228.9,139.4,87.2,230.6
5,219.7,107.8,95.4,160.9,61.7,0.0,93.6,202.8,194.2,161.0,136.3,181.3,129.5,121.5,178.7,188.2,102.4,181.1,135.7,22.5,14.7,180.3,183.3,169.6,116.6,141.2,86.2,136.6,136.2,150.7,122.7,107.5,118.4,119.3,175.0,65.5,139.7,93.1
6,179.0,58.4,4.6,119.3,137.6,99.8,0.0,170.4,152.6,159.5,119.4,145.7,47.1,84.6,146.3,152.6,75.4,111.0,108.7,74.4,90.6,168.7,100.9,149.5,89.6,58.8,13.8,54.2,109.2,123.7,117.7,122.8,36.0,130.4,138.1,31.4,112.7,109.7
7,159.5,196.4,168.3,198.9,168.0,208.8,163.7,0.0,232.2,135.8,95.7,84.4,126.7,164.2,24.1,91.3,135.9,148.2,120.3,183.4,199.6,218.2,93.2,99.1,139.4,117.9,174.8,106.7,157.3,153.1,197.3,99.1,124.4,210.0,187.6,154.1,109.4,189.3
8,224.8,201.7,164.3,179.1,275.1,226.4,159.7,216.2,0.0,242.9,202.8,191.5,108.5,74.1,192.1,198.4,217.3,73.9,242.5,216.3,232.5,67.5,146.7,206.2,231.5,133.1,173.5,124.8,251.1,265.6,106.5,206.2,120.4,159.8,36.9,173.3,216.5,139.1
9,115.3,169.4,157.0,227.9,114.8,160.6,155.2,131.5,261.2,0.0,64.5,109.5,155.7,193.2,107.4,116.4,108.9,177.2,100.9,156.4,146.9,247.2,122.2,97.8,120.0,146.9,147.8,135.7,137.9,133.7,226.3,45.9,153.4,239.0,216.6,127.1,74.9,218.3
10,138.2,133.5,121.1,192.0,94.4,140.2,119.3,95.6,225.3,62.2,0.0,73.6,119.8,157.3,71.5,80.5,73.0,141.3,65.0,120.5,126.5,211.3,86.3,61.9,84.1,111.0,111.9,99.8,102.0,97.8,190.4,25.5,117.5,203.1,180.7,91.2,39.0,182.4
11,99.6,175.5,149.8,180.4,139.6,185.4,145.2,84.0,213.7,107.4,67.3,0.0,108.2,145.7,59.9,6.9,115.0,129.7,107.0,162.5,171.7,199.7,74.7,27.4,126.1,99.4,153.9,88.2,144.0,139.8,178.8,70.7,105.9,191.5,169.1,133.2,81.0,170.8
12,144.8,93.2,55.8,72.2,171.0,133.2,51.2,136.2,105.5,162.9,122.8,111.5,0.0,37.5,112.1,118.4,108.8,76.8,142.1,107.8,124.0,121.6,66.7,126.2,123.0,24.6,65.0,20.0,142.6,157.1,70.6,126.2,11.9,83.3,91.0,64.8,136.5,62.6
