,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,302.2,484.6,292.9,352.4,390.9,629.6,408.8,224.4,378.8,302.1,554.1,381.7,588.5,624.7,377.9,297.4,294.7,599.5,607.5,196.5,322.1,576.8,506.6,394.1,412.0,408.0,374.5,226.9,345.3,177.8,359.5,534.0,388.7,362.2,549.3,318.4,588.0
1,307.2,0.0,281.1,134.4,157.1,312.7,486.0,231.7,215.9,300.6,82.9,382.7,303.5,440.4,453.3,200.8,39.8,53.3,428.1,436.1,118.9,64.5,428.7,358.5,315.9,240.6,236.6,197.4,147.1,104.9,129.3,173.2,362.6,211.6,185.1,381.2,146.9,416.6
2,492.2,285.1,0.0,212.1,181.0,264.5,286.8,199.1,361.3,252.4,290.1,183.5,255.3,252.6,254.1,216.4,246.1,285.5,228.9,236.9,334.0,264.8,240.9,170.7,241.9,142.6,138.6,213.0,261.8,222.0,344.4,197.1,163.4,207.3,209.0,196.3,211.3,217.4
3,300.5,138.4,203.9,0.0,71.7,303.8,431.5,128.1,214.6,291.7,143.4,328.2,294.6,328.5,398.8,97.2,99.4,138.8,373.6,381.6,187.3,118.1,316.8,246.6,307.0,221.2,217.2,93.8,70.1,75.3,197.7,78.8,308.1,108.0,81.5,341.0,37.7,362.1
4,354.5,161.1,172.4,74.4,0.0,311.6,400.0,74.6,233.4,299.5,166.1,296.7,302.4,331.7,367.3,43.7,122.1,161.5,342.1,350.1,210.0,140.8,320.0,249.8,289.0,189.7,185.7,40.3,124.1,98.0,220.4,16.1,276.6,54.5,28.0,309.5,30.3,330.6
5,416.9,330.3,258.0,325.6,301.6,0.0,308.3,323.4,220.0,12.1,301.7,235.5,9.2,417.3,306.1,340.7,292.3,322.8,280.9,288.9,306.1,311.0,340.7,335.4,53.7,115.6,119.6,337.3,375.3,296.1,287.4,317.7,215.4,331.6,329.6,208.9,331.9,269.4
6,647.1,479.0,279.7,426.3,395.2,323.2,0.0,413.3,470.1,311.1,450.4,186.6,314.0,315.1,186.9,430.6,441.0,471.5,143.2,200.1,458.8,459.7,203.0,273.9,300.6,245.3,241.3,427.2,476.0,436.2,469.2,411.3,113.4,421.5,423.2,172.9,425.5,131.7
7,419.0,237.8,188.1,138.9,76.7,327.3,415.7,0.0,310.1,315.2,242.8,312.4,318.1,347.4,383.0,75.6,198.8,238.2,357.8,365.8,286.7,217.5,335.7,265.5,304.7,205.4,201.4,72.2,188.6,174.7,297.1,93.6,292.3,66.5,68.4,325.2,94.8,346.3
8,224.4,199.0,341.0,194.3,213.1,186.3,425.0,287.7,0.0,174.2,170.4,361.0,177.1,500.3,431.6,256.8,161.0,191.5,406.4,414.4,113.6,179.7,466.2,418.4,189.5,218.9,214.9,253.4,244.0,164.8,94.9,229.2,340.9,267.6,241.1,344.7,206.8,394.9
9,404.8,318.2,245.9,313.5,289.5,12.1,296.2,311.3,207.9,0.0,289.6,223.4,2.9,405.2,294.0,328.6,280.2,310.7,268.8,276.8,294.0,298.9,328.6,323.3,41.6,103.5,107.5,325.2,363.2,284.0,275.3,305.6,203.3,319.5,317.5,196.8,319.8,257.3
