,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,997.5,1434.1,1308.8,1471.3,1042.0,1574.9,2011.5,2078.0,2091.9,1578.5,1458.1,1170.2,901.4,1234.1,1383.0,950.1,2031.5,2087.1,1300.9,872.2,1747.0,1368.9,1015.8,1317.2,1585.6,1575.1,1674.3,1091.2,1820.1,1579.9,1334.5,1545.2,1898.3,1378.6,2003.9,999.1,2085.4
1,997.5,0.0,882.5,328.4,1272.9,1111.7,1023.3,1597.4,1563.7,1303.9,1422.1,460.6,628.7,459.2,1303.8,402.6,810.0,1617.4,1440.9,712.5,618.5,1581.6,1062.2,329.6,728.8,889.7,1023.5,1047.9,783.7,1406.0,582.4,1358.0,993.6,900.8,1402.2,1589.8,410.7,1258.3
2,1434.1,882.5,0.0,766.5,510.1,845.5,189.8,827.9,894.5,908.4,659.3,506.4,435.4,614.6,668.4,774.4,786.9,847.9,903.5,419.3,597.5,812.1,365.2,552.9,258.4,189.7,190.0,278.4,590.4,636.6,314.0,671.8,160.1,717.6,716.0,820.4,490.0,901.8
3,1308.8,328.4,766.5,0.0,1219.9,1075.0,918.1,1467.6,1433.9,1174.1,1315.0,330.7,592.0,422.5,1267.1,74.2,773.3,1487.5,1311.1,675.9,581.8,1451.8,1025.6,292.9,692.1,759.9,918.3,918.1,747.0,1276.2,452.5,1321.4,888.5,771.0,1365.5,1460.0,374.0,1128.4
4,1471.3,1272.9,510.1,1219.9,0.0,529.0,411.5,540.2,606.7,620.6,188.8,959.8,685.0,1005.1,352.0,1227.8,744.1,560.1,615.8,881.0,952.5,415.7,261.8,943.3,720.1,500.9,411.3,363.5,606.6,348.8,767.3,355.4,441.1,1171.0,399.5,532.6,880.4,614.1
5,1042.0,1111.7,845.5,1075.0,529.0,0.0,746.8,1069.2,1135.8,1149.7,636.2,1313.7,649.1,843.8,291.8,1149.2,461.1,1089.2,1144.8,1063.5,761.1,804.7,555.2,782.1,979.2,997.0,746.7,892.5,494.5,877.9,1121.3,392.2,776.5,1524.9,436.3,1061.7,761.6,1143.1
6,1574.9,1023.3,189.8,918.1,411.5,746.8,0.0,815.7,882.2,896.1,560.6,658.0,557.8,755.4,569.8,926.0,729.5,835.6,891.3,560.7,738.3,729.1,266.5,693.7,399.8,341.3,0.2,430.0,590.7,624.3,465.6,573.2,29.7,869.2,617.3,808.1,630.8,889.6
7,2011.5,1597.4,827.9,1467.6,540.2,1069.2,815.7,0.0,151.6,297.7,635.3,1207.4,1089.2,1404.4,892.1,1475.4,1161.0,20.0,160.7,1209.1,1356.7,645.9,678.7,1342.7,1048.2,748.6,815.5,611.2,1023.5,367.0,1015.0,895.5,845.3,934.0,939.6,73.7,1279.7,343.3
8,2078.0,1563.7,894.5,1433.9,606.7,1135.8,882.2,151.6,0.0,259.9,701.8,1173.8,1155.7,1471.0,958.7,1441.8,1227.6,171.6,122.8,1275.6,1423.2,703.7,745.3,1409.2,1114.7,815.2,882.0,677.7,1090.1,424.8,1066.5,962.1,911.9,896.2,1006.2,144.1,1346.3,305.5
9,2091.9,1303.9,908.4,1174.1,620.6,1149.7,896.1,297.7,259.9,0.0,715.7,913.9,1169.7,1477.6,972.6,1181.9,1241.5,317.7,137.0,1051.5,1437.1,717.6,759.2,1415.8,1128.6,829.1,895.9,691.6,1104.0,438.7,806.7,976.0,925.8,636.3,1020.1,290.2,1334.8,45.6
