,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,722.2,1036.7,944.2,1071.5,756.5,1138.1,1460.4,1508.4,1518.6,1148.5,1053.8,844.3,651.1,898.4,997.6,686.2,1474.8,1515.0,938.7,629.9,1269.9,987.8,733.3,950.1,1145.7,1138.2,1209.5,787.6,1322.7,1141.6,972.7,1116.7,1370.7,1004.5,1455.0,721.3,1513.9
1,722.2,0.0,637.5,238.4,918.5,808.5,738.9,1150.1,1125.8,938.7,1025.6,331.6,454.5,332.5,950.4,291.8,587.3,1164.5,1037.4,515.1,449.1,1138.7,766.9,239.3,526.5,640.6,739.0,754.4,566.1,1012.4,419.4,979.8,717.5,648.5,1011.6,1144.7,297.7,905.8
2,1036.7,637.5,0.0,552.1,367.4,614.9,136.8,596.1,644.1,654.3,474.5,364.6,313.6,442.6,483.4,557.7,566.8,610.5,650.7,302.0,432.2,584.7,263.0,398.2,186.2,136.6,136.9,200.4,425.2,458.4,226.0,485.9,115.4,516.7,517.7,590.7,352.8,649.6
3,944.2,238.4,552.1,0.0,878.5,780.1,661.3,1056.8,1032.5,845.4,947.0,238.3,426.1,304.1,922.0,53.4,558.9,1071.2,944.1,486.7,420.7,1045.4,738.5,210.9,498.1,547.3,661.4,661.1,537.7,919.1,326.1,951.4,639.9,555.2,983.2,1051.4,269.3,812.5
4,1071.5,918.5,367.4,878.5,0.0,387.0,296.3,388.9,436.9,447.1,135.8,691.0,493.1,723.6,255.5,884.1,535.7,403.3,443.5,634.3,685.7,299.2,188.4,679.2,518.5,360.6,296.2,261.6,436.7,251.2,552.4,258.0,317.7,843.1,289.8,383.5,633.8,442.4
5,756.5,808.5,614.9,780.1,387.0,0.0,543.8,775.9,823.9,834.1,464.0,951.9,471.3,613.6,213.9,833.5,336.0,790.3,830.5,772.0,551.8,585.4,405.8,569.2,709.1,723.9,543.7,648.6,359.9,638.2,813.3,288.2,565.2,1104.0,320.0,770.5,554.6,829.4
6,1138.1,738.9,136.8,661.3,296.3,543.8,0.0,587.2,635.2,645.4,403.4,473.8,401.7,544.0,412.3,666.9,525.4,601.6,641.8,403.7,533.6,524.8,191.9,499.6,287.9,245.8,0.1,309.6,425.4,449.5,335.2,414.8,21.4,625.9,446.6,581.8,454.2,640.7
7,1460.4,1150.1,596.1,1056.8,388.9,775.9,587.2,0.0,109.2,214.5,457.4,869.3,784.0,1011.1,644.4,1062.4,835.9,14.4,115.8,870.5,976.6,465.0,488.6,966.7,754.7,538.9,587.1,439.9,736.9,264.3,730.7,646.9,608.6,672.4,678.7,53.2,921.3,247.4
8,1508.4,1125.8,644.1,1032.5,436.9,823.9,635.2,109.2,0.0,187.1,505.4,845.0,832.0,1059.1,692.4,1038.1,883.9,123.6,88.4,918.5,1024.6,506.6,536.6,1014.7,802.7,586.9,635.1,487.9,784.9,305.9,768.0,694.9,656.6,645.0,726.7,103.8,969.3,220.0
9,1518.6,938.7,654.3,845.4,447.1,834.1,645.4,214.5,187.1,0.0,515.6,657.9,842.2,1063.8,702.6,851.0,894.1,228.9,98.7,757.0,1034.8,516.8,546.8,1019.4,812.9,597.1,645.3,498.1,795.1,316.1,580.9,705.1,666.8,457.9,736.9,209.1,961.0,32.9
10,1148.5,1025.6,474.5,947.0,135.8,464.0,403.4,457.4,505.4,515.6,0.0,759.5,600.2,830.7,332.5,952.6,612.7,471.8,512.0,741.4,792.8,166.1,265.4,786.3,625.6,429.1,403.3,330.1,513.7,319.7,620.9,279.3,424.8,911.6,311.1,452.0,740.9,510.9
11,1053.8,331.6,364.6,238.3,691.0,951.9,473.8,869.3,845.0,657.9,759.5,0.0,624.1,542.4,820.4,243.9,797.2,883.7,756.6,314.7,659.0,857.9,600.0,449.2,379.1,359.8,473.9,473.6,735.7,731.6,138.6,822.9,452.4,367.7,854.7,863.9,507.6,625.0
12,844.3,454.5,313.6,426.1,493.1,471.3,401.7,784.0,832.0,842.2,600.2,624.1,0.0,259.6,542.3,479.5,261.8,798.4,838.6,333.6,214.4,721.6,341.5,215.2,255.2,422.6,401.8,486.4,111.6,646.3,512.0,544.8,380.3,776.2,576.6,778.6,169.8,837.5
13,651.1,332.5,442.6,304.1,723.6,613.6,544.0,1011.1,1059.1,1063.8,830.7,542.4,259.6,0.0,755.5,357.5,392.4,1025.5,1065.7,320.2,231.7,952.1,572.0,93.2,331.6,551.6,544.1,615.4,371.2,873.4,538.9,784.9,522.6,773.6,816.7,1005.7,102.8,1030.9
14,898.4,950.4,483.4,922.0,255.5,213.9,412.3,644.4,692.4,702.6,332.5,820.4,542.3,755.5,0.0,975.4,477.9,658.8,699.0,693.4,693.7,453.9,274.3,711.1,577.6,592.4,412.2,517.1,432.4,506.7,681.8,180.5,433.7,972.5,212.3,639.0,692.6,697.9
15,997.6,291.8,557.7,53.4,884.1,833.5,666.9,1062.4,1038.1,851.0,952.6,243.9,479.5,357.5,975.4,0.0,612.3,1076.8,949.7,507.8,474.1,1051.0,791.9,264.3,551.5,552.9,667.0,666.7,591.1,924.7,331.7,1004.8,645.5,560.8,1036.6,1057.0,322.7,818.1
16,686.2,587.3,566.8,558.9,535.7,336.0,525.4,835.9,883.9,894.1,612.7,797.2,261.8,392.4,477.9,612.3,0.0,850.3,890.5,550.8,265.0,734.1,350.8,348.0,496.6,675.8,525.3,708.6,150.6,698.2,765.2,533.8,546.8,1004.2,565.6,830.5,333.4,889.4
17,1474.8,1164.5,610.5,1071.2,403.3,790.3,601.6,14.4,123.6,228.9,471.8,883.7,798.4,1025.5,658.8,1076.8,850.3,0.0,130.2,884.9,991.0,479.4,503.0,981.1,769.1,553.3,601.5,454.3,751.3,278.7,745.1,661.3,623.0,686.8,693.1,67.6,935.7,261.8
18,1515.0,1037.4,650.7,944.1,443.5,830.5,641.8,115.8,88.4,98.7,512.0,756.6,838.6,1065.7,699.0,949.7,890.5,130.2,0.0,855.7,1031.2,513.2,543.2,1021.3,809.3,593.5,641.7,494.5,791.5,312.5,679.6,701.5,663.2,556.6,733.3,110.4,975.9,131.6
19,938.7,515.1,302.0,486.7,634.3,772.0,403.7,870.5,918.5,757.0,741.4,314.7,333.6,320.2,693.4,507.8,550.8,884.9,855.7,0.0,412.6,859.1,483.0,275.8,115.8,411.0,403.8,474.8,445.2,732.8,232.1,695.9,382.3,466.8,727.7,865.1,217.4,724.1
20,629.9,449.1,432.2,420.7,685.7,551.8,533.6,976.6,1024.6,1034.8,792.8,659.0,214.4,231.7,693.7,474.1,265.0,991.0,1031.2,412.6,0.0,914.2,534.1,209.8,360.8,541.2,533.7,605.0,316.8,838.9,630.6,747.0,512.2,866.0,778.8,971.2,195.2,1030.1
21,1269.9,1138.7,584.7,1045.4,299.2,585.4,524.8,465.0,506.6,516.8,166.1,857.9,721.6,952.1,453.9,1051.0,734.1,479.4,513.2,859.1,914.2,0.0,386.8,907.7,743.3,527.5,524.7,428.5,635.1,236.5,719.3,391.4,546.2,937.1,423.2,459.6,862.3,512.1
22,987.8,766.9,263.0,738.5,188.4,405.8,191.9,488.6,536.6,546.8,265.4,600.0,341.5,572.0,274.3,791.9,350.8,503.0,543.2,483.0,534.1,386.8,0.0,527.6,367.2,372.0,191.8,361.3,251.8,350.9,461.4,276.8,213.3,752.1,308.6,483.2,482.2,542.1
23,733.3,239.3,398.2,210.9,679.2,569.2,499.6,966.7,1014.7,1019.4,786.3,449.2,215.2,93.2,711.1,264.3,348.0,981.1,1021.3,275.8,209.8,907.7,527.6,0.0,287.2,507.2,499.7,571.0,326.8,829.0,494.5,740.5,478.2,729.2,772.3,961.3,58.4,986.5
24,950.1,526.5,186.2,498.1,518.5,709.1,287.9,754.7,802.7,812.9,625.6,379.1,255.2,331.6,577.6,551.5,496.6,769.1,809.3,115.8,360.8,743.3,367.2,287.2,0.0,295.2,288.0,359.0,366.8,617.0,296.5,580.1,266.5,531.2,611.9,749.3,228.8,788.5
25,1145.7,640.6,136.6,547.3,360.6,723.9,245.8,538.9,586.9,597.1,429.1,359.8,422.6,551.6,592.4,552.9,675.8,553.3,593.5,411.0,541.2,527.5,372.0,507.2,295.2,0.0,245.9,143.2,534.2,401.2,221.2,594.9,224.4,511.9,626.7,533.5,461.8,592.4
26,1138.2,739.0,136.9,661.4,296.2,543.7,0.1,587.1,635.1,645.3,403.3,473.9,401.8,544.1,412.2,667.0,525.3,601.5,641.7,403.8,533.7,524.7,191.8,499.7,288.0,245.9,0.0,309.7,425.3,449.4,335.3,414.7,21.5,626.0,446.5,581.7,454.3,640.6
27,1209.5,754.4,200.4,661.1,261.6,648.6,309.6,439.9,487.9,498.1,330.1,473.6,486.4,615.4,517.1,666.7,708.6,454.3,494.5,474.8,605.0,428.5,361.3,571.0,359.0,143.2,309.7,0.0,598.0,302.2,335.0,519.6,288.2,625.7,551.4,434.5,525.6,493.4
28,787.6,566.1,425.2,537.7,436.7,359.9,425.4,736.9,784.9,795.1,513.7,735.7,111.6,371.2,432.4,591.1,150.6,751.3,791.5,445.2,316.8,635.1,251.8,326.8,366.8,534.2,425.3,598.0,0.0,599.2,623.6,434.9,446.8,887.8,466.7,731.5,281.4,790.4
29,1322.7,1012.4,458.4,919.1,251.2,638.2,449.5,264.3,305.9,316.1,319.7,731.6,646.3,873.4,506.7,924.7,698.2,278.7,312.5,732.8,838.9,236.5,350.9,829.0,617.0,401.2,449.4,302.2,599.2,0.0,593.0,509.2,470.9,736.4,541.0,258.9,783.6,311.4
30,1141.6,419.4,226.0,326.1,552.4,813.3,335.2,730.7,768.0,580.9,620.9,138.6,512.0,538.9,681.8,331.7,765.2,745.1,679.6,232.1,630.6,719.3,461.4,494.5,296.5,221.2,335.3,335.0,623.6,593.0,0.0,684.3,313.8,290.7,716.1,725.3,436.1,548.0
31,972.7,979.8,485.9,951.4,258.0,288.2,414.8,646.9,694.9,705.1,279.3,822.9,544.8,784.9,180.5,1004.8,533.8,661.3,701.5,695.9,747.0,391.4,276.8,740.5,580.1,594.9,414.7,519.6,434.9,509.2,684.3,0.0,436.2,975.0,31.8,641.5,695.1,700.4
32,1116.7,717.5,115.4,639.9,317.7,565.2,21.4,608.6,656.6,666.8,424.8,452.4,380.3,522.6,433.7,645.5,546.8,623.0,663.2,382.3,512.2,546.2,213.3,478.2,266.5,224.4,21.5,288.2,446.8,470.9,313.8,436.2,0.0,604.5,468.0,603.2,432.8,662.1
33,1370.7,648.5,516.7,555.2,843.1,1104.0,625.9,672.4,645.0,457.9,911.6,367.7,776.2,773.6,972.5,560.8,1004.2,686.8,556.6,466.8,866.0,937.1,752.1,729.2,531.2,511.9,626.0,625.7,887.8,736.4,290.7,975.0,604.5,0.0,1006.8,667.0,670.8,425.0
34,1004.5,1011.6,517.7,983.2,289.8,320.0,446.6,678.7,726.7,736.9,311.1,854.7,576.6,816.7,212.3,1036.6,565.6,693.1,733.3,727.7,778.8,423.2,308.6,772.3,611.9,626.7,446.5,551.4,466.7,541.0,716.1,31.8,468.0,1006.8,0.0,673.3,726.9,732.2
35,1455.0,1144.7,590.7,1051.4,383.5,770.5,581.8,53.2,103.8,209.1,452.0,863.9,778.6,1005.7,639.0,1057.0,830.5,67.6,110.4,865.1,971.2,459.6,483.2,961.3,749.3,533.5,581.7,434.5,731.5,258.9,725.3,641.5,603.2,667.0,673.3,0.0,915.9,242.0
36,721.3,297.7,352.8,269.3,633.8,554.6,454.2,921.3,969.3,961.0,740.9,507.6,169.8,102.8,692.6,322.7,333.4,935.7,975.9,217.4,195.2,862.3,482.2,58.4,228.8,461.8,454.3,525.6,281.4,783.6,436.1,695.1,432.8,670.8,726.9,915.9,0.0,928.1
37,1513.9,905.8,649.6,812.5,442.4,829.4,640.7,247.4,220.0,32.9,510.9,625.0,837.5,1030.9,697.9,818.1,889.4,261.8,131.6,724.1,1030.1,512.1,542.1,986.5,788.5,592.4,640.6,493.4,790.4,311.4,548.0,700.4,662.1,425.0,732.2,242.0,928.1,0.0
