,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,2016.4,1071.0,1346.1,1735.6,1636.3,827.5,1249.4,730.9,814.7,723.8,1280.1,1334.7,1506.0,1351.3,799.8,1647.5,2137.5,1533.5,769.8,1633.6,1830.5,1321.0,1220.1,1032.9,1337.6,1877.6,897.4,1967.7,1242.2,1570.3,1547.6,1231.1,1187.9,797.0,1327.8,1067.6,2121.1
1,2012.2,0.0,1348.4,768.1,925.4,751.0,1748.9,1168.2,1575.7,1761.6,1673.6,1386.7,681.2,1158.2,1467.8,1776.6,928.9,506.1,556.0,1719.6,432.6,732.6,1518.3,843.1,1400.2,1534.9,929.4,1154.9,78.5,1223.8,1039.8,797.1,994.7,1286.0,1509.6,1512.3,1248.9,371.6
2,1066.7,1348.4,0.0,767.9,1093.9,1058.2,513.1,400.4,311.5,500.3,409.4,509.7,988.4,770.6,577.8,485.4,810.0,1469.5,955.3,455.4,1055.4,1477.3,547.4,951.5,117.6,564.1,1235.9,319.2,1299.7,471.9,920.9,589.5,962.5,417.5,245.4,554.3,264.0,1453.1
3,1341.8,738.8,767.9,0.0,895.0,358.7,1238.2,522.2,1036.5,1225.4,1134.5,851.7,288.9,840.3,1077.9,1210.4,611.0,859.9,255.9,1180.5,356.0,867.7,1047.5,369.7,729.8,1064.2,1037.0,484.5,690.1,813.8,721.9,390.5,464.3,759.4,970.4,1054.3,713.9,843.5
4,1747.7,925.4,1093.9,895.0,0.0,1062.5,908.1,913.7,1109.8,920.9,1011.8,1132.2,992.8,325.1,627.1,935.9,284.0,862.4,905.0,965.8,919.2,1182.5,677.6,1154.6,1276.5,694.2,142.0,1318.2,945.9,969.3,206.8,542.6,1249.2,1031.6,1146.3,671.5,970.0,553.7
5,1632.1,751.0,1058.2,358.7,1062.5,0.0,1529.4,812.4,1327.8,1516.7,1425.7,1138.8,177.8,1007.8,1317.5,1501.7,778.5,855.4,353.5,1471.7,352.9,535.3,1338.8,339.7,1020.1,1384.6,1204.5,774.7,702.3,975.9,889.5,558.1,398.0,1038.1,1261.7,1345.6,1001.0,855.7
6,839.6,1777.3,513.1,1238.2,908.1,1529.4,0.0,720.1,201.6,12.7,103.7,750.8,1459.6,861.1,514.8,27.7,820.0,1749.2,1371.9,57.7,1472.0,1906.2,484.4,1421.7,586.0,501.0,1050.2,962.3,1728.6,713.0,742.8,1018.4,1432.7,658.6,267.7,491.2,538.3,1440.5
7,1261.5,1168.2,291.2,522.2,913.7,812.4,720.1,0.0,518.5,707.4,616.4,329.5,742.6,555.4,559.9,692.4,629.7,1289.3,709.6,662.4,809.7,1297.0,529.5,789.9,362.3,546.1,1055.7,404.0,1119.5,291.6,740.6,409.2,884.5,237.3,452.4,536.3,191.7,1272.9
8,743.0,1575.7,311.5,1036.5,1212.4,1327.8,201.6,518.5,0.0,188.9,97.9,549.2,1258.0,775.2,620.5,173.9,1037.2,1696.8,1170.3,143.9,1270.4,1704.6,590.1,1220.1,384.4,606.7,1354.4,760.7,1527.0,511.4,1047.1,816.8,1231.1,457.0,66.1,596.9,336.7,1680.4
9,826.8,1764.6,500.3,1225.4,920.9,1516.7,12.7,707.4,188.9,0.0,90.9,738.1,1446.9,873.9,527.5,15.0,832.7,1762.0,1359.1,44.9,1459.2,1893.4,497.1,1408.9,573.3,513.8,1062.9,949.6,1715.9,700.2,755.5,1005.6,1419.9,645.9,255.0,504.0,525.6,1453.3
10,735.9,1673.6,409.4,1134.5,1011.8,1425.7,103.7,616.4,97.9,90.9,0.0,647.1,1356.0,873.1,718.4,76.0,923.7,1794.7,1268.2,46.0,1368.3,1802.5,688.0,1318.0,482.4,704.7,1153.8,858.6,1624.9,609.3,846.5,914.7,1329.0,554.9,164.0,694.9,434.7,1544.2
11,1292.2,1378.3,509.7,851.7,1123.8,1130.4,750.8,329.5,549.2,738.1,647.1,0.0,1060.6,460.8,590.6,723.1,839.8,1499.4,972.8,693.1,1072.9,1507.1,560.2,1222.5,692.3,576.8,1265.8,734.0,1329.6,163.9,572.4,619.3,1317.0,142.7,483.1,567.0,212.5,1483.0
12,1330.4,681.2,988.4,288.9,992.8,177.8,1459.6,742.6,1258.0,1446.9,1356.0,1069.0,0.0,938.1,1247.7,1431.9,708.8,802.3,283.7,1402.0,283.1,646.3,1269.0,192.8,950.3,1314.8,1134.8,705.0,632.5,906.1,819.7,488.3,287.4,968.4,1191.9,1275.8,931.2,785.9
13,1518.1,1158.2,770.6,840.3,325.1,1007.8,861.1,555.4,775.2,873.9,964.8,460.8,938.1,0.0,580.1,888.9,229.3,1166.2,850.3,918.8,864.5,1287.1,630.5,1100.0,953.2,647.2,467.1,994.9,1109.5,306.4,118.4,487.9,1194.5,368.6,709.0,624.5,438.4,857.5
14,1363.4,1467.8,577.8,1077.9,627.1,1317.5,514.8,559.9,620.5,527.5,618.5,590.6,1247.7,580.1,0.0,542.5,538.9,1468.2,1160.0,572.5,1174.1,1596.7,85.6,1261.4,760.3,102.2,769.1,802.0,1419.1,552.7,461.7,797.6,1272.4,498.3,554.4,79.6,378.1,1159.5
15,811.8,1749.6,485.4,1210.4,935.9,1501.7,27.7,692.4,173.9,15.0,76.0,723.1,1431.9,888.9,542.5,0.0,847.7,1870.7,1344.2,30.0,1444.3,1878.5,512.1,1394.0,558.3,528.8,1077.9,934.6,1700.9,685.2,770.5,990.6,1405.0,630.9,240.0,519.0,510.6,1468.3
16,1659.6,928.9,810.0,611.0,284.0,778.5,820.0,629.7,1037.2,832.7,923.7,848.2,708.8,229.3,538.9,847.7,0.0,1050.0,621.0,877.7,635.2,1057.8,589.4,870.7,992.5,606.0,426.0,1034.2,880.2,685.3,110.9,258.6,965.2,747.6,971.1,583.4,710.4,816.4
17,2133.3,506.1,1469.5,889.2,862.4,872.1,1749.2,1289.3,1696.8,1762.0,1794.7,1507.8,802.3,1166.2,1468.2,1777.0,1050.0,0.0,677.1,1806.9,553.6,320.1,1518.6,964.2,1521.3,1535.3,866.4,1276.0,457.4,1344.9,1047.9,918.2,916.6,1407.1,1630.7,1512.6,1370.0,308.7
18,1529.2,556.0,955.3,285.1,905.0,353.5,1371.9,762.7,1170.3,1359.1,1268.2,981.3,283.7,850.3,1160.0,1344.2,621.0,677.1,0.0,1314.2,173.1,684.9,1181.2,445.6,917.3,1227.1,1047.0,671.9,507.3,818.4,732.0,400.6,540.1,880.6,1104.2,1188.1,843.5,660.7
19,781.9,1719.6,455.4,1180.5,965.8,1471.7,57.7,662.4,143.9,44.9,46.0,693.1,1402.0,918.8,764.4,30.0,877.7,1840.7,1314.2,0.0,1414.3,1848.5,734.0,1364.0,528.4,750.7,1107.8,904.6,1670.9,655.3,800.5,960.7,1375.0,600.9,210.0,740.9,480.7,1498.2
20,1629.3,432.6,1055.4,385.2,919.2,352.9,1455.2,862.8,1270.4,1467.9,1368.3,1081.4,283.1,864.5,1174.1,1444.3,635.2,553.6,173.1,1414.3,0.0,490.0,1224.6,445.0,1017.4,1241.2,1095.0,772.0,383.9,918.5,746.1,503.4,539.5,980.7,1204.3,1218.6,943.6,537.3
21,1823.4,732.6,1477.3,897.0,1182.5,535.3,1877.7,1297.0,1704.6,1890.5,1802.5,1515.6,524.2,1287.1,1596.7,1905.5,1057.8,320.1,684.9,1848.5,490.0,0.0,1647.2,729.6,1529.1,1663.8,1186.5,1283.7,683.9,1352.7,1168.7,926.0,596.5,1414.9,1638.5,1641.1,1377.8,628.8
22,1333.1,1518.3,547.4,1047.5,677.6,1338.8,484.4,529.5,590.1,497.1,588.1,560.2,1269.0,630.5,85.6,512.1,589.4,1518.6,1181.2,542.1,1224.6,1647.2,0.0,1231.0,730.0,71.9,819.6,771.7,1469.6,522.3,512.2,827.7,1242.0,468.0,524.0,62.0,347.7,1209.9
23,1215.9,843.1,951.5,369.7,1154.6,339.7,1421.7,789.9,1220.1,1408.9,1318.0,1119.4,192.8,1100.0,1409.6,1394.0,870.7,964.2,445.6,1364.0,445.0,729.6,1231.0,0.0,913.4,1247.7,1296.7,668.0,794.4,1068.0,981.6,650.2,172.8,1130.2,1154.0,1237.9,981.7,947.8
24,1028.6,1400.2,117.6,729.8,1276.5,1020.1,586.0,362.3,384.4,573.3,482.4,692.3,950.3,953.2,760.3,558.3,992.5,1521.3,917.3,528.4,1017.4,1529.1,730.0,913.4,0.0,746.6,1418.5,281.1,1351.5,654.4,1103.4,772.0,924.4,600.1,318.3,736.8,446.6,1504.9
25,1349.7,1534.9,564.1,1064.2,694.2,1355.4,501.0,546.1,606.7,513.8,604.7,576.8,1285.6,647.2,102.2,528.8,606.0,1535.3,1197.9,558.7,1298.0,1663.8,71.9,1247.7,746.6,0.0,836.2,788.3,1486.2,539.0,528.8,844.4,1258.7,484.6,540.6,78.7,364.3,1226.6
26,1889.7,929.4,1235.9,1037.0,142.0,1204.5,1050.2,1055.7,1251.8,1062.9,1153.8,1274.2,1134.8,467.1,769.1,1077.9,426.0,866.4,1047.0,1107.8,1095.0,1186.5,819.6,1296.7,1418.5,836.2,0.0,1460.2,949.9,1111.3,348.8,684.6,1391.2,1173.6,1288.3,813.5,1112.1,557.7
27,893.1,1154.9,319.2,484.5,1318.2,774.7,962.3,404.0,760.7,949.6,858.6,734.0,705.0,994.9,802.0,934.6,1034.2,1276.0,671.9,904.6,772.0,1283.7,771.7,668.0,281.1,788.3,1460.2,0.0,1106.2,696.1,1145.1,813.7,679.0,641.7,694.6,778.5,488.2,1259.6
28,1912.9,78.5,1249.2,668.8,945.9,651.7,1649.6,1068.9,1476.4,1662.4,1574.4,1287.4,582.0,1058.9,1368.6,1677.3,829.6,457.4,456.8,1620.4,333.3,683.9,1419.0,743.8,1301.0,1435.7,949.9,1055.6,0.0,1124.6,940.6,697.9,895.4,1186.8,1410.3,1413.0,1149.6,392.1
