,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,1501.8,1427.6,1962.9,967.1,1106.0,1174.8,2133.3,1574.8,1215.5,1837.9,1960.0,1174.1,818.8,607.4,1863.5,1491.9,2056.3,2061.9,1599.7,1288.6,1158.7,789.4,1072.1,1532.8,1229.0,1588.3,744.0,1476.5,1532.8,671.6,1123.0,1767.6,1579.2,1415.1,1918.0,1312.2,1965.0,2116.5,1859.5,707.5,999.1,2085.4
1,1501.8,0.0,334.0,984.5,783.6,720.4,672.6,739.6,274.5,713.4,444.1,566.2,843.7,950.7,912.8,1017.7,736.9,662.6,668.1,454.0,399.1,828.3,712.4,780.9,720.7,726.8,248.8,757.7,208.3,720.7,992.5,522.0,373.9,153.9,164.6,1050.7,437.7,571.2,722.7,484.6,1062.0,743.4,691.6
2,1427.6,334.0,0.0,903.8,651.5,455.7,407.9,997.0,150.6,448.7,701.6,823.7,583.9,690.9,978.3,804.4,523.6,920.0,925.6,325.4,301.2,568.4,761.0,648.8,507.4,408.2,180.8,806.4,465.8,507.4,1041.1,569.4,631.3,411.4,227.8,858.9,346.2,828.7,980.2,742.1,802.1,483.5,949.1
3,1962.9,984.5,903.8,0.0,1345.7,913.1,865.3,437.7,933.7,906.1,846.1,664.6,1096.6,1221.7,1770.9,529.2,471.0,506.3,686.6,859.1,1057.5,1081.2,1533.9,1343.0,462.5,813.4,963.9,1579.3,901.8,462.5,1748.2,1294.1,610.6,889.3,1041.4,355.7,1102.4,489.9,474.1,886.5,1333.0,996.2,292.9
4,967.1,783.6,651.5,1345.7,0.0,456.4,525.2,1446.7,798.7,566.0,1151.3,1273.4,524.6,333.7,521.9,1246.4,965.6,1369.7,1375.2,842.1,389.9,509.1,209.7,104.9,883.3,579.4,797.6,255.0,913.1,883.3,489.8,314.5,1081.0,861.0,624.4,1300.9,361.5,1278.4,1429.8,1191.8,398.3,349.5,1398.8
5,1106.0,720.4,455.7,913.1,456.4,0.0,92.5,1350.7,602.8,133.3,1077.7,1199.8,207.3,332.4,923.7,813.7,532.9,1296.2,1301.7,627.2,321.3,191.8,644.6,453.7,450.6,146.7,633.1,690.0,852.2,450.6,858.8,419.5,1007.5,797.8,555.8,868.2,366.3,1204.8,1356.3,1118.2,443.6,106.9,1205.9
6,1174.8,672.6,407.9,865.3,525.2,92.5,0.0,1302.9,555.0,40.8,1030.0,1152.0,276.1,401.2,992.5,765.9,485.1,1248.4,1253.9,579.4,273.5,260.6,713.4,522.5,402.8,98.9,585.3,758.8,804.4,402.8,927.6,488.3,959.7,750.0,508.0,820.4,318.5,1157.0,1308.5,1070.4,512.4,175.7,1158.2
7,2133.3,739.6,997.0,437.7,1446.7,1350.7,1302.9,0.0,937.6,1343.7,601.1,315.8,1501.9,1608.9,1526.0,700.7,908.7,157.5,337.8,746.0,1062.2,1486.5,1375.5,1444.0,900.1,1251.1,911.9,1420.8,656.8,900.1,1655.5,1185.1,365.7,644.3,827.7,503.9,1100.8,258.1,125.3,641.6,1720.2,1401.6,144.8
8,1574.8,274.5,150.6,933.7,798.7,602.8,555.0,937.6,0.0,595.8,642.1,764.2,731.1,838.1,1039.5,834.3,553.5,860.6,866.1,355.3,414.4,715.6,822.2,796.0,537.3,555.3,30.2,867.5,406.3,537.3,1102.3,630.5,571.9,351.9,198.9,888.8,453.0,769.2,920.7,682.6,949.3,630.7,889.6
9,1215.5,713.4,448.7,906.1,566.0,133.3,40.8,1343.7,595.8,0.0,1070.7,1192.8,316.9,442.0,1033.3,806.7,525.9,1289.2,1294.7,620.2,314.3,301.4,754.2,563.2,443.6,139.7,626.1,799.5,845.2,443.6,968.4,529.1,1000.5,790.8,548.8,861.2,359.3,1197.8,1349.3,1111.2,553.2,216.5,1198.9
10,1837.9,444.1,701.6,846.1,1151.3,1077.7,1030.0,601.1,642.1,1070.7,0.0,436.6,1206.5,1313.5,1230.5,1109.1,929.4,524.1,538.4,450.5,766.8,1191.0,1080.0,1148.5,913.2,1030.3,616.4,1125.4,361.4,913.2,1360.1,889.7,235.4,348.9,532.2,912.3,805.4,432.8,584.3,133.0,1424.7,1106.1,553.2
