,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,508.3,591.9,563.8,528.5,393.0,631.7,192.3,507.9,377.8,302.1,515.7,573.6,515.1,387.1,522.6,464.4,397.5,469.8,461.1,412.1,224.7,377.9,371.3,273.3,276.5,286.2,311.8,450.8,371.3,403.2,423.3,374.0,288.5,587.6,587.6,474.6,528.6,423.3,257.3,447.6,318.4,588.0
1,519.5,0.0,142.5,114.4,141.5,208.4,182.3,327.1,74.0,241.7,264.7,83.9,153.8,97.6,243.0,81.2,135.6,289.6,203.0,147.1,295.0,346.3,261.7,255.1,290.6,324.6,244.1,283.7,136.8,263.4,285.2,256.1,248.3,324.6,314.2,314.2,145.8,48.2,256.1,276.7,131.3,256.6,138.6
2,585.6,135.3,0.0,134.8,226.2,274.5,190.1,393.2,181.4,349.1,330.8,191.3,88.9,205.0,350.4,169.5,243.0,397.0,282.7,242.2,402.4,412.4,369.1,362.5,356.7,432.0,310.2,349.8,238.2,370.8,392.6,360.5,328.0,403.8,252.7,252.7,253.2,155.6,360.5,384.1,238.7,364.0,70.2
3,559.2,108.9,144.6,0.0,165.7,248.1,184.4,366.8,155.0,322.7,304.4,164.9,106.0,178.6,324.0,109.8,216.6,370.6,284.0,215.8,376.0,386.0,342.7,336.1,330.3,405.6,283.8,323.4,211.8,344.4,366.2,334.1,329.3,377.4,323.2,323.2,226.8,129.2,334.1,357.7,212.3,337.6,140.7
4,528.2,129.2,216.4,164.7,0.0,191.8,271.1,335.8,175.3,329.4,273.4,185.2,127.5,198.9,330.7,54.9,236.9,377.3,304.3,200.5,382.7,352.4,349.4,342.8,299.3,412.3,252.8,292.4,196.5,351.1,372.9,303.1,349.6,346.4,409.9,409.9,247.1,149.5,303.1,364.4,229.7,344.3,227.4
5,419.0,191.8,275.4,247.3,190.2,0.0,315.2,304.0,237.9,322.8,252.4,247.8,254.4,261.5,324.1,203.4,239.9,367.0,307.3,193.9,372.4,222.4,342.8,336.2,271.6,394.9,215.0,264.7,189.9,340.8,366.3,282.1,352.6,318.7,418.5,418.5,250.1,212.1,282.1,347.0,223.1,334.0,271.5
6,642.7,192.4,195.9,191.9,286.4,331.6,0.0,450.3,238.5,406.2,387.9,248.4,269.3,262.1,407.5,226.6,300.1,454.1,344.4,299.3,459.5,469.5,426.2,419.6,413.8,489.1,367.3,406.9,295.3,427.9,449.7,417.6,389.7,460.9,314.4,314.4,310.3,212.7,417.6,441.2,295.8,421.1,131.9
7,192.4,316.0,399.6,371.5,338.3,269.7,439.4,0.0,352.5,248.8,109.8,360.3,417.5,359.7,258.1,344.9,309.0,268.5,376.4,285.0,273.9,101.4,248.9,242.3,81.0,249.7,100.7,119.5,281.0,242.3,274.2,231.0,305.5,96.2,487.6,487.6,319.2,336.3,231.0,201.8,292.2,195.0,395.7
8,513.5,73.9,180.1,152.0,179.1,246.0,219.9,351.2,0.0,217.7,286.1,59.9,191.4,73.6,219.0,118.8,111.6,265.6,179.0,123.1,271.0,382.9,237.7,231.1,314.7,300.6,280.7,272.3,112.8,239.4,261.2,232.1,224.3,300.6,290.2,290.2,121.8,84.3,232.1,252.7,107.3,232.6,176.2
9,388.4,241.1,347.3,319.2,321.1,326.5,387.1,252.0,208.5,0.0,174.1,216.3,358.6,215.7,13.7,286.0,165.0,49.2,232.4,161.7,115.6,279.8,45.0,38.4,215.5,175.5,177.6,173.1,151.4,46.9,43.5,173.0,231.3,201.4,343.6,343.6,175.2,251.5,173.0,127.6,148.2,64.2,343.4
