,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.0,1127.7,1145.5,915.7,1138.2,1029.4,1099.2,448.3,612.7,823.3,896.4,803.0,796.0,1148.5,1044.5,1133.7,681.0,834.3,982.4,937.5,1127.0,596.2,903.9,988.5,1424.9,852.5,1155.2,1473.9,847.7,569.6,656.2,1031.4,1111.5,1138.2,798.6,773.2,652.9,800.6,814.4,864.8,1109.7,721.3,1513.9
1,1127.7,0.0,41.0,407.2,27.8,100.7,240.7,744.9,615.1,381.7,349.6,428.6,654.7,375.5,134.2,220.1,642.1,344.1,165.9,310.9,59.5,588.5,350.1,647.4,669.7,394.1,365.9,698.7,389.3,615.1,570.1,104.8,400.7,27.8,406.4,529.1,566.8,426.2,440.0,350.8,295.2,443.8,612.8
2,1145.5,41.0,0.0,439.3,21.6,132.8,250.0,755.9,647.2,413.8,358.9,460.7,686.8,384.8,166.3,229.4,674.2,354.9,175.2,320.2,18.5,620.6,382.2,679.5,701.8,426.2,375.2,708.0,421.4,647.2,602.2,114.1,432.8,21.6,438.5,561.2,598.9,458.3,472.1,360.1,304.5,475.9,622.1
3,915.7,407.2,439.3,0.0,417.7,308.9,620.5,698.7,403.1,92.4,672.5,139.3,418.3,755.3,323.7,599.9,405.7,472.6,491.5,585.8,457.8,352.1,57.1,508.0,552.6,104.8,742.6,1023.8,100.0,378.7,436.5,441.7,283.6,417.7,117.1,292.7,433.2,136.9,150.7,673.7,675.0,194.4,755.7
4,1138.2,27.8,21.6,417.7,0.0,111.2,268.5,772.7,625.6,392.2,377.4,439.1,665.2,403.3,144.7,247.9,652.6,371.9,193.7,338.7,40.1,599.0,360.6,657.9,680.2,404.6,393.7,726.5,399.8,625.6,580.6,132.6,411.2,0.0,416.9,539.6,577.3,436.7,450.5,378.6,323.0,454.3,640.6
5,1029.4,100.7,132.8,308.9,111.2,0.0,314.0,726.2,516.8,283.4,406.4,330.3,556.4,448.8,125.5,293.4,543.8,325.4,217.3,319.7,151.3,490.2,251.8,638.7,661.0,295.8,439.2,772.0,291.0,516.8,471.8,156.2,392.0,111.2,308.1,430.8,468.5,327.9,341.7,407.6,368.5,345.5,686.1
6,1099.2,240.7,250.0,620.5,268.5,314.0,0.0,764.7,775.3,547.7,248.4,594.6,817.0,160.9,347.5,86.6,804.4,351.6,171.9,209.7,231.5,750.8,563.4,847.3,633.3,560.1,125.2,500.6,555.3,777.4,704.9,179.1,600.6,268.5,572.4,691.4,701.6,592.2,606.0,249.6,54.5,606.1,414.7
7,448.3,744.9,755.9,698.7,772.7,726.2,764.7,0.0,403.2,606.3,698.6,586.0,624.5,860.1,814.8,744.1,509.5,444.7,592.8,657.2,737.4,424.7,686.9,771.5,1229.3,635.5,866.8,1185.5,630.7,398.1,370.9,641.8,940.0,772.7,581.6,556.2,367.6,583.6,597.4,667.0,819.2,504.3,1136.8
8,612.7,615.1,647.2,403.1,625.6,516.8,775.3,403.2,0.0,310.7,788.4,290.4,373.1,910.1,531.9,754.7,144.3,509.8,646.0,722.3,665.7,59.5,391.3,462.8,933.7,339.9,900.5,1232.0,335.1,43.1,143.6,596.2,664.7,625.6,286.0,247.5,140.3,288.0,301.8,756.8,829.8,208.7,1136.8
9,823.3,381.7,413.8,92.4,392.2,283.4,547.7,606.3,310.7,0.0,599.4,46.9,325.9,682.5,298.2,527.1,313.3,397.0,418.4,512.7,432.3,259.7,80.6,415.6,623.0,29.2,672.9,998.3,24.4,286.3,344.1,368.6,354.0,392.2,24.7,200.3,340.8,44.5,58.3,600.6,602.2,102.0,826.1
10,896.4,349.6,358.9,672.5,377.4,406.4,248.4,698.6,788.4,599.4,0.0,646.3,868.7,297.7,456.4,331.9,856.1,330.8,241.4,86.7,340.4,802.5,615.4,958.4,881.7,611.8,304.4,623.1,607.0,829.1,687.8,288.0,722.9,377.4,624.1,743.1,684.5,643.9,657.7,46.8,258.9,657.8,663.1
11,803.0,428.6,460.7,139.3,439.1,330.3,594.6,586.0,290.4,46.9,646.3,0.0,305.6,729.4,345.1,574.0,293.0,407.6,465.3,559.6,479.2,239.4,127.5,395.3,669.9,76.1,719.8,1045.2,71.3,266.0,323.8,415.5,400.9,439.1,22.2,180.0,320.5,2.4,38.0,647.5,649.1,81.7,873.0
12,796.0,654.7,686.8,418.3,665.2,556.4,817.0,624.5,373.1,325.9,868.7,305.6,0.0,951.8,571.5,796.4,367.2,590.4,687.7,782.0,705.3,313.6,406.5,208.9,703.9,355.1,942.2,1192.8,350.3,340.2,422.2,637.9,390.5,665.2,301.2,125.6,418.9,303.2,317.0,843.0,871.5,223.9,907.0
13,1148.5,375.5,384.8,755.3,403.3,448.8,160.9,860.1,910.1,682.5,297.7,729.4,951.8,0.0,482.3,247.5,939.2,447.0,267.3,259.0,366.3,885.6,698.2,943.5,729.5,694.9,65.2,370.1,690.1,912.2,815.7,313.9,696.8,403.3,707.2,826.2,812.4,727.0,740.8,298.9,106.4,740.9,510.9
14,1044.5,134.2,166.3,323.7,144.7,125.5,347.5,814.8,531.9,298.2,456.4,345.1,571.5,482.3,0.0,326.9,558.9,450.4,272.7,417.7,184.8,505.3,266.6,556.4,578.7,310.6,462.1,743.3,305.8,531.9,486.9,211.6,309.7,144.7,322.9,445.9,483.6,342.7,356.5,457.6,402.0,360.6,657.4
15,1133.7,220.1,229.4,599.9,247.9,293.4,86.6,744.1,754.7,527.1,331.9,574.0,796.4,247.5,326.9,0.0,783.8,331.0,151.3,293.2,210.9,730.2,542.8,840.1,677.3,539.5,211.8,544.6,534.7,756.8,684.3,158.5,593.4,247.9,551.8,670.8,681.0,571.6,585.4,333.1,141.1,585.5,458.7
