,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,581.4,523.8,515.1,281.6,468.8,376.4,468.2,392.6,277.2,599.8,346.7,440.6,435.2,382.5,202.9,384.9,472.1,211.6,177.8,306.6,172.6,353.9,166.0,535.7,216.2,340.2,388.8,631.1,456.2,530.7,600.9,458.9,519.4,314.1,372.7,473.9,393.2,538.6,354.5,473.5,565.5,597.3,371.3,421.6,444.0,318.4,588.0
1,586.2,0.0,156.7,205.6,348.7,269.4,349.1,235.7,262.1,433.3,45.0,406.1,170.2,214.4,387.4,404.3,254.4,272.7,378.8,408.3,370.9,413.5,389.0,436.5,208.3,374.2,399.6,270.9,101.0,221.7,102.3,136.3,154.9,343.3,377.5,388.9,258.6,301.1,110.2,324.0,206.9,197.9,147.0,371.4,292.0,223.2,364.6,57.9
2,517.2,153.5,0.0,131.6,279.7,236.0,275.1,166.7,186.5,359.3,171.9,337.1,101.2,140.4,354.0,335.3,178.8,239.3,309.8,339.3,301.9,344.5,315.0,367.5,296.3,305.2,330.6,195.3,203.2,152.7,102.8,173.0,85.9,304.1,308.5,355.5,146.6,227.1,110.7,255.0,131.3,300.1,169.4,297.4,180.0,149.2,290.6,160.1
3,523.8,196.5,132.3,0.0,316.4,188.3,227.4,140.5,259.9,311.6,214.9,303.7,168.0,92.7,306.3,372.0,252.2,191.6,346.5,376.0,268.5,381.2,267.3,404.2,248.6,341.9,297.2,268.7,246.2,154.5,145.8,216.0,152.7,256.4,309.7,307.8,234.2,179.4,153.7,263.4,204.7,278.4,212.4,249.7,267.6,101.5,242.9,203.1
4,283.8,337.4,279.8,308.0,0.0,323.7,132.4,226.2,241.8,198.7,355.8,123.5,196.6,228.1,220.4,101.9,234.1,327.0,76.4,105.9,88.3,111.1,140.3,134.1,384.0,71.8,117.0,238.0,387.1,212.2,286.7,356.9,214.9,336.8,94.9,210.6,276.4,186.1,294.6,110.5,237.4,413.8,353.3,190.6,270.8,236.9,143.3,344.0
5,441.6,284.0,241.3,184.4,333.0,0.0,247.3,160.4,305.1,283.2,307.3,320.3,207.6,101.1,158.3,388.6,297.4,3.3,363.1,392.6,285.1,397.8,283.9,420.8,115.7,358.5,313.8,313.9,277.4,174.4,254.8,314.1,225.9,135.1,326.3,159.8,302.5,199.3,262.7,283.3,263.5,145.5,321.4,269.6,345.8,92.3,232.6,222.4
6,373.1,351.1,286.9,230.0,135.6,245.7,0.0,183.1,283.3,172.2,369.5,122.9,211.4,150.1,193.9,191.2,275.6,249.0,165.7,195.2,87.7,200.4,113.8,223.4,306.0,161.1,116.4,292.1,400.8,197.1,300.4,370.6,229.7,248.5,128.9,184.1,291.2,66.9,308.3,76.8,252.2,335.8,367.0,100.4,324.0,158.9,93.6,357.7
7,466.8,219.3,161.7,143.3,229.3,159.0,174.9,0.0,176.0,259.1,237.7,251.2,78.5,63.4,277.0,284.9,168.3,162.3,259.4,288.9,216.0,294.1,214.8,317.1,219.3,254.8,244.7,184.8,269.0,14.0,168.6,238.8,96.8,227.1,257.2,271.0,173.4,126.9,176.5,204.6,134.4,249.1,235.2,197.2,216.7,72.2,190.4,225.9
8,420.6,252.8,185.0,249.4,257.6,294.2,277.2,174.7,0.0,390.2,271.2,315.0,145.1,198.6,411.9,313.2,7.7,297.5,287.7,291.1,279.8,285.9,331.8,259.1,354.5,283.1,308.5,59.2,302.5,160.7,202.1,272.3,153.1,362.3,286.4,402.1,123.5,262.1,210.0,232.9,123.1,384.3,268.7,328.7,91.1,207.4,321.9,259.4
9,283.2,421.9,357.7,300.8,204.5,287.4,166.6,253.9,371.9,0.0,440.3,191.8,301.1,220.9,168.2,254.7,364.2,290.7,234.6,264.1,156.6,269.3,155.4,292.3,354.3,230.0,185.3,368.1,471.6,267.9,371.2,441.4,319.4,305.1,197.8,158.4,396.0,178.9,379.1,205.5,357.0,384.1,437.8,157.0,400.9,229.7,104.1,428.5
