,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,1970.6,1588.8,1661.9,939.7,1532.7,1214.2,1575.0,1201.0,948.2,1941.5,1073.3,1481.8,1474.2,1286.9,712.4,1188.1,1538.2,711.9,607.7,1009.8,586.1,938.4,578.6,1779.1,731.0,1062.3,1180.9,2116.1,1560.4,1800.9,2044.7,1573.5,1442.6,962.3,1255.0,1405.5,1232.9,1820.1,1160.9,1419.5,1865.7,2023.8,1144.0,1241.9,1510.9,999.1,2085.4
1,1970.6,0.0,466.3,631.9,1109.8,953.3,973.9,774.7,825.5,1519.3,59.2,1282.5,556.9,738.5,1391.9,1363.5,812.6,958.8,1290.3,1394.4,1241.4,1416.0,1249.7,1392.1,717.1,1271.2,1271.5,854.7,205.1,721.3,298.1,204.1,476.0,1030.0,1182.1,1375.2,766.3,959.6,317.4,935.1,651.9,661.2,241.9,1248.5,893.8,775.2,1238.9,177.6
2,1588.8,466.3,0.0,392.1,848.1,834.2,712.2,513.0,443.6,1262.5,437.2,1020.8,295.2,498.7,1272.8,1101.8,430.7,839.7,1028.6,1112.0,979.7,1090.4,988.0,1010.2,1018.8,1009.5,1009.9,472.8,611.8,459.6,296.6,540.4,214.3,903.2,920.5,1256.1,300.0,697.9,315.8,673.5,242.7,1064.7,519.5,997.2,510.7,535.4,982.1,581.1
3,1661.9,631.9,392.1,0.0,1004.3,552.9,588.8,417.7,751.2,998.2,602.8,902.7,482.6,217.4,991.6,1245.4,738.3,558.4,1172.1,1276.3,861.6,1297.9,759.2,1317.8,737.6,1153.1,891.8,780.4,777.4,475.7,462.2,705.9,401.8,622.0,930.0,974.9,692.0,493.9,481.4,750.3,577.7,824.1,685.0,727.5,819.6,254.1,717.8,746.6
4,939.7,1109.8,848.1,1004.3,0.0,1077.5,415.5,719.0,609.6,687.5,1080.7,327.0,589.4,816.6,741.1,301.1,596.7,1082.9,227.8,332.0,285.9,353.6,391.0,433.8,1262.1,208.8,316.0,589.5,1255.2,668.0,940.0,1183.8,681.2,893.1,210.9,709.1,766.3,522.2,959.3,268.5,681.9,1348.7,1162.9,594.5,650.5,853.3,449.6,1224.5
5,1532.7,953.3,834.2,552.9,1077.5,0.0,724.0,565.6,1018.3,926.5,996.2,975.9,728.8,335.5,491.3,1316.3,1005.4,5.5,1243.1,1347.2,934.8,1368.9,830.2,1449.1,299.1,1224.0,964.9,1047.5,903.3,623.5,904.3,1047.8,820.5,191.2,1003.1,474.6,964.5,629.0,923.5,885.4,875.9,385.7,1085.5,582.8,1086.6,298.8,627.9,775.7
6,1214.2,973.9,712.2,588.8,415.5,724.0,0.0,483.5,666.5,560.5,944.8,313.9,453.6,401.1,614.1,664.8,653.6,729.5,591.6,695.7,272.8,717.3,275.8,797.5,908.6,572.5,303.0,695.7,1119.4,454.2,804.2,1047.9,545.3,539.6,341.2,582.2,689.3,106.7,823.4,206.6,600.7,995.2,1027.0,350.3,734.8,437.8,280.1,1088.7
7,1575.0,774.7,513.0,417.7,719.0,565.6,483.5,0.0,543.8,911.3,745.6,797.4,254.3,230.0,964.9,972.7,530.9,571.0,899.5,1003.6,756.3,1025.2,672.3,1068.1,750.2,880.4,786.4,573.0,920.1,57.9,604.9,848.7,346.1,634.6,791.3,933.0,490.1,388.5,624.2,543.0,401.4,836.7,827.8,641.1,612.2,266.7,630.9,889.4
8,1201.0,825.5,443.6,751.2,609.6,1018.3,666.5,543.8,0.0,1158.5,796.4,798.0,390.6,682.7,1212.1,828.8,12.9,1023.7,790.1,724.2,756.9,702.6,862.1,622.4,1202.9,771.0,787.1,85.0,970.9,490.5,655.7,899.5,438.8,1026.1,682.0,1180.2,260.4,652.1,675.0,541.9,274.3,1289.5,878.6,951.4,173.0,719.5,920.6,940.2
9,948.2,1519.3,1262.5,998.2,687.5,926.5,560.5,911.3,1158.5,0.0,1490.2,569.3,1003.8,810.5,556.4,759.7,1145.6,931.9,686.5,790.7,505.8,812.3,434.4,892.5,1111.1,667.4,558.4,1138.4,1664.8,969.3,1349.6,1593.3,1095.6,742.1,584.8,524.4,1239.6,569.2,1368.8,709.8,1150.9,1197.7,1572.4,443.5,1199.5,847.2,298.6,1587.7
