,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,817.5,1009.1,535.0,798.5,606.2,646.9,687.6,745.3,947.1,882.5,1395.8,1141.6,891.0,1261.4,1128.1,1531.2,856.3,1455.0,739.0,963.8,1078.9,1068.2,828.4,955.9,1301.1,709.0,748.7,668.5,893.7,1145.5,925.5,810.9,1022.0,1527.0,709.8,1456.8,475.1,802.3,1131.9,424.1,939.2,797.8,1341.7,596.2,867.2,721.3,1513.9
1,817.5,0.0,407.7,593.0,36.6,497.3,419.7,369.7,370.5,283.0,684.9,991.2,395.5,655.4,856.8,492.6,991.1,277.6,914.9,360.5,457.2,629.4,495.5,149.7,377.2,861.9,212.3,373.9,447.6,658.1,475.2,163.6,49.0,693.4,956.8,353.8,916.7,580.7,40.4,391.4,631.7,177.3,156.5,815.3,253.9,105.3,96.2,887.5
2,1009.1,407.7,0.0,501.6,371.1,792.8,362.2,504.4,458.1,184.7,323.8,583.5,424.5,294.3,449.1,119.0,590.8,573.1,514.6,270.1,685.1,221.7,580.5,458.2,672.7,461.6,377.5,461.5,743.1,297.0,136.4,329.1,401.1,285.7,586.6,401.9,516.4,534.0,392.5,476.4,585.0,442.9,298.6,415.0,549.4,373.4,404.7,573.5
3,535.0,593.0,501.6,0.0,574.0,771.9,268.3,471.9,427.9,457.3,347.5,860.8,922.9,356.0,726.4,620.6,996.2,634.4,920.0,265.4,814.0,543.9,975.0,603.9,734.0,766.1,420.9,431.3,804.4,358.7,638.0,686.2,586.4,487.0,992.0,308.0,921.8,224.9,577.8,928.8,173.9,714.7,457.7,806.7,610.7,642.7,496.8,978.9
4,798.5,36.6,371.1,574.0,0.0,478.3,400.7,350.7,351.5,246.4,648.3,954.6,358.9,618.8,820.2,456.0,954.5,258.6,878.3,341.5,438.2,592.8,458.9,130.7,358.2,825.3,193.3,354.9,428.6,621.5,438.6,127.0,30.0,656.8,920.2,334.8,880.1,561.7,21.4,354.8,612.7,140.7,137.5,778.7,234.9,68.7,77.2,850.9
5,606.2,497.3,792.8,771.9,478.3,0.0,582.3,434.9,492.6,668.1,1034.4,1376.3,535.4,1040.5,1241.9,881.4,1172.0,266.5,1260.7,674.4,357.6,1014.5,462.0,508.2,366.1,1207.7,456.3,496.0,62.3,1043.2,864.0,605.3,490.7,1078.5,1091.1,547.8,1262.5,547.0,482.1,525.7,598.0,619.0,502.0,1161.1,243.4,547.0,401.1,1021.8
6,646.9,419.7,362.2,268.3,400.7,582.3,0.0,203.6,230.1,300.2,452.1,850.1,755.3,460.6,715.7,481.2,896.8,461.1,820.6,92.1,640.7,527.7,801.7,430.6,560.7,755.4,247.6,233.5,631.1,463.3,498.6,515.9,413.1,549.4,892.6,134.7,822.4,171.8,404.5,755.5,222.8,541.4,287.4,721.0,381.9,469.4,323.5,879.5
7,687.6,369.7,504.4,471.9,350.7,434.9,203.6,0.0,113.9,327.2,655.7,1044.8,708.9,664.2,910.4,623.4,1091.5,411.1,1015.3,295.7,590.7,722.4,751.7,380.6,510.7,950.1,157.4,117.3,497.2,666.9,633.6,468.3,363.1,747.0,1087.3,169.1,1017.1,267.2,354.5,705.5,318.2,491.4,271.6,915.7,234.5,419.4,273.5,1074.2
8,745.3,370.5,458.1,427.9,351.5,492.6,230.1,113.9,0.0,280.9,611.7,998.5,706.1,620.2,864.1,577.1,1045.2,411.9,969.0,251.7,591.5,676.1,752.5,381.4,511.5,903.8,198.4,3.4,554.9,622.9,594.5,466.7,363.9,700.7,1041.0,188.7,970.8,293.7,355.3,706.3,344.7,492.2,238.2,869.4,292.2,420.2,274.3,1027.9
9,947.1,283.0,184.7,457.3,246.4,668.1,300.2,327.2,280.9,0.0,418.7,747.4,465.6,389.2,613.0,303.7,775.5,448.4,699.3,208.1,628.0,406.4,612.4,333.5,548.0,646.3,252.8,284.3,618.4,391.9,321.1,255.3,276.4,449.6,771.3,264.2,701.1,472.0,267.8,508.3,523.0,320.7,173.9,599.7,424.7,248.7,280.0,758.2
10,882.5,684.9,323.8,347.5,648.3,1034.4,452.1,655.7,611.7,418.7,0.0,569.1,671.1,64.3,434.7,365.6,704.5,818.2,628.3,419.1,931.7,252.2,827.1,735.4,917.8,474.4,604.7,615.1,988.2,67.0,383.0,606.3,678.3,195.3,700.3,491.8,630.1,572.4,669.7,723.0,521.4,720.1,575.8,515.0,794.5,650.6,680.6,687.2
11,1395.8,991.2,583.5,860.8,954.6,1376.3,850.1,1044.8,998.5,747.4,569.1,0.0,879.3,539.6,134.4,614.7,459.7,1156.6,476.2,758.5,1110.9,428.5,1006.3,1041.7,1207.5,266.5,961.0,1001.9,1323.4,542.3,632.1,912.3,984.6,403.0,405.0,889.8,478.0,1021.9,976.0,860.0,1034.7,1026.1,882.1,307.1,1132.9,956.9,988.2,363.9
