,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,85.6,239.2,244.1,146.1,259.4,211.7,132.8,248.7,141.7,252.0,212.4,160.0,122.9,228.9,252.0,85.2,109.5,187.0,244.1,129.7,248.5,115.5,208.7,82.2,184.3,233.6,191.6,240.9,91.4,200.6,180.7,145.1,205.1,288.1,197.4,233.4,238.6,196.2,133.9,118.3,194.8,240.4,145.1,130.5,217.0,155.5,207.7
1,85.3,0.0,244.8,249.7,151.7,265.0,141.9,76.8,192.0,147.3,257.6,126.8,90.2,128.5,150.6,257.6,47.1,115.1,105.1,249.7,135.3,254.1,85.9,214.3,118.7,152.4,185.4,147.1,209.7,116.2,115.0,166.1,59.5,119.5,247.8,127.6,176.7,244.2,110.6,101.6,32.7,109.2,246.0,59.5,92.8,222.6,69.9,213.3
2,247.2,256.0,0.0,125.9,123.3,141.2,191.5,212.6,140.4,142.1,133.8,260.8,236.7,145.0,200.1,133.8,265.4,158.8,266.8,125.9,165.0,130.3,195.3,90.5,219.6,177.7,189.0,185.0,122.7,225.6,247.3,174.1,225.2,266.7,169.9,256.3,155.7,19.9,274.5,213.7,270.1,278.2,32.2,225.2,228.6,98.8,238.9,89.5
3,222.7,231.5,135.0,0.0,76.9,15.3,168.8,188.1,117.7,95.7,7.9,214.4,214.0,100.1,177.4,7.9,240.9,134.3,239.4,0.0,140.5,4.4,170.8,67.8,195.1,131.3,166.3,138.6,100.0,201.1,200.9,127.7,200.7,220.3,147.2,233.6,133.0,111.8,228.1,189.2,245.6,249.5,99.5,200.7,204.1,76.1,214.4,66.8
4,145.8,154.6,123.2,98.0,0.0,113.3,125.0,111.2,112.5,18.8,105.9,137.5,170.2,23.2,108.0,105.9,164.0,57.4,162.5,98.0,63.6,102.4,93.9,62.6,118.2,54.4,161.1,61.7,94.8,124.2,124.0,50.8,123.8,143.4,142.0,189.8,127.8,106.6,151.2,112.3,168.7,172.6,94.3,123.8,127.2,70.9,137.5,61.6
5,207.4,216.2,119.7,87.9,61.6,0.0,153.5,172.8,102.4,80.4,95.8,199.1,198.7,84.8,162.1,95.8,225.6,119.0,224.1,87.9,125.2,92.3,155.5,52.5,179.8,116.0,151.0,123.3,84.7,185.8,185.6,112.4,185.4,205.0,131.9,218.3,117.7,96.5,212.8,173.9,230.3,234.2,84.2,185.4,188.8,60.8,199.1,51.5
6,205.0,137.0,196.6,148.7,124.4,164.0,0.0,138.9,50.1,128.3,156.6,124.0,45.2,132.7,17.2,156.6,116.9,166.9,149.0,148.7,173.1,153.1,148.0,130.5,190.6,89.7,43.5,84.4,67.8,178.3,110.5,103.4,121.6,129.9,105.9,64.8,34.8,173.4,137.7,163.7,151.1,159.1,161.1,121.6,154.9,121.6,132.0,106.8
7,139.7,70.3,201.0,205.9,107.9,221.2,143.9,0.0,194.0,103.5,213.8,110.1,92.2,84.7,133.9,213.8,79.7,71.3,88.4,205.9,91.5,210.3,42.1,170.5,70.5,135.7,187.4,130.4,202.7,58.2,98.3,142.5,39.5,102.8,249.8,129.6,178.7,200.4,93.9,57.8,84.4,92.5,202.2,39.5,16.0,178.8,53.2,169.5
8,251.3,188.1,146.5,98.6,118.3,113.9,51.1,190.0,0.0,137.1,106.5,166.5,96.3,141.5,59.7,106.5,163.2,175.7,191.5,98.6,181.9,103.0,199.1,80.4,236.5,132.2,48.6,126.9,17.7,229.4,153.0,145.9,172.7,172.4,106.5,115.9,15.3,123.3,180.2,214.3,202.2,201.6,111.0,172.7,206.0,71.5,176.1,56.7
9,144.7,153.5,138.6,113.4,15.4,128.7,124.2,110.1,127.9,0.0,121.3,136.7,169.4,22.1,107.2,121.3,162.9,56.3,161.7,113.4,62.5,117.8,92.8,78.0,117.1,53.6,163.2,60.9,110.2,123.1,123.2,50.0,122.7,142.6,157.4,189.0,143.2,122.0,150.4,111.2,167.6,171.8,109.7,122.7,126.1,86.3,136.4,77.0
10,214.8,223.6,127.1,95.3,69.0,7.4,160.9,180.2,109.8,87.8,0.0,206.5,206.1,92.2,169.5,0.0,233.0,126.4,231.5,95.3,132.6,99.7,162.9,59.9,187.2,123.4,158.4,130.7,92.1,193.2,193.0,119.8,192.8,212.4,139.3,225.7,125.1,103.9,220.2,181.3,237.7,241.6,91.6,192.8,196.2,68.2,206.5,58.9
