,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,1918.0,1588.7,2016.5,1239.3,1930.7,1365.9,749.4,767.5,1136.2,1498.7,1893.9,2196.8,570.9,1351.2,1297.5,927.9,1636.3,821.8,1249.9,1915.8,1236.1,2199.2,1257.1,2044.2,902.9,1129.1,781.5,2115.3,840.7,828.4,1435.3,1204.9,1968.6,1198.4,2054.9,2110.1,1135.8,2026.8,1574.2,1527.5,1763.3,769.8,829.6,1185.1,1930.4,1067.6,2121.1
1,1913.8,0.0,967.5,121.9,1122.4,743.2,552.1,1168.6,1150.5,904.9,387.8,1009.5,560.0,1347.1,973.8,1074.6,1132.4,652.5,1489.4,1133.0,297.6,1119.3,304.5,1077.4,149.5,1613.6,1191.9,1136.6,220.6,1411.3,1379.7,670.4,1068.9,756.2,807.5,669.9,215.4,1082.3,132.1,441.4,725.5,825.7,1621.2,1388.1,766.3,312.3,1150.5,435.4
2,1600.8,967.5,0.0,1051.0,819.5,1295.0,729.8,1283.4,1265.4,1061.5,844.5,305.2,1047.3,1461.9,670.9,771.7,1100.5,915.6,1053.8,830.1,965.3,816.3,860.5,774.5,998.8,724.4,889.0,1251.4,961.6,999.5,968.0,656.5,937.2,379.9,985.1,466.2,956.5,779.3,1061.3,879.6,422.6,141.9,818.9,1381.7,1029.4,979.9,823.1,679.3
3,2012.3,121.9,1051.0,0.0,1221.0,780.5,650.7,1267.1,1249.1,1003.4,486.3,945.8,565.5,1445.6,1072.3,1173.1,1230.9,751.1,1588.0,1231.6,387.4,1217.8,240.8,1176.0,85.8,1712.1,1290.4,1235.1,156.9,1509.8,1478.3,769.0,1167.4,692.5,906.0,606.2,151.7,1180.8,10.3,539.9,824.0,924.2,1719.7,1486.6,864.8,402.0,1249.0,371.7
4,1251.4,1122.4,819.5,1221.0,0.0,1449.9,830.7,805.3,787.3,583.4,901.8,1124.7,1401.3,983.8,148.6,94.9,622.4,973.0,520.6,47.3,1120.2,3.2,1403.7,170.0,1248.6,727.8,410.9,773.3,1319.7,442.4,410.9,528.5,459.1,1199.4,581.5,1285.7,1314.5,165.2,1231.3,1034.5,441.8,677.6,652.3,1024.8,1086.7,1134.8,171.7,1325.6
5,1923.6,775.0,1262.4,780.5,1449.9,0.0,879.6,1496.1,1478.0,1232.4,715.3,1157.1,215.1,1674.6,1301.3,1402.1,1459.9,635.5,1816.9,1460.5,521.0,1446.8,725.2,1404.9,808.2,1986.7,1519.4,1464.1,603.0,1738.8,1707.2,997.9,1396.4,903.8,1135.0,817.5,821.2,1409.8,790.8,499.9,1053.0,1153.2,1948.7,1715.6,851.5,535.6,1478.0,583.1
6,1361.6,552.1,729.8,650.7,830.7,879.6,0.0,616.4,598.4,352.8,287.6,1035.0,831.0,795.0,638.5,739.3,580.2,270.4,1068.5,841.3,549.9,827.5,833.4,660.6,678.3,1275.7,721.7,584.4,749.4,990.3,958.8,177.4,516.7,1076.0,255.3,989.7,744.2,665.5,661.0,363.1,368.3,587.9,1200.3,836.0,384.2,564.5,733.7,755.3
7,745.2,1168.6,1283.4,1267.1,805.3,1496.1,616.4,0.0,18.0,386.8,904.0,1588.6,1447.4,178.5,917.2,863.5,178.4,886.9,600.5,815.9,1166.3,802.1,1449.8,635.3,1294.7,867.5,379.6,32.0,1365.8,478.5,510.1,685.8,455.4,1663.3,448.9,1606.1,1360.7,640.1,1277.4,979.5,905.7,1141.5,734.4,219.5,745.2,1181.0,600.4,1371.7
8,763.2,1150.5,1265.4,1249.1,787.3,1478.0,598.4,18.0,0.0,368.7,886.0,1570.6,1429.4,196.6,899.2,845.5,160.4,868.8,582.5,797.9,1148.3,784.1,1431.8,617.2,1276.7,885.5,361.6,14.0,1347.8,460.5,492.0,667.8,437.4,1645.3,430.9,1588.1,1342.6,622.1,1259.4,961.5,887.7,1123.5,752.5,237.6,727.1,1162.9,582.3,1353.7
9,1132.0,904.9,1061.5,1003.4,583.4,1232.4,352.8,386.8,368.7,0.0,640.3,1366.7,1183.7,565.3,695.3,641.6,350.6,623.2,825.4,594.0,902.6,580.2,1186.1,413.4,1031.1,1032.6,481.3,354.8,1102.1,747.2,715.7,422.2,269.4,1441.4,185.2,1342.4,1097.0,418.2,1013.7,715.8,683.8,919.6,957.1,606.3,622.4,917.3,486.4,1108.0
10,1615.6,387.8,844.5,486.3,901.8,715.3,254.0,870.4,852.4,606.8,0.0,1164.9,666.6,1049.0,753.2,854.0,834.2,264.8,1268.8,912.4,385.5,898.7,669.0,856.8,513.9,1490.5,971.3,838.4,585.0,1190.7,1159.1,372.3,770.7,911.6,509.4,825.3,579.9,861.7,496.6,106.0,483.0,702.7,1400.6,1090.0,378.5,400.2,929.9,590.9
11,1906.0,1009.5,305.2,945.8,1124.7,1157.1,1035.0,1588.6,1570.6,1366.7,1164.9,0.0,942.0,1767.2,976.1,1076.9,1405.7,1220.8,1359.0,1135.3,1066.0,1121.5,755.2,1079.7,893.5,1029.6,1194.2,1556.6,856.3,1304.7,1273.2,961.7,1242.5,253.3,1290.3,339.6,851.2,1084.5,956.0,1184.8,727.8,447.1,1124.1,1686.9,1334.6,1080.7,1128.4,574.0
12,2192.6,560.0,1047.3,565.5,1401.3,215.1,831.0,1447.4,1429.4,1183.7,666.6,942.0,0.0,1625.9,1252.6,1353.4,1411.2,796.1,1768.3,1411.9,567.7,1398.1,510.1,1356.2,593.1,1771.7,1470.7,1415.4,387.9,1690.1,1658.6,949.2,1347.7,688.7,1086.3,602.4,606.1,1361.1,575.8,660.5,1004.3,1104.5,1866.2,1666.9,1045.1,582.3,1429.3,368.0
13,566.6,1347.1,1461.9,1445.6,983.8,1408.6,795.0,178.5,196.6,565.3,1082.6,1767.2,1625.9,0.0,1095.8,1042.1,357.0,1065.4,825.7,994.4,1344.9,980.7,1628.3,813.8,1473.3,906.7,558.1,210.6,1544.4,657.1,688.6,864.4,634.0,1841.9,627.5,1784.7,1539.2,818.7,1455.9,1158.0,1084.2,1320.1,773.6,258.7,663.0,1359.5,778.9,1550.2
14,1363.3,973.8,670.9,1072.3,148.6,1301.3,638.5,917.2,899.2,695.3,753.2,976.1,1252.6,1095.8,0.0,100.8,734.4,824.3,632.5,159.2,971.6,145.5,1255.0,282.0,1100.0,839.7,522.8,885.2,1171.1,554.3,522.8,379.9,571.1,1050.8,693.5,1137.1,1165.9,277.1,1082.6,885.8,293.2,529.0,764.3,1136.8,938.1,986.2,283.6,1176.9
15,1309.6,1074.6,771.7,1173.1,94.9,1402.1,739.3,863.5,845.5,641.6,854.0,1076.9,1353.4,1042.1,100.8,0.0,680.7,925.1,578.8,105.5,1072.4,91.8,1355.8,228.3,1200.8,786.0,469.1,831.5,1271.8,500.6,469.1,480.6,517.4,1151.6,639.8,1237.9,1266.7,223.4,1183.4,986.6,393.9,629.8,710.6,1083.1,1038.9,1087.0,229.9,1277.7
16,923.6,1196.8,1100.5,1295.3,622.4,1524.3,644.6,178.4,160.4,415.0,932.2,1405.7,1475.6,357.0,734.4,680.7,0.0,915.1,493.4,633.0,1194.5,619.3,1478.0,452.4,1322.9,758.2,272.5,146.4,1394.0,371.4,403.0,714.0,272.6,1480.4,477.1,1566.7,1388.9,457.3,1305.6,1007.7,722.8,958.7,625.2,398.0,773.4,1209.2,417.5,1399.9
17,1632.1,652.5,915.6,751.1,973.0,635.5,270.4,886.9,868.8,623.2,264.8,1220.8,796.1,1065.4,824.3,925.1,850.7,0.0,1340.0,983.6,650.3,969.8,933.8,927.9,778.7,1561.7,992.1,854.8,849.8,1261.8,1230.3,443.4,787.2,1176.4,525.8,1090.1,844.6,932.8,761.4,340.2,554.2,773.8,1471.7,1106.4,361.4,664.9,1001.0,855.7
18,833.9,1489.4,1077.7,1588.0,520.6,1816.9,1068.5,600.5,582.5,838.9,1268.8,1382.9,1768.3,825.7,632.5,578.8,493.4,1340.0,0.0,531.2,1487.2,517.4,1770.7,538.4,1615.6,367.9,490.6,568.5,1686.7,122.0,109.7,895.5,610.6,1457.6,823.5,1543.9,1681.5,417.1,1598.3,1401.5,808.8,1044.6,234.9,614.8,1197.2,1501.8,348.9,1692.6
19,1262.0,1133.0,830.1,1231.6,47.3,1460.5,841.3,815.9,797.9,594.0,912.4,1135.3,1411.9,994.4,159.2,105.5,633.0,983.6,531.2,0.0,1130.8,44.1,1414.3,180.6,1259.2,738.4,421.5,783.9,1330.3,453.0,421.5,539.1,469.7,1210.0,592.1,1296.3,1325.1,175.8,1241.9,1045.1,452.4,688.2,662.9,1035.4,1097.3,1145.4,182.3,1336.2
20,1911.5,297.6,965.3,387.4,1120.2,521.0,549.9,1166.3,1148.3,902.6,385.5,1066.0,567.7,1344.9,971.6,1072.4,1130.1,650.3,1487.2,1130.8,0.0,1117.0,570.1,1075.2,415.0,1611.3,1189.7,1134.3,486.1,1409.0,1377.5,668.2,1066.6,812.7,805.2,726.4,481.0,1080.0,397.7,439.2,723.3,823.4,1618.9,1385.9,764.0,14.6,1148.2,492.0
21,1248.2,1119.3,816.3,1217.8,3.2,1446.8,827.5,802.1,784.1,580.2,898.7,1121.5,1398.1,980.7,145.5,91.8,619.3,969.8,517.4,44.1,1117.0,0.0,1400.5,166.9,1245.4,724.6,407.7,770.1,1316.5,439.2,407.7,525.3,456.0,1196.2,578.4,1282.5,1311.4,162.0,1228.1,1031.3,438.6,674.5,649.2,1021.7,1083.6,1131.7,168.5,1322.4
22,2195.0,304.5,860.5,240.8,1403.7,725.2,833.4,1449.8,1431.8,1186.1,669.0,755.2,510.1,1628.3,1255.0,1355.8,1413.6,933.8,1770.7,1414.3,570.1,1400.5,0.0,1358.6,188.6,1584.9,1473.1,1417.8,151.4,1692.5,1661.0,951.6,1350.1,501.9,1088.7,415.6,146.3,1363.5,251.1,722.6,1006.7,1002.4,1679.4,1669.3,1047.5,584.7,1431.7,181.2
23,1152.7,1077.4,774.5,1176.0,170.0,1404.9,660.6,635.3,617.2,413.4,856.8,1079.7,1356.2,813.8,282.0,228.3,452.4,927.9,421.9,180.6,1075.2,166.9,1358.6,0.0,1203.6,629.1,240.8,603.3,1274.7,343.8,312.3,483.5,289.1,1154.4,411.5,1240.7,1269.5,4.9,1186.2,989.5,396.8,632.6,553.7,854.8,1041.7,1089.8,73.0,1280.6
24,2039.9,149.5,998.8,85.8,1248.6,808.2,678.3,1294.7,1276.7,1031.1,513.9,893.5,593.1,1473.3,1100.0,1200.8,1258.5,778.7,1615.6,1259.2,415.0,1245.4,188.6,1203.6,0.0,1723.1,1318.1,1262.7,104.6,1537.4,1505.9,796.6,1195.0,640.2,933.6,553.9,99.5,1208.4,96.1,567.6,851.7,951.8,1747.4,1514.3,892.5,429.7,1276.6,319.5
25,914.9,1613.6,724.4,1712.1,785.4,1941.1,1333.3,867.5,885.5,1103.7,1533.7,1029.6,1771.7,906.7,897.3,843.6,758.2,1604.8,367.9,796.0,1611.3,782.2,1584.9,803.2,1739.7,0.0,755.4,899.5,1686.0,386.8,374.5,1160.3,875.4,1104.3,1088.3,1190.6,1680.8,681.9,1722.4,1525.6,1073.6,787.9,133.1,695.8,1462.1,1626.0,613.7,1403.7
26,1124.8,1191.9,889.0,1290.4,410.9,1519.4,721.7,379.6,361.6,492.0,971.3,1194.2,1470.7,558.1,522.8,469.1,272.5,992.1,490.6,421.5,1189.7,407.7,1473.1,240.8,1318.1,697.7,0.0,347.6,1389.1,412.4,380.9,597.9,263.8,1268.9,554.2,1355.2,1384.0,245.7,1300.7,1103.9,511.2,747.1,622.3,599.1,850.4,1204.3,205.9,1395.0
27,777.2,1136.6,1251.4,1235.1,773.3,1464.1,584.4,32.0,14.0,354.8,872.0,1556.6,1415.4,210.6,885.2,831.5,146.4,854.8,568.5,783.9,1134.3,770.1,1417.8,603.3,1262.7,899.5,347.6,0.0,1333.8,446.5,478.0,653.8,423.4,1631.3,416.9,1574.1,1328.6,608.1,1245.4,947.5,873.7,1109.5,766.5,251.6,713.1,1148.9,568.3,1339.7
28,2111.0,220.6,961.6,156.9,1319.7,603.0,749.4,1365.8,1347.8,1102.1,585.0,856.3,387.9,1544.4,1171.1,1271.8,1329.6,849.8,1686.7,1330.3,486.1,1316.5,151.4,1274.7,104.6,1686.0,1389.1,1333.8,0.0,1608.5,1577.0,867.7,1266.1,603.0,1004.7,516.7,62.3,1279.5,167.1,638.7,922.7,1022.9,1780.5,1585.3,963.5,500.8,1347.7,282.3
29,852.8,1411.3,999.5,1509.8,442.4,1738.8,990.3,478.5,460.5,760.7,1190.7,1304.7,1690.1,657.1,554.3,500.6,371.4,1261.8,122.0,453.0,1409.0,439.2,1692.5,460.2,1537.4,386.8,259.7,446.5,1608.5,0.0,31.5,817.3,532.4,1379.4,745.3,1465.7,1603.4,338.9,1520.1,1323.3,730.6,966.4,253.8,633.6,1119.1,1423.6,270.7,1614.4
30,840.5,1379.7,968.0,1478.3,410.9,1707.2,958.8,510.1,492.0,729.2,1159.1,1273.2,1658.6,688.6,522.8,469.1,403.0,1230.3,109.7,421.5,1377.5,407.7,1661.0,428.7,1505.9,374.5,380.9,478.0,1577.0,31.5,0.0,785.8,500.9,1347.9,713.8,1434.2,1571.8,307.4,1488.6,1291.8,699.1,934.9,241.5,621.3,1087.5,1392.1,239.2,1582.9
31,1431.0,670.4,656.5,769.0,528.5,997.9,177.4,685.8,667.8,422.2,372.3,961.7,949.2,864.4,379.9,480.6,649.6,443.4,895.5,539.1,668.2,525.3,951.6,483.5,796.6,1302.5,597.9,653.8,867.7,817.3,785.8,0.0,586.1,1036.4,324.7,1122.7,862.5,488.3,779.2,582.4,295.0,514.6,1027.2,905.4,557.2,682.8,556.5,873.6
32,1200.6,1068.9,937.2,1167.4,459.1,1396.4,516.7,455.4,437.4,269.4,804.3,1242.5,1347.7,634.0,571.1,517.4,272.6,787.2,610.6,469.7,1066.6,456.0,1350.1,289.1,1195.0,817.8,263.8,423.4,1266.1,532.4,500.9,586.1,0.0,1317.2,267.6,1403.5,1261.0,294.0,1177.7,879.8,559.5,795.4,742.4,675.0,786.3,1081.3,362.2,1272.0
