,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.0,1346.3,1240.4,899.7,843.2,1018.3,1268.8,1408.3,825.0,1103.1,1478.9,1346.5,826.1,986.4,1190.6,1126.3,1344.7,580.9,1521.3,711.5,862.9,837.9,891.3,763.3,517.3,806.1,1023.6,934.5,680.0,1473.9,533.1,1256.9,848.8,1497.8,1459.8,675.3,1002.9,559.0,1347.1,1095.5,520.1,652.9,1145.9,1430.6,1127.1,895.8,1141.7,485.4,1401.2,790.8,1496.6,721.3,1513.9
1,1346.3,0.0,816.5,481.4,807.5,679.9,788.1,553.9,696.5,272.2,563.1,706.8,857.5,583.9,582.4,642.4,712.2,1134.9,474.5,634.8,953.2,831.9,489.8,711.7,1146.3,594.4,787.5,871.6,998.2,583.0,889.8,687.1,835.4,559.1,443.0,968.9,980.8,841.3,104.2,634.6,826.2,885.2,355.5,572.4,714.9,600.1,789.6,1187.8,54.9,684.2,580.8,646.4,297.2
2,1240.4,816.5,0.0,832.9,655.0,483.9,28.4,426.4,882.9,791.4,497.0,204.8,580.2,581.6,417.0,457.5,104.3,697.1,533.0,1128.2,429.5,571.4,824.5,908.2,881.9,824.4,268.2,347.9,677.0,233.5,1063.2,356.9,519.3,257.4,373.5,693.7,392.1,1014.7,920.7,426.7,1134.8,904.3,634.7,448.7,339.0,830.1,181.7,972.7,761.6,935.7,514.7,832.8,519.3
3,899.7,481.4,832.9,0.0,350.3,349.3,861.3,818.0,228.5,282.6,888.6,756.2,416.0,251.6,455.5,444.2,937.2,666.9,931.0,486.8,698.1,390.4,8.4,266.8,678.3,126.4,616.1,574.5,530.2,1009.5,421.8,560.2,393.9,985.6,869.5,500.9,725.7,373.3,482.2,436.4,493.4,417.2,360.3,840.3,579.0,132.1,717.9,719.8,536.3,294.3,906.3,178.4,763.1
4,843.2,807.5,655.0,350.3,0.0,286.3,683.4,734.2,275.6,608.7,804.8,672.4,80.2,305.7,523.2,406.3,759.3,349.6,847.2,520.9,492.3,83.6,341.9,300.9,383.5,256.7,438.2,368.7,212.9,888.5,455.9,582.8,141.7,901.8,785.7,195.3,519.9,407.4,808.3,375.5,527.5,255.1,478.5,756.5,440.5,346.4,556.3,474.3,862.4,328.4,822.5,225.5,839.8
5,1018.3,679.9,483.9,349.3,286.3,0.0,512.3,523.7,450.3,481.1,594.3,461.9,255.9,97.7,369.1,162.9,588.2,502.5,636.7,695.6,348.8,247.1,340.9,475.6,558.6,388.1,267.1,225.2,365.8,715.2,630.6,372.3,195.0,691.3,575.2,370.4,376.4,582.1,680.7,132.1,702.2,497.4,324.4,546.0,230.0,393.8,368.9,649.4,734.8,503.1,612.0,400.2,629.3
6,1268.8,788.1,28.4,861.3,683.4,512.3,0.0,454.8,911.3,819.8,525.4,233.2,608.6,610.0,445.4,485.9,75.9,725.5,561.4,1156.6,457.9,599.8,852.9,936.6,910.3,852.8,296.6,376.3,705.4,205.1,1091.6,385.3,547.7,229.0,345.1,722.1,420.5,1043.1,892.3,455.1,1163.2,932.7,663.1,477.1,367.4,858.5,210.1,1001.1,733.2,964.1,543.1,861.2,490.9
7,1408.3,553.9,426.4,818.0,734.2,523.7,454.8,0.0,919.3,746.1,86.4,310.4,659.4,621.4,371.7,497.3,530.7,865.0,131.4,1108.7,597.4,650.6,809.6,944.6,961.1,856.8,384.7,515.8,756.2,412.8,1099.6,311.6,598.5,388.9,272.8,772.9,625.0,1051.1,658.1,466.5,1171.2,968.1,589.4,38.1,312.1,862.5,386.8,1051.9,499.0,972.1,104.1,869.2,256.7
8,825.0,696.5,882.9,228.5,275.6,450.3,911.3,919.3,0.0,497.7,989.9,857.5,355.8,352.6,556.8,545.2,987.2,592.2,1032.3,412.1,747.8,359.2,220.1,192.1,603.6,134.9,666.1,624.2,455.5,1110.8,347.1,661.5,417.3,1086.9,970.8,426.2,775.4,298.6,697.3,537.4,418.7,342.5,512.1,941.6,629.0,224.6,767.9,645.1,751.4,219.6,1007.6,103.7,978.2
9,1103.1,272.2,791.4,282.6,608.7,481.1,819.8,746.1,497.7,0.0,816.7,684.3,658.7,385.1,383.6,443.6,895.7,936.1,731.2,391.6,754.4,633.1,291.0,468.5,947.5,395.6,615.5,672.8,799.4,839.7,677.2,488.3,636.6,815.8,699.7,770.1,782.0,642.5,273.0,435.8,583.0,686.4,156.7,768.4,578.4,401.3,669.9,968.7,327.1,441.0,834.4,447.6,553.9
10,1478.9,563.1,497.0,888.6,804.8,594.3,525.4,86.4,989.9,816.7,0.0,381.0,730.0,692.0,442.3,567.9,551.2,935.6,140.6,1179.3,668.0,721.2,880.2,1015.2,1031.7,927.4,455.3,586.4,826.8,422.0,1170.2,382.2,669.1,398.1,282.0,843.5,695.6,1121.7,667.3,537.1,1241.8,1038.7,660.0,104.9,382.7,933.1,457.4,1122.5,508.2,1042.7,113.3,939.8,265.9
11,1346.5,706.8,204.8,756.2,672.4,461.9,233.2,310.4,857.5,684.3,381.0,0.0,597.6,559.6,309.9,435.5,309.1,803.2,417.0,1046.9,535.6,588.8,747.8,882.8,899.3,795.0,322.9,454.0,694.4,438.3,1037.8,249.8,536.7,462.2,355.5,711.1,546.5,989.3,811.0,404.7,1109.4,906.3,527.6,332.7,250.3,800.7,325.0,990.1,651.9,910.3,398.7,807.4,409.6
12,826.1,857.5,580.2,416.0,80.2,255.9,608.6,659.4,355.8,658.7,730.0,597.6,0.0,338.4,555.9,363.9,684.5,317.5,772.4,601.1,412.1,25.6,407.6,381.1,366.4,336.9,363.4,288.5,180.8,813.7,536.1,508.0,61.5,827.0,710.9,178.2,439.7,487.6,858.3,333.1,607.7,335.2,511.2,681.7,365.7,412.1,481.5,457.2,912.4,408.6,747.7,305.7,765.0
13,986.4,583.9,581.6,251.6,305.7,97.7,610.0,621.4,352.6,385.1,692.0,559.6,338.4,0.0,273.1,195.0,685.9,600.2,734.4,597.9,446.5,312.8,243.2,377.9,656.3,290.4,364.8,322.9,463.5,812.9,532.9,377.8,292.7,789.0,672.9,468.1,474.1,484.4,584.7,185.6,604.5,425.5,228.4,643.7,327.7,296.1,466.6,747.1,638.8,405.4,709.7,302.5,727.0
14,1190.6,582.4,417.0,455.5,523.2,369.1,445.4,371.7,556.8,383.6,442.3,309.9,555.9,273.1,0.0,331.6,521.3,773.7,484.7,746.2,506.1,530.3,447.1,582.1,869.8,494.3,293.4,424.5,664.9,563.2,737.1,113.9,507.2,539.3,423.2,681.6,533.7,688.6,583.2,323.8,808.7,629.7,226.9,394.0,220.8,500.0,295.5,960.6,637.3,609.6,460.0,506.7,477.3
15,1126.3,642.4,457.5,444.2,406.3,162.9,485.9,497.3,545.2,443.6,567.9,435.5,363.9,195.0,331.6,0.0,561.8,610.5,610.3,790.5,379.6,355.1,435.8,570.5,666.6,483.0,240.7,298.0,473.8,688.8,725.5,345.9,303.0,664.9,548.8,478.4,407.2,677.0,643.2,30.8,797.1,617.4,286.9,519.6,203.6,488.7,342.5,757.4,697.3,598.0,585.6,495.1,602.9
