,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.0,263.2,279.1,351.3,226.4,445.0,474.4,369.8,396.6,608.6,485.1,382.5,356.7,486.0,502.6,588.1,613.5,201.5,591.0,455.4,375.1,374.0,313.4,443.6,619.8,314.1,427.9,258.6,576.8,273.6,455.7,297.4,393.2,412.1,371.4,624.2,408.0,589.4,368.6,607.7,261.7,456.5,599.0,253.1,394.9,241.1,356.6,188.0,527.0,398.8,376.4,318.4,588.0
1,254.9,0.0,63.7,112.6,103.7,206.3,243.0,131.1,232.1,369.9,254.3,225.7,141.3,284.2,356.2,349.4,374.8,140.7,352.3,253.6,218.3,259.1,156.6,212.8,395.9,98.7,189.2,287.5,420.6,58.2,217.0,82.0,191.4,227.5,225.9,385.5,169.3,350.7,129.9,369.0,151.0,217.8,360.3,282.0,219.5,18.0,117.9,127.2,380.6,223.4,137.7,148.6,349.3
2,275.1,59.7,0.0,147.8,123.9,241.5,278.2,143.9,267.3,405.1,289.5,238.5,113.6,297.0,369.0,384.6,410.0,160.9,387.5,266.4,231.1,271.9,169.4,248.0,431.1,35.0,202.0,278.1,443.2,30.5,252.2,54.3,204.2,240.3,261.1,420.7,204.5,385.9,142.7,404.2,163.8,253.0,395.5,272.6,232.3,37.6,130.7,147.4,393.4,236.2,150.5,161.4,384.5
3,347.8,109.2,156.6,0.0,196.6,174.9,211.6,73.4,200.7,338.5,222.9,229.6,157.4,233.7,305.7,318.0,343.4,174.2,320.9,203.1,222.2,263.0,160.5,181.4,364.5,139.1,121.0,291.4,379.9,145.0,185.6,126.3,140.9,164.8,244.0,354.1,137.9,319.3,73.9,337.6,154.9,186.4,328.9,285.9,156.8,110.9,130.5,187.7,330.1,160.7,81.7,126.4,317.9
4,204.5,106.1,122.0,194.2,0.0,287.9,324.6,212.7,313.7,451.5,335.9,307.3,199.6,365.8,437.8,431.0,456.4,121.7,433.9,335.2,299.9,321.4,238.2,294.4,477.5,157.0,270.8,206.0,502.2,116.5,298.6,140.3,273.0,309.1,291.6,467.1,250.9,432.3,211.5,450.6,209.1,299.4,441.9,200.5,301.1,84.0,199.5,108.2,462.2,305.0,219.3,230.2,430.9
5,445.9,207.3,254.7,186.9,294.7,0.0,121.2,219.7,104.7,183.1,96.5,332.9,267.9,145.6,242.1,162.6,188.0,272.3,165.5,124.4,329.3,261.2,267.6,74.7,209.1,237.2,218.3,383.6,233.8,249.2,80.9,239.8,182.8,284.7,232.9,198.7,40.1,163.9,220.2,182.2,262.0,81.7,173.5,378.1,248.5,209.0,254.9,285.8,266.5,218.4,228.0,246.3,162.5
6,473.4,244.4,273.3,209.8,331.8,112.8,0.0,212.2,155.5,276.4,175.9,282.9,214.1,145.1,217.1,255.9,281.3,309.4,258.8,19.0,275.5,236.2,213.8,134.4,302.4,259.3,165.2,344.7,291.3,246.0,81.8,227.3,129.0,230.9,283.7,292.0,90.9,257.2,169.2,275.5,208.2,82.6,266.8,339.2,194.7,246.1,214.5,322.9,241.5,164.6,177.0,192.5,255.8
7,369.1,130.5,138.9,69.6,217.9,211.8,212.2,0.0,237.6,375.4,259.8,207.5,124.6,223.8,295.8,354.9,380.3,208.0,357.8,193.2,200.1,240.9,138.4,218.3,401.4,124.9,118.2,269.3,370.0,111.6,220.5,92.9,131.0,154.9,277.8,391.0,174.8,356.2,64.0,374.5,132.8,219.7,365.8,263.8,146.9,132.2,99.7,221.5,320.2,150.8,71.8,116.5,354.8
8,420.6,224.7,272.1,204.3,312.1,103.3,154.3,237.1,0.0,233.8,88.5,366.0,297.2,196.3,275.2,213.3,238.7,223.6,216.2,157.5,362.4,294.3,300.7,47.0,254.5,254.6,251.4,416.7,284.5,266.6,114.0,257.2,215.9,317.8,128.2,249.4,63.4,214.6,237.6,232.9,295.1,114.8,224.2,411.2,281.6,226.4,272.3,237.1,299.6,251.5,245.4,279.4,213.2
9,615.0,376.4,423.8,356.0,463.8,196.9,290.3,388.8,240.5,0.0,215.3,360.7,415.0,227.5,163.0,68.5,94.7,441.4,35.1,293.5,364.6,289.0,394.8,193.5,137.9,406.3,366.1,411.4,102.5,418.3,250.0,408.9,329.9,431.8,368.7,70.7,209.2,189.8,370.1,104.2,409.1,250.8,102.3,405.9,395.6,378.1,415.4,454.9,201.3,365.5,377.9,393.4,31.2
10,491.9,253.3,300.7,232.9,340.7,102.1,182.9,265.7,86.6,215.8,0.0,394.6,325.8,178.3,303.8,195.3,220.7,310.2,198.2,186.1,391.0,322.9,329.3,39.6,217.1,283.2,280.0,445.3,266.5,295.2,142.6,285.8,244.5,346.4,214.8,231.4,92.0,191.4,266.2,214.9,323.7,143.4,206.2,439.8,310.2,255.0,300.9,323.7,328.2,280.1,274.0,308.0,195.2
11,383.8,220.3,228.7,219.2,307.7,322.4,277.0,194.3,365.1,380.1,385.5,0.0,169.5,280.5,207.8,437.4,462.8,297.8,406.0,258.0,35.9,88.2,80.8,344.0,458.2,214.7,232.0,174.1,282.0,201.4,285.3,182.7,195.8,214.7,367.6,441.6,300.5,438.7,175.7,457.0,118.6,284.5,422.6,168.6,197.5,222.0,169.9,311.3,232.2,201.4,183.5,121.0,347.6
