,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,0.0,235.4,230.0,207.1,217.2,143.5,124.9,195.9,180.7,264.4,198.1,79.2,158.6,81.7,206.2,159.4,130.7,129.6,140.0,128.2,145.3,182.2,82.4,70.6,88.3,217.2,140.1,214.2,195.3,244.0,213.8,140.1,259.4,241.6,193.4,174.7,176.5,158.7,210.8,249.3,230.8,62.2,81.7,233.4,119.5,215.6,125.9,110.4,280.6,232.0,228.6,171.6,168.9,68.1,184.2,136.4,221.3,235.9,237.8,169.7,100.5,139.8,205.9,225.6,119.5,132.1,83.5,283.6,201.8,224.5,75.1,150.0,164.6,214.3,224.1,103.8,94.0,244.5,222.4,208.3,193.3,168.7,144.5,221.9,229.7,187.0,118.2,261.4,164.8,126.5,141.1,175.1,69.2,185.8,118.8,238.0,118.2,190.2,175.3,158.1,283.6,155.5,207.7
1,231.9,0.0,74.6,213.5,264.7,222.3,215.9,152.1,244.6,109.0,245.6,201.3,223.1,235.8,236.1,223.3,195.2,194.1,218.8,148.2,234.6,138.4,243.9,192.7,268.2,264.7,115.5,170.4,256.9,88.6,58.4,218.9,104.0,199.5,149.6,238.6,132.7,216.6,85.8,93.9,149.0,173.2,244.6,78.0,200.5,171.8,190.4,144.4,125.2,76.6,73.2,235.5,84.4,249.4,248.7,200.9,177.8,116.0,82.4,125.9,225.8,204.3,247.0,143.8,200.5,196.6,242.8,145.1,158.0,174.6,197.2,82.2,194.9,244.2,180.3,222.5,216.1,89.1,97.4,166.2,38.9,233.2,215.0,13.5,169.4,143.2,254.7,106.0,229.3,213.3,230.4,236.7,166.2,250.3,205.6,113.9,182.7,42.0,239.2,114.3,145.1,223.6,52.3
2,236.8,108.6,0.0,218.4,269.6,227.2,220.8,157.0,249.5,34.4,250.5,206.2,228.0,258.5,241.0,228.2,200.1,199.0,223.7,153.1,252.8,143.3,248.8,197.6,273.1,269.6,120.4,175.3,261.8,14.0,87.0,223.8,29.4,204.4,154.5,243.5,137.6,221.5,90.7,122.5,177.6,178.1,249.5,3.4,205.4,176.7,195.3,149.3,153.8,105.2,101.8,240.4,89.3,269.5,253.6,205.8,184.1,144.6,7.8,130.8,230.7,209.2,251.9,172.4,205.4,201.5,247.7,173.7,162.9,187.3,202.1,87.1,223.5,249.1,185.2,227.4,221.0,117.7,102.3,171.1,66.5,238.1,243.6,95.1,192.5,148.1,259.6,31.4,234.2,218.2,248.6,241.6,171.1,255.2,210.5,142.5,187.6,63.4,244.1,119.2,173.7,228.5,80.9
3,206.8,185.4,180.0,0.0,84.1,129.8,96.7,79.0,65.2,214.4,65.0,153.1,116.3,134.4,55.5,69.8,102.7,101.6,126.3,161.8,128.7,111.4,124.7,161.7,149.0,84.1,137.8,90.7,107.7,194.0,163.8,126.4,209.4,92.2,81.5,80.6,105.7,67.4,160.8,199.3,140.0,152.8,125.4,183.4,134.4,92.1,81.6,144.0,212.7,182.0,178.6,77.5,139.9,148.0,119.3,124.7,71.9,136.6,187.8,84.3,106.6,111.8,66.4,134.8,134.4,104.1,123.6,192.8,73.1,75.1,157.2,127.2,144.4,63.6,100.6,103.3,168.3,194.5,172.4,58.9,143.3,103.8,127.9,171.9,80.3,87.9,135.5,211.4,153.1,94.1,124.5,87.5,145.8,120.9,132.5,138.7,116.6,140.2,81.2,95.9,192.8,84.0,157.7
4,222.6,236.7,231.3,77.6,0.0,145.6,112.5,130.3,55.6,265.7,19.1,168.9,124.4,150.2,57.0,60.2,118.5,117.4,142.1,177.6,144.5,162.7,140.5,177.5,164.8,0.0,189.1,142.0,115.8,245.3,215.1,142.2,260.7,143.5,132.8,71.0,157.0,75.5,212.1,250.6,191.3,168.6,141.2,234.7,150.2,143.4,97.4,159.8,264.0,233.3,229.9,67.9,191.2,163.8,127.4,132.8,123.2,187.9,239.1,135.6,122.4,127.6,49.3,186.1,150.2,119.9,139.4,244.1,124.4,126.4,173.0,178.5,163.8,65.1,151.9,119.1,184.1,245.8,223.7,110.2,194.6,111.9,143.7,223.2,131.6,139.2,151.3,262.7,161.2,109.9,140.3,95.6,161.6,129.0,148.3,190.0,132.4,191.5,71.6,147.2,244.1,99.8,209.0
5,143.1,219.4,214.0,127.0,137.1,0.0,67.7,148.3,100.6,248.4,118.0,64.1,104.7,105.4,126.1,79.3,24.3,25.4,3.5,112.2,99.7,166.2,95.7,72.7,120.0,137.1,124.1,160.0,118.9,228.0,197.8,3.4,243.4,161.5,150.8,94.6,160.5,78.6,194.8,233.3,206.8,89.0,96.4,217.4,45.5,161.4,42.2,94.4,264.6,216.0,212.6,91.5,152.9,119.0,130.3,82.5,141.2,203.4,221.8,153.6,77.6,15.2,125.8,201.6,45.5,22.9,94.6,259.6,142.4,144.4,68.2,134.0,119.0,134.2,169.9,74.3,79.3,228.5,206.4,128.2,177.3,114.8,98.9,205.9,149.6,157.2,106.5,245.4,110.9,65.1,95.5,98.7,96.0,131.9,24.7,205.5,45.0,174.2,95.2,142.1,259.6,75.4,191.7
6,122.3,212.9,207.5,93.4,103.5,73.7,0.0,114.7,67.0,241.9,84.4,97.0,93.9,37.7,92.5,45.7,46.6,45.5,70.2,105.7,32.0,147.1,50.0,105.6,74.3,103.5,117.6,126.4,85.3,221.5,191.3,70.3,236.9,127.9,117.2,61.0,141.4,45.0,188.3,216.2,139.1,96.7,50.7,210.9,78.3,127.8,25.5,87.9,211.8,209.5,206.1,57.9,146.4,51.3,96.9,76.0,107.6,135.7,215.3,120.0,31.9,55.7,92.2,133.9,78.3,48.0,48.9,191.9,108.8,110.8,101.1,127.5,51.3,100.6,136.3,28.6,112.2,211.4,199.9,94.6,170.8,81.4,31.2,199.4,116.0,123.6,60.8,238.9,104.4,2.6,27.8,65.1,89.7,98.5,76.4,137.8,60.5,167.7,61.6,131.6,191.9,41.8,185.2
7,192.8,151.2,145.8,85.5,136.7,151.0,117.9,0.0,116.6,180.2,117.6,162.2,137.5,155.6,108.1,95.3,123.9,122.8,147.5,109.1,149.9,50.0,145.9,153.6,170.2,136.7,76.4,34.7,128.9,159.8,129.6,147.6,175.2,71.5,2.5,110.6,44.3,88.6,126.6,165.1,119.3,134.1,146.6,149.2,155.6,36.1,102.8,105.3,192.0,147.8,144.4,107.5,84.7,169.2,140.5,145.9,51.2,115.9,153.6,22.9,127.8,133.0,119.0,114.1,155.6,125.3,144.8,172.1,5.9,54.4,158.1,65.8,123.7,116.2,44.6,124.5,177.0,160.3,138.2,38.2,109.1,125.0,143.8,137.7,59.6,8.9,156.7,177.2,174.3,115.3,145.7,108.7,127.1,142.1,153.7,118.0,137.8,106.0,111.2,34.5,172.1,105.2,123.5
8,186.0,217.7,212.3,58.6,49.0,109.0,75.9,111.3,0.0,246.7,29.9,132.3,87.8,113.6,38.0,23.6,81.9,80.8,105.5,141.0,107.9,143.7,103.9,140.9,128.2,49.0,152.9,123.0,79.2,226.3,196.1,105.6,241.7,124.5,113.8,34.4,138.0,38.9,193.1,231.6,172.3,132.0,104.6,215.7,113.6,124.4,60.8,123.2,245.0,214.3,210.9,31.3,172.2,127.2,90.8,96.2,104.2,168.9,220.1,116.6,85.8,91.0,37.7,167.1,113.6,83.3,102.8,225.1,105.4,107.4,136.4,159.5,127.2,46.1,132.9,82.5,147.5,226.8,204.7,91.2,175.6,75.3,107.1,204.2,112.6,120.2,114.7,243.7,124.6,73.3,103.7,59.0,125.0,92.4,111.7,171.0,95.8,172.5,35.0,128.2,225.1,63.2,190.0
9,202.4,74.2,68.8,184.0,235.2,192.8,186.4,122.6,215.1,0.0,216.1,171.8,193.6,224.1,206.6,193.8,165.7,164.6,189.3,118.7,218.4,108.9,214.4,163.2,238.7,235.2,86.0,140.9,227.4,82.8,52.6,189.4,98.2,170.0,120.1,209.1,103.2,187.1,56.3,88.1,143.2,143.7,215.1,72.2,171.0,142.3,160.9,114.9,119.4,70.8,67.4,206.0,54.9,235.1,219.2,171.4,149.7,110.2,76.6,96.4,196.3,174.8,217.5,138.0,171.0,167.1,213.3,139.3,128.5,152.9,167.7,52.7,189.1,214.7,150.8,193.0,186.6,83.3,67.9,136.7,32.1,203.7,209.2,60.7,158.1,113.7,225.2,100.2,199.8,183.8,214.2,207.2,136.7,220.8,176.1,108.1,153.2,29.0,209.7,84.8,139.3,194.1,46.5
