,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,0.0,817.6,418.7,738.1,663.6,843.5,711.5,932.6,1117.2,687.9,1053.7,601.9,1134.9,1062.1,1431.0,671.8,1345.9,805.1,1065.4,1387.3,606.2,675.0,691.5,1465.7,722.8,1269.9,798.5,1168.3,812.6,559.9,937.1,865.2,839.8,929.7,614.0,673.7,894.2,1467.7,483.1,840.2,1519.4,1525.5,818.2,896.4,609.9,1019.5,1321.1,832.4,520.1,934.5,1153.6,937.2,1051.5,1117.4,820.3,950.1,1157.5,475.1,1022.0,877.4,842.6,768.0,1150.7,1535.3,1396.7,843.8,855.9,1498.7,840.1,1138.1,832.7,1150.8,614.0,907.6,1041.8,931.8,669.4,1450.3,1358.5,1151.5,843.9,1153.6,767.8,1053.7,639.2,1117.4,1228.3,596.2,863.6,905.4,870.7,1218.6,1016.8,1497.8,1536.1,537.8,1171.6,678.7,1099.3,1488.4,1128.1,721.3,1513.9
1,817.6,0.0,689.4,363.4,345.8,25.9,404.7,291.4,546.9,375.8,561.3,286.7,629.4,685.9,934.6,298.4,688.7,163.9,424.2,1022.4,497.4,391.7,372.2,969.3,405.3,905.0,119.9,505.5,134.0,366.5,358.5,186.6,22.2,288.5,441.9,247.7,657.1,971.3,572.8,276.0,1023.0,1029.1,332.1,700.5,294.7,540.0,663.9,153.8,411.3,616.8,490.8,258.6,737.1,546.7,714.7,271.5,516.3,580.8,733.1,719.5,164.0,49.6,509.5,878.1,739.5,265.2,750.3,1002.3,161.5,496.9,402.2,645.3,441.9,229.0,688.9,489.7,351.6,953.9,701.3,669.5,195.3,490.8,89.2,561.3,282.2,546.7,587.1,254.0,231.8,326.8,413.5,561.4,375.6,1079.5,1039.7,518.1,806.7,422.2,486.5,1088.9,536.0,96.3,970.8
2,418.7,689.4,0.0,395.1,401.4,715.3,760.9,726.0,726.0,321.4,1056.8,476.3,731.6,643.4,1012.3,629.7,1239.1,590.3,858.8,968.6,655.6,308.5,325.0,1047.0,304.1,851.2,670.3,1001.8,684.4,609.3,811.5,737.0,711.6,714.0,247.5,441.7,475.5,1049.0,116.6,729.0,1100.7,1106.8,449.0,477.7,439.5,616.2,1214.3,704.2,569.5,515.8,1016.5,776.2,632.8,726.2,401.6,758.7,950.9,108.6,603.3,458.7,714.4,639.8,763.4,1187.9,1289.9,718.2,437.2,1080.0,711.9,771.2,441.5,747.5,247.5,779.4,623.1,540.6,357.6,1031.6,1251.7,732.8,637.3,1016.5,626.8,1056.8,407.2,726.2,933.2,554.1,561.8,779.8,483.7,1111.8,712.0,1079.1,1117.4,171.3,752.9,312.2,1036.9,1069.7,736.9,593.1,1095.2
3,738.1,363.4,395.1,0.0,132.3,389.3,531.7,396.7,559.0,166.5,730.8,207.2,629.2,657.6,937.8,360.6,913.1,256.5,529.2,982.8,485.4,219.3,170.1,972.5,232.9,865.4,344.3,672.2,358.4,354.5,485.5,411.0,385.6,380.2,147.6,172.6,595.1,974.5,278.5,403.0,1026.2,1032.3,250.5,618.4,170.4,513.8,888.3,378.2,399.3,554.8,686.9,447.8,697.5,559.2,542.3,430.3,621.3,286.5,693.5,599.4,388.4,313.8,596.2,1102.5,963.9,392.2,577.9,1005.5,385.9,588.6,320.6,645.1,147.6,453.4,649.3,413.7,88.5,957.1,925.7,669.3,308.9,686.9,298.4,730.8,138.1,559.2,692.1,285.0,228.0,453.8,334.7,785.8,467.3,1082.7,1042.9,223.8,767.1,249.8,710.9,1083.9,569.9,267.1,1020.7
4,663.6,345.8,401.4,132.3,0.0,371.7,514.1,382.4,619.0,172.8,713.2,132.7,692.9,736.7,1001.5,286.1,895.5,254.9,515.2,1061.9,410.9,257.3,176.4,1036.2,309.7,944.5,326.7,658.2,340.8,280.0,467.9,393.4,368.0,379.5,153.9,98.1,672.4,1038.2,284.8,385.4,1089.9,1096.0,329.6,695.2,95.9,592.9,870.7,360.6,324.8,632.1,672.9,432.6,776.6,619.2,619.1,415.1,607.3,292.8,772.6,676.2,370.8,296.2,600.5,1084.9,946.3,374.6,654.7,1069.2,368.3,587.9,399.7,708.8,153.9,435.8,728.4,492.8,63.6,1020.8,908.1,733.0,293.7,672.9,283.2,713.2,63.6,619.2,678.1,210.5,288.0,436.2,413.8,768.2,466.6,1146.4,1106.6,230.1,846.2,261.0,693.3,1155.8,627.0,249.5,1084.4
5,843.5,25.9,715.3,389.3,371.7,0.0,430.6,317.3,572.8,401.7,587.2,312.6,655.3,711.8,960.5,324.3,714.6,189.8,450.1,1048.3,523.3,417.6,398.1,995.2,431.2,930.9,145.8,531.4,159.9,392.4,384.4,212.5,3.7,314.4,467.8,273.6,683.0,997.2,598.7,301.9,1048.9,1055.0,358.0,726.4,320.6,565.9,689.8,179.7,437.2,642.7,516.7,284.5,763.0,572.6,740.6,297.4,542.2,606.7,759.0,745.4,189.9,75.5,535.4,904.0,765.4,291.1,776.2,1028.2,187.4,522.8,428.1,671.2,467.8,254.9,714.8,515.6,377.5,979.8,727.2,695.4,221.2,516.7,115.1,587.2,308.1,572.6,613.0,279.9,257.7,352.7,439.4,587.3,401.5,1105.4,1065.6,544.0,832.6,448.1,512.4,1114.8,561.9,122.2,996.7
6,711.5,404.7,760.9,531.7,514.1,430.6,0.0,544.1,799.6,544.1,342.2,383.5,882.1,938.6,1044.6,424.3,634.4,416.6,599.8,1275.1,105.3,560.0,540.5,1166.1,573.6,1149.4,385.6,456.8,399.7,312.4,242.0,452.3,426.9,541.2,610.2,416.0,909.8,1168.1,644.3,128.7,1030.3,1128.0,584.8,953.2,460.4,792.7,609.6,419.5,191.4,869.5,442.1,524.3,989.8,799.4,883.0,537.2,711.5,652.3,985.8,940.1,429.7,355.1,762.2,823.8,685.2,139.5,918.6,1101.2,427.2,749.6,654.9,898.0,610.2,494.7,941.6,742.4,519.9,1041.9,647.0,922.2,455.4,442.1,354.9,342.2,450.5,799.4,783.9,348.7,484.5,210.3,666.2,507.1,628.3,1178.4,1047.0,686.4,1040.5,590.5,387.8,1187.8,788.7,308.4,916.5
7,932.6,291.4,726.0,396.7,382.4,317.3,544.1,0.0,255.8,409.1,441.0,401.7,389.3,445.8,643.2,437.8,568.4,141.1,132.8,782.3,636.8,425.0,405.5,677.9,432.9,661.2,211.1,275.8,242.8,505.9,497.9,211.4,313.6,77.8,478.5,284.3,417.3,679.9,609.4,415.4,731.6,737.7,292.3,460.7,390.3,299.9,543.6,262.6,550.7,377.0,290.5,109.8,497.0,255.6,605.6,82.1,224.9,617.4,493.0,479.7,188.8,241.8,218.4,757.8,619.2,404.6,641.2,710.9,186.3,205.8,295.5,405.2,478.5,205.4,448.8,316.8,388.2,662.5,581.0,429.4,114.1,290.5,202.2,441.0,318.8,255.6,295.7,393.4,168.7,466.2,254.2,441.1,84.5,788.1,748.3,554.7,552.3,455.5,366.2,797.5,244.9,248.7,726.1
8,1117.2,546.9,726.0,559.0,619.0,572.8,799.6,255.8,0.0,531.9,523.7,657.2,202.3,258.8,510.9,693.3,651.1,383.0,215.5,595.3,892.3,442.2,528.3,545.6,421.9,477.9,466.9,358.5,498.6,761.4,753.4,467.2,569.1,281.0,545.6,520.9,287.2,547.6,634.1,670.9,599.3,605.4,365.7,330.6,626.9,112.9,626.3,518.4,806.2,288.9,373.2,365.6,310.0,0.2,475.5,337.9,307.6,642.1,306.0,349.6,444.6,497.3,37.4,686.5,701.9,660.1,511.1,578.6,442.1,50.0,301.7,218.2,545.6,461.2,261.8,263.9,594.3,530.2,663.7,242.4,369.9,373.2,457.7,523.7,555.4,0.2,378.4,648.9,331.0,721.7,286.4,523.8,173.7,655.8,616.0,579.4,379.6,472.7,448.9,665.2,10.9,504.2,593.8
9,687.9,375.8,321.4,166.5,172.8,401.7,544.1,409.1,531.9,0.0,743.2,247.7,549.6,578.0,858.2,401.1,925.5,268.9,541.6,903.2,525.9,128.5,3.6,892.9,142.1,785.8,356.7,684.6,370.8,395.0,497.9,423.4,398.0,392.6,73.9,213.1,504.8,894.9,204.8,415.4,946.6,952.7,232.9,527.6,210.9,434.2,900.7,390.6,439.8,464.5,699.3,460.2,617.9,532.1,451.5,442.7,633.7,212.8,611.0,508.6,400.8,326.2,569.3,1033.8,976.3,404.6,487.1,925.9,398.3,577.1,247.4,565.5,73.9,465.8,569.7,346.5,129.0,877.5,938.1,589.7,321.3,699.3,310.8,743.2,178.6,532.1,704.5,325.5,240.4,466.2,285.4,798.2,479.7,1003.1,963.3,150.1,687.5,159.0,723.3,1004.3,542.8,279.5,941.1
