,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0,0.0,924.0,982.4,1103.8,1109.7,840.4,1303.9,663.6,1107.5,791.2,860.3,680.0,963.8,1474.4,985.5,1008.4,844.5,659.7,797.8,1042.8,537.8,561.7,1454.8,868.8,1010.6,874.3,694.9,813.8,1495.3,1351.9,1534.4,1052.9,929.6,1019.5,1341.7,967.2,1514.4,1095.5,629.9,890.8,938.7,1171.6,557.8,1487.4,1004.3,1062.5,937.1,904.6,921.7,760.7,546.3,889.1,793.2,947.0,984.6,1119.1,678.3,712.8,773.7,1074.3,702.2,1431.0,803.2,1312.9,1200.5,994.5,1036.0,1095.5,773.3,965.2,863.8,1317.7,1122.1,748.7,686.2,1356.6,448.3,1535.8,821.8,1396.4,989.2,810.9,673.6,1042.4,1324.4,972.7,891.9,1455.0,825.6,1430.9,865.4,763.9,803.2,751.9,450.7,1062.5,1472.6,1097.8,901.2,1133.0,955.9,1314.2,882.5,452.8,1015.8,939.2,883.0,833.2,1461.6,814.4,736.3,420.5,871.7,673.7,894.2,840.2,681.5,1116.6,1142.9,1258.9,1349.1,964.1,771.7,977.4,441.7,1068.2,485.4,891.9,549.4,1008.2,1479.2,540.4,1527.0,473.6,792.6,834.5,1181.4,680.2,794.0,680.5,607.8,1346.5,1102.4,690.4,639.2,891.0,1105.6,1557.0,722.2,725.5,1066.3,721.3,1513.9
1,924.0,0.0,334.3,233.2,517.8,132.0,570.7,386.1,365.7,291.4,552.6,479.4,554.4,741.2,367.3,561.2,284.1,382.2,170.3,351.8,558.4,534.5,721.6,160.4,263.7,225.9,390.4,341.6,762.1,618.7,801.2,321.1,457.4,354.5,622.2,89.5,781.2,293.5,331.8,169.2,169.1,606.9,538.4,701.2,532.1,296.3,464.9,183.0,2.3,163.3,459.3,138.2,221.0,419.1,456.7,308.5,411.3,387.9,385.2,218.2,520.4,697.8,331.0,579.7,414.3,247.6,421.4,467.0,201.1,493.0,271.9,767.3,335.9,411.0,466.7,570.4,706.6,802.6,194.3,663.2,569.1,186.5,430.1,164.7,591.2,552.6,71.5,721.8,201.2,697.7,557.7,689.0,331.0,279.7,708.7,296.3,922.2,295.8,534.2,255.0,483.7,581.0,539.4,643.4,358.2,206.5,82.9,194.1,728.4,190.0,224.4,675.7,164.3,288.0,471.9,382.4,414.5,238.9,264.9,472.7,562.9,520.2,275.2,568.0,654.5,449.8,727.3,71.5,546.8,216.5,746.0,538.0,793.8,715.5,320.4,362.3,317.3,542.4,333.7,420.2,399.0,613.3,360.6,423.4,322.5,293.3,363.8,770.8,500.4,359.8,566.4,202.7,780.7
2,982.4,334.3,0.0,135.8,226.4,418.7,334.0,555.8,535.2,414.0,278.7,317.8,723.9,504.5,110.8,230.4,164.4,551.9,370.7,60.4,444.6,420.7,484.9,447.1,100.9,512.6,466.7,602.7,525.4,382.0,564.5,70.5,718.5,37.1,385.5,262.0,544.5,125.2,528.7,469.1,477.6,290.4,424.6,700.1,793.2,92.2,726.0,482.9,336.6,437.4,720.4,271.6,495.1,162.6,200.2,148.8,672.4,372.2,461.5,147.3,781.5,461.1,592.1,343.0,583.8,104.1,590.9,175.6,475.2,754.1,138.6,436.5,505.4,487.3,345.4,739.9,592.8,565.9,346.8,426.5,295.2,473.2,308.8,204.3,354.5,278.7,319.5,485.1,487.9,461.0,283.8,415.1,592.1,540.8,547.1,92.2,591.4,127.5,703.7,361.2,744.8,344.3,265.5,529.6,33.4,515.0,281.0,334.8,491.7,476.7,448.8,561.9,286.9,484.9,198.0,643.5,675.6,215.3,371.1,642.2,732.4,246.3,430.1,737.5,540.7,619.3,613.5,319.5,433.0,117.8,509.3,799.1,557.1,601.7,581.5,623.4,423.5,803.5,214.3,404.5,633.6,376.6,530.1,684.5,519.4,105.1,533.3,615.0,761.5,436.1,235.6,476.8,544.0
3,1103.8,233.2,135.8,0.0,288.9,365.2,396.5,560.7,403.7,424.6,380.6,451.3,592.4,567.0,246.4,332.3,284.8,556.8,331.3,122.9,566.0,542.1,547.4,393.6,95.5,459.1,523.6,552.9,587.9,444.5,627.0,92.2,668.7,125.6,448.0,143.7,607.0,64.6,506.4,376.6,376.5,392.3,546.0,739.2,670.2,67.4,676.2,390.4,235.5,387.6,670.6,282.2,445.3,298.2,335.8,88.2,622.6,493.6,518.4,29.5,731.7,523.6,542.3,405.5,452.3,111.6,459.4,238.1,425.4,698.3,259.0,538.4,373.9,544.2,466.8,608.4,714.2,628.4,355.3,489.0,397.1,419.7,430.2,68.5,417.0,380.6,219.3,547.6,434.4,523.5,385.7,517.0,542.3,491.0,680.6,67.4,693.3,66.9,572.2,229.7,689.0,406.8,367.4,651.0,129.3,413.9,243.9,345.4,554.2,423.2,399.0,683.3,297.5,462.6,299.9,593.7,625.8,98.1,239.6,510.7,600.9,348.2,440.7,606.0,662.1,487.8,734.9,219.3,554.4,95.6,571.8,749.3,619.6,723.1,531.7,573.6,292.0,753.7,334.7,525.9,585.9,439.1,398.6,634.7,497.1,225.5,401.8,677.5,711.7,493.0,337.5,427.0,606.5
4,1109.7,517.8,226.4,288.9,0.0,602.5,254.9,766.8,646.8,597.8,296.2,544.2,835.5,425.4,281.5,211.7,390.8,762.9,554.5,166.0,671.0,647.1,405.8,630.9,254.4,696.4,693.1,786.5,446.3,302.9,485.4,196.7,902.3,189.3,306.4,428.3,465.4,254.5,712.5,652.9,661.1,125.4,651.0,621.0,913.3,221.5,909.8,666.7,520.1,621.2,904.2,455.4,678.9,229.7,267.3,278.1,856.2,598.6,687.9,300.4,965.3,382.0,775.9,263.9,695.4,270.5,702.5,50.8,659.0,937.9,365.0,316.2,617.0,713.7,571.8,736.3,819.2,486.8,530.6,347.4,312.7,657.0,535.2,355.5,275.4,296.2,503.3,406.0,671.7,381.9,301.3,432.6,775.9,724.6,659.0,221.5,471.1,256.8,815.3,472.8,928.6,265.2,283.0,756.0,193.0,698.5,464.8,518.6,412.6,660.5,632.6,745.0,470.7,668.7,215.5,827.3,859.4,344.6,386.1,753.8,759.3,263.8,613.9,849.1,766.2,730.9,839.9,503.3,659.4,301.6,430.2,982.9,478.0,828.1,765.3,807.2,535.1,987.3,440.7,630.9,817.4,297.5,641.7,868.3,703.2,331.5,644.9,535.9,945.3,662.5,216.9,660.6,464.9
5,840.4,132.0,418.7,365.2,602.5,0.0,702.7,368.6,332.9,277.2,637.0,470.9,480.1,873.2,451.7,645.9,338.9,364.7,179.4,436.5,540.9,517.0,853.6,45.8,348.1,111.3,376.2,258.0,894.1,750.7,857.7,405.8,373.8,439.2,754.2,221.5,890.9,425.5,314.3,50.4,98.3,705.9,520.9,668.4,448.5,400.0,381.3,64.2,129.7,104.9,375.7,193.0,137.4,503.5,541.1,440.5,327.7,373.7,371.0,350.2,436.8,829.8,247.4,711.7,381.5,332.0,388.6,551.7,117.5,409.4,326.7,852.0,303.1,396.8,452.5,537.6,623.4,900.8,203.4,795.2,653.5,71.9,415.9,296.7,723.2,637.0,146.0,853.8,86.6,829.7,642.1,681.1,247.4,196.1,700.2,400.0,1006.9,427.8,501.4,387.0,400.1,713.0,623.8,625.9,442.9,98.8,137.7,214.8,860.4,75.4,153.5,658.2,219.1,270.5,556.3,298.8,330.9,370.9,396.9,439.9,530.1,604.6,257.7,493.7,637.0,417.0,660.5,146.0,529.3,333.7,878.0,454.4,878.3,648.7,236.8,278.7,356.8,458.8,379.8,406.0,315.4,745.3,327.8,339.8,305.0,348.1,331.0,738.0,416.8,345.6,651.1,119.1,809.0
6,1303.9,570.7,334.0,396.5,254.9,702.7,0.0,874.4,646.1,705.4,490.4,651.8,834.8,201.0,444.8,438.0,498.4,870.5,662.1,273.6,778.6,754.7,246.8,731.1,362.0,796.6,800.7,890.7,224.5,143.9,326.4,304.3,954.1,296.9,221.8,495.8,301.6,362.1,820.1,714.1,714.0,290.4,758.6,462.0,912.6,329.1,970.8,727.9,573.0,725.4,1008.4,563.0,783.1,423.9,461.5,385.7,960.4,706.2,795.5,408.0,1013.6,223.0,880.1,39.5,694.7,378.1,701.8,208.4,763.2,940.7,472.6,406.2,616.3,821.3,679.4,577.3,926.8,323.0,638.2,188.4,506.9,757.2,642.8,463.1,116.4,490.4,556.8,181.6,771.9,222.9,495.5,626.8,880.1,828.8,853.2,329.1,454.1,364.4,814.6,472.1,931.4,106.2,477.2,863.6,300.6,751.4,572.4,626.2,188.2,760.7,736.8,895.9,578.3,776.3,409.7,931.5,963.6,452.2,385.4,675.0,600.3,458.0,721.5,848.4,874.7,730.2,947.5,556.8,767.0,409.2,205.8,1087.1,314.2,935.7,869.5,911.4,534.4,1035.6,548.3,738.5,923.7,212.9,641.0,972.5,810.8,439.1,644.2,376.9,993.6,770.1,440.5,764.8,305.9
7,663.6,386.1,555.8,560.7,766.8,368.6,874.4,0.0,701.5,215.6,659.1,352.5,566.7,1044.9,567.8,765.0,403.1,3.9,247.6,600.8,230.1,206.2,1025.3,397.0,512.4,402.5,89.1,344.6,1065.8,922.4,1104.9,570.1,460.4,592.9,925.9,417.0,1084.9,597.3,54.3,419.0,466.9,846.2,210.1,1037.0,535.1,564.3,467.9,432.8,383.8,288.9,266.4,322.2,321.4,619.6,657.2,620.9,292.6,197.7,167.9,545.7,506.9,1001.5,334.0,883.4,750.1,496.3,695.5,716.0,301.5,496.0,427.8,992.3,671.7,142.9,268.5,906.2,378.3,1106.3,267.0,966.9,769.6,339.1,255.9,492.2,894.9,753.1,341.7,1025.5,353.8,1001.4,664.2,562.7,334.0,282.7,433.4,564.3,1147.2,599.6,603.1,582.8,486.7,884.7,681.3,315.1,589.2,467.4,332.8,267.4,1032.1,342.6,238.3,347.4,296.1,98.1,672.4,385.4,295.8,566.4,592.7,808.5,898.7,720.7,196.1,580.3,326.2,727.7,399.0,341.7,218.5,498.0,1049.7,345.1,1097.5,387.2,323.4,365.3,645.1,484.9,354.3,165.4,138.6,917.0,696.4,304.7,63.6,452.0,699.6,1106.6,503.4,119.7,791.4,249.5,1084.4
8,1107.5,365.7,535.2,403.7,646.8,332.9,646.1,701.5,0.0,610.1,756.2,803.8,226.5,786.7,646.0,707.9,645.3,697.6,501.5,498.5,873.8,849.9,673.0,378.7,494.9,444.2,709.1,422.4,765.2,694.1,607.0,467.8,345.8,501.2,697.6,354.1,640.2,440.2,647.2,324.3,248.0,682.3,853.8,417.7,304.3,443.0,362.5,338.1,368.0,437.8,694.8,499.4,470.3,689.7,727.3,455.2,660.6,706.6,703.9,429.5,405.3,686.4,433.0,655.1,130.8,511.0,93.5,600.3,450.4,332.4,633.1,873.1,52.4,729.7,785.4,286.9,936.0,650.1,525.5,736.5,772.7,404.8,748.8,375.0,666.6,756.2,411.4,797.2,419.5,696.6,761.3,892.6,433.0,484.3,1033.1,443.0,906.4,442.5,206.3,174.0,323.1,656.4,743.0,958.8,504.9,303.1,444.1,536.9,773.9,408.3,486.4,991.1,525.5,603.4,675.5,412.4,663.8,385.6,290.1,189.2,279.4,723.8,590.6,240.1,969.9,121.9,973.1,411.4,862.2,495.6,821.4,567.1,627.6,961.3,443.6,401.7,111.7,427.3,694.9,738.9,648.3,688.7,5.1,672.7,637.9,625.5,1.9,487.3,385.3,678.5,713.1,452.0,558.3
9,791.2,291.4,414.0,424.6,597.8,277.2,705.4,215.6,610.1,0.0,541.3,234.7,475.3,875.9,444.5,641.2,278.0,211.7,122.0,431.8,312.5,288.6,856.3,305.6,343.4,311.1,140.0,253.2,896.8,753.4,935.9,401.1,369.0,434.5,756.9,308.7,915.9,428.3,161.3,327.6,375.5,701.2,292.5,945.6,443.7,395.3,376.5,341.4,289.1,196.5,370.9,153.2,230.0,496.3,533.9,451.9,322.9,137.5,134.8,395.1,432.0,832.5,242.6,714.4,658.7,327.3,604.1,547.0,210.1,404.6,302.7,847.3,580.3,160.6,216.3,814.8,460.7,937.3,98.0,797.9,646.3,247.7,179.7,383.9,725.9,629.8,247.0,856.5,262.4,832.4,546.4,444.9,242.6,191.3,464.0,395.3,1002.2,430.6,511.7,487.8,395.3,715.7,563.5,397.5,438.2,376.0,216.8,98.4,863.1,251.2,146.9,429.8,127.1,117.5,549.1,294.0,326.1,458.1,497.7,717.1,807.3,597.4,62.7,488.9,408.6,636.3,481.4,247.0,300.9,329.0,880.7,449.6,928.5,469.6,232.0,273.9,550.1,454.0,229.2,169.8,266.2,748.0,605.0,335.0,152.0,326.9,608.2,986.4,412.0,109.4,646.4,158.1,915.4
