,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0,0.0,1626.6,1164.3,1606.4,1369.5,1877.6,954.4,1078.0,1660.5,1588.7,1266.4,1022.0,1846.6,1084.0,769.8,686.5,1194.4,1334.1,1713.3,1819.4,912.7,1077.8,1513.5,1067.7,1070.8,805.2,1423.9,1791.4,1390.9,1515.2,2105.5,1483.1,1660.4,1241.6,1385.3,1255.7,1787.9,1444.1,2160.7,917.1,1449.4,1207.9,1308.7,716.1,2207.4,1875.6,2046.4,1295.7,1216.6,1102.5,1449.6,698.2,953.7,1623.0,1134.1,1537.9,1315.4,908.2,1504.5,1102.6,1294.9,1860.1,1354.0,1166.1,1880.3,1763.3,2045.1,1452.4,1090.0,1212.9,1346.8,1918.0,894.4,1718.5,988.8,857.7,1660.4,1367.6,924.7,1589.6,1280.1,1287.9,1160.2,1331.6,1205.2,1588.1,1302.6,1937.6,1329.4,912.7,2231.3,749.4,1608.8,622.5,1566.7,1267.6,1459.3,2216.8,986.8,979.3,938.9,1470.3,951.5,1796.6,2034.8,1287.0,1497.0,1325.4,1864.1,1344.2,644.5,1508.9,1694.1,961.6,987.0,1136.6,1938.7,2093.2,1439.1,1192.5,1293.1,922.9,966.9,1396.6,1266.7,1925.0,1338.3,909.9,2065.7,1169.3,1766.6,1630.0,1608.0,2147.5,1977.0,929.7,967.8,1507.8,1580.9,1421.3,994.4,966.5,1246.7,1417.3,1372.2,2207.4,1129.1,1302.6,1613.9,1995.9,1908.9,1067.6,2121.1
1,1622.3,0.0,739.4,186.5,579.5,853.6,740.4,772.8,47.3,564.7,649.2,921.2,506.1,633.7,1120.8,958.4,693.7,716.9,372.8,837.3,890.1,652.9,447.8,967.0,970.1,839.7,743.2,767.4,507.5,171.5,861.1,293.4,47.3,545.5,518.6,638.5,447.4,378.5,916.2,709.5,880.0,874.8,975.6,910.4,963.0,851.6,802.0,642.1,724.4,718.1,205.2,965.2,920.8,203.1,801.0,171.8,579.1,885.7,314.8,558.0,641.3,836.1,721.1,833.0,856.3,422.9,800.6,417.4,970.6,571.1,1042.9,673.6,871.9,694.5,637.8,927.9,47.3,263.6,779.3,37.0,787.9,470.9,668.0,595.3,531.1,38.5,801.9,1008.1,515.3,890.1,986.8,877.1,466.3,1004.1,59.9,650.3,393.7,972.4,658.2,946.4,687.7,675.4,817.3,772.6,790.4,563.7,252.6,1021.5,619.7,282.4,982.1,443.3,670.1,807.2,781.9,803.5,1009.1,848.8,186.0,727.4,387.5,845.9,934.1,918.5,557.9,995.5,524.3,764.5,821.3,559.7,522.2,289.5,188.2,903.1,732.5,1139.8,935.0,415.1,549.2,265.9,847.7,802.3,552.2,209.3,531.6,963.0,691.5,801.9,12.7,751.5,884.9,650.1,876.7
2,1160.1,739.4,0.0,719.2,1223.2,1497.4,587.6,620.0,786.7,1208.5,1119.5,846.7,814.9,908.2,1308.2,477.8,1047.4,1187.1,910.9,878.3,737.4,86.5,1091.6,892.4,895.5,359.1,1386.9,1411.2,449.7,628.0,1132.9,446.1,786.7,887.9,863.5,1108.7,897.9,1022.2,1188.0,556.7,1303.7,1062.2,1163.0,757.7,1139.6,1495.4,1073.8,837.7,1069.7,856.2,562.4,769.5,1108.2,735.8,988.4,815.6,1222.8,732.9,424.7,580.8,837.0,1479.9,1364.9,1020.4,1500.1,1066.6,1072.4,511.3,1158.0,691.0,1201.1,945.4,719.1,1338.2,485.0,1115.3,786.7,566.2,626.5,702.4,1133.1,957.5,1013.2,1239.0,264.1,700.9,1335.2,996.5,388.2,737.4,1258.6,724.4,1110.1,693.8,679.5,1120.6,1037.5,1244.2,446.6,1133.8,535.0,1319.1,664.5,1416.4,1062.1,1207.4,609.9,1179.7,891.5,585.0,715.8,1087.0,1313.9,654.4,629.1,990.9,997.6,1120.5,642.4,734.5,352.0,693.2,1121.5,1250.9,1201.7,983.9,397.2,611.7,1093.0,647.5,651.9,933.2,720.8,1174.8,1004.3,1312.7,1122.4,566.7,1192.9,722.3,776.2,649.5,724.8,530.1,850.4,1139.6,829.6,1335.2,726.7,1023.2,1507.6,891.8,1148.5
3,1602.1,186.5,719.2,0.0,591.8,865.9,720.1,752.5,180.4,577.0,661.5,933.5,518.4,646.0,1133.1,938.2,706.0,729.2,385.1,817.0,869.9,632.7,460.1,979.3,982.4,819.5,755.5,779.7,487.3,151.3,840.9,273.1,180.3,557.8,530.9,650.8,459.7,390.8,896.0,689.3,892.3,887.0,987.9,890.2,942.8,863.9,781.8,654.3,736.7,730.4,184.9,945.0,933.1,16.6,813.3,184.1,591.4,865.5,294.5,537.7,653.6,848.4,733.4,845.3,868.6,435.2,780.4,397.2,982.9,550.9,1055.2,653.4,851.6,706.8,617.5,940.2,180.3,243.4,759.0,149.5,800.2,483.2,680.2,607.6,510.9,148.0,814.2,987.8,495.1,869.9,966.6,856.9,478.6,983.9,126.6,662.6,406.0,952.1,637.9,958.7,667.5,687.7,797.1,784.9,770.1,576.0,232.4,1033.8,599.5,262.2,961.9,455.6,682.4,787.0,761.6,815.7,988.9,828.5,165.7,739.7,367.2,825.7,946.4,930.8,570.2,975.2,504.0,744.2,801.0,539.4,501.9,301.8,1.7,882.8,712.3,1152.1,947.3,394.9,561.5,93.4,860.0,782.1,532.0,189.1,543.9,942.8,703.8,814.2,173.8,731.2,897.2,662.4,856.5
4,1381.6,633.1,1222.5,645.4,0.0,615.4,798.7,684.4,585.9,326.5,194.0,770.7,772.0,285.5,782.5,1076.2,238.5,261.7,638.6,1297.2,819.8,1136.0,279.3,816.5,819.6,957.4,505.0,529.2,1045.0,709.0,1321.1,830.8,585.8,412.2,509.6,183.3,713.3,254.7,1376.2,767.8,778.0,536.5,637.3,968.8,1422.9,613.4,1262.0,491.6,376.2,567.6,742.6,1023.6,582.5,662.1,462.7,463.3,54.1,815.4,852.2,697.6,490.8,597.9,482.9,494.7,618.1,688.7,1260.6,954.9,632.3,656.6,675.4,1133.5,797.2,456.3,741.9,589.6,585.8,801.1,837.6,670.2,324.3,457.3,319.7,37.9,1068.6,671.6,563.7,1468.0,1052.8,819.8,1446.8,935.5,338.9,1062.4,684.3,195.2,239.4,967.4,775.9,608.1,746.1,437.2,729.0,534.4,1250.3,108.5,790.1,654.0,1079.7,819.9,1040.5,274.8,431.9,718.8,693.5,465.2,1469.0,1308.7,723.4,576.9,924.9,830.0,595.8,725.2,102.7,1455.4,1061.7,822.8,1281.2,663.8,982.1,555.4,647.1,1363.0,1192.5,787.0,596.7,952.6,256.0,553.5,697.2,714.0,690.5,746.8,522.6,1422.9,541.0,563.7,645.8,1211.4,646.7,301.9,1336.7
5,1889.7,853.6,1497.4,865.9,615.4,0.0,1435.5,1321.3,806.4,288.9,1135.5,1407.6,894.9,1120.1,1107.8,1717.4,1180.0,1203.2,761.6,1215.7,1456.6,1410.9,934.2,1453.3,1456.4,1598.7,545.7,127.9,1265.5,929.5,892.8,1051.3,806.3,1031.9,1005.0,1124.8,836.2,864.8,636.3,1404.7,682.6,890.4,807.3,1605.6,936.3,431.6,775.3,1128.4,1210.8,1204.5,963.1,1660.4,1298.4,882.6,951.2,810.1,1065.4,1452.2,1072.7,1315.9,1127.6,69.5,523.7,919.2,148.7,430.8,958.0,1175.4,847.1,1293.5,845.4,993.2,1434.0,274.4,1378.8,1305.5,806.3,1021.6,1474.4,890.7,1274.2,957.3,1154.3,653.3,1289.1,892.1,604.4,1147.8,1273.3,1456.6,706.9,1572.3,387.3,1699.3,904.8,1136.7,880.1,519.3,1417.2,1324.0,1382.9,477.9,1365.8,352.6,709.6,1050.0,1010.6,824.0,916.3,1040.4,1677.3,929.6,250.1,1355.7,1330.4,948.7,1078.3,926.2,943.9,1213.7,1145.4,1466.9,1311.6,721.0,1044.3,1135.2,1282.2,1459.6,898.7,1300.6,1105.0,564.1,867.6,740.4,1110.9,942.3,1312.5,1188.3,359.4,959.3,1334.1,1350.8,1327.3,967.3,1018.0,936.3,1177.9,604.4,866.3,914.1,464.9,1112.1,557.7
6,950.1,740.4,587.6,720.1,798.7,1435.5,0.0,191.8,787.6,1146.6,695.7,327.2,901.3,480.0,880.0,547.9,623.6,763.4,954.7,1195.5,217.9,501.1,754.9,373.0,376.1,322.6,1057.6,1349.3,811.0,628.9,1219.3,596.9,787.7,463.6,499.1,685.0,1029.3,685.5,1274.4,37.3,875.4,633.9,734.7,238.2,1321.2,1433.5,1160.2,409.5,645.9,407.7,563.4,293.0,680.0,736.8,560.2,816.5,744.6,213.5,618.3,216.4,408.7,1418.0,987.7,592.2,1438.2,1004.8,1158.9,720.9,729.7,326.6,772.9,1031.8,199.7,1276.4,102.6,516.2,787.7,481.4,107.1,703.4,709.3,529.3,589.4,760.8,628.5,701.9,906.9,1366.3,704.3,217.9,1345.0,204.9,1048.2,331.9,680.5,696.8,700.8,1330.6,141.0,705.6,52.6,1104.1,236.3,1354.5,1148.6,716.2,610.8,751.5,977.9,458.0,309.9,750.3,1252.0,226.2,200.9,562.6,1367.3,1207.0,552.9,306.2,691.0,228.2,693.3,822.6,696.0,1353.7,713.2,92.3,1179.5,283.1,880.4,871.4,721.8,1261.3,1090.7,884.5,694.1,776.4,1131.1,535.1,347.9,221.3,360.4,531.1,486.0,1321.2,401.4,906.9,727.7,1109.7,1466.8,463.6,1234.9
7,1073.7,772.8,620.0,752.5,684.4,1321.3,191.8,0.0,787.6,1032.4,581.4,233.6,933.7,365.7,765.7,473.7,509.3,649.1,840.4,1227.9,83.4,533.5,640.6,279.4,282.4,355.0,943.3,1235.1,843.4,661.3,1251.7,629.3,787.6,349.4,370.7,570.7,915.0,571.2,1306.8,160.9,761.2,519.7,620.5,361.8,1353.6,1319.3,1192.6,295.2,531.6,313.7,595.8,416.6,565.7,769.2,445.9,665.1,630.4,87.8,650.7,248.8,294.5,1303.8,873.4,477.9,1324.0,890.5,1191.2,753.3,615.5,359.0,658.6,1064.2,106.0,1162.1,135.0,572.8,787.6,513.8,230.7,735.7,595.1,415.0,475.2,646.6,660.9,734.3,792.7,1398.7,736.7,83.4,1377.4,328.5,933.9,455.5,712.9,582.5,586.5,1363.0,173.4,591.3,139.1,989.8,44.5,1240.3,1181.0,601.9,643.2,637.2,1010.3,490.4,433.5,636.0,1137.7,34.4,9.1,448.4,1399.7,1239.4,585.3,192.0,723.4,73.2,579.0,708.4,581.7,1386.1,745.6,215.9,1211.9,315.5,912.8,757.1,754.2,1293.7,1123.1,770.2,579.9,808.8,1016.8,567.5,233.6,29.5,392.8,563.5,357.6,1353.6,287.1,792.7,760.1,1142.1,1352.6,349.3,1267.3
8,1672.6,47.3,786.7,180.4,532.2,806.4,787.6,787.6,0.0,517.5,601.9,874.0,458.8,586.4,1073.5,1005.7,646.4,669.6,325.5,884.5,923.0,700.2,400.6,919.7,922.8,887.0,695.9,720.2,554.8,218.8,908.4,340.6,0.1,498.2,471.3,591.2,400.2,331.2,963.5,756.8,832.8,827.5,928.3,957.7,1010.3,804.4,849.3,594.8,677.1,670.8,252.4,1012.5,873.6,197.0,753.7,124.5,531.8,918.6,362.0,605.2,594.0,788.9,673.9,785.7,809.1,375.6,847.9,464.7,923.3,759.9,995.6,720.9,900.4,647.2,685.0,880.6,0.1,310.9,826.6,84.3,740.6,423.7,620.7,548.0,578.4,85.8,754.7,1055.3,562.6,923.0,1034.1,924.4,419.0,1051.4,107.2,603.1,346.5,1019.7,705.4,899.1,735.0,628.1,832.2,725.4,837.6,516.4,299.9,974.2,667.0,329.7,1029.4,396.0,622.9,822.1,796.7,756.2,1056.4,896.0,233.2,680.1,434.7,933.3,886.8,871.2,510.6,1042.7,571.5,811.7,868.5,606.9,569.4,242.2,182.1,950.3,779.8,1092.5,887.7,462.4,501.9,273.8,800.4,817.2,599.5,256.6,484.4,1010.3,644.2,754.7,59.9,798.7,837.7,602.8,924.0
9,1600.8,564.7,1208.5,577.0,326.5,288.9,1146.6,1032.4,517.5,0.0,846.6,1118.7,606.0,831.2,818.9,1428.5,891.1,914.3,472.6,1131.2,1167.7,1122.0,645.3,1164.4,1167.5,1309.8,256.8,202.7,976.6,640.6,1014.4,762.4,517.4,743.0,716.0,835.9,547.3,575.9,757.9,1115.8,393.6,601.5,518.4,1316.7,1057.9,286.9,896.9,839.5,921.9,915.6,674.2,1371.5,1009.5,593.6,662.3,521.2,776.5,1163.3,783.8,1027.0,838.7,271.4,234.8,630.3,291.6,141.9,1079.6,886.5,558.2,1004.6,556.5,967.5,1145.1,129.8,1089.9,1016.6,517.4,732.7,1185.5,601.7,985.3,668.4,865.4,364.4,1000.2,603.2,315.5,1302.0,984.4,1167.7,828.5,1283.4,98.4,1410.4,615.9,847.8,591.2,640.9,1128.3,1035.1,1094.0,189.0,1076.9,207.9,831.2,761.1,721.7,535.1,913.7,751.5,1388.4,640.7,105.4,1066.8,1041.4,659.8,1199.9,1047.8,655.0,924.8,856.5,1178.0,1022.7,432.1,755.4,1289.4,993.3,1170.7,1020.3,1011.7,816.1,275.2,578.7,862.0,1026.5,653.4,1023.6,884.2,70.5,670.4,1045.2,1061.9,1038.4,678.4,729.1,1057.9,889.0,315.5,577.4,1045.4,320.2,823.1,679.3
