,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
0,0.0,1647.9,2045.2,1431.5,1490.7,1444.7,1518.3,2417.5,2234.8,1468.1,1606.1,690.1,611.6,1200.7,1501.9,1422.4,1151.3,1573.6,1619.2,1046.9,1086.0,1508.1,1572.8,1115.7,986.5,1268.4,710.5,1252.0,1335.3,1692.9,1211.7,1127.1,1045.7,1597.3,1410.6,1543.3,1151.3,1779.5,1362.3,2350.7,1702.1,895.9,962.5,913.2,1330.7,1605.7,1783.1,1471.4,1340.0,756.1,1114.2,1423.4,2345.0,1248.5,584.3,1674.5,1633.7,1937.6,1515.3,2312.8,1496.6,769.7,1692.9,1230.9,1334.2,1309.9,1684.9,2180.2,2438.2,1815.8,1122.4,1384.4,870.7,1454.3,1294.1,1309.5,1265.0,1464.9,1045.7,1672.1,1217.8,2277.5,1335.6,1345.3,1676.0,2198.0,1886.7,1277.8,1979.9,1349.8,596.4,717.1,1438.2,1732.1,1541.9,1811.6,2357.9,1675.0,894.1,2299.6,1732.2,2227.1,1394.8,1564.8,1071.7,1321.2,1433.2,1708.6,1242.7,1497.7,1567.3,2317.8,1137.2,1683.7,1358.9,1930.7,1020.6,1248.5,1280.4,1292.6,1571.6,1702.2,1737.1,644.5,2218.6,1291.8,641.8,827.8,1175.8,1714.9,1175.8,2340.5,1451.5,1248.2,961.2,986.5,1342.1,1777.2,1196.0,691.3,1340.5,1551.4,1112.7,1766.5,1936.2,805.6,1491.3,1234.8,780.3,1614.6,1936.2,1709.7,2413.8,1120.2,1273.0,2151.3,725.5,1592.0,1699.7,870.7,1199.8,2177.4,2238.0,1335.6,1369.0,596.3,1114.5,868.8,1695.3,814.7,1200.1,814.7,1209.4,870.7,1776.2,1660.1,1265.0,1426.4,2283.2,2372.1,1964.6,1684.0,1645.6,825.5,1394.3,735.6,2355.8,1433.2,2213.6,1707.4,1240.8,1258.7,1761.0,1423.6,1713.7,717.8,2100.5,1058.1,1866.2,1516.4,1332.2,1195.8,2094.0
1,1656.5,0.0,1223.5,670.1,610.3,683.4,442.0,1341.2,806.5,600.7,529.8,1257.9,1049.2,447.1,621.5,727.5,585.6,134.6,936.0,983.1,868.7,431.8,233.1,838.9,922.8,726.6,1027.6,702.7,698.9,396.1,594.5,823.1,981.9,300.5,715.6,203.6,585.6,482.7,717.5,1274.3,54.2,1107.3,918.7,1177.8,694.3,42.2,548.5,266.7,798.3,1078.1,1070.5,662.0,1268.7,870.0,1152.0,991.3,336.9,1149.0,256.5,1236.4,616.1,1337.5,396.1,843.8,792.5,431.0,37.0,1103.9,1361.9,515.8,677.7,689.5,1145.5,693.0,752.4,454.1,878.0,182.9,981.9,24.2,786.1,1201.2,699.3,466.4,379.2,769.7,589.9,641.4,903.6,388.3,1064.4,1373.8,676.8,84.3,1112.1,520.0,1281.6,378.2,1231.2,871.3,84.4,798.7,758.4,947.5,1007.9,1013.3,796.8,731.2,519.9,630.3,227.6,889.5,676.6,647.9,714.1,1142.0,688.6,870.0,848.8,413.7,495.3,54.3,184.9,1212.3,1142.3,1055.9,1019.0,1142.5,472.0,126.7,472.0,912.2,690.2,816.5,972.0,922.8,1106.1,700.9,473.2,1259.1,1032.6,670.9,1069.0,690.2,859.8,1373.4,729.9,883.7,957.8,538.2,859.8,412.9,1337.5,834.4,417.6,1074.9,1047.5,974.7,1016.6,1145.5,448.1,1101.0,809.6,699.3,724.2,1164.0,669.8,869.3,800.6,846.1,447.8,846.1,573.0,1145.5,699.9,363.3,878.0,221.4,854.8,943.8,1220.0,607.6,348.8,912.6,1158.4,1057.6,927.5,796.9,1137.2,812.7,809.2,622.3,208.8,347.2,736.3,943.0,1024.2,768.6,789.8,1086.6,790.4,647.4,1017.6
2,2308.5,1223.5,0.0,1797.9,1738.1,1811.2,781.5,821.7,1238.0,1728.5,810.2,1909.8,1701.1,1099.1,1749.3,1855.3,1237.6,1149.2,1590.1,2023.0,1694.2,791.7,1148.4,1723.9,1962.6,1876.6,2326.4,1860.2,1826.7,1383.1,833.5,1735.3,2021.8,1428.3,1843.4,1118.9,1237.6,1610.5,1845.3,754.9,1277.7,1759.2,1570.7,2213.4,1822.1,1181.3,1230.7,1394.5,1948.2,2377.0,1722.5,1789.8,749.2,2168.8,1804.0,1645.3,1464.7,175.9,1384.3,717.0,1743.9,1989.5,1383.1,1839.1,1942.4,1083.0,1260.5,119.6,842.4,1263.4,1329.7,1817.3,1797.4,1820.7,1902.3,1106.1,1873.3,1040.5,2021.8,1247.7,1826.0,681.7,1827.1,1118.3,1507.0,1201.2,1717.7,1769.2,789.2,1516.1,1716.4,2409.5,1804.6,1307.7,2147.7,1259.2,762.1,1401.0,2266.8,929.3,1307.8,980.5,1886.2,682.8,2047.8,1683.7,1924.6,1385.3,1171.9,1758.1,1142.9,911.1,1975.4,1302.0,1841.9,169.0,1340.6,2168.8,1888.6,1065.6,728.2,1277.8,1312.7,1864.2,622.8,1900.0,1671.0,1794.5,1124.0,1290.5,1124.0,888.3,1818.0,1856.4,2270.8,1962.6,1950.3,586.5,1125.1,1911.0,1645.1,1798.7,1721.0,566.3,745.4,2025.3,1857.7,2182.5,2256.6,818.6,745.4,1366.3,818.0,1728.4,1069.5,555.5,2346.3,709.9,1670.6,1797.4,1100.0,581.6,969.6,1827.1,1852.0,1816.0,1321.8,2168.1,536.5,1498.0,1099.7,1498.0,1700.8,1797.4,523.6,1491.1,1873.3,1002.0,924.4,856.8,80.6,731.5,1476.6,2211.4,2002.5,2356.4,873.1,1924.6,86.3,548.6,1849.0,1750.1,1336.6,876.2,1390.4,1595.0,504.7,2067.4,675.5,2122.3,1940.4,2020.5,498.2
3,1450.2,670.1,1542.4,0.0,118.0,13.3,976.6,1660.2,1035.2,95.4,1005.3,896.3,1055.1,1135.7,129.2,420.8,1086.3,709.0,1004.6,676.5,562.0,1006.2,807.5,532.3,616.1,420.0,721.0,396.0,194.5,624.8,1146.7,516.5,675.3,529.3,409.0,778.0,1086.3,711.4,106.1,1593.3,615.9,702.8,685.5,871.1,189.9,665.0,777.3,403.4,491.6,771.5,666.0,50.7,1587.6,563.3,981.5,1059.9,565.6,1467.9,447.2,1555.4,123.8,976.0,624.8,537.2,485.8,1005.4,633.1,1422.9,1680.8,744.5,1057.4,382.8,740.9,81.6,445.7,1028.6,571.3,757.3,675.3,645.9,479.5,1520.2,194.9,1040.8,608.0,998.4,818.7,153.7,1222.6,342.2,1070.4,1067.2,6.7,585.8,805.4,748.8,1600.6,607.0,924.5,1100.0,585.7,1027.5,138.7,1499.7,701.3,706.7,177.0,960.0,1177.7,125.0,802.0,1118.2,370.0,876.7,102.7,1461.0,955.6,563.3,542.1,988.1,923.3,615.7,485.2,921.3,1461.3,749.2,1024.9,738.0,1110.8,543.4,1110.8,1141.0,20.1,509.9,665.3,616.1,799.5,1019.8,1130.9,897.5,726.0,178.7,664.5,1009.1,1178.8,1011.8,59.8,577.1,651.1,1013.7,1178.8,641.6,1656.4,527.8,992.0,1393.9,740.8,1526.9,1085.2,740.9,1134.8,1420.0,1038.4,194.9,112.9,969.5,1049.5,562.6,1119.6,852.0,1135.0,852.0,266.4,740.9,1018.9,592.0,571.3,795.8,1083.6,1172.5,1538.9,926.6,577.6,606.0,851.7,750.9,1156.2,177.1,1456.2,1131.7,502.5,172.8,589.5,921.7,965.1,949.0,1343.2,462.0,1108.8,780.0,483.7,340.8,1336.6
4,1509.5,610.3,1482.6,118.0,0.0,131.3,916.7,1600.3,975.4,48.6,945.4,955.6,1114.4,961.7,11.2,480.1,1145.5,649.2,1063.9,735.7,621.3,946.4,747.7,591.5,675.4,479.2,780.2,455.3,253.8,565.0,1205.9,575.7,734.5,469.5,468.2,718.2,1145.5,651.6,165.4,1533.5,556.0,762.0,744.8,930.4,249.2,605.1,717.5,343.6,550.9,830.7,725.2,109.9,1527.8,622.6,1040.7,1119.2,505.8,1408.1,387.4,1495.6,5.9,1035.2,565.0,596.4,545.1,945.6,573.2,1363.0,1621.0,684.7,1116.6,442.1,800.2,140.8,505.0,968.7,630.5,697.5,734.5,586.0,538.7,1460.3,254.1,981.0,548.2,938.6,758.9,212.9,1162.7,282.4,1129.6,1126.4,124.7,526.0,864.7,688.9,1540.7,547.1,983.7,1040.2,525.9,967.7,197.9,1559.0,760.5,765.9,236.3,900.1,1034.5,78.2,742.2,1058.4,429.2,816.8,162.0,1401.1,1014.8,622.6,601.4,928.3,863.5,555.9,425.4,980.5,1401.4,808.5,1084.2,797.2,986.6,483.5,986.6,1081.1,138.1,569.1,724.6,675.4,858.7,960.0,987.8,956.8,785.2,60.7,723.7,949.3,1119.0,1071.1,177.8,636.3,710.4,953.9,1119.0,581.8,1596.6,587.0,932.2,1334.1,800.1,1586.2,1144.4,800.2,962.6,1360.2,978.6,254.1,172.1,1028.7,1108.7,621.9,1059.8,911.2,962.4,911.2,325.6,800.2,959.0,532.2,630.5,736.0,1023.8,1112.7,1479.1,866.8,517.8,665.2,911.0,810.2,1096.4,236.3,1396.3,1071.9,561.8,232.0,529.7,861.8,905.2,1008.2,1283.3,521.2,1049.0,839.2,543.0,400.0,1276.8
5,1463.5,683.4,1555.7,13.3,131.3,0.0,989.9,1673.4,1048.5,108.7,1018.6,909.6,1068.4,1149.0,142.5,434.1,1099.5,722.3,1017.9,689.8,575.3,1019.5,820.8,545.6,629.4,433.2,734.2,409.3,207.8,638.1,1160.0,529.8,688.6,542.6,422.3,791.3,1099.5,724.7,119.4,1606.6,629.2,716.0,698.8,884.4,203.2,678.3,790.6,416.7,504.9,784.8,679.3,63.9,1600.9,576.6,994.8,1073.2,578.9,1481.2,460.5,1568.7,137.1,989.3,638.1,550.4,499.1,1018.7,646.4,1436.2,1694.1,757.8,1070.6,396.1,754.2,94.9,459.0,1041.8,584.6,770.6,688.6,659.2,492.8,1533.5,208.2,1054.1,621.3,1011.7,832.0,167.0,1235.8,355.5,1083.7,1080.4,6.6,599.1,818.7,762.0,1613.8,620.2,937.8,1113.3,599.0,1040.8,151.9,1513.0,714.6,720.0,190.3,973.3,1190.9,138.3,815.3,1131.5,383.3,890.0,116.0,1474.2,968.9,576.6,555.4,1001.4,936.6,629.0,498.5,934.6,1474.5,762.5,1038.2,751.3,1124.1,556.7,1124.1,1154.3,6.8,523.2,678.6,629.4,812.8,1033.1,1144.2,910.8,739.3,192.0,677.8,1022.4,1192.1,1025.1,46.5,590.3,664.4,1027.0,1192.1,654.9,1669.7,541.1,1005.3,1407.2,754.1,1540.2,1098.5,754.2,1148.0,1433.3,1051.7,208.2,126.2,982.8,1062.8,575.9,1132.9,865.3,1148.3,865.3,279.7,754.2,1032.1,605.3,584.6,809.1,1096.9,1185.8,1552.2,939.9,590.9,619.2,865.0,764.2,1169.5,190.4,1469.5,1145.0,515.8,186.1,602.8,934.9,978.4,962.3,1356.4,475.3,1122.1,793.3,497.0,354.1,1349.9
6,1527.0,442.0,781.5,1016.4,956.6,1029.7,0.0,899.2,1315.4,947.0,87.8,1128.4,919.7,317.6,967.8,1073.8,456.1,367.7,1282.3,1241.5,912.7,10.2,367.0,942.4,1181.2,1095.1,1545.0,1078.7,1045.3,742.4,465.0,953.8,1240.3,646.9,1062.0,337.4,456.1,829.0,1063.8,832.3,496.2,977.8,789.2,1695.1,1040.7,399.8,894.9,613.0,1166.8,1595.5,941.0,1008.3,826.7,1387.3,1022.5,1337.6,683.2,707.0,602.8,794.4,962.4,1208.0,742.4,1057.6,1161.0,301.5,479.0,661.9,919.9,862.1,548.2,1035.8,1015.9,1039.3,1120.9,324.6,1091.8,259.1,1240.3,466.2,1044.5,759.2,1045.6,336.8,725.6,1278.6,936.3,987.7,461.6,734.7,934.9,1924.0,1023.1,526.3,1629.4,866.3,839.6,724.5,1748.5,1006.7,526.3,1057.9,1104.8,610.9,1266.3,1530.7,1143.1,1077.5,390.4,976.6,361.4,988.5,1194.0,994.2,1060.4,700.0,559.1,1387.3,1107.2,284.2,53.3,496.3,531.2,1082.7,700.3,1118.6,889.5,1013.0,342.5,509.0,342.5,965.8,1036.5,1074.9,1489.3,1181.2,1168.8,258.9,343.7,1129.5,1550.0,1017.3,939.5,248.2,417.8,1243.8,1076.2,1401.1,1475.1,96.3,417.8,759.2,895.5,946.9,288.1,632.9,1564.8,638.0,1362.9,1015.9,318.5,659.0,1047.0,1045.6,1070.6,1034.5,540.3,1386.6,358.6,716.6,318.3,716.6,919.4,1015.9,257.9,709.6,1091.8,220.6,1001.8,934.3,778.0,165.6,695.2,1430.0,1221.0,1574.9,950.5,1143.2,695.2,370.7,1067.5,968.6,555.2,94.8,1082.6,813.5,582.2,1286.0,347.9,1604.0,1158.9,1239.1,575.6
7,1949.0,864.0,646.6,1438.4,1378.6,1451.7,422.0,0.0,1180.5,1369.0,450.7,1550.3,1341.6,739.6,1389.8,1495.8,878.1,789.7,1532.6,1663.5,1334.7,432.2,788.9,1364.4,1603.1,1517.1,1966.9,1500.7,1467.2,1164.4,887.0,1375.8,1662.3,1068.8,1483.9,759.4,878.1,1251.0,1485.8,697.5,918.2,1399.7,1211.2,2117.1,1462.6,821.8,1173.3,1035.0,1588.8,2017.5,1363.0,1430.3,691.8,1809.3,1444.5,1587.9,1105.2,738.5,1024.8,659.6,1384.4,1630.0,1164.4,1479.6,1582.9,723.5,901.0,527.0,20.7,1206.0,970.2,1457.8,1437.9,1461.3,1542.8,746.6,1513.8,681.0,1662.3,888.2,1466.5,624.3,1467.6,758.8,1147.5,1143.7,1358.2,1409.7,429.7,1156.6,1356.9,2345.9,1445.1,948.3,2051.4,1201.8,704.7,1146.5,2170.5,871.8,948.3,923.0,1526.7,817.2,1688.3,1952.6,1565.1,1327.8,812.4,1398.6,783.4,853.7,1615.9,1244.5,1482.4,731.5,981.1,1809.3,1529.2,706.1,368.7,918.3,953.2,1504.7,565.4,1540.6,1311.5,1435.0,764.5,931.0,764.5,830.9,1458.5,1496.9,1911.3,1603.1,1590.8,227.0,765.6,1551.5,1587.7,1439.2,1361.5,454.5,385.9,1665.8,1498.2,1823.0,1897.1,459.1,385.9,1181.2,760.6,1368.9,710.0,498.0,1986.8,844.4,1613.2,1437.9,740.5,524.2,912.1,1467.6,1492.5,1456.5,962.3,1808.6,565.0,1138.5,740.3,1138.5,1341.3,1437.9,164.1,1131.6,1513.8,642.5,867.0,799.4,643.1,372.0,1117.1,1851.9,1643.0,1996.9,815.6,1565.2,560.3,577.1,1489.5,1390.6,977.1,516.7,1332.9,1235.5,447.3,1707.9,316.0,2025.9,1580.9,1661.0,440.7
8,2252.5,806.5,1238.0,1035.2,975.4,1048.5,1015.4,1102.4,0.0,965.9,1044.1,1644.0,1802.8,1157.9,986.6,1092.6,1296.5,845.4,617.3,1424.1,1309.7,1025.6,943.9,1279.9,1363.8,1091.8,1600.8,1143.7,1064.1,410.4,1305.3,1188.3,1422.9,506.0,1080.8,914.4,1296.5,750.3,1082.7,1035.6,752.3,1450.4,1433.2,1320.6,1059.5,801.4,258.0,631.8,1163.4,1646.5,1413.6,1027.2,1029.9,835.0,1729.2,672.6,533.8,1329.8,621.6,997.7,981.3,1723.6,410.4,1209.0,1157.6,1141.8,769.5,1118.4,1123.1,290.7,1388.5,1054.6,1488.6,1058.1,1117.5,1165.0,1243.1,893.7,1422.9,782.3,1227.1,627.1,1064.4,1177.2,576.2,36.8,857.5,1006.6,1323.1,753.5,1818.0,1516.6,1042.0,722.2,1254.9,286.5,231.9,428.3,1374.0,64.8,722.1,257.5,1123.6,1410.7,1448.9,711.0,1162.0,412.5,1230.7,995.4,938.4,83.0,1104.1,329.2,1079.3,1322.9,1399.4,835.0,1289.8,1124.5,962.1,752.1,621.6,1669.0,903.5,1421.1,1772.6,1485.7,1182.8,679.8,1182.8,105.7,1055.3,1257.6,1228.4,1363.8,1471.3,1120.4,1184.0,1645.2,672.4,1036.1,1412.1,1048.0,1279.4,1759.5,1095.0,821.3,1214.2,1052.6,1279.4,393.6,1098.7,1275.4,1128.4,836.2,1615.8,1437.8,697.9,1488.6,1158.9,862.3,268.4,1064.4,1089.4,1717.2,1380.7,1125.7,1158.4,1599.7,1158.6,1599.7,938.2,1488.6,1057.5,443.2,1243.1,932.2,313.6,137.3,1234.5,965.4,616.4,1169.0,1523.5,1625.9,121.0,1162.0,1151.7,1170.5,1250.2,987.5,725.9,1058.1,417.6,1696.6,785.4,936.4,1209.4,1229.5,1155.6,1012.6,739.8
9,1486.9,600.7,1473.0,95.4,48.6,108.7,907.2,1590.8,965.9,0.0,935.9,933.0,1091.8,952.1,59.8,457.5,1122.9,639.7,1041.3,713.1,598.7,936.8,738.1,569.0,652.8,456.6,757.6,432.7,231.2,555.4,1183.4,553.1,712.0,459.9,445.7,708.6,1122.9,642.1,142.8,1523.9,546.5,739.4,722.2,907.8,226.6,595.6,707.9,334.0,528.3,808.2,702.7,87.3,1518.3,600.0,1018.2,1096.6,496.3,1398.5,377.9,1486.0,54.4,1012.6,555.4,573.8,522.5,936.0,563.7,1353.5,1611.5,675.1,1094.0,419.5,777.6,118.3,482.4,959.2,608.0,688.0,712.0,576.5,516.1,1450.8,231.6,971.4,538.6,929.1,749.3,190.4,1153.2,272.8,1107.0,1103.8,102.1,516.4,842.1,679.4,1531.2,537.6,961.2,1030.7,516.3,958.1,175.3,1536.4,738.0,743.4,213.7,890.6,1214.3,29.6,732.6,1048.8,406.6,807.3,139.4,1391.6,992.2,600.0,578.8,918.7,853.9,546.4,415.8,958.0,1391.9,785.9,1061.6,774.7,1147.5,474.0,1147.5,1071.6,115.5,546.6,702.0,652.8,836.1,950.5,1167.6,934.2,762.7,109.3,701.2,939.8,1109.4,1048.5,155.2,613.7,687.8,944.4,1109.4,572.3,1587.1,564.5,922.6,1324.5,777.5,1563.6,1121.9,777.6,953.1,1350.6,969.0,231.6,149.5,1006.2,1086.1,599.3,1050.2,888.7,952.8,888.7,303.0,777.6,949.5,522.6,608.0,726.4,1014.2,1103.1,1469.6,857.2,508.2,642.6,888.4,787.6,1086.9,213.7,1386.8,1062.3,539.2,209.5,520.1,852.3,895.7,985.6,1273.8,498.6,1039.4,816.6,520.4,377.4,1267.2
