,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
0,0.0,1449.8,2016.5,2112.6,1546.6,1613.8,1471.2,1547.6,962.5,1973.9,1057.4,1053.7,966.5,1028.0,1498.2,1418.5,744.4,2069.7,871.5,1117.0,2045.5,1844.2,1370.3,1864.1,1275.0,1643.3,1227.2,1164.3,744.4,1197.1,1246.0,1558.5,1624.5,600.7,1177.6,769.8,2047.4,1862.9,1357.8,1136.6,1537.9,1324.2,2078.2,1705.9,1900.6,1716.3,1584.0,1214.0,2226.9,1764.2,2116.7,1268.6,573.5,1797.1,1421.4,1710.6,1695.5,1533.7,1084.0,2088.0,1572.4,1081.0,1277.1,1525.5,1574.2,600.7,1779.5,1813.9,1573.3,1275.7,2052.7,1878.0,2093.2,2020.5,1570.3,927.9,1345.4,1858.5,1585.9,612.0,1565.4,1842.4,1022.0,1038.0,861.6,1216.1,1213.7,924.7,854.1,716.1,1927.9,1678.4,829.6,1755.4,1637.2,1613.9,1176.1,1819.4,1587.8,1214.5,1258.5,1118.8,1749.4,821.8,922.9,1469.7,1439.8,1878.0,1232.3,1296.7,1763.9,1284.2,1132.4,1384.9,1660.7,814.7,1763.3,829.3,2045.5,2069.7,1764.5,1801.0,1893.4,1172.2,1576.0,644.5,1198.9,1504.1,1461.3,1461.3,1036.4,1409.0,951.5,1170.5,2169.4,1721.2,1608.8,914.7,1268.6,1083.6,1537.9,996.2,1600.4,1807.2,1386.6,760.9,954.1,1576.0,2044.4,2048.0,1357.0,934.2,1514.6,1067.6,1169.3,1298.3,1437.9,1259.8,994.4,1132.6,2087.7,861.6,2038.9,1787.9,1479.5,1880.3,1566.9,1312.1,974.8,2014.9,1263.5,1735.6,1693.7,1561.2,1426.1,1423.7,1331.6,690.1,974.0,1015.3,1067.8,1467.9,1212.9,1242.7,857.7,863.4,1583.4,749.4,503.4,698.2,1052.4,895.9,2044.2,1608.0,1875.6,1218.7,966.9,832.1,630.2,1533.6,764.4,1067.6,2121.1
1,1445.5,0.0,566.7,662.8,96.8,192.6,337.9,316.9,505.7,524.1,858.1,756.3,625.5,422.6,77.0,427.7,723.8,619.9,1051.3,917.7,877.5,929.9,743.6,414.3,767.4,222.1,844.7,562.6,723.8,346.2,738.5,137.2,393.7,938.0,376.0,1230.5,790.9,354.0,343.4,937.2,685.5,309.8,628.4,475.1,450.8,485.6,162.8,970.8,777.1,314.4,666.9,277.8,876.3,347.3,668.0,260.8,464.7,84.0,743.4,638.2,122.6,849.3,769.6,75.7,380.2,938.0,644.6,446.8,419.2,576.2,602.9,963.7,643.4,570.7,648.3,664.2,954.4,408.7,164.7,837.8,651.1,392.6,822.7,549.0,955.9,645.7,831.1,667.3,654.8,733.7,478.1,234.7,919.9,841.2,254.5,192.7,1008.7,631.9,357.0,823.6,926.3,811.4,614.4,1098.8,669.1,246.9,396.7,963.7,271.5,520.7,629.0,1060.8,695.0,631.6,252.4,653.5,532.6,1290.0,877.5,619.9,314.7,433.9,979.1,344.5,126.2,805.3,816.4,680.7,358.1,358.1,710.0,197.2,640.5,688.1,770.0,806.9,576.0,592.5,277.8,715.8,281.5,796.9,179.2,619.7,1111.5,1087.6,1030.9,126.2,594.6,598.2,366.1,569.5,64.8,585.6,348.7,671.7,1001.3,1036.3,752.1,750.1,873.0,955.9,900.5,420.8,29.7,966.0,117.1,672.5,617.2,945.8,756.0,821.3,243.9,140.0,59.6,211.9,705.0,780.4,1050.8,435.2,741.5,200.9,394.3,860.2,1037.6,953.7,133.6,700.4,979.2,788.4,853.0,586.8,594.4,186.8,961.4,276.6,1043.8,922.3,819.6,681.1,685.4,759.8,671.3
2,2012.3,566.7,0.0,481.3,469.9,759.3,798.6,797.2,1072.5,206.1,1424.8,1323.0,1192.3,989.3,643.7,908.9,1290.6,111.3,1540.5,1484.4,696.0,896.1,1232.9,254.0,1256.7,788.8,1333.9,1043.9,1290.6,827.4,1227.7,704.0,785.3,1504.8,857.3,1719.7,609.4,513.7,824.7,1504.0,1077.1,791.1,119.8,650.8,269.3,877.2,729.6,1362.4,315.8,380.9,158.3,759.1,1443.0,292.1,1157.3,305.9,856.4,556.4,1232.6,129.6,480.7,1338.5,1258.8,548.1,539.9,1504.8,622.0,606.5,578.9,1142.9,421.4,929.8,134.8,389.2,1039.9,1230.9,1346.0,330.1,731.4,1404.5,1074.4,153.4,1389.4,1030.3,1445.1,1134.9,1320.3,1234.1,1221.5,1300.4,296.5,801.5,1486.6,884.3,821.2,759.5,1400.3,553.3,748.6,1312.8,1317.9,1300.6,591.9,1588.0,1235.9,563.1,885.9,855.3,752.8,1009.9,606.4,1550.0,1184.2,1120.8,819.2,1220.2,924.2,1747.2,696.0,111.3,474.4,593.6,767.7,911.3,532.0,1372.1,1305.6,1072.3,907.4,907.4,1276.8,576.1,1207.3,1177.4,470.3,939.9,967.7,1159.2,759.1,1282.5,848.3,1363.6,745.9,541.1,1503.2,1576.8,1520.1,532.0,86.0,519.6,847.4,1050.8,537.2,1152.4,915.5,1160.9,1392.9,1525.5,1318.9,1239.3,573.4,1445.1,600.9,580.5,560.5,780.8,475.3,1257.4,1184.0,646.2,1245.2,925.5,403.6,706.8,626.3,662.1,1194.2,1347.1,1540.0,1002.0,1230.7,517.2,961.1,1349.4,1526.8,1520.4,491.8,1267.1,1545.9,1355.2,1419.8,1153.5,85.8,753.6,764.1,843.3,1533.0,1489.1,1386.4,1072.8,1252.2,1249.0,371.7
3,2108.4,662.8,481.3,0.0,566.0,855.4,745.3,893.3,1168.6,254.5,1520.9,1419.1,1288.4,1085.4,739.8,1005.0,1386.7,534.4,1636.6,1580.5,214.7,808.1,1329.0,350.1,1352.8,884.9,1430.0,1140.0,1386.7,923.5,1323.8,800.1,881.4,1600.9,953.4,1782.0,128.1,609.8,920.8,1600.1,1052.5,887.2,542.9,746.9,247.0,973.3,825.7,1337.8,389.5,477.0,458.2,855.2,1539.1,388.2,1253.3,402.0,952.5,652.5,1328.7,552.8,576.8,1434.6,1354.9,644.2,636.0,1600.9,579.1,702.6,675.0,1239.0,59.9,841.9,557.9,183.2,1023.0,1327.0,1321.4,426.2,827.5,1500.6,986.5,418.9,1485.5,1126.4,1541.2,1231.0,1416.4,1330.2,1317.6,1396.5,274.3,897.6,1582.7,796.4,917.3,855.6,1375.7,619.0,844.7,1408.9,1293.3,1396.7,548.9,1684.1,1332.0,659.2,982.0,767.4,848.9,1106.0,563.5,1540.8,1280.3,1216.9,915.3,1316.3,1020.3,1722.6,214.7,534.4,570.5,689.7,679.8,1007.4,628.1,1468.2,1401.7,1047.7,1003.5,1003.5,1372.9,672.2,1303.4,1273.5,382.4,852.0,1063.8,1255.3,855.2,1378.6,944.4,1459.7,842.0,606.8,1478.5,1672.9,1616.2,628.1,509.1,615.7,859.5,1146.9,633.3,1248.5,1011.6,1257.0,1368.3,1577.5,1415.0,1335.4,485.5,1541.2,512.9,676.6,656.6,692.8,571.4,1353.5,1280.1,558.3,1341.3,837.5,499.7,802.9,722.4,758.2,1290.3,1443.2,1636.1,1098.1,1326.8,613.3,1057.2,1445.5,1622.9,1616.5,587.9,1363.2,1642.0,1451.3,1515.9,1249.6,508.9,849.7,676.2,939.4,1629.1,1585.2,1482.5,1048.1,1348.3,1345.1,283.8
4,1542.3,96.8,469.9,566.0,0.0,289.4,434.7,413.7,602.5,427.4,954.8,853.1,722.3,519.4,173.8,495.9,820.6,523.1,1148.1,1014.5,780.7,1098.9,840.4,317.5,864.2,318.9,941.5,630.9,820.6,414.4,835.3,234.0,490.5,1034.8,444.3,1327.3,694.1,257.2,411.7,1034.0,782.3,378.1,531.6,394.3,354.0,582.4,259.6,1067.6,680.3,217.6,570.1,346.1,973.1,250.5,764.8,164.0,561.5,86.4,840.2,541.4,25.8,946.1,866.4,78.2,283.4,1034.8,547.8,350.0,322.4,673.0,506.1,1132.7,546.6,473.9,745.1,760.9,1051.2,311.9,261.5,934.6,747.9,295.8,919.5,617.2,1052.7,742.5,927.9,764.1,751.6,830.5,381.3,331.5,1016.7,938.0,351.3,289.5,1105.5,535.1,453.8,920.4,1023.1,908.2,517.6,1195.6,765.9,150.1,493.5,1058.1,339.8,617.5,532.2,1157.6,791.8,728.4,349.2,750.3,629.4,1386.8,780.7,523.1,217.9,337.1,970.5,441.3,62.1,902.1,913.2,777.5,454.9,454.9,806.8,163.1,737.3,784.9,673.2,903.7,672.8,689.3,346.1,812.6,378.3,893.7,276.0,522.9,1208.3,1184.4,1127.7,62.1,497.8,501.4,434.4,637.8,67.2,682.4,445.5,768.5,1098.0,1133.1,848.9,846.9,776.2,1052.7,803.7,324.0,90.5,983.6,20.3,769.3,714.0,849.0,852.8,918.1,147.1,236.8,156.4,249.0,801.8,877.2,1147.6,532.0,838.3,104.1,491.1,957.0,1134.4,1050.5,36.8,797.2,1076.0,885.2,949.8,683.6,497.6,283.6,966.9,373.4,1140.6,1019.1,916.4,777.9,782.2,856.6,574.5
5,1609.5,192.6,759.3,855.4,289.4,0.0,501.9,220.0,669.7,716.7,969.4,864.6,789.5,586.6,115.6,591.6,887.8,812.5,954.4,1029.1,1070.1,833.0,646.7,606.9,670.5,210.6,747.8,726.6,887.8,510.1,641.6,55.3,296.8,1102.0,540.0,1133.6,983.5,546.6,507.4,1048.6,588.6,473.8,820.9,378.2,643.4,388.7,29.7,873.9,969.6,506.9,859.5,441.8,1040.2,539.9,571.1,453.4,367.8,276.5,646.5,830.8,315.1,752.4,672.7,268.3,572.8,1102.0,837.1,486.3,611.8,728.2,795.5,866.8,836.0,763.3,551.4,828.1,857.5,601.2,27.9,1001.8,554.2,585.1,934.0,713.0,859.0,548.8,734.2,831.3,818.8,897.6,670.6,42.2,1083.9,744.3,83.4,0.2,911.8,824.5,260.1,726.7,829.4,714.5,807.0,1001.8,833.1,421.9,299.8,866.8,435.5,423.8,821.5,963.9,598.1,534.7,59.9,817.4,435.7,1193.1,1070.1,812.5,507.3,473.4,882.2,508.5,318.8,969.3,719.5,583.8,261.2,261.2,818.4,361.1,804.5,591.2,962.5,710.0,479.1,756.4,441.8,824.1,184.6,927.0,57.3,812.3,1014.6,990.7,934.0,318.8,787.1,790.8,530.1,733.5,257.3,749.6,512.7,574.8,904.3,939.4,860.5,653.2,1065.6,859.0,1027.7,460.2,222.3,869.1,309.7,671.3,781.2,1003.7,659.1,724.4,436.4,52.5,223.6,375.9,608.1,944.4,953.9,599.2,644.6,393.5,558.3,763.3,940.7,1117.7,326.2,864.3,1143.2,952.4,964.4,750.8,786.9,175.4,864.5,440.6,946.9,1086.3,983.6,584.2,849.4,662.9,863.9
6,1700.2,337.9,798.6,745.3,406.2,501.9,0.0,626.2,760.3,756.0,1112.7,1010.9,880.1,677.2,386.3,279.3,726.8,851.7,1360.6,1172.3,615.4,1239.3,1053.0,646.2,1076.8,531.4,1154.0,530.0,726.8,313.6,1047.8,446.5,703.0,1192.6,343.5,1539.8,617.2,585.8,334.4,1191.9,994.8,300.8,860.2,722.9,682.6,794.9,472.1,1280.1,1008.9,508.9,898.7,202.5,1130.9,579.1,977.4,492.6,774.1,421.8,1052.7,870.0,416.9,1136.3,1078.9,413.6,343.0,1192.6,349.4,678.6,303.0,830.8,805.2,1273.0,875.2,802.6,957.6,918.8,1263.7,640.2,474.0,1092.4,960.4,624.4,1077.3,516.4,1265.2,955.0,1140.4,921.9,909.4,988.3,709.9,544.1,1174.5,1150.5,563.8,502.0,1318.0,389.3,666.3,1132.9,1235.6,1070.4,319.2,1408.1,923.8,303.9,706.0,1386.8,238.9,830.0,333.8,1370.1,1004.3,940.9,561.7,656.4,841.9,1599.3,615.4,851.7,546.5,665.7,1299.1,599.2,464.1,1060.0,1125.7,990.0,667.4,667.4,964.7,243.1,895.1,997.5,1001.8,1116.2,885.3,847.1,202.5,970.4,590.8,1051.5,488.5,377.1,1420.8,1396.9,1340.2,464.1,826.4,388.5,114.2,537.0,402.7,840.3,603.4,981.0,1310.6,1345.6,1006.8,1059.4,1104.8,1265.2,1132.3,652.6,367.6,1312.2,411.5,927.1,871.9,1177.6,1065.3,1130.7,475.7,449.3,278.3,180.4,1014.3,1035.0,1360.1,689.9,1050.8,302.0,649.0,1169.5,1346.9,1208.3,428.0,955.0,1233.8,1043.1,1107.7,841.4,826.2,496.1,1295.5,531.2,1353.1,1177.0,1074.3,990.4,940.1,1069.1,903.2
7,1559.7,316.9,797.2,893.3,413.7,220.0,626.2,0.0,795.0,754.6,796.5,691.7,704.3,659.1,239.9,716.0,1013.1,850.4,781.5,856.1,1108.0,651.2,473.8,644.8,497.6,256.4,574.9,850.9,1013.1,634.4,468.7,250.1,115.0,1163.5,664.3,960.7,1021.4,353.4,631.7,875.7,406.8,598.1,858.8,196.4,681.3,206.9,249.7,692.1,1007.5,544.8,897.4,566.1,1101.7,577.8,398.2,491.3,186.0,400.8,473.6,868.7,439.4,579.5,499.7,392.6,610.7,1163.5,875.0,304.5,649.7,555.2,833.4,685.0,873.9,801.2,369.6,743.0,675.7,639.1,247.8,1063.3,372.4,623.0,761.1,837.3,686.1,375.9,561.3,822.2,827.8,959.1,708.5,177.8,1145.4,562.5,136.6,219.8,730.0,862.4,78.3,553.8,647.6,541.6,844.9,828.9,820.4,546.2,126.9,685.0,559.8,250.9,859.4,791.0,425.2,361.7,160.1,942.8,253.9,1020.1,1108.0,850.4,397.3,291.6,700.4,632.8,443.1,1030.8,546.6,402.0,148.4,148.4,645.5,485.5,719.3,418.3,976.4,528.2,297.3,817.9,566.1,651.2,163.6,754.1,175.2,850.2,832.8,817.8,761.1,443.1,825.0,828.7,654.4,857.8,381.6,664.4,637.0,401.9,722.5,766.5,687.6,480.3,894.7,686.1,845.9,278.4,346.6,687.3,434.0,498.4,696.0,821.9,486.1,542.6,444.0,252.9,347.9,500.2,435.2,1005.9,781.0,671.7,471.6,517.8,647.0,590.3,767.8,1179.2,450.5,925.8,1204.7,1013.9,791.5,812.3,824.8,221.1,682.7,564.9,774.0,1147.8,1045.1,402.4,910.9,490.0,901.8
8,1047.3,505.7,1072.5,1168.6,602.5,669.7,760.3,795.0,0.0,1029.9,459.8,358.0,227.3,178.0,554.1,676.4,218.1,1125.6,599.7,519.5,1383.2,1408.1,801.0,920.1,705.7,699.2,658.0,422.3,218.1,455.0,676.8,614.4,871.9,539.8,435.6,886.0,1296.6,859.7,558.2,539.0,1163.6,524.6,1134.1,953.3,956.5,963.7,640.0,919.2,1282.8,820.1,1172.6,526.6,478.0,853.0,852.2,766.5,942.9,589.7,485.9,1143.9,628.3,483.4,707.9,581.4,784.9,539.8,1150.3,952.5,924.9,331.6,1108.6,1441.9,1149.1,1076.4,1126.4,265.9,906.5,914.4,641.8,439.6,1129.2,898.3,424.4,295.9,611.3,414.7,644.4,269.1,256.5,335.4,983.8,711.9,521.7,1319.3,731.6,669.8,881.3,1137.6,835.1,645.3,957.0,417.6,1120.1,754.2,270.9,680.4,687.2,1441.9,490.2,544.1,1134.7,716.2,508.3,815.7,729.6,147.7,1010.7,945.4,1383.2,1125.6,820.4,939.6,1457.3,228.1,632.0,407.1,629.7,1158.8,708.7,708.7,311.8,619.6,242.3,417.9,1275.7,1285.1,1054.2,194.2,526.6,317.5,758.7,398.7,656.3,1125.4,818.6,743.0,686.3,632.0,1100.3,1103.9,614.9,192.1,570.5,187.4,225.3,729.1,869.9,691.8,353.9,563.4,1378.7,611.3,1406.2,926.5,535.4,1444.2,622.9,431.9,219.0,1451.5,694.2,1299.5,749.6,617.2,482.0,634.4,762.4,382.1,706.3,135.1,471.2,678.5,268.8,673.4,693.0,555.5,639.3,302.1,580.9,390.2,454.8,188.5,1100.1,663.9,1439.5,274.6,699.2,524.1,421.4,1159.3,287.2,469.6,1177.1
9,1969.7,524.1,206.1,254.5,427.4,716.7,756.0,754.6,1029.9,0.0,1382.2,1280.4,1149.7,946.7,601.1,866.3,1248.0,133.6,1497.9,1441.8,469.2,787.3,1190.3,211.4,1214.1,746.2,1291.3,1001.3,1248.0,784.8,1185.1,661.4,742.7,1462.2,814.7,1677.1,382.6,471.1,782.1,1461.4,1034.5,748.5,187.8,608.2,73.3,834.6,687.0,1319.8,195.2,338.3,118.1,716.5,1400.4,249.5,1114.7,263.3,813.8,513.8,1190.0,197.7,438.1,1295.9,1216.2,505.5,497.3,1462.2,579.4,563.9,536.3,1100.3,194.5,821.1,202.9,71.3,997.3,1188.3,1303.4,287.5,688.8,1361.9,965.6,280.2,1346.8,987.7,1402.5,1092.3,1277.7,1191.5,1178.9,1257.8,46.1,758.9,1444.0,775.5,778.6,716.9,1357.7,510.7,706.0,1270.2,1275.3,1258.0,549.3,1545.4,1193.3,520.5,843.3,746.6,710.2,967.3,563.8,1507.4,1141.6,1078.2,776.6,1177.6,881.6,1704.6,469.2,133.6,431.8,551.0,658.9,868.7,489.5,1329.5,1263.0,1029.7,864.8,864.8,1234.2,533.5,1164.7,1134.8,361.6,831.1,925.1,1116.6,716.5,1239.9,805.7,1321.1,703.3,498.5,1460.6,1534.2,1477.5,489.5,120.1,477.0,804.8,1008.2,494.6,1109.8,872.9,1118.3,1350.3,1482.9,1276.3,1196.7,464.6,1402.5,492.1,537.9,517.9,672.0,432.7,1214.8,1141.4,537.4,1202.6,816.7,361.0,664.2,583.7,619.5,1151.6,1304.5,1497.4,959.4,1188.1,474.6,918.5,1306.8,1484.2,1477.8,449.2,1224.5,1503.3,1312.6,1377.2,1110.9,153.8,711.0,655.3,800.7,1490.4,1446.5,1343.8,1030.2,1209.6,1206.4,263.0
