,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
0,0.0,1545.3,1138.3,1098.4,2051.9,1229.8,1847.0,1217.0,1086.0,1020.1,2086.7,1588.3,930.5,1588.3,1850.2,1170.3,936.3,1476.5,1383.0,1541.2,1011.1,2018.2,1529.5,999.2,1133.9,1499.5,1569.9,1950.5,1558.5,1016.5,1119.7,1521.9,1892.1,1258.7,1528.3,1235.7,903.7,1017.5,1784.3,956.9,2053.8,2036.6,1106.4,1214.8,2028.6,1658.5,1112.9,1564.0,1204.7,1291.3,1169.0,740.1,2049.7,900.5,1802.5,1197.2,1099.1,1196.6,972.0,1957.9,1411.2,625.9,745.2,1584.1,1880.4,1274.5,1831.5,1144.0,1292.2,789.4,1050.2,1484.9,1128.5,901.4,1822.0,1170.2,1155.5,622.9,1163.9,784.5,2002.6,1193.1,1674.3,1472.6,578.6,707.5,1584.1,1553.1,1574.8,1197.0,1801.7,2049.0,841.5,1490.7,885.2,849.8,1119.7,1566.7,939.2,586.1,1521.7,1246.3,1167.6,1178.8,1542.3,1545.1,1898.3,1204.6,1370.3,1064.1,855.8,1095.6,2034.9,942.1,895.5,1390.3,1525.2,1829.1,1453.7,882.9,579.2,1588.8,1969.7,1767.6,1406.1,956.9,833.2,2111.5,1411.6,817.3,1957.9,1560.3,1675.7,1205.7,1692.1,1599.7,1193.0,1783.8,813.6,1747.0,592.1,1181.0,1157.5,1733.0,1813.6,1970.3,1235.7,1558.5,893.8,1538.4,1008.3,1241.9,1218.4,1826.1,996.8,1277.1,1817.4,774.8,1847.0,1548.8,1379.0,1708.9,1188.0,2093.2,1194.7,807.4,991.8,923.0,1544.9,1585.6,1614.6,1166.4,1437.4,1459.6,1241.5,1230.9,1480.7,1039.9,1537.0,1211.8,1709.7,1832.0,1445.4,1759.6,1521.7,1085.6,1236.8,1299.1,913.6,944.9,1832.3,1139.1,1541.3,2059.6,1480.7,1588.3,1127.9,943.6,1208.5,671.6,1227.3,999.1,2085.4
1,1545.3,0.0,768.1,497.9,787.5,615.9,601.5,463.9,836.6,664.3,990.0,43.0,650.1,43.0,585.8,410.7,609.0,180.6,998.7,4.1,534.2,753.8,233.6,685.2,504.0,314.6,425.7,686.0,13.2,652.7,454.0,23.4,627.7,303.5,441.8,723.9,841.0,767.7,828.0,992.6,789.4,772.2,651.5,543.1,942.1,394.1,863.4,18.7,479.1,363.3,492.7,840.5,785.3,682.3,846.1,471.6,586.0,544.6,757.6,1001.5,210.2,919.4,800.1,412.6,924.0,1025.0,567.1,713.7,497.4,755.9,679.9,398.4,698.2,828.2,557.6,513.6,1012.3,957.7,793.6,1020.3,1046.2,943.6,502.7,72.7,1002.0,1022.1,412.6,596.7,73.2,456.3,644.5,784.6,921.0,130.8,768.1,754.5,518.2,610.3,974.9,959.2,126.3,871.9,590.3,579.0,246.4,103.0,941.9,553.2,986.0,693.8,878.6,846.2,1063.2,745.4,649.8,303.8,353.6,583.6,167.8,787.6,1001.4,444.6,705.3,503.2,242.6,992.6,883.2,859.5,325.1,956.1,1001.5,100.2,504.2,556.4,735.7,428.1,646.1,519.4,863.7,660.5,988.5,937.2,727.2,487.3,727.1,705.9,723.9,13.2,831.1,604.5,537.0,543.7,617.6,561.7,690.7,556.7,660.2,1060.4,601.5,3.5,166.3,752.5,511.7,828.8,447.4,737.9,695.7,1170.5,103.1,414.0,501.5,517.0,710.1,259.4,694.6,728.8,184.8,644.5,8.3,486.2,753.3,875.6,149.5,803.2,126.3,715.3,458.4,1049.7,773.9,658.1,675.1,708.8,369.7,795.1,184.8,43.0,651.5,979.3,661.6,1036.0,448.9,703.5,821.0
2,1138.3,768.1,0.0,535.0,1384.7,295.3,1198.7,316.9,290.6,187.1,1184.7,725.5,633.0,725.5,1183.0,568.8,544.9,782.7,587.5,763.9,518.8,1351.1,835.7,166.2,466.9,916.7,1027.8,1283.3,755.3,875.4,524.6,744.6,1224.9,689.0,1043.9,301.3,467.7,501.9,882.3,446.5,1386.6,1369.4,171.9,280.3,1544.2,909.4,317.4,749.7,1004.6,685.6,1018.2,823.3,1382.5,618.2,900.5,997.1,182.0,349.7,211.5,1055.9,620.6,840.5,721.2,704.6,978.3,479.0,1164.3,209.6,357.8,677.0,115.7,1000.5,194.1,282.1,1154.9,300.7,606.9,940.6,25.5,474.3,1100.6,397.6,794.8,700.9,960.4,476.0,704.6,651.0,695.3,327.5,1241.8,1381.8,411.8,638.4,394.7,616.5,452.7,664.6,428.9,880.2,642.1,691.0,233.1,244.4,848.5,665.5,996.3,270.2,574.8,74.3,426.0,300.2,1132.8,534.6,585.7,905.9,645.7,1180.8,601.4,583.5,961.0,1046.7,1302.5,1100.5,526.6,446.5,403.4,1456.7,927.2,410.0,1055.9,680.8,796.2,1064.7,790.0,720.2,258.5,1116.6,383.9,1262.6,974.0,632.4,223.1,853.5,1329.2,1303.1,301.3,755.3,457.8,603.9,521.6,1069.2,284.0,1158.9,480.0,342.6,1257.5,514.3,1198.7,765.0,607.2,806.9,1037.2,1426.0,526.7,659.0,485.0,624.4,665.4,706.1,1103.6,276.7,764.4,580.1,307.1,296.4,786.9,206.8,759.8,1011.7,807.7,929.9,751.6,857.6,642.1,52.8,983.9,503.6,563.2,594.0,1272.3,204.7,661.7,1392.4,786.9,725.5,986.8,433.2,274.1,891.2,974.4,139.3,1353.7
3,1098.4,497.9,535.0,0.0,1019.1,626.4,833.0,445.5,603.6,431.2,1221.6,540.8,186.3,540.8,817.3,130.0,162.0,412.1,900.5,493.7,88.1,985.4,465.1,452.1,132.4,546.2,657.3,917.6,511.1,428.7,74.7,474.4,859.3,194.4,618.7,632.4,505.9,409.1,1198.7,759.5,1021.0,1003.8,503.0,507.1,1119.0,625.6,630.4,516.6,533.4,244.4,547.0,376.6,1016.9,235.3,1216.9,526.0,353.0,201.7,524.6,1371.7,364.2,472.5,353.2,812.2,1294.8,792.0,798.7,540.7,564.2,309.0,446.8,575.3,525.2,595.1,789.2,250.7,919.9,493.9,560.5,787.3,1327.0,710.6,802.0,425.2,538.2,789.0,812.2,967.5,564.5,307.9,876.1,1016.1,633.5,443.6,506.4,307.6,124.6,981.0,741.9,512.2,600.8,1004.0,554.2,543.0,478.0,594.3,1312.7,517.2,887.8,460.7,585.4,613.2,1294.8,298.4,202.8,480.7,753.3,815.1,406.6,340.6,537.6,676.1,936.9,734.8,458.2,759.5,590.1,1091.1,502.0,681.5,1371.7,525.4,766.2,610.7,1106.5,814.9,589.6,750.9,570.5,837.4,524.6,945.4,554.2,718.9,903.9,937.4,632.4,511.1,495.9,920.4,90.9,598.1,615.1,793.2,243.8,659.0,891.8,827.4,833.0,501.3,331.9,1123.3,566.0,1060.4,165.9,291.0,248.8,937.4,594.4,813.7,705.0,420.5,1080.9,660.1,638.2,627.6,416.4,411.5,489.6,540.6,1124.1,1246.3,381.1,1174.0,600.8,482.3,512.7,816.6,327.0,211.2,906.7,535.8,769.4,1026.7,416.4,540.8,540.1,746.2,605.2,589.1,503.2,470.4,1052.5
4,2051.9,787.5,1384.7,1019.1,0.0,1232.1,547.7,1080.1,1453.3,1281.0,412.6,830.5,1171.4,830.5,437.5,950.2,1147.1,632.9,1379.9,783.4,1073.1,368.2,627.5,1301.8,1043.5,552.4,611.1,431.4,800.7,1084.1,993.5,764.1,236.4,824.7,655.2,1340.1,1457.1,1378.4,715.0,1609.3,403.8,432.4,1267.6,1159.3,239.6,475.3,1480.1,806.3,910.5,902.8,924.1,1311.8,341.1,1220.4,806.5,903.0,1202.7,1152.7,1374.3,562.7,840.1,1457.5,1338.3,680.1,741.8,1445.5,307.1,1329.9,1113.6,1294.1,1296.6,653.7,1314.3,1444.8,297.6,1129.6,1393.5,1429.1,1410.3,1637.0,518.0,1509.1,651.6,714.9,1473.4,1638.8,680.1,946.2,856.2,1072.4,590.8,399.0,1537.7,823.0,1384.2,1292.7,1057.7,932.7,1591.6,1497.3,892.4,1253.1,1206.4,1195.2,541.1,885.9,834.2,1169.4,1367.2,1310.5,1494.7,1462.9,485.8,1283.5,1187.9,661.6,870.8,529.8,860.1,1325.7,1472.8,547.6,445.3,284.3,934.1,1609.3,1499.3,72.0,640.3,1572.8,562.7,817.1,615.9,987.6,828.6,664.6,1262.2,362.3,1479.8,588.4,1459.8,1318.4,1343.4,568.6,369.9,445.9,1340.1,800.7,1447.2,993.4,1075.9,951.4,1233.8,225.8,1228.9,1172.8,606.5,1677.1,547.7,791.0,782.4,814.3,943.1,326.4,986.9,1276.0,1233.9,1576.3,886.1,789.1,604.5,1133.2,1091.2,893.9,1310.8,1344.9,637.2,1261.2,779.3,917.6,810.9,767.9,638.0,739.7,892.4,1332.0,889.8,1470.2,1312.1,1196.3,621.4,1325.0,833.7,455.3,637.2,830.5,1082.9,1596.0,1277.8,1574.1,880.3,1320.2,243.6
5,1229.8,615.9,295.3,626.4,1232.1,0.0,1046.0,219.0,382.0,278.5,907.9,573.4,724.4,573.4,1030.3,535.9,636.3,701.2,678.9,611.8,610.2,1198.4,754.2,257.6,551.9,835.3,946.4,1130.6,603.1,966.8,595.2,592.5,1072.3,608.7,962.5,195.8,559.1,593.3,605.6,538.0,1234.0,1216.8,123.4,139.7,1462.8,756.8,408.8,597.6,923.5,605.3,937.1,914.7,1229.9,709.6,623.7,916.1,273.5,441.1,303.0,779.1,468.4,931.9,812.6,552.0,701.6,570.4,1011.7,185.6,154.1,768.4,179.6,919.1,170.1,373.5,1002.2,392.1,698.3,1032.0,320.8,565.7,823.8,489.0,642.1,593.3,1051.9,567.4,552.0,374.3,543.1,380.6,1089.1,1229.1,503.2,486.3,486.2,708.0,544.1,387.9,520.3,971.7,490.0,649.5,92.6,103.8,767.1,513.4,719.5,129.6,666.2,221.0,517.4,391.6,856.1,626.1,677.1,824.5,493.0,1028.1,449.2,674.9,1052.5,911.0,1149.9,947.8,374.5,538.0,494.9,1304.1,845.8,501.4,779.1,528.6,643.6,1000.8,513.3,567.5,118.0,963.9,475.3,1175.9,1065.4,714.8,199.1,700.8,1247.7,1150.4,195.8,603.1,549.2,327.2,613.0,988.2,37.4,1006.2,571.4,83.0,1104.8,605.8,1046.0,612.9,526.2,530.1,956.1,1234.9,498.6,750.4,576.4,715.9,513.2,553.4,967.8,284.5,487.7,427.4,166.5,200.7,705.5,298.2,607.7,930.7,530.9,653.2,670.2,580.8,490.0,242.6,902.8,595.1,654.6,685.5,1119.7,180.7,509.1,1239.7,705.5,573.4,1078.3,524.6,133.5,982.6,893.3,230.7,1077.0
6,1847.0,601.5,1198.7,833.0,547.7,1046.0,0.0,894.0,1267.2,1094.9,750.2,644.4,985.3,644.4,354.7,764.1,961.1,446.8,1329.8,597.3,887.1,522.8,441.5,1115.8,857.4,366.3,425.0,455.0,614.7,879.2,807.4,578.0,387.9,638.7,318.7,1154.0,1271.1,1192.4,1052.6,1423.2,558.4,541.2,1081.6,973.2,533.5,289.3,1294.1,620.2,705.5,716.7,719.1,1106.9,545.5,1034.3,1144.1,698.1,1016.7,966.6,1188.2,900.3,654.1,1271.5,1152.2,494.1,1079.4,1395.5,327.3,1143.8,927.5,1108.0,1110.5,442.6,1128.3,1258.8,317.8,943.6,1343.4,1224.1,1224.2,1450.9,855.6,1374.3,465.6,528.8,1268.4,1452.7,494.1,927.8,670.1,886.4,105.3,553.5,1351.6,637.0,1198.1,1106.6,871.6,941.4,1405.6,1311.3,706.3,1203.0,1020.4,1009.1,355.0,699.9,1171.8,983.3,1317.1,1124.4,1308.6,1276.8,823.4,1097.5,1001.9,475.6,684.8,17.9,674.0,1139.7,1267.8,361.6,474.3,263.4,748.0,1423.2,1313.3,616.4,454.2,1386.7,900.3,631.0,429.8,651.1,1066.8,478.5,1076.2,185.4,1293.7,192.1,1254.9,1268.3,1157.3,382.5,318.4,474.8,1154.0,614.7,1261.2,935.6,889.9,614.9,1047.7,321.9,1042.8,986.8,121.0,1491.0,0.0,604.9,596.3,1083.6,738.1,589.0,800.8,1090.0,1047.8,1526.2,700.0,603.0,355.3,947.1,1041.2,707.9,1124.7,1158.9,451.1,1075.2,593.2,712.7,1084.5,1105.5,452.0,1077.3,706.3,1145.9,684.9,1420.1,1126.0,1010.2,135.9,1138.9,647.6,564.1,451.1,644.4,877.9,1409.9,1091.7,1388.1,675.4,1134.1,581.2
7,1217.0,463.9,316.9,445.5,1080.1,219.0,894.0,0.0,403.6,233.7,1071.8,421.4,596.1,421.4,878.3,316.9,515.9,483.3,700.5,459.8,453.3,1046.4,536.3,254.6,332.8,617.4,728.5,978.6,451.1,838.5,376.2,440.5,920.3,389.7,744.5,260.1,440.4,472.9,769.5,559.5,1082.0,1064.8,187.7,79.3,1244.9,604.8,430.4,445.6,705.2,386.2,718.8,786.4,1077.9,589.2,787.6,697.8,155.4,267.7,324.6,943.0,316.5,813.2,693.9,400.0,865.5,592.0,859.7,249.9,134.9,649.7,228.7,701.1,234.4,395.1,850.2,218.8,719.9,903.7,342.4,587.3,987.7,510.6,490.2,401.5,933.2,589.0,400.0,538.2,391.1,161.5,937.1,1077.1,490.4,334.3,367.5,589.3,347.0,551.8,541.9,853.0,338.0,804.0,126.5,115.2,549.2,361.4,883.4,89.4,687.8,242.6,478.0,413.2,1020.0,505.7,556.7,606.5,341.0,876.2,297.2,556.2,933.8,747.3,997.9,795.8,222.5,559.5,482.1,1152.1,627.9,523.0,943.0,376.7,491.6,782.5,677.2,415.5,182.3,811.9,462.5,963.2,934.5,745.4,263.4,548.8,1029.8,998.4,260.1,451.1,430.5,491.1,456.1,769.9,207.7,854.3,451.0,229.7,952.8,627.4,894.0,460.9,307.9,694.0,737.8,1121.4,279.6,631.7,456.0,737.4,361.3,401.4,804.2,85.9,651.6,275.5,230.8,265.0,487.6,213.9,455.7,712.4,694.8,817.1,452.2,744.8,338.0,264.1,684.5,616.7,534.2,565.1,967.7,245.0,357.1,1087.7,487.6,421.4,877.6,546.2,197.8,929.8,675.0,252.3,1113.5
8,1086.0,836.6,290.6,603.6,1453.3,382.0,1267.2,403.6,0.0,172.3,1182.1,794.1,584.3,794.1,1251.5,637.4,496.2,851.2,297.0,832.5,520.3,1419.6,904.2,151.5,535.5,985.3,1096.4,1351.8,823.8,826.7,593.1,813.2,1293.5,757.6,1112.4,387.9,421.6,453.2,879.8,364.2,1455.2,1438.0,258.6,367.0,1612.8,978.0,26.8,818.3,1014.9,754.1,979.2,774.6,1451.1,569.5,898.0,1007.5,268.7,418.2,129.2,1053.4,689.1,794.4,675.1,773.2,975.8,188.4,1232.9,296.2,444.4,630.9,202.4,1069.0,280.7,199.7,1223.4,369.3,316.4,891.9,316.1,391.9,1098.1,107.0,863.4,769.4,914.4,393.7,773.2,648.5,763.8,396.0,1310.3,1450.3,359.5,707.0,346.1,570.5,521.3,662.1,346.5,834.2,710.7,400.4,319.8,331.0,917.1,734.1,993.7,356.8,284.2,216.3,373.7,9.6,1130.3,486.0,537.0,974.5,714.2,1249.4,669.9,537.4,915.0,1115.2,1371.1,1169.0,595.2,364.2,351.1,1525.3,995.8,327.6,1053.4,749.3,864.8,1016.0,787.5,788.7,345.2,1185.1,331.6,1331.2,927.9,341.9,309.7,922.0,1397.7,1371.6,387.9,823.8,411.7,664.0,517.5,1052.1,370.6,1227.5,431.3,429.3,1326.0,432.0,1267.2,833.6,675.8,804.4,998.2,1494.6,595.2,612.9,436.3,333.9,733.9,774.6,1172.1,355.5,532.9,648.7,393.8,383.1,855.5,192.1,828.4,1022.1,805.2,927.4,820.2,855.1,710.7,237.8,1052.4,213.1,514.5,545.4,1340.9,291.4,730.3,1460.9,855.5,794.1,938.2,350.9,360.8,838.9,1042.9,151.3,1351.2
9,1020.1,664.3,187.1,431.2,1281.0,278.5,1094.9,233.7,172.3,0.0,1167.9,621.7,478.1,621.8,1079.2,465.1,390.0,678.9,469.3,660.1,415.0,1247.3,731.9,20.9,363.1,813.0,924.1,1179.5,651.5,720.5,420.8,640.9,1121.1,585.2,940.1,284.4,312.8,347.0,865.5,328.3,1282.8,1265.7,155.1,263.5,1440.4,805.6,199.1,646.0,900.8,581.8,873.0,668.4,1278.8,463.3,883.7,893.3,115.8,245.9,93.3,1039.1,516.8,685.6,566.3,600.8,961.5,360.8,1060.5,192.7,327.0,522.1,98.9,896.7,177.2,163.9,1051.1,196.9,488.7,785.7,212.6,356.0,1083.8,279.4,691.0,597.1,805.5,357.8,600.8,634.2,591.5,223.7,1138.0,1278.0,293.5,534.6,239.8,461.6,348.9,647.8,310.7,725.3,538.4,572.8,216.3,227.6,744.7,561.7,979.5,253.3,456.6,112.8,307.8,181.9,1116.0,379.7,430.8,802.1,541.9,1077.0,497.6,428.6,806.1,942.9,1198.7,996.7,422.8,328.3,285.2,1353.0,823.4,291.8,1039.1,577.0,692.4,909.7,773.2,616.4,241.7,1012.8,265.7,1158.8,819.1,514.2,206.3,749.7,1225.4,1199.3,284.4,651.5,302.9,587.1,411.3,945.9,267.1,1055.1,325.1,325.8,1153.7,396.1,1094.9,661.2,503.4,790.1,892.0,1322.2,422.9,504.1,330.1,506.2,561.6,602.3,999.8,183.1,705.2,476.3,290.3,279.6,683.1,16.2,656.0,907.9,790.9,913.1,647.8,840.8,538.4,134.3,880.1,385.4,408.2,439.1,1168.6,187.9,558.0,1288.6,683.1,621.8,831.9,315.0,257.3,773.0,870.6,47.8,1314.4
