,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
0,0.0,1219.9,770.3,680.2,1427.3,895.3,607.8,716.3,731.1,1443.3,1231.4,803.2,1270.8,910.4,808.1,834.3,583.5,675.3,904.6,1183.6,791.2,515.8,958.4,625.6,882.5,998.9,929.6,1141.6,939.1,1495.3,580.9,855.9,853.9,1019.4,1256.5,676.3,1097.8,920.5,863.6,1525.9,938.6,1478.5,1576.2,773.8,648.9,1308.0,1010.6,426.3,870.6,582.5,862.3,1491.6,595.1,1420.1,1370.7,873.6,650.5,778.2,675.0,1443.3,412.0,929.9,1288.6,1117.2,680.0,805.1,681.0,1048.8,514.6,539.2,929.6,665.0,1464.4,1510.3,1128.1,1281.1,663.7,1268.8,1014.1,923.4,1139.0,596.2,741.8,549.6,507.9,1469.2,797.8,1116.6,659.3,1345.3,837.6,710.6,1498.4,832.4,1004.5,1514.4,1064.1,854.3,1412.7,962.3,1221.4,702.8,633.6,1557.0,852.5,830.3,1401.2,782.0,1047.5,876.0,924.8,732.1,873.2,643.0,844.9,419.7,680.5,1347.1,1341.7,1095.5,919.7,1263.6,1234.3,1334.6,844.5,1268.8,1474.8,1025.7,689.7,1358.9,651.1,865.2,1133.7,563.4,669.4,1535.8,1126.3,932.6,895.8,1335.4,1480.7,461.2,1531.6,844.3,820.5,1444.3,785.9,847.2,1122.5,859.0,815.8,733.3,869.5,842.6,1424.9,1171.5,650.2,1039.9,997.6,834.5,967.9,1171.6,1038.9,1342.1,1460.4,750.6,1004.5,735.5,843.8,1244.1,1426.9,698.1,803.2,701.2,1138.2,659.4,1020.7,483.1,1423.1,884.3,1148.5,652.6,726.1,1068.2,1354.0,1346.5,651.1,1303.9,833.8,840.0,910.6,1145.5,908.3,637.8,1258.8,1345.3,1028.7,832.7,1112.4,601.7,873.7,721.3,1513.9
1,1219.9,0.0,768.5,730.5,209.3,863.2,716.3,771.1,780.1,628.8,496.8,545.4,165.8,674.1,756.1,771.7,896.1,842.5,406.1,191.4,678.1,1036.0,786.1,648.3,811.0,374.0,458.2,139.9,371.0,632.4,1008.5,967.4,689.5,434.9,666.7,814.1,510.5,748.2,601.6,465.7,711.8,691.0,391.4,518.9,754.8,203.0,562.9,1002.3,448.5,1010.1,440.2,628.7,889.1,694.0,152.7,450.1,866.9,523.3,815.4,628.8,1067.6,390.4,183.6,525.1,871.8,467.0,731.3,523.0,965.0,734.7,564.1,822.4,575.9,591.8,514.2,870.4,823.7,892.2,444.4,620.8,662.7,677.7,790.8,930.0,1083.9,648.7,569.5,453.6,831.1,755.5,705.8,816.5,280.4,494.3,856.0,507.4,587.8,365.6,194.7,433.1,565.4,808.7,640.3,354.5,430.4,492.2,183.2,484.9,711.8,589.2,712.9,739.9,451.1,836.6,422.8,1059.9,806.9,129.1,765.6,508.2,351.6,529.0,42.5,116.6,713.3,892.2,687.3,588.8,584.2,782.8,622.8,443.1,657.4,656.5,775.3,517.3,516.0,442.4,473.7,745.6,617.8,1090.6,551.5,712.6,482.4,714.4,531.0,592.3,519.8,436.9,477.7,578.4,850.9,420.5,206.9,203.5,694.9,180.0,410.0,514.1,692.0,750.3,202.0,682.1,672.9,568.7,856.0,736.5,514.0,547.9,697.0,773.9,545.4,770.8,475.2,831.0,552.8,996.5,693.2,774.8,760.8,758.5,795.0,234.3,694.0,756.7,622.8,714.1,417.5,706.9,638.6,496.8,677.3,841.8,562.6,755.5,693.0,728.4,636.1,710.2,670.5,520.0,425.5
2,770.3,768.5,0.0,401.2,975.9,598.7,245.3,156.4,78.4,931.5,676.6,333.0,819.4,373.7,273.5,321.2,210.3,227.8,431.8,628.8,131.4,421.3,619.1,333.0,585.9,571.4,459.4,680.3,466.3,983.5,393.8,559.3,267.6,486.6,744.7,199.4,521.0,581.2,209.4,1014.1,401.9,966.7,1064.4,273.8,149.8,856.6,433.8,426.2,358.8,395.4,389.5,979.8,203.3,908.3,919.3,355.8,252.2,305.4,200.7,931.5,381.8,391.5,837.2,540.4,257.1,332.3,402.0,460.0,279.2,331.2,275.4,175.8,952.6,998.5,551.3,858.0,174.5,845.7,473.5,225.6,614.7,317.2,89.1,244.2,404.6,957.4,212.4,548.5,216.4,833.5,251.3,130.7,1047.0,359.6,689.0,1002.6,539.8,561.9,961.3,407.5,709.6,122.9,325.0,1073.1,379.7,357.5,949.8,442.6,624.4,221.8,568.5,38.2,400.4,150.8,372.1,374.1,191.3,895.7,843.6,518.7,446.9,708.8,782.9,883.2,305.4,845.7,963.0,501.4,268.9,860.8,307.5,392.4,609.4,474.8,120.7,1024.0,549.5,378.1,423.0,823.6,968.9,469.8,1019.8,291.2,347.7,932.5,261.7,374.4,545.7,370.4,343.0,263.1,572.9,369.8,973.5,616.7,181.3,698.4,527.4,364.3,604.6,748.5,697.4,830.3,948.6,223.0,689.0,34.8,373.6,727.7,915.1,72.2,333.0,69.1,570.1,216.3,443.9,310.7,911.3,587.7,725.4,153.5,213.0,726.7,842.2,834.7,307.5,792.1,541.4,185.8,212.8,568.7,394.7,156.0,742.4,833.5,605.6,302.0,588.1,214.0,175.9,248.5,1002.1
3,680.2,730.5,401.2,0.0,937.9,860.1,155.9,417.8,362.0,1101.7,745.0,270.8,781.4,623.1,528.5,577.0,421.1,489.2,393.8,697.2,324.8,682.7,854.5,82.2,847.3,509.2,397.2,646.6,428.3,1153.7,655.2,820.7,522.6,508.6,914.9,460.8,687.1,816.6,386.6,1178.8,651.3,1136.9,1104.5,263.0,279.8,818.6,603.7,486.7,359.8,656.8,351.5,1150.0,414.1,1078.5,881.3,362.8,469.5,267.4,462.1,1101.7,592.6,419.1,799.2,701.7,518.5,294.3,55.6,584.0,490.0,141.0,445.3,386.6,1122.8,1168.7,690.8,1071.0,385.3,1058.7,503.3,460.8,788.3,84.0,372.7,455.0,568.3,1127.6,311.4,630.2,477.8,1003.7,506.3,341.5,1009.0,321.6,924.4,1172.8,713.4,499.7,923.3,475.9,813.6,333.7,90.2,1067.6,341.7,319.5,911.8,380.4,837.4,399.0,803.9,363.0,362.4,361.6,334.1,584.9,402.1,857.7,1013.8,684.8,408.9,777.2,744.9,845.2,560.4,1058.7,1133.2,714.4,146.3,1031.0,107.7,354.4,783.0,284.6,300.3,1194.2,692.6,446.2,385.0,993.8,1139.1,680.6,1190.0,546.2,309.7,1102.7,275.1,336.4,696.4,348.2,305.0,200.9,834.3,331.8,935.5,685.1,281.1,636.2,465.2,302.1,817.6,961.5,635.2,1000.5,1118.8,239.8,924.4,366.4,311.4,796.1,1085.3,329.0,270.8,332.1,651.8,477.7,613.8,521.5,1081.5,843.2,938.4,283.5,474.4,664.5,1012.4,1004.9,107.7,962.3,479.2,373.6,467.7,673.4,646.9,366.8,810.8,1003.7,818.6,557.0,761.7,232.6,430.8,210.5,1138.6
4,1427.3,209.3,975.9,937.9,0.0,955.6,923.7,978.5,987.5,419.5,704.2,752.8,316.3,845.9,955.9,939.9,1103.5,1049.9,613.5,398.8,885.5,1214.3,878.5,855.7,903.4,581.4,665.6,347.3,578.4,423.1,1186.8,1059.8,896.9,642.3,566.0,1021.5,717.9,840.6,809.0,256.4,883.6,481.7,182.1,726.3,962.2,323.0,770.3,1209.7,655.9,1188.4,647.6,419.4,1096.5,484.7,208.8,657.5,1074.3,730.7,1022.8,419.5,1275.0,597.8,334.1,732.5,1078.0,674.4,938.7,730.4,1172.4,942.1,771.5,1029.8,366.6,382.5,721.6,739.5,1031.1,707.1,651.8,828.2,645.8,885.1,998.2,1137.4,1291.3,439.4,776.9,661.0,1038.5,550.2,913.2,1023.9,71.1,701.7,948.4,298.1,678.5,573.0,14.6,640.5,597.9,1016.1,847.7,145.2,637.8,699.6,26.1,692.3,800.2,796.6,805.3,947.3,658.5,1044.0,630.2,1267.3,1014.3,185.2,634.7,715.6,559.0,661.7,193.0,172.7,920.7,707.1,478.0,742.7,791.6,651.9,830.2,650.5,674.9,863.9,982.7,308.0,723.4,649.8,681.1,614.7,408.5,1268.9,342.2,920.0,689.8,505.1,738.4,799.7,727.2,644.3,685.1,785.8,943.3,627.9,2.4,410.9,902.3,387.4,617.4,721.5,784.4,716.6,409.4,472.8,463.6,776.1,948.4,943.9,721.4,620.6,487.7,981.3,752.8,978.2,682.6,1038.4,760.2,1203.9,483.9,867.2,727.1,965.9,1002.4,441.7,484.7,625.8,830.2,522.1,624.9,914.3,846.0,704.2,834.3,1049.2,635.3,550.2,701.4,928.1,630.2,917.6,877.9,727.4,216.2
5,895.3,863.2,598.7,860.1,955.6,0.0,774.9,498.1,610.3,668.8,553.9,777.9,914.1,343.0,423.2,407.1,528.3,463.9,740.2,671.8,576.3,379.5,118.3,777.9,121.5,1016.3,904.3,723.3,772.2,720.8,352.0,225.0,434.3,670.6,482.0,435.5,387.5,115.0,552.3,751.4,380.7,704.0,801.7,681.6,679.4,951.3,377.5,719.5,628.4,353.6,697.9,717.1,516.7,645.6,1014.0,625.4,488.3,737.4,436.8,668.8,522.1,639.3,931.9,406.9,341.6,724.7,860.9,415.7,597.2,860.8,486.3,549.4,689.9,735.8,417.8,392.8,550.7,380.5,657.5,489.2,382.2,807.3,621.0,562.2,697.9,694.7,628.0,475.3,452.5,570.8,450.6,646.7,884.5,752.0,109.2,739.9,338.6,1006.8,970.2,527.7,446.9,638.9,769.9,810.4,688.1,749.9,981.7,887.5,240.3,539.9,150.3,570.1,708.8,569.2,654.1,529.8,533.9,990.4,453.4,385.2,752.8,510.7,877.6,977.9,391.9,380.5,700.3,274.4,713.8,470.6,752.4,700.8,408.2,1004.4,650.3,761.3,416.0,537.0,731.4,495.4,706.2,434.1,757.1,411.1,740.1,669.8,669.5,806.4,412.2,640.0,735.4,708.0,25.8,678.2,958.0,659.7,676.3,825.0,972.3,809.2,193.4,291.4,847.0,567.6,685.9,667.9,109.2,566.7,818.5,469.6,652.4,604.1,777.9,601.0,453.7,452.4,375.0,593.2,648.6,123.3,314.5,683.1,449.1,879.3,579.5,506.5,752.4,529.4,986.3,630.7,483.4,435.2,301.5,564.0,484.3,570.8,254.2,395.4,366.6,743.6,520.3,693.4,739.4
6,607.8,716.3,245.3,155.9,923.7,774.9,0.0,282.0,206.1,1063.1,706.4,278.2,767.2,552.2,452.0,497.4,265.2,338.4,379.6,658.6,266.2,579.3,795.8,101.3,762.1,516.6,404.6,632.4,414.1,1115.1,570.0,735.5,446.1,494.4,876.3,339.4,648.5,757.9,338.6,1145.7,580.4,1098.3,1090.3,248.8,123.9,804.4,563.0,368.8,345.6,571.6,337.3,1111.4,258.2,1039.9,867.1,348.6,313.6,253.2,338.1,1063.1,436.7,404.9,785.0,663.1,433.3,280.1,156.7,545.4,334.1,85.9,404.6,230.7,1084.2,1130.1,652.2,1030.3,229.4,1018.0,489.1,404.1,747.6,71.9,216.8,299.1,450.4,1089.0,272.8,591.6,322.4,965.1,429.8,185.6,994.8,307.4,865.7,1134.2,672.7,507.1,909.1,437.3,775.0,177.8,109.3,1053.4,327.5,305.3,897.6,387.8,796.7,351.0,745.2,207.1,348.2,205.7,319.9,429.0,246.2,843.5,975.2,646.2,394.7,738.6,730.7,831.0,483.9,1018.0,1094.6,673.7,165.4,992.4,126.8,340.2,742.3,229.5,144.4,1155.6,654.0,407.6,370.8,955.2,1100.5,524.7,1151.4,469.7,295.5,1064.1,260.9,322.2,657.8,334.0,290.8,208.3,749.1,317.6,921.3,646.5,125.2,643.6,472.6,309.5,776.9,920.8,642.6,961.9,1080.2,225.6,865.7,210.5,318.8,757.5,1046.7,173.1,278.2,176.2,613.2,322.5,573.1,365.6,1042.9,763.9,897.7,127.6,389.2,671.9,973.8,966.3,126.8,923.7,486.6,315.0,391.3,634.8,571.4,210.9,772.2,965.1,777.9,480.5,721.0,76.7,354.4,196.3,1124.4
7,716.3,771.1,156.4,417.8,978.5,498.1,282.0,0.0,168.0,842.1,679.2,335.6,822.0,296.7,194.4,220.6,132.8,127.2,434.4,631.4,134.0,320.7,519.0,335.6,485.3,574.0,462.0,682.9,468.9,894.1,293.2,458.7,240.2,489.2,655.3,98.8,484.1,481.1,212.0,924.7,324.9,877.3,975.0,276.4,186.5,859.2,396.9,348.7,361.4,294.8,392.1,890.4,125.8,818.9,921.9,358.4,151.6,308.0,100.1,842.1,304.3,394.1,839.8,503.5,156.5,334.9,418.6,435.1,201.7,367.9,278.0,51.3,863.2,909.1,514.4,768.6,52.6,756.3,476.1,228.2,525.3,353.9,178.7,166.7,327.1,868.0,215.0,551.1,115.8,744.1,223.9,153.8,1049.6,362.2,588.9,913.2,450.4,564.5,963.9,410.1,620.2,146.0,327.6,983.7,382.3,360.1,952.4,445.2,535.0,224.4,468.4,127.8,403.0,76.3,374.7,296.6,35.8,898.3,754.2,481.8,449.5,684.0,785.5,885.8,230.8,756.3,873.6,412.0,271.5,771.4,310.1,395.0,520.0,511.5,157.4,934.6,512.6,380.7,425.6,734.2,879.5,375.3,930.4,230.6,350.3,843.1,264.3,377.0,508.8,373.0,345.6,265.7,472.3,372.4,976.1,619.3,218.0,701.0,530.0,366.9,511.5,659.1,700.0,740.9,859.2,225.6,588.9,124.4,376.2,642.9,825.7,154.9,335.6,158.0,548.6,115.7,407.0,233.2,821.9,487.1,636.0,190.2,112.4,729.3,752.8,745.3,310.1,702.7,544.0,188.4,215.4,531.8,294.6,78.5,657.6,744.1,516.2,219.0,498.7,250.7,178.5,251.1,912.7
8,731.1,780.1,78.4,362.0,987.5,610.3,206.1,168.0,0.0,943.1,688.2,344.6,831.0,385.3,285.1,332.8,171.1,239.4,443.4,640.4,143.0,432.9,630.7,307.4,597.5,583.0,471.0,691.9,477.9,995.1,405.4,570.9,279.2,498.2,756.3,211.0,532.6,592.8,221.0,1025.7,413.5,978.3,1076.0,285.4,110.6,868.2,445.4,387.0,370.4,407.0,401.1,991.4,164.1,919.9,930.9,367.4,219.5,317.0,212.3,943.1,342.6,403.1,848.8,552.0,268.7,343.9,362.8,471.6,240.0,292.0,287.0,136.6,964.2,1010.1,562.9,869.6,135.3,857.3,485.1,237.2,626.3,278.0,10.7,205.0,365.4,969.0,224.0,560.1,228.0,845.1,262.9,91.5,1058.6,371.2,700.6,1014.2,551.4,573.5,972.9,419.1,721.2,83.7,315.4,1084.7,391.3,369.1,961.4,454.2,636.0,233.4,580.1,40.2,412.0,111.6,383.7,334.9,152.1,907.3,855.2,530.3,458.5,720.4,794.5,894.8,317.0,857.3,974.6,513.0,280.5,872.4,319.1,404.0,621.0,435.6,81.5,1035.6,561.1,389.7,434.6,835.2,980.5,430.6,1031.4,302.8,359.3,944.1,273.3,386.0,557.3,382.0,354.6,274.7,584.5,381.4,985.1,628.3,142.1,710.0,539.0,375.9,616.2,760.1,709.0,841.9,960.2,234.6,700.6,43.6,385.2,739.3,926.7,33.0,344.6,29.9,581.7,227.9,455.5,271.5,922.9,599.3,737.0,114.3,224.6,738.3,853.8,846.3,319.1,803.7,553.0,197.4,224.4,580.3,406.3,116.8,754.0,845.1,617.2,313.6,599.7,174.8,187.5,260.1,1013.7
9,1443.3,628.8,931.5,1101.7,419.5,668.8,1063.1,842.1,943.1,0.0,418.1,1019.5,560.5,559.1,669.1,653.1,872.3,807.9,867.3,662.1,844.8,927.5,591.7,1019.5,616.6,985.4,1069.6,713.6,890.7,52.0,900.0,773.0,669.6,789.1,279.2,779.5,503.8,553.8,725.8,163.1,596.8,110.6,265.6,851.7,999.1,523.3,501.4,1088.2,794.5,901.6,864.0,48.3,860.7,113.6,628.3,791.5,832.3,907.5,780.8,0.0,1043.8,757.8,542.7,523.2,791.2,890.8,1102.5,572.9,941.2,1105.9,659.8,893.4,175.6,67.0,534.1,452.7,894.7,483.4,776.0,724.5,359.0,1048.9,953.8,906.2,1066.6,68.3,801.5,591.6,796.5,263.4,685.9,990.7,348.4,918.1,661.6,129.1,391.7,977.0,434.1,646.2,311.1,982.9,1011.5,274.3,854.2,916.0,445.6,1096.3,513.4,713.4,518.5,902.9,874.9,913.2,820.2,1036.1,877.9,604.7,347.9,501.5,871.3,374.9,612.5,592.2,637.8,483.4,106.9,455.9,955.4,365.1,994.0,866.9,388.1,1249.5,985.4,150.5,532.3,655.5,897.5,327.9,37.4,982.1,141.1,657.0,906.2,134.0,839.6,976.5,528.5,806.1,901.5,949.6,656.5,844.3,421.9,650.0,939.2,791.4,1021.4,1050.8,497.6,429.8,813.4,167.3,92.5,861.9,661.6,899.5,1060.1,333.8,116.6,936.9,1019.5,933.8,570.0,796.4,491.3,972.7,112.8,580.4,440.3,1002.8,738.8,845.7,155.4,339.0,994.0,220.9,1028.9,860.2,718.7,551.5,547.5,908.0,348.5,263.4,414.6,641.3,343.4,1033.1,755.6,904.2,203.3
